day,month,t_max,t_min,prec,sol_rad
1,6,31.4015,17.87275,0.0,22.63925
2,6,31.467000000000002,17.895500000000002,0.0,22.74875
3,6,31.421249999999997,17.79775,0.0,22.826249999999998
4,6,31.5725,17.726,0.0,22.7415
5,6,31.96425,17.817,0.0,22.524
6,6,31.81275,17.867250000000002,0.0,22.07
7,6,31.969749999999998,18.032249999999998,0.0,21.53275
8,6,32.07475,18.0065,0.0,21.824
9,6,32.22925,18.10025,0.0,21.69375
10,6,32.3985,18.031,0.0,22.034
11,6,32.27075,18.26225,0.0,21.583000000000002
12,6,31.9635,18.34925,0.0,20.955750000000002
13,6,31.798000000000002,18.32225,0.0,20.7135
14,6,31.7965,18.305,0.0,20.56875
15,6,31.677999999999997,18.2825,0.0,20.792250000000003
16,6,31.701249999999998,18.286,0.0,20.825
17,6,31.7395,18.29975,0.0,20.94675
18,6,31.721249999999998,18.3585,0.0,20.7775
19,6,31.76925,18.3995,0.0,20.83925
20,6,31.790249999999997,18.5395,0.0,20.54375
21,6,31.795749999999998,18.49175,0.0,20.5085
22,6,31.626749999999998,18.453,0.0,20.763749999999998
23,6,31.441250000000004,18.3875,0.0,20.47125
24,6,31.32725,18.3885,0.0,20.01725
25,6,30.953249999999997,18.43,0.0,20.49875
26,6,31.0255,18.459,0.0,20.2815
27,6,30.904000000000003,18.4725,0.0,20.19375
28,6,30.87775,18.462,0.0,20.0885
29,6,30.887999999999998,18.5195,0.045,20.2865
30,6,30.64875,18.48875,0.1,20.402
