day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.49,12.04,0,19.97
2,1,1981,27.34,12.17,0,20.59
3,1,1981,26.33,12.83,0,19.62
4,1,1981,25.34,13.22,0,18.68
5,1,1981,24.89,13.45,0,20.38
6,1,1981,24.31,12.66,0,20.39
7,1,1981,24.39,12.18,0,22.15
8,1,1981,24.5,10.28,0,22.81
9,1,1981,24.06,10.74,0,22.1
10,1,1981,26.87,11.28,0,21.48
11,1,1981,27.39,12.28,0,20.09
12,1,1981,24.81,13.28,0,21.23
13,1,1981,24,12.62,0,18.4
14,1,1981,22.87,13.06,0,16.93
15,1,1981,24.02,12.77,0,19.21
16,1,1981,26.04,11.56,0,22.09
17,1,1981,27.15,12.03,0,22.25
18,1,1981,26.91,12.92,0,20.33
19,1,1981,25.86,12.97,1.21,19.69
20,1,1981,26.08,13.97,1.21,21.85
21,1,1981,27.3,12.93,0,22.16
22,1,1981,25.48,13.56,0,19.54
23,1,1981,27.16,13.01,0,22.83
24,1,1981,27.4,12.93,0,23.29
25,1,1981,27.51,11.52,0,23.54
26,1,1981,27.41,12.79,0,23.1
27,1,1981,25.51,13.57,0,22.11
28,1,1981,24.56,13.33,0,19.02
29,1,1981,23.72,13.54,0,20.84
30,1,1981,25.56,11.95,0,23.41
31,1,1981,24.71,12.22,0,23.82
1,2,1981,24.08,11.51,0,23.47
2,2,1981,24.59,11.02,0,23.02
3,2,1981,24.43,12.19,0,22.19
4,2,1981,23.87,11.55,0,21.73
5,2,1981,25.63,11.77,0,22.72
6,2,1981,26.67,11.43,0,23.85
7,2,1981,26.2,11.96,0,23.79
8,2,1981,27.72,12.18,0,23.5
9,2,1981,26.76,13.5,0,20.9
10,2,1981,24.39,13.98,0,17.77
11,2,1981,21.05,14.5,0,14.01
12,2,1981,22.94,14.1,0,20.95
13,2,1981,22.68,12.85,1.4,20.24
14,2,1981,22.2,12.96,0,19.59
15,2,1981,21.55,14.27,0,18.06
16,2,1981,25.52,12.79,0,22.87
17,2,1981,24.5,13.22,0,22.37
18,2,1981,22.89,14.83,0.58,20.26
19,2,1981,25.26,14.94,0,20.75
20,2,1981,26.55,14.09,0,23.17
21,2,1981,26.64,13.68,0,24.58
22,2,1981,26.9,13.82,0,24.89
23,2,1981,28.37,12.58,0,25.35
24,2,1981,29.61,12.93,0,25.4
25,2,1981,27.38,14.23,0,24.65
26,2,1981,26.45,13.68,0,23.6
27,2,1981,27.25,13.47,0.62,22.76
28,2,1981,27.99,14.62,0,22.06
1,3,1981,26.62,14.77,2.79,22.92
2,3,1981,24.59,14.04,2.76,20.52
3,3,1981,23.5,14.23,0.66,19.9
4,3,1981,23.46,15.42,1.72,18.4
5,3,1981,22.42,14.39,2.83,20.31
6,3,1981,24.01,15.3,0,22.5
7,3,1981,21.81,15.83,0,18.75
8,3,1981,22.11,15.81,0,19.41
9,3,1981,23.99,15.67,1.09,19.97
10,3,1981,25.85,15.42,7.71,21.04
11,3,1981,24.42,15,0,22.88
12,3,1981,26.03,15.2,1.33,20.39
13,3,1981,24.41,15.76,5.99,19.44
14,3,1981,22.85,15.89,6.14,17.33
15,3,1981,22.89,16.15,0.68,17.78
16,3,1981,24.77,15.39,3.03,20.36
17,3,1981,25.79,15.53,0.77,23.06
18,3,1981,23.62,15.45,0.67,22.07
19,3,1981,22.44,15.67,2.24,12.91
20,3,1981,23.34,14.73,2.48,19.79
21,3,1981,25.86,15.52,0,23.44
22,3,1981,25.46,14.89,2.16,21.08
23,3,1981,24.21,15.24,2.56,21.18
