day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.08,13.07,0,19.39
2,1,1981,27.1,13.21,0,19.32
3,1,1981,27.08,13.88,0,17.81
4,1,1981,26.15,13.43,0,19.35
5,1,1981,25.07,13.68,0,18.64
6,1,1981,24.88,14.17,0,19.16
7,1,1981,25.08,12.39,0,22.42
8,1,1981,25.24,10.17,0,22.97
9,1,1981,24.95,10.8,0,21.69
10,1,1981,26.09,12.07,0,20.74
11,1,1981,25.61,12.78,0,19.35
12,1,1981,25.38,13.05,0,20.74
13,1,1981,22.6,14.32,0,15.17
14,1,1981,21.78,14.64,0,13.52
15,1,1981,24.34,14.35,0,18.32
16,1,1981,25.42,13.33,0,22.41
17,1,1981,26.31,13.69,0.51,21.27
18,1,1981,26.18,13.8,5.99,19.94
19,1,1981,26.01,14.05,0.87,18.87
20,1,1981,26.93,14.93,0.87,21.15
21,1,1981,27.15,12.91,0,22.45
22,1,1981,25.43,14.25,0,18.38
23,1,1981,27.97,13.78,0,22.12
24,1,1981,28.42,12.8,0,23.37
25,1,1981,28.56,12.03,0,23.56
26,1,1981,28.07,12.96,0,22.43
27,1,1981,26.03,15.58,0,20.62
28,1,1981,24.31,14.74,0,17.58
29,1,1981,23.11,14.77,0,14.84
30,1,1981,26.15,12.4,0,23.87
31,1,1981,25.59,10.95,0,24.16
1,2,1981,25.51,11.28,0,23.84
2,2,1981,25.25,11.25,0,22.79
3,2,1981,25.14,11.57,0,21.8
4,2,1981,23.1,10.98,0,19.07
5,2,1981,25.73,13.49,0,21.22
6,2,1981,26.64,12.03,0,23.92
7,2,1981,26.69,12.4,0,23.88
8,2,1981,26.66,13.05,0,22.24
9,2,1981,26.01,14.9,0,20.76
10,2,1981,24.41,15.08,4.88,18.03
11,2,1981,19.47,14.61,2.15,12.54
12,2,1981,21.16,13.54,0,18.1
13,2,1981,21.92,13.88,1.24,18.75
14,2,1981,20.67,13.6,0,17.91
15,2,1981,20.99,14.34,0,16.57
16,2,1981,22.69,13.39,0,22.81
17,2,1981,24.28,13.91,0,21.93
18,2,1981,23.12,15.28,0,17.83
19,2,1981,24.96,14.45,0,19.59
20,2,1981,26.5,14.2,0,23.61
21,2,1981,27.11,13.37,0,24.87
22,2,1981,27.44,13.27,0,25.14
23,2,1981,28.36,12.64,0,25.32
24,2,1981,28.76,12.75,0,25.25
25,2,1981,27.51,13.5,0,24.66
26,2,1981,26.44,13.7,0,22.94
27,2,1981,26.5,13.58,1.03,22.42
28,2,1981,28.62,14.22,0,22.01
1,3,1981,27.13,14.06,7.36,20.91
2,3,1981,25.01,13.71,1.24,18.35
3,3,1981,22.54,14.32,0.32,16.74
4,3,1981,22.06,15.52,4.38,15.24
5,3,1981,21.89,14.43,4.64,15.61
6,3,1981,22.93,15.36,0,19.85
7,3,1981,21.4,15.56,0,15.08
8,3,1981,22.62,15.77,2.95,16.31
9,3,1981,23.76,14.46,8.34,20.93
10,3,1981,26.9,15.21,3.54,21.04
11,3,1981,25.76,15.26,0,20.88
12,3,1981,27.28,15.44,3.57,19.91
13,3,1981,26.08,16.03,6.35,17.96
14,3,1981,23.74,15.7,4.88,15.92
15,3,1981,23.36,16.01,4.47,16.82
16,3,1981,23.64,15.6,3.17,17.76
17,3,1981,24.67,15.04,2.03,22.33
18,3,1981,23.94,14.57,3.9,22.03
19,3,1981,21.31,15.38,0.72,10.06
20,3,1981,23.02,15.52,2.77,16.03
21,3,1981,25.02,15.55,0.42,19.15
22,3,1981,23.84,15.14,2.77,17.93
23,3,1981,24.01,14.75,4.81,20.45
24,3,1981,24.58,15.63,3.35,19.71
25,3,1981,25.25,14.9,2.28,19.71
26,3,1981,27.09,15.79,24.71,18.92
27,3,1981,24.61,16.58,14.45,19.38
28,3,1981,21.36,16.24,4.81,12.94
29,3,1981,22.13,16.55,7.52,12.9
30,3,1981,24.43,15.35,0,18.39
31,3,1981,23.26,16.46,0,18.07
1,4,1981,22.94,16.21,1.36,14.04
2,4,1981,22.91,15.68,5,14.98
3,4,1981,24.1,17,3.69,20.09
4,4,1981,23.9,15.82,0,19.69
5,4,1981,24.28,16.49,0,20.2
6,4,1981,23.87,15.35,0,21.89
7,4,1981,25.17,16.63,0,22.9
8,4,1981,24.53,15.89,0,19.89
9,4,1981,24.32,15.63,0,19.98
