day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.42,18.09,0,18.74
2,1,1981,30.04,19.67,0,19.81
3,1,1981,29.9,19.05,0,18.95
4,1,1981,30.1,20.03,0,19.43
5,1,1981,30.49,18.12,0,20.81
6,1,1981,29.5,18.52,0,19.18
7,1,1981,29.44,18.44,0,19.64
8,1,1981,29.77,18.4,0,20.23
9,1,1981,30.24,18.94,0,18.76
10,1,1981,30.24,19.34,0,19.87
11,1,1981,30.52,20.85,0,19.86
12,1,1981,30.68,18.99,0,21.43
13,1,1981,30.65,19.73,0,20.39
14,1,1981,30.73,19.04,0,20.09
15,1,1981,31.48,18.51,0,20.14
16,1,1981,31.58,18.82,0,20.81
17,1,1981,31.59,19.11,0,20.36
18,1,1981,31.34,19.69,0,20.68
19,1,1981,31.14,18.91,0,21.39
20,1,1981,31.31,19.2,0,20.32
21,1,1981,30.37,19.26,0,18.91
22,1,1981,30.61,19.41,0,19.27
23,1,1981,30.31,19.89,0,18.54
24,1,1981,30.43,20.02,0,19.3
25,1,1981,29.62,20.23,0,17.76
26,1,1981,30.91,20.24,0,20.37
27,1,1981,30.61,19.7,0,20.72
28,1,1981,30.82,18.21,0,21.23
29,1,1981,30.28,18.71,0.03,20.73
30,1,1981,30.15,19.44,0.6,20.03
31,1,1981,31.19,19.42,0,22.04
1,2,1981,31.41,19.5,0,21.32
2,2,1981,31.78,19.58,0,22.21
3,2,1981,32.16,19.32,0,22.86
4,2,1981,31.89,18.68,0,22.61
5,2,1981,32.01,18.56,0,22.56
6,2,1981,32.77,18.84,0,22.87
7,2,1981,31.99,18.86,0,21.6
8,2,1981,31.92,19.46,0,20.27
9,2,1981,30.47,20.43,0,19.7
10,2,1981,28.81,18.75,0,22.61
11,2,1981,30.09,18,0,22.66
12,2,1981,30.87,17.53,0,23.15
13,2,1981,31.64,18.11,0,23.34
14,2,1981,32.16,17.88,0,23.54
15,2,1981,31.78,18.08,0,23.46
16,2,1981,31.87,18.14,0,23.54
17,2,1981,32.15,18.06,0,23.56
18,2,1981,32.49,18.32,0,23.54
19,2,1981,33.3,19.15,0,23.55
20,2,1981,33.38,22.3,0,22.93
21,2,1981,34.11,21.01,0,23.52
22,2,1981,33.78,22.28,0,23.18
23,2,1981,34.36,22.24,0,22.38
24,2,1981,33.89,23.12,0,21.72
25,2,1981,33.95,20.87,0,21.46
26,2,1981,32.81,20.29,0.21,22.41
27,2,1981,32.38,21.43,0.21,21.48
28,2,1981,32.95,21.13,0.21,21.37
1,3,1981,33.12,20.54,0,21.53
2,3,1981,33.37,20.88,0,23.11
3,3,1981,32.42,20.63,0,23.84
4,3,1981,32.7,18.85,0,23.86
5,3,1981,32.72,19.47,0,24.22
6,3,1981,32.58,20.04,0,24.36
7,3,1981,33.27,19.92,0,24.44
8,3,1981,33.08,19.31,0,23.93
9,3,1981,30.45,21.19,0,17.6
10,3,1981,31.84,20.92,0,19.08
11,3,1981,32.85,20.91,0,23.27
12,3,1981,30.29,21.27,0,20.7
13,3,1981,31.08,20.71,5.81,21.82
14,3,1981,31.81,20.12,0.41,22.5
15,3,1981,32.2,19.86,4.26,24.32
16,3,1981,31.72,21.23,0,24.43
17,3,1981,31.79,20.8,0,23.95
18,3,1981,32.21,21.58,0,23.17
19,3,1981,30.36,20.98,0,21.06
20,3,1981,29.87,20.6,0,18.52
21,3,1981,29.17,20.03,0,19.86
22,3,1981,29.7,20.49,0,20.65
23,3,1981,28.74,19.94,0,20.68
24,3,1981,29.33,19.87,0,19.1
25,3,1981,26.64,20.09,6.43,16.86
26,3,1981,26.07,19.39,8.04,14.53
27,3,1981,28.53,18.71,4.38,22.94
28,3,1981,28.81,18.4,0,22.94
29,3,1981,29.18,21.08,0,23.2
30,3,1981,30.39,19.87,0,23.77
31,3,1981,30.5,19.61,0,24.77
1,4,1981,30.4,18.47,0,24.08
2,4,1981,30.95,17.95,0,25.43
3,4,1981,31.36,18.06,0,25.47
4,4,1981,32.02,17.99,0,25.54
5,4,1981,32.04,21.55,0,25.6
6,4,1981,31.33,20.86,0,24.79
7,4,1981,31.64,20.95,0,25.05
8,4,1981,32.25,20.85,0,25.57
9,4,1981,32.16,22.73,0,25.46
10,4,1981,32.41,19.23,0,25.3
11,4,1981,32.24,18.45,0,25.49
12,4,1981,31.86,18.84,0,25.4
13,4,1981,31.93,18.18,0,25.73
14,4,1981,32.19,19.43,0,25.51
15,4,1981,32.61,20.98,0,25.42
16,4,1981,33.2,22.33,0,25.62
17,4,1981,33.24,20.32,0,25.64
18,4,1981,32.11,20.37,0,23.27
19,4,1981,30.58,20.53,0,21.18
20,4,1981,31.59,20.47,0,21.5
21,4,1981,30.27,20.85,0,20.61
22,4,1981,27.23,19.55,8.36,20.32
23,4,1981,27.24,19.47,0,20.6
24,4,1981,27.59,19.23,0,21.17
25,4,1981,28.02,19.33,1.1,21.69
26,4,1981,28.77,19.61,0,21.18
27,4,1981,28.53,20.18,0,21.76
28,4,1981,30.16,20.13,0,22.5
29,4,1981,29.77,20.1,0,21.77
30,4,1981,28.94,20.85,13.07,21.73
1,5,1981,27.68,19.68,0,20.58
