day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.96,11.4,0,18.99
2,1,1981,23.98,11.6,0,22.27
3,1,1981,25.05,12.52,0,19.77
4,1,1981,24.83,12.16,0,20.05
5,1,1981,25.65,12.19,2.63,23.34
6,1,1981,23.38,12.43,3.18,19.23
7,1,1981,24.5,11.55,0,23.69
8,1,1981,24.68,10.52,0,24.97
9,1,1981,24.78,10.45,0,23.77
10,1,1981,25.16,10.83,0,23.8
11,1,1981,25.21,11.48,0,23.53
12,1,1981,25.23,12.35,0,21.4
13,1,1981,26.1,12.68,0,23.67
14,1,1981,25.25,12.63,0,21.64
15,1,1981,24.93,12.45,0,21.9
16,1,1981,25.1,12.64,0,21.72
17,1,1981,25.46,12.12,0,23.87
18,1,1981,25.94,12.52,0,23.35
19,1,1981,25.8,12.65,0,22.04
20,1,1981,25.83,11.61,0,25.17
21,1,1981,25.07,11.72,0,20.55
22,1,1981,25.25,13.65,0,19.59
23,1,1981,24.31,13.18,0,20.36
24,1,1981,26.01,12.02,0,23.66
25,1,1981,26.26,11.63,0,25.31
26,1,1981,26.34,11.55,0,24.64
27,1,1981,26.2,11.38,0,25.29
28,1,1981,26.08,11.17,0,25.83
29,1,1981,25.67,11.48,0,23.91
30,1,1981,25.11,11.79,0,23.08
31,1,1981,25.84,10.83,0,26.33
1,2,1981,25.58,9.78,0,26.47
2,2,1981,25.64,10.37,0,26.17
3,2,1981,26.1,10.42,0,26.29
4,2,1981,26.05,10.77,0,25.48
5,2,1981,26.04,10.93,0,24.69
6,2,1981,26.38,10.89,0,25.99
7,2,1981,26.06,10.85,0,25.84
8,2,1981,24.93,11.38,0,21.07
9,2,1981,23.9,12.26,0,17.39
10,2,1981,25.62,13.5,0,19.56
11,2,1981,24.68,14.6,0,18.57
12,2,1981,23.62,13.65,0,20.37
13,2,1981,23.96,12.9,0,20.12
14,2,1981,25.32,12.44,12.6,22.49
15,2,1981,24.85,12.93,1.77,22.92
16,2,1981,23.29,13.6,2.12,19.22
17,2,1981,24.28,13,1.71,20.26
18,2,1981,24.2,12.76,1.78,20.04
19,2,1981,25,12.63,0,22.43
20,2,1981,25.3,12.63,0,23.58
21,2,1981,26.57,11.88,0,25.06
22,2,1981,25.96,11.97,0,24.89
23,2,1981,27.43,12.03,0,26.02
24,2,1981,27.6,12.05,0,25.57
25,2,1981,27.74,12.37,0,25.48
26,2,1981,27.11,12.06,0,25.31
27,2,1981,25.22,13.06,0,22.87
28,2,1981,26.11,13.37,0,22.69
1,3,1981,27.07,14.27,9.84,23
2,3,1981,25.5,14.84,13.3,21.26
3,3,1981,23.43,13.76,21.69,20.36
4,3,1981,23.35,12.33,10.09,20.38
5,3,1981,22.82,13.57,9.31,19.75
6,3,1981,23.23,13.38,6.02,21.48
7,3,1981,23.28,12.79,0,21.19
8,3,1981,23.4,12.55,0,23.08
9,3,1981,23.77,12.23,0,23.89
10,3,1981,23.73,12.54,0,21.91
11,3,1981,23.78,12.87,0,23.04
12,3,1981,22.85,13.03,5.86,21.22
13,3,1981,21.95,13.55,9.15,18.14
14,3,1981,22.47,12.48,11.55,19.83
15,3,1981,22.62,12.9,4.57,20.26
16,3,1981,21.97,13.54,2.65,17.79
17,3,1981,22.44,12.49,3.77,21.15
18,3,1981,22.59,12.53,7.65,20.78
19,3,1981,22.04,13.42,5.07,19.43
20,3,1981,22.48,12.34,3.31,22.94
21,3,1981,21.05,13.38,13.26,15.91
22,3,1981,22.36,12.35,4.27,20.36
23,3,1981,21.03,12.9,9.66,17.44
24,3,1981,22.39,12.5,5.15,20.29
25,3,1981,19.95,13.75,7.77,14.82
26,3,1981,21.26,13.39,6.58,17.37
27,3,1981,19.84,13.29,6.13,13.96
28,3,1981,20.9,12.11,3.55,18.49
29,3,1981,20.75,13.11,7.42,18.01
30,3,1981,21.85,12.82,7.5,20.95
31,3,1981,21.7,13.66,6.72,19.27
1,4,1981,21.74,13.02,3.84,18.63
2,4,1981,21.58,12.05,4.97,19.08
3,4,1981,21.58,13.06,0,19.96
4,4,1981,21.98,11.88,0,22.04
5,4,1981,22.17,12.63,0,19.78
6,4,1981,22.41,12.32,10.53,21.77
7,4,1981,22.29,11.6,5.41,22.37
8,4,1981,22.43,12.1,0,21.45
9,4,1981,22.69,12.7,0,22.05
10,4,1981,22.22,13,0,20.42
11,4,1981,22.03,13,0,19.47
12,4,1981,21.72,13.18,0,18
13,4,1981,21.74,13.14,2.59,20.45
14,4,1981,22.1,12.82,4.76,20.45
15,4,1981,22.73,13.1,6.67,21.93
16,4,1981,23.13,13.14,0,22.36
17,4,1981,22.95,12.79,0,21.53
18,4,1981,22.13,12.5,5.42,19.68
19,4,1981,21.98,12.92,2.92,19.97
20,4,1981,22.24,12.78,4.14,20.71
21,4,1981,21.17,12.43,9.62,17.6
22,4,1981,20.95,12.61,0.67,17.01
23,4,1981,20.96,13.08,2.21,18.32
24,4,1981,21.5,12.15,11,20.27
25,4,1981,22.05,11.56,5.69,22.64
26,4,1981,22.53,11.2,0,22.65
27,4,1981,22.48,12.06,5.75,21.61
28,4,1981,24.48,11.67,0,26.08
29,4,1981,23.69,11.14,0,25.93
30,4,1981,23.48,11.04,0,24.84
1,5,1981,23.26,12.75,0,24.26
2,5,1981,23.15,12.33,0,23.67
3,5,1981,23.9,12.12,0,24.1
4,5,1981,23.92,11.59,0,24.74
5,5,1981,24.27,11.57,0.27,25.24
6,5,1981,23.92,12.78,0.56,23.5
7,5,1981,23.21,13.01,0,22.13
8,5,1981,21.49,12.32,2.16,21.52
9,5,1981,23.35,12.8,0,22.18
10,5,1981,23.6,11.72,0,22.38
11,5,1981,23.35,11.91,0,21.3
12,5,1981,21.73,12.48,4.69,20.41
13,5,1981,21.63,12.4,0,21.23
14,5,1981,21.86,11.68,0,23.34
15,5,1981,22.67,11.69,3.92,23.75
16,5,1981,22.01,12.31,6.48,23.44
17,5,1981,21.26,11.75,16.1,21.19
18,5,1981,21.19,12.71,0,18.58
19,5,1981,21.66,11.65,0,19.85
20,5,1981,22.06,11.89,3.36,21.45
21,5,1981,21.26,12.07,0,20.44
22,5,1981,20.97,11.96,0,20.16
23,5,1981,22.03,11.52,0,22.19
24,5,1981,20.5,12.96,4.28,17.53
25,5,1981,21.17,12.45,7.35,19.8
26,5,1981,22.09,11.75,0,22.14
27,5,1981,21.87,11.43,0,22.82
28,5,1981,21.81,11.83,0,21.4
29,5,1981,21.64,12.72,6.15,19.21
30,5,1981,20.78,12.66,0,17.69
31,5,1981,22.72,12.03,0,21.26
1,6,1981,23.91,12.51,0,22.86
2,6,1981,21.16,13.13,0,20.15
3,6,1981,20.38,12.39,0,17.78
4,6,1981,20.69,12,0,18.21
5,6,1981,20.19,13.12,1.51,17.15
6,6,1981,20.32,13.22,2.1,18.12
7,6,1981,20.51,12.64,0,16.82
8,6,1981,20.38,12.17,0,18.21
9,6,1981,20.58,12.33,0,18.77
10,6,1981,19.79,11.54,0,16.74
11,6,1981,20.73,11.67,0,18.54
12,6,1981,20.35,11.83,0,18.66
13,6,1981,19.65,11.87,0,17.45
14,6,1981,19.89,11.61,0,18.27
15,6,1981,20.45,11.37,0,19.13
16,6,1981,20.8,12.04,0,19.39
17,6,1981,20.25,12.29,8.35,16.63
18,6,1981,21.19,11.55,0,19.36
19,6,1981,21.63,12.74,0,20.44
20,6,1981,20.49,12.83,0,17.83
21,6,1981,19.32,12.74,5.04,14.65
22,6,1981,20.49,12.37,4.76,18.76
23,6,1981,20.92,11.66,6.23,18.66
24,6,1981,21.42,11.42,8.31,19.57
25,6,1981,20.35,12.82,6.51,15.67
26,6,1981,19.85,11.95,7.45,17.17
27,6,1981,20.24,11.63,5.34,18.77
28,6,1981,19.18,12.41,0,15.33
29,6,1981,20,11.93,0,17.65
30,6,1981,19.54,11.57,7.55,16.52
1,7,1981,19.92,12.13,10.7,16.63
2,7,1981,19.49,12.62,5.44,16.99
3,7,1981,18.97,12.33,0,16.87
4,7,1981,19.57,12.16,0,16.97
5,7,1981,19.41,11.48,0,17.31
6,7,1981,20.05,11.64,0,18.22
7,7,1981,19.67,11.85,0,17.59
8,7,1981,18.98,11.84,0,16.68
9,7,1981,19.69,11.03,17.69,18
10,7,1981,19.36,11.62,6.67,16.38
11,7,1981,18.25,12.19,6.33,15.02
12,7,1981,20.27,11.97,14.76,19.26
13,7,1981,19.75,11.57,9.02,17.83
