day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.2,9.63,0,20.3
2,1,1981,20.46,10.44,0,20.93
3,1,1981,20.58,10.71,0,20.27
4,1,1981,19.42,10.3,0,18.55
5,1,1981,20.19,10.2,0,18.61
6,1,1981,20,10.28,0,18.27
7,1,1981,20.14,10.07,0,18.97
8,1,1981,20.77,9.63,0,22.45
9,1,1981,20.46,8.82,0,22.38
10,1,1981,21.19,9.32,0,22
11,1,1981,21.23,10.08,0,21.8
12,1,1981,20.72,10.29,0,20.59
13,1,1981,21.01,10.18,0,20.68
14,1,1981,21.04,10.2,0,21.14
15,1,1981,20.99,10.27,0,20.24
16,1,1981,21.19,10.33,0,20.25
17,1,1981,21.31,11.23,0,18.92
18,1,1981,21.07,11.08,0,18.64
19,1,1981,20.23,10.57,0.33,18.78
20,1,1981,20.72,10.49,0,20
21,1,1981,20.27,11.01,0,19.38
22,1,1981,19.72,10.85,0,18.17
23,1,1981,20.46,10.97,0,19.62
24,1,1981,21.02,10.56,0,21.76
25,1,1981,21.97,9.73,0,23.06
26,1,1981,22.28,10.12,0,22.84
27,1,1981,21.07,10.03,0.29,21.15
28,1,1981,21.24,10.12,0,21.25
29,1,1981,19.73,10.57,0,18.63
30,1,1981,20.89,10.6,0,20.95
31,1,1981,21.68,10.1,0,23.07
1,2,1981,21.76,9.09,0,23.93
2,2,1981,21.82,9.55,0,23.36
3,2,1981,22.03,9.44,0,23.92
4,2,1981,22.36,9.7,0,23.62
5,2,1981,22.46,9.84,0,22.57
6,2,1981,23.12,10.4,0,23.41
7,2,1981,22.69,10.56,0,22.62
8,2,1981,22.89,10.93,0,22.1
9,2,1981,20.37,10.86,0,18.77
10,2,1981,18.8,10.27,0,20.58
11,2,1981,19.91,9.47,0,23.01
12,2,1981,20.64,9.3,0,23.99
13,2,1981,21.51,9.35,0,24.54
14,2,1981,22.04,8.51,0,24.75
15,2,1981,21.65,9.45,0,24.56
16,2,1981,22.08,9.84,0,24.99
17,2,1981,22.58,9.87,0,24.7
18,2,1981,22.99,9.97,0,24.26
19,2,1981,23.69,10.48,0,23.77
20,2,1981,23.86,11.16,0,23.74
21,2,1981,24.5,11.61,0,23.92
22,2,1981,25.03,11.1,0,24.5
23,2,1981,24.7,11.31,0,23.7
24,2,1981,24.12,12.17,0,22.68
25,2,1981,24.85,11.97,0,24.49
26,2,1981,24.94,11.56,0,24.24
27,2,1981,22.78,11.54,0,21.9
28,2,1981,22.86,12.73,0,22.61
1,3,1981,23.44,11.16,0,24.01
2,3,1981,23.26,11.17,0,24.84
3,3,1981,22.55,10.87,0,25.42
4,3,1981,23.65,10.64,0,25
5,3,1981,23.09,11.11,0,25.56
6,3,1981,22.87,11.05,0,26
7,3,1981,24.12,10.66,0,25.43
8,3,1981,24.05,11.31,0,24.42
9,3,1981,22.82,12.84,0,21.68
10,3,1981,22.96,12.02,0,23.36
11,3,1981,23.56,11.8,0,22.64
12,3,1981,23.73,12.47,0,22.56
13,3,1981,21.65,12.73,0,20.88
14,3,1981,22.99,11.99,0,23.55
15,3,1981,23.39,11.75,0,25.14
16,3,1981,23.55,11.59,0,26.6
17,3,1981,23.62,11.89,0,26.68
18,3,1981,23.91,11.91,0,25.42
19,3,1981,23.15,12.69,0,22.13
20,3,1981,21.95,12.83,0,21.74
21,3,1981,22.54,12.88,0,24.09
22,3,1981,21.72,12.58,0,23.38
23,3,1981,23.4,11.21,0,24.76
24,3,1981,24.36,12.25,0,26.74
25,3,1981,21.15,12.73,1.79,22.74
26,3,1981,20.66,12.13,9.48,19.38
27,3,1981,21.03,11.42,0,22.05
28,3,1981,21.26,11.26,0,22.95
29,3,1981,20.97,11.78,0,19.93
30,3,1981,20.93,11.36,0,19.46
31,3,1981,21.91,10.99,0,25.44
1,4,1981,22.48,11.44,0,25.86
2,4,1981,23.37,10.96,0,26.96
3,4,1981,23.68,11.07,0,25.09
4,4,1981,22.75,11.58,0,23.08
5,4,1981,23.47,11.62,0,23.33
6,4,1981,23.2,12.05,0,23.31
7,4,1981,22.13,11.92,0,21
8,4,1981,21.77,12.53,0,20.2
9,4,1981,23.08,11.64,0,24.04
10,4,1981,23.38,11.66,0,24.2
11,4,1981,24.26,11.32,0,27.04
12,4,1981,23.49,11.76,0,23.84
13,4,1981,23.49,11.8,0,23.65
14,4,1981,24.04,12.21,0,25.48
15,4,1981,24.83,12.15,0,25.89
16,4,1981,25.17,11.9,0,27.85
17,4,1981,25.27,12.23,0,27.59
18,4,1981,24.9,12.39,0,23.62
19,4,1981,24.27,12.6,0,23.68
20,4,1981,24.31,12.29,0,23.89
21,4,1981,23.39,12.44,0,21.72
22,4,1981,22.21,12.67,20.86,19.63
23,4,1981,21.75,12.13,0,23.34
24,4,1981,20.57,11.45,15.72,21.64
25,4,1981,22.52,11.2,0,24.04
26,4,1981,22.99,11.41,0,23.64
27,4,1981,24.07,11.88,0,26.74
28,4,1981,24.68,11.7,0,25.67
29,4,1981,24.88,11.8,0,26.52
30,4,1981,24.43,12.17,0,25.58
1,5,1981,24.13,12.96,0,26.02
2,5,1981,25.31,12.26,0,26.33
3,5,1981,24.61,12.42,0,23.6
4,5,1981,24.72,12.76,0,24.16
5,5,1981,24.86,12.73,0,25.28
6,5,1981,25.81,12.51,0,26.42
7,5,1981,24.27,12.71,2.54,23.37
8,5,1981,20.85,12.65,4.35,17.58
9,5,1981,23.69,12.51,0,22.81
10,5,1981,24.66,11.84,0,24.35
11,5,1981,25.03,12.25,0,25.36
12,5,1981,22.69,12.82,6.72,20.37
13,5,1981,21.57,12.4,22.33,20.5
14,5,1981,22.03,12.52,6.77,20.92
15,5,1981,22.44,12.29,0,21.5
16,5,1981,21.77,12.09,0,21.93
17,5,1981,21.89,12.09,0,20.61
18,5,1981,21.4,12.33,0,19.63
19,5,1981,22.95,10.81,0,22.86
20,5,1981,22.61,12.24,9.86,22.61
21,5,1981,20.94,11.86,2.82,19.27
22,5,1981,21.32,12.55,0,21.43
23,5,1981,22.06,12.06,2.14,22.71
24,5,1981,22.39,11.88,0,22.1
25,5,1981,22.92,12.33,3.97,20.98
26,5,1981,22.78,12.48,0.81,22.44
27,5,1981,24.23,12.36,0,24.73
28,5,1981,24.35,12.91,0,24.31
29,5,1981,23.55,13.06,0,20.65
30,5,1981,23.13,12.72,0,19.16
31,5,1981,23.88,12.66,0,20.91
1,6,1981,24.93,13,0,23.04
2,6,1981,24.22,12.64,0,22.77
3,6,1981,21.44,12.96,0,19.47
4,6,1981,23.06,12.03,0,22.33
5,6,1981,21.77,12.23,0,20.53
6,6,1981,21.43,12.32,0,18.56
7,6,1981,21.64,12.44,0,19.24
8,6,1981,22.9,12.25,0,20.6
9,6,1981,25.15,11.38,0,24.69
10,6,1981,23.44,13.4,0.94,21.67
11,6,1981,22.32,12.56,0,20.26
12,6,1981,22.89,12.77,0,21.65
13,6,1981,22.02,12.36,6.84,20.56
14,6,1981,21.01,11.7,0,20.97
15,6,1981,20.57,12.19,11.7,20.76
16,6,1981,20.67,11.71,0,19.63
17,6,1981,21.27,11.89,0,19.57
18,6,1981,22.48,11.67,0.16,21.43
19,6,1981,21.77,12.31,0,19.17
20,6,1981,20.65,11.88,17.15,19.33
21,6,1981,19.77,12.22,9.11,18.42
22,6,1981,19.42,11.84,10.94,18.58
23,6,1981,20.69,10.92,13.22,20.66
24,6,1981,20.62,11.06,8.91,20.17
25,6,1981,20.4,11.39,0,21.24
26,6,1981,19.18,11.28,5.74,18.11
27,6,1981,20.08,10.9,3.78,19.38
28,6,1981,19.62,11.16,1.65,18.76
29,6,1981,20.16,11.47,4.89,19.59
30,6,1981,20.09,10.84,7.83,20.95
1,7,1981,20.02,11.46,9.21,19.6
2,7,1981,19.61,11.62,0,16.22
3,7,1981,18.92,11.66,7.92,16.63
4,7,1981,19.34,12.01,20.84,17.55
5,7,1981,18.84,11.98,14.25,20.05
6,7,1981,18.4,11.46,9.79,18.95
7,7,1981,17.46,10.89,8.2,16.96
8,7,1981,17.64,11.23,9.61,17.36
9,7,1981,18.31,11.38,8.72,18.25
10,7,1981,17.6,11.52,9.95,17.9
11,7,1981,17.1,10.96,12.87,17.11
12,7,1981,17.47,11.63,4.45,15.3
13,7,1981,17.28,11.57,2.19,16.87
14,7,1981,18.67,10.42,3.35,20.43
15,7,1981,18.47,10.98,3.44,20.11
16,7,1981,16.69,11.2,11.85,15.59
17,7,1981,17.26,11.82,10.03,15.1
18,7,1981,18.48,11.79,8.87,19.83
19,7,1981,18,11.49,7.98,17.37
20,7,1981,18.1,11.35,10.14,18.16
21,7,1981,17.98,11.4,11.51,18.4
22,7,1981,19.11,11.32,8.59,21.12
23,7,1981,18.9,11.27,12.04,19.81
24,7,1981,18.36,10.36,14.55,20.22
25,7,1981,16.86,10.71,24.42,18.04
26,7,1981,16.87,11.09,10.96,17.57
27,7,1981,17.88,10.74,7.3,20.03
28,7,1981,18.04,10.7,6.84,20.31
29,7,1981,17.68,10.83,5.4,19.64
30,7,1981,17.39,10.92,5.64,17.68
31,7,1981,18.55,11.55,6.36,19.35
1,8,1981,17.5,11.48,8.99,20.09
2,8,1981,18.4,10.57,9.17,21.96
3,8,1981,19.26,10.42,7.07,22.96
4,8,1981,19.17,10.73,7.49,23.42
5,8,1981,17.75,11.29,12.38,18.96
6,8,1981,18.13,10.61,9.68,18.09
7,8,1981,19.35,10.34,21.68,20.31
8,8,1981,17.53,11.71,9.51,18.42
9,8,1981,17.76,11.66,7.5,18.15
10,8,1981,18.33,10.28,6.38,19.26
11,8,1981,19.06,10.45,12.13,21.93
12,8,1981,18.72,10.78,20.14,21.34
13,8,1981,19.19,10.37,12.37,20.89
14,8,1981,18.16,10.69,4.7,19.91
15,8,1981,18.64,11.61,5.39,19.2
16,8,1981,18.74,11.02,11.51,20.89
17,8,1981,18.63,10.53,14.31,19.99
18,8,1981,17.52,10.73,9.71,17.76
19,8,1981,17.12,10.94,19.71,15.57
20,8,1981,17.45,10.76,17.66,17.35
21,8,1981,16.94,11.1,18.64,15.24
22,8,1981,17.36,11.28,17.42,17.7
23,8,1981,17.58,10.39,9.86,20.02
24,8,1981,18.58,10.03,9.92,19.51
25,8,1981,17.22,10.99,8.79,19.11
26,8,1981,18.7,9.97,5.2,21.62
27,8,1981,19.26,10.56,6.02,20.12
28,8,1981,19.13,10.26,4.25,20.89
29,8,1981,18.41,10.23,4.23,22.02
30,8,1981,18.61,9.99,6.41,22.51
31,8,1981,18.1,10.22,11.43,19.7
1,9,1981,18.36,11.19,15.04,19.24
2,9,1981,18.78,10.37,0.22,22.43
3,9,1981,18.15,10.59,0,22.73
4,9,1981,18.39,10.54,0.22,22.25
5,9,1981,17.87,10.81,12.17,18.86
6,9,1981,18.55,10.68,10.77,21.51
7,9,1981,18.09,10.4,0,20.17
8,9,1981,17.89,10.83,0,20.41
9,9,1981,18.43,10.46,0,21.66
10,9,1981,18.81,10.19,0,22.78
11,9,1981,18.68,10.35,2.52,22.25
12,9,1981,17.92,10.46,6.05,18.51
13,9,1981,18.08,10.42,15.01,20.03
14,9,1981,18.35,10.25,0,21.54
15,9,1981,18.79,10.63,0,22.28
16,9,1981,18.94,10.25,0.54,22.3
17,9,1981,18.63,10.78,4.67,21.11
18,9,1981,17.79,10.52,5.23,18.73
19,9,1981,17.6,10.63,6.08,18.55
20,9,1981,17.74,9.99,2.15,21.67
21,9,1981,19.68,9.99,0,23.3
22,9,1981,19.47,10.91,0,21.67
23,9,1981,19.38,10.51,10.55,21.24
24,9,1981,19.17,10.64,5.61,19.38
25,9,1981,18.39,10.81,5.74,17.46
26,9,1981,18.29,10.7,7.25,18.73
27,9,1981,19.46,9.26,0,23
28,9,1981,19.7,9.42,0,22.72
29,9,1981,19.22,10.24,0,21.2
30,9,1981,19.37,10.68,0,21.94
1,10,1981,20.07,9.94,0,23.44
2,10,1981,18.98,10.6,3.9,20.1
3,10,1981,19.74,10.28,0,21.39
4,10,1981,19.22,10.47,0,19.89
5,10,1981,18.72,10.82,12.73,18.72
6,10,1981,19.03,10.92,25.84,20.34
7,10,1981,19.89,10.11,5.75,22.08
8,10,1981,19.85,10.34,0.69,21.83
9,10,1981,18.49,10.21,0,19.31
10,10,1981,20,9.53,0,23.27
11,10,1981,20.19,11.02,0,24.19
12,10,1981,20.75,9.97,0,25.28
13,10,1981,20.77,10.16,0,25.2
14,10,1981,20.41,10.02,0,23.49
15,10,1981,20.49,10.09,0,23.54
16,10,1981,20.63,9.78,0,24.11
17,10,1981,21.17,9.6,0,24.95
18,10,1981,20.99,9.36,0,25.05
19,10,1981,20.87,9.2,0,25.77
20,10,1981,20.43,8.55,0,25.46
21,10,1981,19.92,8.89,0,23.35
22,10,1981,19.85,9.55,0,22.42
23,10,1981,19.77,9.47,0,21.98
24,10,1981,19.69,10.18,0,22.13
25,10,1981,20.41,9.05,0,22.73
26,10,1981,19.63,9.38,0,23.04
27,10,1981,20.09,8.58,0,25.19
28,10,1981,19.71,8.82,0,22.17
29,10,1981,19.95,9.16,0,22.68
30,10,1981,20.11,9.5,0,23.31
31,10,1981,19.94,10.19,0,22.56
1,11,1981,19.89,10.25,0,21.62
2,11,1981,19.31,9.81,9.8,21.49
3,11,1981,18.72,9.91,0,22.25
4,11,1981,19.45,10.13,0,21.65
5,11,1981,19.34,9.7,0,22.59
6,11,1981,20.79,9.81,0,23.2
7,11,1981,20.99,9.86,0,23.97
8,11,1981,20.36,9.34,0,23.33
9,11,1981,20.35,8.85,0,24.02
10,11,1981,20.19,9.2,0,23.06
11,11,1981,20.72,9.21,0,23.86
12,11,1981,20.3,8.98,0,23.75
13,11,1981,20.87,8.91,0,23.84
14,11,1981,20.78,8.18,0,24.3
15,11,1981,20.27,8.21,0,23.92
16,11,1981,19.97,8.31,0,23.47
17,11,1981,19.67,8.66,0,22.61
18,11,1981,19.82,8.71,0,22.73
19,11,1981,19.93,9.04,0,22.46
20,11,1981,19.69,9.48,0,20.94
21,11,1981,19.55,9.39,0,21.27
22,11,1981,19.03,9.6,2.32,20.61
23,11,1981,18.11,9.88,0,18
24,11,1981,18.55,10.38,0,18.37
25,11,1981,19.23,9.81,0.97,20.44
26,11,1981,19.62,9.79,0,20.6
27,11,1981,19.08,9.94,0,19.14
28,11,1981,19.54,10.03,0,19.88
29,11,1981,18.33,10.58,0,17.21
30,11,1981,20.12,9.04,0,22.82
1,12,1981,19.97,8.34,0,22.81
2,12,1981,20.25,8.15,0,22.83
3,12,1981,20.34,7.94,0,22.84
4,12,1981,20.57,8.38,0,22.65
5,12,1981,20.6,8.74,0,22.67
6,12,1981,20.68,8.55,0,22.56
7,12,1981,20.97,8.28,0,22.47
8,12,1981,20.72,8.24,0,22.4
9,12,1981,20.58,8.21,0,22.42
10,12,1981,20.33,8.31,0,22.43
