day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.91,11.96,0,19.39
2,1,1981,25.47,12.73,0,19.57
3,1,1981,25.68,12.57,0,20.52
4,1,1981,25.69,12.84,0,19.31
5,1,1981,26.36,12.54,0,20.08
6,1,1981,25.74,13.04,0,19.47
7,1,1981,25.79,12.74,0,20.74
8,1,1981,26.3,12.4,0,22.98
9,1,1981,25.98,11.28,0,22.89
10,1,1981,26.26,11.81,0,21.88
11,1,1981,26.17,11.59,0,20.64
12,1,1981,27.09,12.39,0,21.79
13,1,1981,25.95,12.14,0,19.46
14,1,1981,26.02,13.15,0,20.46
15,1,1981,26.81,13.4,0,21.55
16,1,1981,26.02,13.21,0,20.64
17,1,1981,27.03,13.4,0,20.11
18,1,1981,26.72,13.31,0,20.55
19,1,1981,25.97,13.12,0.56,20.33
20,1,1981,26.69,13.17,0.56,21.03
21,1,1981,25.76,12.89,0,19.9
22,1,1981,25.28,13.51,0,19.51
23,1,1981,25.78,13.38,0,19.29
24,1,1981,26.63,13.05,0,22.28
25,1,1981,27.11,12.67,0,23.05
26,1,1981,27.3,12.25,0,22.59
27,1,1981,26.63,13.04,0,22.11
28,1,1981,27.03,12.7,0,22.02
29,1,1981,25.38,13.49,0,18.57
30,1,1981,26.52,13.5,0,21.79
31,1,1981,26.87,12.49,0,23.75
1,2,1981,27,11.09,0,24.56
2,2,1981,27.1,11.52,0,24.29
3,2,1981,27.41,11.88,0,24.42
4,2,1981,27.68,12.09,0,24.07
5,2,1981,27.17,12.31,0,21.44
6,2,1981,28.34,12.77,0,23.22
7,2,1981,27.09,12.6,0,22.02
8,2,1981,27.08,13.24,0,21.62
9,2,1981,25.66,14.08,4.49,20.04
10,2,1981,25.43,13.37,0.14,20.72
11,2,1981,26.35,13.19,0,23.6
12,2,1981,26.26,11.36,0,24.59
13,2,1981,26.68,11.23,0,24.8
14,2,1981,27.52,10.45,0,25.02
15,2,1981,26.56,10.98,0,25
16,2,1981,26.73,11.43,0,25.19
17,2,1981,27.38,10.88,0,25.08
18,2,1981,28.03,11.66,0,23.97
19,2,1981,28.53,12.84,0,23.74
20,2,1981,28.51,14.28,0,23.31
21,2,1981,29.75,14.21,0,24.63
22,2,1981,29.97,14.93,0,25.05
23,2,1981,29.5,14.4,0,24.32
24,2,1981,29.48,14.44,0,23.66
25,2,1981,29.96,14.58,0,24.16
26,2,1981,29.76,15.14,0,24.51
27,2,1981,27.73,14.7,0,21.91
28,2,1981,28.2,16.37,0,20.31
1,3,1981,28.44,14.66,0,23.28
2,3,1981,28.36,14.58,0,24.53
3,3,1981,27.76,13.45,0,25.21
4,3,1981,28.28,12.92,0,25.55
5,3,1981,27.91,13.43,0,25.84
6,3,1981,27.71,12.77,0,26.21
7,3,1981,29.32,12.89,0,26.04
8,3,1981,28.36,14.35,0,22.71
9,3,1981,27.72,16.86,0,21.89
10,3,1981,27.91,16.44,0,21.56
11,3,1981,28.49,15.31,0,21.95
12,3,1981,27.8,16.37,0,22.13
13,3,1981,26.21,17.09,2.66,19.79
14,3,1981,27.21,15.37,0,21.57
15,3,1981,28.06,17.04,0,26.07
16,3,1981,27.94,14.92,0,26.72
17,3,1981,28.13,13.02,0,26.72
18,3,1981,28.54,13.48,0,26.48
19,3,1981,28.12,15.67,0,23.88
20,3,1981,26.76,16.69,0,20.53
21,3,1981,26.97,15.38,0,22.49
22,3,1981,27.1,15.24,0,22.61
23,3,1981,27.91,14.58,0,23.95
24,3,1981,28.6,14.42,0,24.04
25,3,1981,25.96,16.62,0,21.52
26,3,1981,25.08,16.02,4.02,18.68
27,3,1981,25.53,15.49,0,20.99
28,3,1981,25.66,14.94,0,20.45
29,3,1981,24.95,16.25,0,18.86
30,3,1981,25.68,14.84,0,19.6
31,3,1981,26.65,14.61,0,23.18
1,4,1981,27.41,14.1,0,27.18
2,4,1981,28.06,13.02,0,27.42
3,4,1981,28.69,13.17,0,27.17
4,4,1981,28.49,15.22,0,22.8
5,4,1981,27.01,15.22,0,20.05
6,4,1981,28.47,16.32,0,22.55
7,4,1981,28.31,15.54,0,22.71
8,4,1981,28.39,15.76,0,23.22
9,4,1981,28.57,15.86,0,23.58
10,4,1981,28.67,15.6,0,23.19
11,4,1981,28.72,15.19,0,23.95
12,4,1981,26.45,15.86,0,20.84
13,4,1981,28.56,15.06,0,22.5
14,4,1981,29.56,15.7,0,26.16
15,4,1981,29.55,15.48,0,26.66
16,4,1981,29.4,15.33,0,25.76
17,4,1981,29.75,16.06,0,24.5
18,4,1981,29.48,16.14,0,24.07
19,4,1981,29.03,16.01,0,24.29
20,4,1981,28.74,16.17,0,24.39
21,4,1981,28.01,15.89,2.69,23.46
22,4,1981,26.08,15.96,0.79,20.4
23,4,1981,26.41,15.51,3.63,23.28
24,4,1981,25.36,15.02,2.61,22.67
25,4,1981,26.54,14.55,5.59,24.85
26,4,1981,27.39,14.37,0,25.23
27,4,1981,28.27,14.66,0,26.93
