day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,17.14,6.77,0,21.78
2,1,1981,17.35,6.78,0,20.78
3,1,1981,18.18,6.62,0,22.48
4,1,1981,18.25,6.45,3.37,22.12
5,1,1981,18.85,6.78,3.37,22.39
6,1,1981,17.53,6.79,0,20.84
7,1,1981,18.49,6.41,0,24.36
8,1,1981,18.55,6.27,0,24.85
9,1,1981,18.84,6.45,0,24.84
10,1,1981,18.48,6.66,0,23.95
11,1,1981,18.18,6.3,0,23.94
12,1,1981,17.92,6.83,0,21.55
13,1,1981,18.19,6.61,0,23.59
14,1,1981,17.7,6.62,0,23.09
15,1,1981,17.96,6.54,0,22.89
16,1,1981,18.29,6.67,0,24.78
17,1,1981,18.45,6.1,0,24.72
18,1,1981,19.09,6.46,0,24.73
19,1,1981,19.4,6.39,0,25.13
20,1,1981,19.79,6.26,0,25.36
21,1,1981,18.64,6.78,0,24.74
22,1,1981,18.14,7.05,0,22.2
23,1,1981,18.89,6.79,0,24.53
24,1,1981,20.1,6.79,0,24.92
25,1,1981,20.29,7.54,0,25.41
26,1,1981,20.22,7.31,0,25.82
27,1,1981,20.17,6.77,0,25.96
28,1,1981,19.95,7.07,0,25.87
29,1,1981,19.14,6.86,0,25.27
30,1,1981,17.85,6.36,0,24.67
31,1,1981,18.9,5.1,0,26.32
1,2,1981,19.9,6.18,0,26.24
2,2,1981,19.49,6.82,0,26.09
3,2,1981,19.95,7.03,0,26.16
4,2,1981,20.17,6.58,0,26.22
5,2,1981,20.16,7,0,25.82
6,2,1981,20.41,7.12,0,26.25
7,2,1981,19.5,6.29,0,26.3
8,2,1981,19.18,6.51,0,26
9,2,1981,18.23,7.08,0,23.53
10,2,1981,18.12,8.64,2.27,20.86
11,2,1981,16.88,10.01,15.9,18.55
12,2,1981,17.27,8.95,6.54,19.87
13,2,1981,16.83,8.66,1.6,17.35
14,2,1981,18.31,8.11,0.86,21.58
15,2,1981,17.81,8.15,0,23.33
16,2,1981,16.92,8.37,0,18.52
17,2,1981,17.28,8.83,0,20.59
18,2,1981,18.62,9.16,1.08,21.03
19,2,1981,19.15,7.77,0,22.98
20,2,1981,19.98,8.05,0,24.51
21,2,1981,20.72,8.2,0.41,25.67
22,2,1981,21.06,8.48,0,24.85
23,2,1981,21.47,8.32,0,26.53
24,2,1981,21.17,8.04,0,25.66
25,2,1981,21.95,8.11,0,25.99
26,2,1981,21.27,8.64,0,26.14
27,2,1981,19.4,7.67,0,23.37
28,2,1981,19.51,8.42,0,22.53
1,3,1981,20.05,8.72,0,23.66
2,3,1981,19.2,10.18,16.05,19.7
3,3,1981,17.2,9.88,45.18,15.9
4,3,1981,16.68,9.68,2.25,17.32
5,3,1981,16.29,9.57,1.98,15.86
6,3,1981,16.92,9.35,0,18.88
7,3,1981,17.89,8.65,1.58,21.54
8,3,1981,18.25,7.29,0,25.63
9,3,1981,18.15,7.18,5.47,24.88
10,3,1981,18.67,7.89,0,23.22
11,3,1981,18.46,8.83,1.74,21.69
12,3,1981,17.84,8.66,0,21.48
13,3,1981,17.12,8.83,11.15,20.15
14,3,1981,17.36,9.5,0,20.01
15,3,1981,16.62,9.58,1.51,18.54
16,3,1981,16.86,10.02,4.49,16.9
17,3,1981,17.23,9.01,0.71,19.95
18,3,1981,16.86,9.05,22.22,19.7
19,3,1981,16.7,9.17,9.8,18.66
20,3,1981,16.92,8.77,3.47,20.99
21,3,1981,16.65,9.14,49.54,21.32
22,3,1981,17.42,8.72,0,22.58
23,3,1981,17.93,8.98,0,19.27
24,3,1981,17.03,9.18,0,19.75
25,3,1981,17.72,10.26,2.03,19.6
26,3,1981,16.81,9.11,24.96,19.94
27,3,1981,16.28,10.09,0,18.12
28,3,1981,17.11,9.16,0,18.44
29,3,1981,16.13,10.02,0,15.18
30,3,1981,17.92,9.11,2.91,20.61
31,3,1981,17.37,9.76,4.4,19.42
1,4,1981,17.25,8.67,13.05,18.23
2,4,1981,17.15,9.81,0,17.56
3,4,1981,17.25,9.53,0,21.1
4,4,1981,17.94,7.6,3.65,22.6
5,4,1981,18.17,9.07,0,19.97
6,4,1981,17.5,9.19,0,22.23
7,4,1981,18.01,7.94,12.1,23.12
8,4,1981,17.99,8.48,0,23.42
9,4,1981,18.3,8.05,0,21.9
10,4,1981,17.82,9.78,0,20.25
11,4,1981,17.71,9.33,0,19.22
12,4,1981,17.61,8.89,0,19.5
13,4,1981,18.45,9.06,0,21.01
14,4,1981,17.62,8.55,1.76,20.94
15,4,1981,18.28,9.77,0,20.29
16,4,1981,18.34,9.52,0,22.57
17,4,1981,18.34,8.84,0,21.1
18,4,1981,17.67,9.84,0,20.3
19,4,1981,17.03,8.84,1.94,19.04
20,4,1981,17.03,10.24,18.82,17.77
21,4,1981,16.28,9.73,0,15.84
22,4,1981,16.08,10.03,0,16.43
23,4,1981,16.49,9.19,0,17.04
24,4,1981,16.17,8.76,0,15.69
25,4,1981,16.62,9.5,35.04,17.23
26,4,1981,17.14,9.64,4.73,18.74
27,4,1981,17.33,9.14,4.65,18.47
28,4,1981,19.34,8.73,0,22.95
29,4,1981,19.28,8.4,0,24.98
30,4,1981,19.1,7.41,0,24.82
1,5,1981,18.66,7.85,0,22.72
2,5,1981,18.82,9.13,0,21.97
3,5,1981,18.85,8.46,1.21,22.03
4,5,1981,18.79,8.88,0,21.01
5,5,1981,18.93,9.25,11.6,20.72
6,5,1981,19.48,9.04,4.49,21.92
7,5,1981,19.62,8.78,0,21.45
8,5,1981,18.33,9.07,0,21.03
9,5,1981,18.67,8.89,1.82,20.15
10,5,1981,17.69,9.09,0,19.31
11,5,1981,18.21,9.27,0,17.7
12,5,1981,18.1,9.68,0,19.22
13,5,1981,18.92,8.85,0,21.57
14,5,1981,19.04,8.14,0,22.5
15,5,1981,18.9,7.93,0,22.81
16,5,1981,17.58,8.85,0,20.6
17,5,1981,18.09,8.52,0,22.2
18,5,1981,17.65,8.74,0.44,20.53
19,5,1981,19.17,8.56,0,20.3
20,5,1981,19.71,8.84,4.05,21.94
21,5,1981,18.03,8.8,0,20.26
22,5,1981,17.63,8.9,0,20.25
23,5,1981,17.74,8.45,0,19.4
24,5,1981,17.7,8.97,0.16,19.84
25,5,1981,18.52,8.41,0,19.56
26,5,1981,18.13,8.41,0.6,20.21
27,5,1981,18.6,8.29,0,20.13
28,5,1981,17.36,7.79,0,21.07
29,5,1981,17.71,8.84,0,19.8
30,5,1981,18.49,8.78,0,18.69
31,5,1981,19.46,8.76,0,19.62
1,6,1981,20.64,8.42,0,21.02
2,6,1981,18.22,8.57,0,17.94
3,6,1981,17.31,8.85,0,18.47
4,6,1981,16.95,9.32,0,17.99
5,6,1981,17.69,9.23,0,19.21
6,6,1981,17.75,8.97,0,18.65
7,6,1981,17.24,8.81,4.22,17.53
8,6,1981,18.08,8.82,0,16.96
9,6,1981,16.92,8.51,0,16.56
10,6,1981,17.77,7.8,0,18.94
11,6,1981,17.41,8,0,18.88
12,6,1981,17.57,8.21,0,18.36
13,6,1981,16.52,8.75,0,18.03
14,6,1981,16.16,8.48,0,17.76
15,6,1981,17.14,7.78,0,19.52
16,6,1981,17.23,8.78,0,18.28
17,6,1981,16.22,9.12,0,17.04
18,6,1981,18.17,8.16,0,19.38
19,6,1981,17.96,8.08,0,19.28
20,6,1981,17.69,8.74,0,18.61
21,6,1981,16.66,9.55,0,17.56
22,6,1981,16.77,9.34,0,17.58
23,6,1981,17.41,8.96,0,17.91
24,6,1981,17.44,8.27,7.81,18.2
25,6,1981,16.64,9.49,25.94,17.69
26,6,1981,15.99,9.09,0,16.68
27,6,1981,16.46,8.46,0,17.98
28,6,1981,17.04,8.4,0,16.23
29,6,1981,16.24,9.03,0,16.72
30,6,1981,15.9,8.71,0.71,16.01
1,7,1981,16.72,8.34,0,17.14
2,7,1981,15.95,9.47,0.83,15.68
3,7,1981,14.68,9.6,0.9,12.88
4,7,1981,15.09,8.77,6.21,13.83
5,7,1981,15.55,9.25,0,15.88
6,7,1981,15.83,8.48,0,17.15
7,7,1981,16.31,8.94,0,17.13
8,7,1981,15.53,9.13,0,15.48
9,7,1981,15.96,8.86,0.94,15.89
10,7,1981,15.78,9.48,8.14,13.79
11,7,1981,14.56,9.15,13.11,11.98
12,7,1981,15.43,8.53,13.43,15.54
13,7,1981,15.26,8.68,9.12,14.86
14,7,1981,15.78,8.15,6.26,16.63
15,7,1981,15.78,8.53,2.07,16.52
16,7,1981,14.86,8.82,3.39,13.8
17,7,1981,15.65,9.09,1.12,13.16
18,7,1981,14.86,9.11,5.27,13.71
19,7,1981,15.45,9.25,6.87,14.17
20,7,1981,15.33,9.19,7,12.29
21,7,1981,16.1,8.88,0,16.63
22,7,1981,15.55,8.9,0,15.67
23,7,1981,15.93,8.42,17.47,16.78
24,7,1981,15.16,8.58,14.33,15.58
25,7,1981,15.28,9.28,6.85,15.15
26,7,1981,14.95,9.2,10.86,12.74
27,7,1981,15.17,8.87,11.94,16.8
28,7,1981,15.36,8.8,7.21,16.39
29,7,1981,15.83,9.13,1.39,16.9
30,7,1981,14.7,9.57,16.86,11.42
31,7,1981,15.75,9.09,6.44,17.37
1,8,1981,16.53,9.34,6.09,18.57
2,8,1981,16.18,9.53,12.88,17.64
3,8,1981,16.17,9.15,9.66,15.75
4,8,1981,15.89,9.19,1.03,16.24
5,8,1981,16.12,9.55,3.2,16.4
6,8,1981,15.8,9.94,20.13,13.13
7,8,1981,15.73,9.86,0,12.18
8,8,1981,15.16,9.55,0,14.86
9,8,1981,15.95,9.13,0.73,17.76
10,8,1981,16.48,9.21,1.85,16.82
11,8,1981,16.27,9.69,4.9,16.93
12,8,1981,15.39,9.67,14.83,16.01
13,8,1981,15.19,9.67,11.43,12.1
14,8,1981,17.22,8.65,4.42,18.67
15,8,1981,16.61,8.76,5.7,17.48
16,8,1981,15.53,7.62,7.36,18.4
17,8,1981,15.08,8.22,0,16.49
18,8,1981,15.84,8.3,8.17,18.14
19,8,1981,16.28,8.78,0,18.99
20,8,1981,15.4,9.2,3.05,18.51
21,8,1981,14.89,8.29,11.89,17.11
22,8,1981,14.52,8.23,9.01,16.98
23,8,1981,14.94,8.28,1.73,16.85
24,8,1981,15.16,8.07,0,17.68
25,8,1981,15.33,8.42,0,18.54
26,8,1981,15.53,7.66,9.15,18.53
27,8,1981,15.68,8.25,0,17.27
28,8,1981,15.73,8.28,2.4,18.64
29,8,1981,15.04,7.56,0.86,17.01
30,8,1981,16.02,7.71,12.43,18.32
31,8,1981,15.4,7.33,11.77,17.02
1,9,1981,15.68,7.99,13.31,17.17
2,9,1981,15.62,7.61,0,19.22
3,9,1981,15.84,7.33,0,19.1
4,9,1981,15.47,8.21,1.89,18.32
5,9,1981,14.43,8.49,10,17.06
6,9,1981,14.84,8.01,16.36,17.89
7,9,1981,15.35,8.18,2.01,17.73
8,9,1981,14.41,7.86,0,17.04
9,9,1981,15.2,7.85,0,18
10,9,1981,15.48,7.82,13.72,17.93
11,9,1981,15.93,7.65,14.28,19.41
12,9,1981,14.51,8.25,9.22,15.99
13,9,1981,15.49,7.55,0.15,18.6
14,9,1981,15.14,8.14,9.11,17.11
15,9,1981,15.39,8.57,2.02,16.43
16,9,1981,15.86,8.15,11.9,17.52
17,9,1981,15.59,8.98,1.78,18.48
18,9,1981,14.9,8.42,8.38,17
19,9,1981,15.5,8.39,22.74,17.96
20,9,1981,16.12,8.18,8.92,17.16
21,9,1981,17.68,8.03,0.79,20.53
22,9,1981,16.25,8.31,10.65,18.27
23,9,1981,16.54,8.13,0,18.98
24,9,1981,15.66,8.73,0,17.84
25,9,1981,15.33,9.06,13.92,14.52
26,9,1981,15.77,8.32,14.16,18.73
27,9,1981,17.04,8.42,0.28,19.9
28,9,1981,18.16,7.71,0,21.31
29,9,1981,16.92,7.7,0,19.16
30,9,1981,16.27,7.95,0,19.64
1,10,1981,17.27,8,1.98,20.16
2,10,1981,16.64,8.75,11.95,18.67
3,10,1981,16.59,8.11,13.51,20.26
4,10,1981,16.75,8.28,4.01,20.01
5,10,1981,16.08,8.08,0,20.48
6,10,1981,15.88,7.94,3.4,18.19
7,10,1981,16.01,7.57,1.79,18.61
8,10,1981,16.89,7.42,3.14,20.27
9,10,1981,16.49,8.29,2.4,19.47
10,10,1981,16.63,7.9,0,20.98
11,10,1981,16.89,6.29,0,22.72
12,10,1981,16.85,6.28,0,22.11
13,10,1981,16.8,7.03,0,21.46
14,10,1981,17.1,7.39,0,21.53
15,10,1981,16.79,7.33,0,20.97
16,10,1981,17.19,7.39,0,21.71
17,10,1981,17.26,7.93,0,20.94
18,10,1981,16.93,7.4,0,21.74
19,10,1981,17.98,6.91,0,24.79
20,10,1981,15.92,7.33,0,18.07
21,10,1981,17.05,7.16,0,20.69
22,10,1981,16.52,7.84,0,20.95
23,10,1981,16.53,7.56,0,20.81
24,10,1981,17.19,6.42,0,22.25
25,10,1981,17.17,7.23,0,21
26,10,1981,17.41,6.89,0,24.29
27,10,1981,17.59,6.5,0,24.17
28,10,1981,16.88,6.98,0,20.23
29,10,1981,18.19,6.52,0,24.85
30,10,1981,18.39,5.97,0,24.27
31,10,1981,17.71,6.01,0,23.74
1,11,1981,17.92,6.63,0,22.22
2,11,1981,16.98,7.42,0,20.41
3,11,1981,16.91,7.2,11.38,20.35
4,11,1981,17.38,7.01,0,21.31
5,11,1981,17.35,8.15,0,19.96
6,11,1981,17.7,7.81,0,20.29
7,11,1981,17.96,7.87,0,20.46
8,11,1981,17.65,7.19,0,24.31
9,11,1981,17.82,6.52,0,24.92
10,11,1981,17.85,6.33,0,24.36
11,11,1981,19.08,5.66,0,24.71
12,11,1981,19.07,6.48,0,24.87
13,11,1981,19.14,7.05,0,23.48
14,11,1981,18.67,6.83,0,24.79
15,11,1981,18.49,6.51,0,24.81
16,11,1981,18.32,6.33,0,24.52
17,11,1981,18.04,6.1,0,23.86
18,11,1981,17.9,6.09,0,23.09
19,11,1981,17.45,6.84,0,22.34
20,11,1981,17.72,6.43,0,21.73
21,11,1981,17.1,6.66,0,20.38
22,11,1981,16.93,7.41,0,19.84
23,11,1981,16.95,7.59,0,20.37
24,11,1981,16.7,7.36,0,18.47
25,11,1981,17.14,7.29,0,20.11
26,11,1981,18.28,6.88,0,22.73
27,11,1981,18.86,5.99,0,23.93
28,11,1981,17.77,5.75,0,23.85
29,11,1981,18.21,5.43,0,24.51
30,11,1981,17.68,5.82,0,24.49
1,12,1981,18.07,6.07,0,23.86
2,12,1981,18.75,8.15,0,22.62
3,12,1981,18.62,6.23,0,23.76
4,12,1981,18.36,5.57,0,24.15
5,12,1981,18.61,5.64,0,23.88
6,12,1981,19.04,6.96,0,20.18
7,12,1981,17.91,7.8,0,18.43
8,12,1981,18.71,7.43,0,22.45
