day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.9,10.11,0,23
2,1,1981,23.04,10.14,4.38,24.3
3,1,1981,23.41,9.85,0,24.39
4,1,1981,22.92,9.19,1.76,24.68
5,1,1981,23.21,8.47,0,24.75
6,1,1981,21.95,8.65,0,23.22
7,1,1981,22.59,7.43,0,25.35
8,1,1981,22.38,7.95,0,25.65
9,1,1981,22.25,7.42,0,25.74
10,1,1981,22.9,7.93,0,25.52
11,1,1981,23.76,8.56,0,25.66
12,1,1981,22.73,9.76,0,23.9
13,1,1981,23.79,8.46,0,25.65
14,1,1981,23.54,8.9,0,24.12
15,1,1981,23.21,9.11,0,24.75
16,1,1981,23.47,8.09,0,25.99
17,1,1981,24.01,7.73,0,26.12
18,1,1981,24.16,8.24,0,26.04
19,1,1981,24.17,8.24,0,26.3
20,1,1981,24.07,8.44,0,26.31
21,1,1981,24.72,9.28,0,25.81
22,1,1981,24.21,10.14,0,24.62
23,1,1981,24.1,9.18,0,26.05
24,1,1981,23.61,8.25,0,26.1
25,1,1981,24.03,8.4,0,26.34
26,1,1981,23.91,7.55,0,26.76
27,1,1981,23.95,6.91,0,27.07
28,1,1981,24.32,7.41,0,27.07
29,1,1981,23.91,8.09,0,26.75
30,1,1981,24.03,8.32,0,26.63
31,1,1981,23.61,7.66,0,27.22
1,2,1981,22.89,7.2,0,27.19
2,2,1981,22.53,7.21,0,27.02
3,2,1981,22.9,7.88,0,27.21
4,2,1981,23.14,7.27,0,27.04
5,2,1981,22.78,7.72,0,26.82
6,2,1981,23.35,7.39,0,27.21
7,2,1981,24.2,7.46,0,27.25
8,2,1981,24.83,7.96,0,27.26
9,2,1981,25.51,9.95,0,25.55
10,2,1981,24.72,11.93,0,22.57
11,2,1981,23.94,13.63,0,21.35
12,2,1981,23.81,11.38,15.72,21.57
13,2,1981,21.51,11.87,9.87,18.02
14,2,1981,22.23,11.53,6.53,21.15
15,2,1981,23.72,10.23,0,23.41
16,2,1981,22.03,11.45,0,18.85
17,2,1981,22.61,10.96,4.45,20.58
18,2,1981,22.61,11.74,4.35,21.98
19,2,1981,22.9,10.32,0,25.24
20,2,1981,23.2,8.67,0,26.18
21,2,1981,23.38,8.97,0,27.04
22,2,1981,23.86,9.07,0,26.68
23,2,1981,24.7,8.84,0,27.64
24,2,1981,25.17,8.72,0,27.39
25,2,1981,24.57,8.93,0.49,27.35
26,2,1981,24.46,8.95,0,27.42
27,2,1981,24.73,8.76,0,26.32
28,2,1981,24.18,11.41,0,24.38
1,3,1981,24.02,10.6,0,24.21
2,3,1981,23.44,12.04,17.03,20.9
3,3,1981,21.53,12,1.29,17.66
4,3,1981,22.08,12.81,11.77,18.47
5,3,1981,21.16,10.49,5.42,20.12
6,3,1981,21.44,12.12,0.94,18.71
7,3,1981,21.04,11.21,0,21.3
8,3,1981,22.57,8.67,0,26.13
9,3,1981,22.53,9.01,0,25.37
10,3,1981,22.65,9.53,3.84,24.98
11,3,1981,21.31,11.26,8.88,21.68
12,3,1981,22.08,10.26,2.11,23.62
13,3,1981,22.43,10.4,5.65,22.06
14,3,1981,22.33,11.74,0,21.63
15,3,1981,21.91,12.56,1.11,20.01
16,3,1981,21.33,12.66,0,17.44
17,3,1981,22.82,11.39,5.65,20.43
18,3,1981,21.9,10.62,3.96,19.8
19,3,1981,21.59,11.39,18.1,18.12
20,3,1981,21.1,11.35,20.14,20.36
21,3,1981,21.93,11.26,30.95,21.35
22,3,1981,21.26,11.37,6.08,21.61
23,3,1981,20.66,10.46,8.18,19.93
24,3,1981,21.46,11.3,5.22,21.8
25,3,1981,21.46,12.57,13.39,17.83
26,3,1981,21.46,11.7,0,20.53
27,3,1981,20.43,12.6,10.57,20.12
28,3,1981,23.11,11.04,9.66,20.81
29,3,1981,22.62,12.88,0,20.47
30,3,1981,21.15,11.95,27.18,21.64
31,3,1981,21.62,11.65,2.44,20.55
1,4,1981,21.29,11.27,0,18.58
2,4,1981,21.12,12.16,0,18.5
3,4,1981,22.19,11.14,0,25.74
4,4,1981,21.74,10.43,2.12,23.9
5,4,1981,21.24,12.42,0,21.09
6,4,1981,21.39,11.71,0,23.52
7,4,1981,22.27,9.76,0,26.56
8,4,1981,22.37,9.9,0,24.93
9,4,1981,22.31,10,0,23.35
10,4,1981,21.79,12.44,0,21.05
11,4,1981,21.35,11.41,0,20.73
12,4,1981,21.87,10.51,12.02,21.28
13,4,1981,21.16,11.19,0,22.12
14,4,1981,21.04,11.2,2.11,21.32
15,4,1981,22.15,11.89,0,21.71
16,4,1981,21.92,11.37,0,21.24
17,4,1981,21.45,10.33,0,22.56
18,4,1981,21.62,12.87,0,18.72
19,4,1981,21.07,11.94,0,19.18
20,4,1981,20.63,11.34,2.16,19.62
21,4,1981,19.48,12.41,0,16.74
22,4,1981,19.82,11.77,13,16.79
23,4,1981,20.57,11.78,22.95,18.13
24,4,1981,19.42,10.86,13.97,17.24
25,4,1981,19.75,11.53,4.65,18.25
26,4,1981,19.53,11.3,0,19.46
27,4,1981,19.78,10.34,7.93,19.92
28,4,1981,20.96,10.58,0,24.37
29,4,1981,21.64,9.59,0,26.74
30,4,1981,21.69,8.38,0,26.04
1,5,1981,21.18,8.89,0,24.65
2,5,1981,20.79,10.82,0,22.34
3,5,1981,21.16,10.72,12.82,24.03
4,5,1981,20.78,10.16,0,21.7
5,5,1981,20.75,10.7,0,23.19
6,5,1981,21.17,10.43,0,24.32
7,5,1981,22.12,10.25,0,23.83
8,5,1981,22.05,10.44,0,23.84
9,5,1981,21.79,10.63,6.27,23.71
10,5,1981,20.84,10.73,0,20.58
11,5,1981,21.09,10.04,2,22.13
12,5,1981,20.8,11.7,0,19.31
13,5,1981,21.76,10.45,0,23
14,5,1981,22.23,9.09,0,25.59
15,5,1981,22.31,9.68,9.01,24.33
16,5,1981,21.91,10.31,0,22.49
17,5,1981,22.51,10.02,0,24.44
18,5,1981,22.26,10.55,0,23.01
19,5,1981,22.31,10.72,0,23.23
20,5,1981,22.68,10.21,0,25.28
21,5,1981,22.7,10.05,0,24.16
22,5,1981,22.64,9.94,0,22.15
23,5,1981,21.99,10.26,0,20.5
24,5,1981,21.82,11.25,0,19.83
25,5,1981,20.84,10.15,0,20.74
26,5,1981,22.64,9.55,0,23.4
27,5,1981,22.38,9.43,0,23.69
28,5,1981,23.04,8.99,0,23.67
29,5,1981,22.7,9.75,3.84,21.53
30,5,1981,21.52,10.74,0,19.78
31,5,1981,21.61,10.71,0,21.61
1,6,1981,22.51,10.43,0,23.2
2,6,1981,22.63,10.29,0,22.18
3,6,1981,21.67,9.98,0,20.33
4,6,1981,22.28,11.13,0,19.58
5,6,1981,21.76,11.51,0,20.36
6,6,1981,23.14,10.31,0,21.94
7,6,1981,22.12,10.93,0,19.15
8,6,1981,21.76,12.06,0,20.1
9,6,1981,21.18,10.74,0,19.89
10,6,1981,21.93,10.21,0,21.25
11,6,1981,22.3,9.58,0,22.25
12,6,1981,22.37,10.64,0,21.08
13,6,1981,22.31,10.58,0,20.66
14,6,1981,21.59,10.2,0,20.45
15,6,1981,22.6,9.5,0,22.31
16,6,1981,22.77,10.37,0,20.88
17,6,1981,21.99,10.27,0.64,20.54
18,6,1981,22.62,10.05,0,22
19,6,1981,23.24,10.5,0,22.41
20,6,1981,23.53,10.53,0,21.37
21,6,1981,21.81,11.99,0,19.76
22,6,1981,23.23,11.74,0,21.65
23,6,1981,23.37,11.16,4.5,20.95
24,6,1981,23.47,10.79,0,21.37
25,6,1981,22.88,12.33,8.43,20.35
26,6,1981,21.91,12.3,1.38,19.78
27,6,1981,22.14,11.2,0,21.03
28,6,1981,21.95,10.67,0,20.15
29,6,1981,22.55,11.14,0,21.08
30,6,1981,21.13,10.46,17.16,18.91
1,7,1981,21.96,10.47,5.34,20.12
2,7,1981,22.67,11.71,7.01,19.42
3,7,1981,20.16,11.45,0,16.83
4,7,1981,19.94,10.76,0,17.33
5,7,1981,19.64,11.22,0,17.48
6,7,1981,20.48,10.46,0,19.92
7,7,1981,21.44,10.92,0,20.49
8,7,1981,21.07,11.49,0,19.78
