day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.99,9.8,0,22.65
2,1,1981,20.76,11.06,6.46,21.72
3,1,1981,21.77,10.32,0,23.39
4,1,1981,21.27,10.7,1.62,22.76
5,1,1981,21.68,11.28,0.7,22.84
6,1,1981,20.5,10.53,0,21.77
7,1,1981,20.78,10.49,0,23.9
8,1,1981,20.75,9.8,0,24.25
9,1,1981,21.17,10.08,0,24.16
10,1,1981,21.43,10.55,0,23.95
11,1,1981,21.85,10.88,0,24.02
12,1,1981,21.37,11.14,0,22.74
13,1,1981,21.34,10.48,0,23.57
14,1,1981,21.01,10.58,0,23.27
15,1,1981,20.96,10.32,0,23.09
16,1,1981,21.1,10.1,0,23.78
17,1,1981,21.91,11.21,0,24.24
18,1,1981,22.01,10.89,0,24.2
19,1,1981,22.02,10.89,0,24.43
20,1,1981,21.9,10.37,0,24.59
21,1,1981,21.95,11.17,0,23.96
22,1,1981,21.55,11.43,0,23.05
23,1,1981,21.61,11.09,0,22.34
24,1,1981,21.87,11.38,0,23.52
25,1,1981,22.45,11.17,0,24.57
26,1,1981,22.54,10.94,0,25.06
27,1,1981,22.48,10.63,0,25.11
28,1,1981,22.12,10.51,0,25.1
29,1,1981,21.51,9.75,0,24.89
30,1,1981,21.12,10.08,0,24.8
31,1,1981,21.28,10.02,0,25.46
1,2,1981,21.19,8.57,0,25.44
2,2,1981,21.68,9.07,0,25.33
3,2,1981,21.89,9.1,0,25.38
4,2,1981,22.11,9.35,0,25.3
5,2,1981,21.74,10,0,24.6
6,2,1981,22.46,10.49,0,25.3
7,2,1981,22,10.57,0,25.66
8,2,1981,22.44,11.06,0,25.46
9,2,1981,22.12,10.47,0,23.44
10,2,1981,21.89,12.51,1.83,21.7
11,2,1981,20.76,12.66,8.7,20.76
12,2,1981,20.87,12.31,7.74,20.63
13,2,1981,21.12,12.36,5.52,20.57
14,2,1981,21.21,11.64,0,21.79
15,2,1981,21.46,11.39,0,23.31
16,2,1981,20.56,11.98,0.21,20.01
17,2,1981,21.09,12.37,2.95,20.87
18,2,1981,21.41,12.69,1.76,21.71
19,2,1981,22.11,12.48,0,22.71
20,2,1981,22.47,12.43,0,23.52
21,2,1981,22.99,11.93,0,24.36
22,2,1981,23.08,11.87,0,24.32
23,2,1981,23.82,11.86,0,25.58
24,2,1981,23.75,11.72,1.37,25.13
25,2,1981,23.54,11.96,0,24.9
26,2,1981,22.79,11.59,0,24.86
27,2,1981,22.78,11.88,0,24.35
28,2,1981,22.94,12.87,0,24.05
1,3,1981,23.27,12.87,0,24.76
2,3,1981,22.86,12.78,24.5,21.88
3,3,1981,21.4,13.51,20.74,18.67
4,3,1981,20.09,13.74,5.14,19.64
5,3,1981,20.3,13.21,8.03,19.63
6,3,1981,20.68,13.5,0,20.95
7,3,1981,20.76,12.68,0,21.58
8,3,1981,21.13,11.71,0,23.97
9,3,1981,21.3,12.32,1.1,23.9
10,3,1981,21.63,13.01,5.01,23.44
11,3,1981,21.07,13.07,0,21.66
12,3,1981,20.37,12.84,4.23,21.43
13,3,1981,21.08,13.2,7.67,20.99
14,3,1981,20.81,13.38,0,20.64
15,3,1981,20.42,13.33,4.03,20.38
16,3,1981,20.09,13.78,4.11,17.58
17,3,1981,20.82,13.08,1.5,21.62
18,3,1981,20.84,12.94,12.56,21.23
19,3,1981,19.84,12.66,10.44,19.69
20,3,1981,20.57,12.7,8.21,22.94
21,3,1981,19.48,13.01,39.72,21.86
22,3,1981,20.58,12.64,0.67,22.22
23,3,1981,20.34,13.29,0,20.16
24,3,1981,20.91,13.69,0,20.66
25,3,1981,20.27,13.89,11.3,18.74
26,3,1981,19.78,13.34,13.31,19.46
27,3,1981,18.4,13.74,0,16.7
28,3,1981,18.77,13.25,0.57,17.54
29,3,1981,18.88,13.56,5.89,17.92
30,3,1981,20.19,13.57,13.41,20.23
31,3,1981,20.19,13.54,5.22,19.76
1,4,1981,19.93,13.46,18.83,19.18
2,4,1981,19.53,13.26,0,19.03
3,4,1981,19.98,13.21,0,21.36
4,4,1981,20.32,13.37,0,23.01
5,4,1981,20.14,12.99,0,20.14
6,4,1981,20.2,12.93,0,21.49
7,4,1981,20.71,12.66,12.48,22.75
8,4,1981,20.82,13.17,0,22.73
9,4,1981,21.25,13.61,0,23.28
10,4,1981,20.77,13.45,0,21.06
11,4,1981,20.3,14.07,0,20.03
12,4,1981,19.72,13.74,0,19.92
13,4,1981,20.52,13.66,0,21.52
14,4,1981,20.9,13.38,11.26,21.87
15,4,1981,21.43,13.75,0,22.43
16,4,1981,21.32,13.29,0,23.32
17,4,1981,21.2,14,0,22.14
18,4,1981,20.26,13.56,0,21.34
19,4,1981,19.79,12.91,0,20.33
20,4,1981,19.59,13.64,16.97,19.01
21,4,1981,19.69,13.51,0,18.65
