day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.43,13.43,0,21.87
2,1,1981,27.64,13.78,0,20.32
3,1,1981,29,14.98,0,21.98
4,1,1981,27.6,15.32,2.22,21.45
5,1,1981,27.87,14.59,2.22,22.2
6,1,1981,25.94,13.87,0,19.84
7,1,1981,26.84,13.14,0,23.99
8,1,1981,26.72,11.96,0,24.42
9,1,1981,27.09,12.43,0,24.33
10,1,1981,28.64,12.38,0,23.42
11,1,1981,29.12,13.69,0,23.41
12,1,1981,26.53,14.47,0,21.08
13,1,1981,27.08,13.13,0,23.21
14,1,1981,26.42,13,0,22.86
15,1,1981,26.61,13.32,0,22.63
16,1,1981,27.84,13.07,0,24.32
17,1,1981,29.26,13.18,0,24.29
18,1,1981,29.72,13.43,0,24.2
19,1,1981,28.79,13.67,0,24.33
20,1,1981,28.11,13.38,0,24.51
21,1,1981,29.75,13.71,0,24.28
22,1,1981,27.48,14.61,0,20.35
23,1,1981,29.23,14.7,0,24.02
24,1,1981,28.49,15.08,0,23.74
25,1,1981,29.72,14.43,0,24.91
26,1,1981,30.07,14.17,0,25.17
27,1,1981,29.2,14.2,0,25.25
28,1,1981,28.09,14.21,0,25.27
29,1,1981,26.58,13.18,0,24.57
30,1,1981,26.35,13,0,24.09
31,1,1981,26.55,11.97,0,25.88
1,2,1981,27.11,12.63,0,25.78
2,2,1981,26.52,13.24,0,25.6
3,2,1981,26.95,13.03,0,25.71
4,2,1981,27.86,12.27,0,25.59
5,2,1981,27.62,12.92,0,25.18
6,2,1981,28.93,13.09,0,25.74
7,2,1981,28.28,12.86,0,25.7
8,2,1981,29.35,13.5,0,25.32
9,2,1981,29.59,13.89,0,23.09
10,2,1981,28.48,15.47,0,20.81
11,2,1981,24.42,16.68,11.66,16.13
12,2,1981,24.71,16.25,8.95,17.8
13,2,1981,25.07,14.89,4.96,17.18
14,2,1981,26.08,15.27,0,19.13
15,2,1981,27.23,15.21,0,21.56
16,2,1981,26.45,14.62,0,18.92
17,2,1981,27.27,15.38,0,19.76
18,2,1981,26.99,15.46,0,21.21
19,2,1981,28.4,14.91,0,22.07
20,2,1981,28.78,14.87,0,23.97
21,2,1981,29.51,14.93,0.51,25.39
22,2,1981,29.58,15.2,0,25.01
23,2,1981,30.48,15.14,0,26.32
24,2,1981,31.69,15.39,0,25.67
25,2,1981,30.48,15.43,0,25.67
26,2,1981,30.22,15.27,0,26.13
27,2,1981,29.32,15.72,0,23.35
28,2,1981,30.01,16.56,0,22.47
1,3,1981,30.94,15.95,0,24.27
2,3,1981,29.43,17.49,8.13,20.73
3,3,1981,27.38,17.85,31.53,18.93
4,3,1981,25.83,16.51,0,17.98
5,3,1981,23.99,16.68,5.01,16.44
6,3,1981,25.65,16.39,3.73,20.39
7,3,1981,25.44,15.57,0,20.97
8,3,1981,27.55,14.34,0,24.89
9,3,1981,28.77,13.61,0,25.54
10,3,1981,28.16,15.1,0,22.96
11,3,1981,27.75,15.85,6.39,22.47
12,3,1981,29,15.69,0,22.7
13,3,1981,27.68,16.87,0,21.02
14,3,1981,26.52,16.74,0,20.8
15,3,1981,26.23,17.12,0,20.22
16,3,1981,25.62,17.5,2.24,18.78
17,3,1981,26.68,16.15,1.77,20.92
18,3,1981,25.94,15.71,10.06,19.88
19,3,1981,25.45,15.12,6.86,19.94
20,3,1981,25.44,15.72,4.38,21.15
21,3,1981,26.06,16.5,28.93,21.34
22,3,1981,26.91,15.45,0,22.7
23,3,1981,25.83,16.22,0,21.21
24,3,1981,26.4,16.2,0,21.9
25,3,1981,28.02,16.87,0,22.77
26,3,1981,26.99,16.56,0,21.77
27,3,1981,22.78,17.47,0,16.04
28,3,1981,23.24,16.35,0,17.86
29,3,1981,23.74,16.92,0,16.35
30,3,1981,24.35,16.57,9.59,22.09
31,3,1981,24.36,17.23,7.98,19.75
1,4,1981,23.37,16.26,0,18.52
2,4,1981,23.02,17.39,0.34,17.9
3,4,1981,25.89,16.5,0,22.66
4,4,1981,25.76,15.28,9.06,22.27
5,4,1981,24.66,16.74,0,20.07
6,4,1981,25.9,16.29,0,23.17
7,4,1981,26.63,15.7,0,23.52
8,4,1981,27.57,16.3,0,24.49
9,4,1981,27.67,16.14,0,23.2
10,4,1981,26.77,17.05,0,22.06
11,4,1981,26.63,16.79,0,21.66
12,4,1981,26.79,17.14,0,21.46
13,4,1981,26.8,17.11,0,21.11
14,4,1981,27.71,16.66,0.89,22.86
15,4,1981,28.19,17.47,0,21.99
16,4,1981,28.5,17.67,0,24.31
17,4,1981,27.09,17.17,0,22.15
18,4,1981,26.09,17.25,0,22.1
19,4,1981,26.79,16.53,4.23,21.72
20,4,1981,26.46,17.33,21.58,21.33
21,4,1981,24.86,17.25,0,19.42
22,4,1981,24.59,17.13,0,19.88
23,4,1981,24.41,16.64,0,19.31
