day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.03,15.52,0,18.01
2,1,1981,28.01,14.89,0.53,20.74
3,1,1981,28.43,15.04,2.03,20.61
4,1,1981,28.46,15.51,4.45,20.33
5,1,1981,29.64,15.23,0,22.01
6,1,1981,28.86,16.24,0,20.68
7,1,1981,29.07,14.95,0,22.51
8,1,1981,29.24,14.23,0,24.13
9,1,1981,28.97,12.66,0,23.8
10,1,1981,29.62,14.46,0,23.4
11,1,1981,29.53,15.75,0,21.86
12,1,1981,29.09,16.18,0,19.43
13,1,1981,29.74,16.47,0,21.17
14,1,1981,29.79,16.18,0,20.58
15,1,1981,30.24,15.97,0,21.04
16,1,1981,29.64,15.88,0,21.73
17,1,1981,29.75,17.14,0,21.28
18,1,1981,29.65,16.49,0,19.67
19,1,1981,29.87,16.23,0,22
20,1,1981,30.9,15.12,0,24.09
21,1,1981,28.64,16.18,0,19.13
22,1,1981,28.6,16.49,0,19.73
23,1,1981,29.26,15.74,0,21.03
24,1,1981,30.63,15.4,0,23.16
25,1,1981,30.75,14.44,0,23.42
26,1,1981,30.82,15.6,0,23.43
27,1,1981,31.08,15.84,0,23.71
28,1,1981,30.82,15.19,0,24.39
29,1,1981,30.07,15.46,0,22.07
30,1,1981,30.32,16.04,0,23.05
31,1,1981,30.62,16.49,0,23.84
1,2,1981,30.83,12.43,0,25.57
2,2,1981,30.95,12.88,0,25.27
3,2,1981,31.4,13.21,0,25.44
4,2,1981,30.97,13.11,0,25.29
5,2,1981,30.66,14.85,0,22.98
6,2,1981,31.47,13.79,0,24.34
7,2,1981,30.52,14.04,0,24.12
8,2,1981,30.18,16.07,0,21.39
9,2,1981,29.77,15.7,0,20.51
10,2,1981,30.02,15.99,4.46,21.55
11,2,1981,30.09,16.46,0.86,21.75
12,2,1981,30.34,15.45,0,22.88
13,2,1981,30.49,15.21,0,23.44
14,2,1981,30.13,15.77,0,24.05
15,2,1981,30.75,16.57,0,23.87
16,2,1981,31.3,15.07,0,25.68
17,2,1981,30.98,16.94,0,25.09
18,2,1981,30.39,15.56,0,23.8
19,2,1981,31.3,17.37,0,22.18
