day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.96,15.08,0,22.28
2,1,1981,28.33,16.08,0,20.45
3,1,1981,29.07,14.84,0,22.01
4,1,1981,29.16,16.19,0,22.33
5,1,1981,29.95,14.37,0,23.22
6,1,1981,29.24,15.86,0,21.63
7,1,1981,28.96,15.08,0,23.86
8,1,1981,28.92,12.61,0,24.39
9,1,1981,28.36,12.52,0,23.91
10,1,1981,28.74,13.84,0,23.58
11,1,1981,29.39,14.62,0,22.91
12,1,1981,29.11,15.79,0,19.8
13,1,1981,29.37,15.34,0,21.79
14,1,1981,29.25,16.29,0,21.65
15,1,1981,29.24,16.15,0,21.33
16,1,1981,29.78,16,0.78,22.9
17,1,1981,29.99,15.14,0,23.42
18,1,1981,29.89,15.49,0,23.42
19,1,1981,30.12,15.73,3.89,23.34
20,1,1981,30.5,15.71,0,23.87
21,1,1981,30.57,15,0,24.1
22,1,1981,30.08,16.48,0,23.57
23,1,1981,29.87,16.48,0,23.42
24,1,1981,30.72,15.48,0,24.06
25,1,1981,30.74,14.61,0,24.59
26,1,1981,30.74,14.54,0,24.13
27,1,1981,30.74,15.07,0,23.4
28,1,1981,30.65,14.99,0,24.27
29,1,1981,29.26,15.69,0,23.12
30,1,1981,30.3,14.9,0,24.59
31,1,1981,30.57,13.34,0,25.5
1,2,1981,30.43,12.5,0,25.59
2,2,1981,30.05,12.92,0,25.13
3,2,1981,31.3,13.11,0,25.63
4,2,1981,30.74,13.25,0,25.42
5,2,1981,29.79,14.17,0,23.83
6,2,1981,31.28,14.02,0,25.19
7,2,1981,30.68,13.67,0,25.31
8,2,1981,30.57,15.08,0,24.38
9,2,1981,30.54,16.09,0,22.38
10,2,1981,30.68,18.05,0,22.39
11,2,1981,30.25,18.62,0,22.64
12,2,1981,29.9,17.65,0,22.78
13,2,1981,30.71,16.55,0,24.82
14,2,1981,30.07,16.03,0,25.29
15,2,1981,29.93,15.95,2.33,24.45
16,2,1981,31.43,15.92,0,25.19
17,2,1981,30.36,16.8,0,23.42
18,2,1981,30.82,16.53,5.14,23.69
19,2,1981,31.56,16.56,0,22.72
20,2,1981,30.95,17.42,0,23.42
21,2,1981,32.95,16.26,0,25.5
22,2,1981,33.29,15.24,0,26.09
23,2,1981,33.14,15.26,0,26.14
24,2,1981,33.52,15.63,0,25.96
25,2,1981,34.25,15.92,0,26.1
26,2,1981,32.64,16.07,0,25.53
27,2,1981,31.72,16.31,0,25.21
28,2,1981,31.45,17.33,5.94,24.39
1,3,1981,32.63,16.91,22.46,25.74
2,3,1981,31.5,17.93,0,24.3
3,3,1981,29.82,18.82,0,22.09
4,3,1981,29.92,18.4,0,22.06
5,3,1981,30.31,17.73,0,23.45
6,3,1981,30.23,16.86,0,22.59
7,3,1981,31.94,17.34,0,24.9
8,3,1981,31.32,17.56,5.61,24.31
9,3,1981,31.61,18.36,0,25.25
10,3,1981,31.16,18.63,0,22.54
11,3,1981,31.78,17.64,6.25,22.87
12,3,1981,31.38,18.87,0,23.19
13,3,1981,30.01,18.55,0,22.07
14,3,1981,29.76,18.51,0,23
15,3,1981,29.66,19.05,9.65,21.58
16,3,1981,30.91,17.44,4.85,23.67
17,3,1981,31.08,16.64,0,25.14
18,3,1981,32.56,15.96,7.28,27.03
19,3,1981,32.02,16.78,0,24.7
20,3,1981,31.47,17.14,0,23.98
21,3,1981,30.91,18.1,0,23.91
22,3,1981,30.78,18.48,0,24.36
23,3,1981,31.5,17.97,0,24.59
24,3,1981,30.26,18.32,12.02,21.9
25,3,1981,30.85,18.71,12.81,22.87
26,3,1981,30.2,18.13,9.93,22.22
27,3,1981,28.1,18.76,8.28,18.28
28,3,1981,28.86,18.26,0,21.55
29,3,1981,25.71,18.71,10.85,16.64
30,3,1981,26.97,17.91,9.01,18.72
31,3,1981,28.81,18.46,0,22.11
1,4,1981,28.56,17.9,0,21.05
2,4,1981,28.64,17.53,5.57,20.76
3,4,1981,29.67,17.85,4.34,22.32
4,4,1981,30.03,17.64,0,24.07
5,4,1981,30.24,17.79,0,22.41
6,4,1981,29.65,17.7,0,24.15
7,4,1981,29.06,18.07,0,21.55
8,4,1981,29.52,17.82,0,22.9
9,4,1981,30.1,17.13,0,23.03
10,4,1981,31.06,17.9,0,22.97
11,4,1981,30.97,18.33,0,22.97
12,4,1981,30.61,19.06,4.23,22.67
13,4,1981,30.24,17.94,0,23.85
14,4,1981,31.27,17.6,0,23.66
15,4,1981,31.23,18.26,0,23.39
16,4,1981,33.4,17.45,0,26.26
17,4,1981,31.68,17.61,0,23.01
18,4,1981,31.58,17.36,9.94,23.15
19,4,1981,31.61,17.44,0,24.53
20,4,1981,31.76,18.91,0,24.95
21,4,1981,30.82,17.96,0,22.83
22,4,1981,28.67,18.21,0,18.78
23,4,1981,29.86,18.82,0,21.58
24,4,1981,25.04,18.02,28.74,15.11
25,4,1981,28.33,17.7,0,23.02
26,4,1981,29.79,16.91,1.84,24.52
27,4,1981,29.63,17.01,0,24.11
28,4,1981,31.57,16.04,0,25.21
29,4,1981,31.68,15.91,0,26.28
30,4,1981,32.21,15.75,0,26.78
1,5,1981,31.74,17.47,0,24.22
2,5,1981,31.65,17.53,0,23.37
3,5,1981,32.15,17.47,0,23.21
4,5,1981,33.18,16.87,0,25.96
5,5,1981,33.92,16.77,0,26.49
6,5,1981,34.38,16.6,0,26.79
7,5,1981,33.5,17.14,0,25.83
8,5,1981,31.55,17.94,0,23.6
9,5,1981,33.66,18.29,0,25.11
10,5,1981,32.22,17.17,0,24.55
11,5,1981,34.34,17.26,0,24.68
12,5,1981,33.36,17.77,0,24.06
13,5,1981,32.71,19.7,0,23.83
14,5,1981,32.85,19.63,0,22.48
15,5,1981,33.76,18.16,0,26.2
16,5,1981,32.68,16.87,0,25.76
17,5,1981,33.52,18.31,0,24.69
18,5,1981,31.4,19.58,0,20.68
19,5,1981,34.01,18.68,0,24.17
20,5,1981,33.25,18.83,0,23.96
21,5,1981,31.76,19.47,0,21.23
22,5,1981,31.77,18.93,0,21.72
23,5,1981,33.13,17.56,2.21,23.77
24,5,1981,31.75,18.98,0,22.71
25,5,1981,33.23,19.16,0,22.74
26,5,1981,32.85,17.42,0,23.66
27,5,1981,33.35,17.37,0,23.51
28,5,1981,33.26,16.73,0,24.44
29,5,1981,32.06,18.19,4.41,21.52
30,5,1981,31.19,19.46,9.46,19.13
31,5,1981,32.46,17.86,0,19.65
1,6,1981,34.71,18.55,0,22.66
2,6,1981,32.19,18.72,0,20.81
3,6,1981,31.41,18.61,0,21.75
4,6,1981,31.69,18.73,0,22.22
5,6,1981,31.09,18.15,0,21.96
6,6,1981,30.81,18.96,0,20.92
7,6,1981,31.45,18.27,0,20.64
8,6,1981,33.02,17.26,0,22.03
9,6,1981,33.32,16.57,0,22.37
10,6,1981,33.25,16.83,0,20.7
11,6,1981,31.5,18.35,0,20.86
12,6,1981,32.62,17.43,0,21.47
13,6,1981,30.87,18.69,0,20.55
14,6,1981,29.84,17.96,0,19.74
15,6,1981,30.22,17.21,0,20.94
16,6,1981,29.74,17.36,0,19.79
17,6,1981,30.39,18.64,0,20.2
18,6,1981,31.93,17.65,0,21.37
19,6,1981,31.56,16.97,0,21.61
20,6,1981,31.41,18.12,0,21.11
21,6,1981,30,17.7,0,19.69
22,6,1981,29.43,18.18,0,19.68
23,6,1981,30.2,17.01,0,20.42
24,6,1981,30.1,16.78,0,21.37
25,6,1981,29.5,17.64,0,20.63
26,6,1981,28.88,17.36,0,18.84
27,6,1981,28.56,17.16,0,20.54
28,6,1981,29.1,16.71,0,19.24
29,6,1981,28.21,17.75,16.04,18.24
30,6,1981,29.8,17.03,0,20.6
1,7,1981,30.5,16.67,0,21.32
2,7,1981,29.19,18.09,0,18.52
3,7,1981,28.15,17.9,3.94,18.2
4,7,1981,25.17,17.64,40.3,15.27
5,7,1981,26.31,17.52,0.17,18.76
6,7,1981,26.28,17.59,6.19,19.24
7,7,1981,25.98,16.42,0,18.83
8,7,1981,25.45,17.76,10.21,17.5
9,7,1981,24.94,17.26,0,17.47
10,7,1981,25.19,17.15,36.26,18.69
11,7,1981,23.84,17.07,20.79,17.15
12,7,1981,22.5,16.89,15.43,10.66
13,7,1981,25.35,16.47,6.87,19.53
14,7,1981,25.28,15.97,0,19.56
15,7,1981,25.75,14.8,0,20.51
16,7,1981,24.35,16.33,0,16.22
17,7,1981,24.02,16.86,20.06,17.11
18,7,1981,25.22,15.94,0,18.03
19,7,1981,24.69,17.1,15.87,15.88
20,7,1981,23.36,17.26,31.8,13.16
21,7,1981,24.55,16.71,9.29,17.69
22,7,1981,24.99,16.51,14.58,18.14
23,7,1981,25.09,15.38,0,19.07
24,7,1981,25.3,16.4,12.05,18.49
25,7,1981,23.72,16.81,9.25,17.25
26,7,1981,24.57,16.69,19.88,18.99
27,7,1981,25.09,16.56,8.55,19.42
28,7,1981,25.12,16.63,7.87,19.55
29,7,1981,25.31,16.33,2.94,19.19
30,7,1981,24.26,16.5,5.23,17.09
31,7,1981,25.29,16.37,5.28,19.84
1,8,1981,25.07,16.64,2.9,19.66
2,8,1981,24.8,16.13,13.05,18.81
3,8,1981,25.72,16.31,6.43,20.61
4,8,1981,25.68,16.16,4.88,19.35
5,8,1981,24.94,17.36,7.2,18.86
6,8,1981,24.07,17.11,31.36,17.07
7,8,1981,24.91,16.77,12.02,17.8
8,8,1981,24.03,17.3,11.74,14.66
9,8,1981,25.58,16.95,0,19.4
10,8,1981,25.87,17,0,20.06
11,8,1981,26.01,16.49,6.33,20.44
12,8,1981,25.21,16.97,7.51,20.03
13,8,1981,24.03,16.85,16.55,16.7
14,8,1981,25.05,16.92,0,19.1
15,8,1981,23.68,16.09,0,16.37
16,8,1981,24.29,15.79,4.54,19.81
17,8,1981,24.8,15.84,12,20.51
18,8,1981,24.15,16.74,8.11,17.71
19,8,1981,24.04,16.99,17.66,17.46
20,8,1981,24.32,15.8,14.27,19.47
21,8,1981,24.43,17.01,16.26,19.38
22,8,1981,23.63,16.48,35.1,17.85
23,8,1981,24.36,14.98,0,20.04
24,8,1981,24.54,15.14,14.6,20.12
25,8,1981,24.32,15.59,5.95,18.3
26,8,1981,24.18,16.28,0,17.35
27,8,1981,24.46,15.4,0,20.23
28,8,1981,24.8,14.96,12.8,20.2
29,8,1981,25.43,14.77,0,21.24
30,8,1981,24.5,16.37,6,19.22
31,8,1981,24.99,14.71,38.94,21.13
1,9,1981,23.7,16.97,18.39,18.81
2,9,1981,24.65,15.28,0,20.65
3,9,1981,25.14,15.39,0,22.36
4,9,1981,24.84,14.88,0,21.35
5,9,1981,24.43,15.6,0,19.62
6,9,1981,24.56,15.25,0,20.49
7,9,1981,24.88,14.51,0,21.82
8,9,1981,23.67,15.47,0,17.65
9,9,1981,24.28,14.35,6.27,20.06
10,9,1981,24.38,16.61,8.23,18.98
11,9,1981,24.93,14.44,1.62,21.94
12,9,1981,24.2,15.47,5.8,19.48
13,9,1981,23.48,16.73,0,16.07
14,9,1981,24.82,15.9,11.4,20.73
15,9,1981,24.54,14.76,9.7,19.65
16,9,1981,24.49,16.74,15.73,18.35
17,9,1981,24.83,15.87,0,20.97
18,9,1981,23.67,16.14,0.21,16.98
19,9,1981,23.69,15.54,8.32,17.05
20,9,1981,25.31,14.71,0,21.61
21,9,1981,25.64,13.92,0.51,21.48
22,9,1981,25.44,15.72,2.98,20.87
23,9,1981,25.91,14.55,0,22.29
24,9,1981,25.44,15.61,2.98,21.07
25,9,1981,24.47,16.23,2.8,18.99
26,9,1981,25.34,15.21,13.03,21.29
27,9,1981,25.79,14.44,0,22.12
28,9,1981,25.98,15.21,0,21.68
29,9,1981,25.82,14.24,0,21.42
30,9,1981,26.36,13.62,0,22.54
1,10,1981,27.41,13.99,0,21.8
2,10,1981,26.89,14.23,0,22.51
3,10,1981,26.8,15.67,2.3,21.86
4,10,1981,26.92,15.4,0,22
5,10,1981,26.98,15.44,0,22.63
6,10,1981,26.59,14.72,7.89,22.66
7,10,1981,26.6,14.51,0,23.35
8,10,1981,27.57,15.11,0,22.77
9,10,1981,27.88,15.06,0,22.77
10,10,1981,27.28,14.3,0,23.52
11,10,1981,27.48,13.31,0,25.59
12,10,1981,27.89,12.27,0,26.18
13,10,1981,28.08,11.68,0,26.14
14,10,1981,28.24,12.52,0,24.8
15,10,1981,27.79,13.63,0,23.38
16,10,1981,27.92,13.61,0,24.29
17,10,1981,28.34,13.34,0,24.09
18,10,1981,28.39,12.89,0,25.17
19,10,1981,28.48,11.96,0,25.93
20,10,1981,28.26,11.38,0,25.7
21,10,1981,27.49,13.11,0,23.45
22,10,1981,27.94,13.87,0,22.82
23,10,1981,27.4,13.7,0,23.71
24,10,1981,28.31,14.09,0,23.31
25,10,1981,28.45,13.09,0,25.71
26,10,1981,27.76,12.3,0,25.32
27,10,1981,27.9,12.2,0,25.57
28,10,1981,27.32,12.41,0,24.36
29,10,1981,27.73,12.66,0,24.47
30,10,1981,28.12,13.09,0,24.57
31,10,1981,27.99,13.31,0,23.57
1,11,1981,28.75,13.35,0,24.7
2,11,1981,28.1,13.08,0,24
3,11,1981,27.52,13.88,0,22.72
4,11,1981,28.91,14.77,0,23.03
5,11,1981,28.76,14.39,0,23.54
6,11,1981,29.62,14.06,0,24.42
7,11,1981,29.55,13.83,0,24.42
8,11,1981,28.62,13.51,0,24.53
9,11,1981,28.19,12.24,0,24.62
10,11,1981,28.23,13.08,0,24.05
11,11,1981,29.39,12.32,0,24.74
12,11,1981,28.79,12.77,0,24.3
13,11,1981,29.05,12.42,0,24.75
14,11,1981,28.66,11.56,0,25.03
15,11,1981,27.97,11.18,0,25.07
16,11,1981,27.79,11.75,0,24.67
17,11,1981,27.81,12.53,0,23.88
18,11,1981,28.29,13.08,0,23.9
19,11,1981,28.38,13.57,0,23.47
20,11,1981,28.25,14.21,0,23.08
21,11,1981,27.74,14.12,0,22
22,11,1981,27.72,14.13,0,22.72
23,11,1981,27.56,15.01,0,22.05
24,11,1981,27.58,16.09,4.04,20.06
25,11,1981,28.03,13.73,4.04,23.22
26,11,1981,28.29,13.42,0,22.86
27,11,1981,28.47,13.43,0,22.91
28,11,1981,28,13.38,0,23.14
29,11,1981,28.6,13.33,0,23.19
30,11,1981,28.53,11.79,0,23.98
1,12,1981,28.37,11.44,0,23.75
2,12,1981,28.46,12.45,0,23.67
3,12,1981,28.85,11.24,0,23.96
4,12,1981,28.39,10.79,0,24.09
5,12,1981,28.6,10.36,0,24
6,12,1981,28.92,11.87,0,23.27
7,12,1981,29.86,13.02,0,23.28
8,12,1981,28.6,12.27,0,23.49
9,12,1981,28.13,11.35,0,23.89
10,12,1981,27.91,10.82,0,23.96
11,12,1981,28,10.53,0,23.92
12,12,1981,28.14,11.13,0,23.68
13,12,1981,28.05,11.82,0,23.39
14,12,1981,28.34,12.46,0,23.26
15,12,1981,28.7,13.35,0,23.19
16,12,1981,28.51,13.73,0,22.78
17,12,1981,29.08,14.47,0,22.98
18,12,1981,29.03,14.13,0,22.58
19,12,1981,27.77,14.56,0,20.97
20,12,1981,27.94,14.99,0,20.49
21,12,1981,27.15,16.55,0,19.14
22,12,1981,27.78,14.81,0,21.04
23,12,1981,28.4,14.99,0,21.79
24,12,1981,28.56,14.38,0,22.57
25,12,1981,28.99,14.5,0,21.81
26,12,1981,28.92,15.27,0,20.36
27,12,1981,28.77,15.89,0,21.84
28,12,1981,28.65,14.78,0,22.08
29,12,1981,28.59,15.52,0,21.9
30,12,1981,29.29,14.91,0,21.82
31,12,1981,28.3,16.71,6.65,20.09
1,1,1982,27.09,17.36,11.88,18.3
2,1,1982,28.26,16.38,0,20.69
3,1,1982,26.99,16.77,0,19.19
4,1,1982,26.98,16.91,0,19.15
5,1,1982,25.92,16.29,0,17.75
6,1,1982,26.68,15.57,0,19.53
7,1,1982,28.09,15.4,0,22.66
8,1,1982,28.15,14.02,0,23.26
9,1,1982,28.25,14.52,0,22.82
10,1,1982,28.33,14.26,0,22.23
11,1,1982,28.39,14.77,0,22.31
12,1,1982,29.18,14.93,0,22.77
13,1,1982,27.38,16.5,0,19.54
14,1,1982,28.05,15.87,0,21.21
15,1,1982,28.48,14.91,0,23.47
16,1,1982,28.17,16.45,0,21.28
17,1,1982,29.38,15.85,8.92,22.14
18,1,1982,29.07,16.22,0,22.67
19,1,1982,28.72,16.32,0,22.74
20,1,1982,29.23,15.79,0,23.56
21,1,1982,29.14,15.6,0,23.33
22,1,1982,28.86,14.82,0,22.4
23,1,1982,28.98,14.99,0,23.45
24,1,1982,29.71,14.9,0,23.32
25,1,1982,30,15.34,0,23.59
26,1,1982,31.59,14.31,0,24.54
27,1,1982,31.11,13.64,0,24.7
28,1,1982,30.8,14.34,0,23.99
29,1,1982,31.61,14.86,0,24.12
30,1,1982,31.02,15.53,0,23.45
31,1,1982,30.02,15.15,0,23.54
1,2,1982,31.07,15.52,0,24.42
2,2,1982,30.25,15.75,0,24.34
3,2,1982,30.11,17.2,0,22.05
4,2,1982,29.92,17.36,0,21.55
5,2,1982,30.23,16.95,0,22.19
6,2,1982,28.78,19.03,0,21.28
7,2,1982,29.2,16.25,0,22.62
8,2,1982,28.29,18.68,4.98,21.83
9,2,1982,29.49,17.37,2.71,22.13
10,2,1982,29.44,18.14,0,22.26
11,2,1982,30.55,16.58,0,23.51
12,2,1982,28.84,18.03,12.7,20.5
13,2,1982,27.07,17.55,0,19.83
14,2,1982,29.72,16.07,0,22.07
15,2,1982,29.17,17.07,0,21.91
16,2,1982,27.91,18.33,0,19.04
17,2,1982,29.21,17.71,0,21.04
18,2,1982,29.32,17.36,2.66,21.72
19,2,1982,29.73,17.95,0,21.96
20,2,1982,30.69,16.97,2.95,24.39
21,2,1982,31.1,16.33,0,25.2
22,2,1982,31.01,15.8,0,25.03
23,2,1982,30.9,16.34,0,23.32
24,2,1982,30.65,17.46,3.82,23.07
25,2,1982,30.52,17.02,0,23.3
26,2,1982,31.03,17.31,0,23.71
27,2,1982,28.71,17.6,3.33,19.79
28,2,1982,31.69,18.02,1.73,22.62
1,3,1982,31.76,17.02,0,23.89
2,3,1982,29.78,17.36,0,21.78
3,3,1982,29.35,17.56,0,21.6
4,3,1982,29.76,17.27,1.02,22.29
5,3,1982,28.75,16.89,0,19.97
6,3,1982,30.03,16.4,0,23.77
7,3,1982,31.94,16.35,0,25.86
8,3,1982,31.7,15.73,0,26.1
9,3,1982,32.26,15.82,0,25.21
10,3,1982,32.13,17.03,0,24.14
11,3,1982,31.64,16.52,0,24.82
12,3,1982,32.6,16.22,0,26.54
13,3,1982,32.15,17.1,0,26.68
14,3,1982,32.18,17.61,0,26.16
15,3,1982,31.56,18.03,0,24.44
16,3,1982,31.64,16.92,0,25.02
17,3,1982,32.93,16.22,0,26.74
18,3,1982,32.59,16.03,0,26.98
19,3,1982,32.39,17.17,0,26.18
20,3,1982,32.48,17.89,0,25.37
21,3,1982,31.45,18.33,0,23.06
22,3,1982,32.28,16.8,0,25.35
23,3,1982,32.65,17.11,0,25.17
24,3,1982,33.59,17,0,26.31
25,3,1982,34.42,16.47,0,27.13
26,3,1982,34.31,17.22,0,26.94
27,3,1982,33.88,17.71,0,26.54
28,3,1982,31.24,19.05,0,22.99
29,3,1982,29.9,18.22,7.59,24.24
30,3,1982,27.29,17.97,24.29,20.01
31,3,1982,24.7,18.55,16.4,16.51
1,4,1982,26.22,16.92,0,20.44
2,4,1982,25.91,17.45,0,17.81
3,4,1982,28.73,16.61,0,24.29
4,4,1982,28.8,16.53,34.17,24.94
