day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.74,12.9,0,22.57
2,1,1981,26.13,13.25,0,20.77
3,1,1981,27,12.78,0,21.37
4,1,1981,27.46,13.35,0,23.54
5,1,1981,27.66,12.7,0,24.09
6,1,1981,27.05,12.66,0,22.74
7,1,1981,26.73,12.4,0,24.34
8,1,1981,26.66,10.88,0,24.64
9,1,1981,26.45,11.14,0,23.89
10,1,1981,26.39,12.1,0,23.64
11,1,1981,26.64,12.62,0,22.58
12,1,1981,26.23,14.25,0,18.46
13,1,1981,27.21,13.19,0,22.48
14,1,1981,26.99,14.72,0,20.73
15,1,1981,27.24,13.86,0,20.6
16,1,1981,27.61,13.96,0,23.09
17,1,1981,27.77,12.71,0,24.3
18,1,1981,27.83,13.36,0,24.11
19,1,1981,27.96,13.79,0,24.24
20,1,1981,28.34,12.89,0,24.79
21,1,1981,28.09,12.81,0,24.43
22,1,1981,27.55,13.26,0,23.41
23,1,1981,28.33,13.03,0,24.08
24,1,1981,28.3,13.1,0,24.17
25,1,1981,28.46,12.85,0,24.88
26,1,1981,28.39,13.01,0,24.38
27,1,1981,28.07,13.47,0,23.41
28,1,1981,28.38,13.26,0,25.1
29,1,1981,27.86,13.26,0,24.42
30,1,1981,27.99,13.18,0,25.24
31,1,1981,27.88,11.58,0,25.71
1,2,1981,27.86,11.71,0,25.71
2,2,1981,27.58,12.04,0,25.47
3,2,1981,28.53,12.47,0,25.76
4,2,1981,28.4,12.14,0,25.69
5,2,1981,27.97,13.07,0,24.25
6,2,1981,28.73,12.81,0,25.56
7,2,1981,28.48,11.78,0,25.48
8,2,1981,28.17,13.12,0,24.54
9,2,1981,28.18,13.76,0,23.59
10,2,1981,28.06,15.72,0,22.28
11,2,1981,27.34,15.95,0,22.45
12,2,1981,26.85,15.25,6.73,22.15
13,2,1981,28.24,15.72,0,24.51
14,2,1981,28.08,14.98,0,24.82
15,2,1981,27.82,15.13,0.67,24.34
16,2,1981,28.48,14.08,0,25.08
17,2,1981,27.8,14.65,0,23.16
18,2,1981,27.56,14.81,2.2,21.81
19,2,1981,28.94,14.51,0,22.97
20,2,1981,28.95,15.64,0,24.01
21,2,1981,30.25,14.25,0,25.46
