day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.27,13.94,0,20.99
2,1,1981,27.37,15.32,0,20.29
3,1,1981,28.73,15.12,0,21.4
4,1,1981,27.83,14.72,0,22.04
5,1,1981,27.47,14.55,0.52,22.39
6,1,1981,26.78,14.59,0,21.86
7,1,1981,26.39,13.4,0,22.92
8,1,1981,26.03,12.75,0,22.95
9,1,1981,25.78,13.51,0,22.16
10,1,1981,27.6,13.86,0,22.23
11,1,1981,27.39,14.9,0,21.83
12,1,1981,26.03,16.29,0,17.01
13,1,1981,25.61,14.32,0,20.35
14,1,1981,25.38,15.9,0,18.73
15,1,1981,25.6,15.85,0,19.75
16,1,1981,26.28,14.16,3.46,22.45
17,1,1981,27.23,13.8,0,22.69
18,1,1981,28.33,14.62,0,22.66
19,1,1981,27.11,14.47,0,21.34
20,1,1981,27.7,14.72,0,22.31
21,1,1981,28.44,14.11,0,22.8
22,1,1981,27.52,16.07,0,20.49
23,1,1981,28.97,15.99,0,22.37
24,1,1981,28.89,15.62,0,22.87
25,1,1981,29.83,15.22,0,23.61
26,1,1981,29.75,15.41,0,23.41
27,1,1981,28.21,15.61,0,23.13
28,1,1981,27.2,14.86,0,22.42
29,1,1981,26,14.46,0,22.33
30,1,1981,26.87,13.57,0,24.21
31,1,1981,26.86,12.96,0,24.58
1,2,1981,27.07,13.55,0,24.47
2,2,1981,26.41,13.5,0,23.8
3,2,1981,26.5,13.71,0,23.15
4,2,1981,25.47,13.95,0,21.07
5,2,1981,26.28,14.47,0,22.45
6,2,1981,27.83,14.33,0,24.26
7,2,1981,27.07,14.16,0,22.94
8,2,1981,27.95,14.25,0,24.02
9,2,1981,28.47,14.68,0,23.68
10,2,1981,27.39,16.46,0,20.03
11,2,1981,21.28,16.42,13.94,9.89
12,2,1981,21.85,15.57,10.05,11.79
13,2,1981,22.13,16.39,0,13.75
14,2,1981,22.75,15.88,0,13.19
15,2,1981,23.05,16.01,0,14.97
16,2,1981,24.28,15.42,0,17.24
17,2,1981,25.58,15.8,2.27,20.4
18,2,1981,24.77,16.41,0,16.33
19,2,1981,26.8,15.81,0,21.73
20,2,1981,27.3,16.16,0,23.47
21,2,1981,28.11,15.45,0,24.06
22,2,1981,28.96,15.12,0,25.31
23,2,1981,29.74,15.12,0,25.2
24,2,1981,31.05,15.83,0,25.11
25,2,1981,30.01,16.33,0,25.21
26,2,1981,29.02,16,0,24.65
27,2,1981,29.18,15.46,0,24.16
28,2,1981,30.16,15.95,0,23.89
1,3,1981,30.2,16.26,0,23.86
2,3,1981,28.8,18.41,20.22,20.3
3,3,1981,23.75,17.14,30.04,16.48
4,3,1981,24.72,16.84,8.53,16.62
5,3,1981,21.36,16.97,16.15,12.86
6,3,1981,23.47,16.52,8.88,19.03
7,3,1981,23.11,16.67,0,16.91
8,3,1981,24.83,15.46,0,21.58
9,3,1981,27.11,14.14,0,25.66
10,3,1981,27.33,15.83,0,22.75
11,3,1981,26.95,17.58,0,21.04
12,3,1981,28.86,16.97,0,22.17
13,3,1981,27.58,17.54,0,18.74
14,3,1981,26.18,18.25,2.05,18.3
15,3,1981,24.31,17.31,16.68,16.83
16,3,1981,24.41,17.21,6.91,17.29
17,3,1981,25.3,16.91,0,20.31
18,3,1981,24.33,16.46,6.48,19.76
19,3,1981,22.08,16.84,13.29,13.21
20,3,1981,24.26,16.34,12.56,19.56
21,3,1981,25.55,17.22,25.17,20.3
22,3,1981,24.9,17.38,0.7,20.59
23,3,1981,25.2,17.14,10.88,18.58
24,3,1981,24.64,16.57,3.47,20.64
25,3,1981,26.6,17.04,0,24.23
26,3,1981,26.6,17.04,0,22.01
27,3,1981,23.67,17.26,0,17.53
28,3,1981,23.57,17.22,0,14.76
29,3,1981,23.07,16.8,49.44,15.26
30,3,1981,24.34,17.08,0,19.5
31,3,1981,23.84,17.55,0,20.09
1,4,1981,23.57,17.03,14.85,18.84
