day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.83,9.14,0,21.35
2,1,1981,21.01,10.15,0,20.37
3,1,1981,22.21,10.25,0,21.77
4,1,1981,21.46,10.16,0,21.84
5,1,1981,21.25,9.7,0.26,22.76
6,1,1981,20.56,9.77,0,21.81
7,1,1981,20.32,8.86,0,23.22
8,1,1981,20.05,8.38,0,23.24
9,1,1981,19.7,8.96,0,22.08
10,1,1981,21.45,9.32,0,22.64
11,1,1981,21.26,9.96,0,22.17
12,1,1981,20.03,11.08,0,16.71
13,1,1981,19.82,9.43,0,21.75
14,1,1981,19.53,10.5,0,20.22
15,1,1981,19.59,10.6,0,20.69
16,1,1981,20.32,9.48,1.43,22.77
17,1,1981,20.95,9.17,0,22.82
18,1,1981,22.13,9.76,0,23
19,1,1981,20.84,9.8,0,21.88
20,1,1981,21.28,10.06,0,22.47
21,1,1981,21.85,9.84,0,23.2
22,1,1981,21.16,11.01,0,21.01
23,1,1981,22.37,10.93,0,22.41
24,1,1981,22.23,11.03,0,22.41
25,1,1981,23.05,10.66,0,23.91
26,1,1981,23.05,10.9,0,23.75
27,1,1981,21.97,10.85,0,23.63
28,1,1981,20.98,10.34,0,23.24
29,1,1981,20.02,9.89,0,22.82
30,1,1981,20.78,9.13,0,24.55
31,1,1981,20.8,8.55,0,24.97
1,2,1981,20.92,8.94,0,24.82
2,2,1981,20.29,9.18,0,24.41
3,2,1981,20.6,9.4,0,23.99
4,2,1981,20.05,9.55,0,22.57
5,2,1981,20.23,9.84,0,22.41
6,2,1981,21.62,10.19,0,24.54
7,2,1981,20.86,9.62,0,23.25
8,2,1981,21.67,9.77,0,24.34
9,2,1981,21.89,9.96,0,24.11
10,2,1981,21.67,11.38,0,20.6
11,2,1981,17.16,11.31,10.64,12.65
12,2,1981,16.99,10.6,15.1,11.76
13,2,1981,17.47,11.2,0,14.6
14,2,1981,17.75,10.93,0,14.12
15,2,1981,18.76,10.91,0,17.82
16,2,1981,19.15,10.79,0,17.86
17,2,1981,20.85,10.86,3.31,20.5
18,2,1981,19.39,11.41,0,16.42
19,2,1981,21.3,11.04,0,22.32
20,2,1981,21.67,11.41,0,23.62
21,2,1981,22.42,11.16,0,24.21
22,2,1981,23.38,10.82,0,25.7
23,2,1981,23.97,10.89,0,25.48
