day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,18.7,8.56,0,21.48
2,1,1981,19.78,9.5,0,20.54
3,1,1981,20.88,9.6,0,21.89
4,1,1981,20.19,9.51,0,21.96
5,1,1981,20,9.08,0.26,22.85
6,1,1981,19.37,9.15,0,21.94
7,1,1981,19.15,8.29,0,23.29
8,1,1981,18.9,7.84,0,23.32
9,1,1981,18.58,8.39,0,22.19
10,1,1981,20.19,8.72,0,22.74
11,1,1981,20.01,9.32,0,22.28
12,1,1981,18.89,10.37,0,17.01
13,1,1981,18.69,8.83,0,21.88
14,1,1981,18.42,9.83,0,20.4
15,1,1981,18.48,9.93,0,20.86
16,1,1981,19.15,8.87,1.43,22.87
17,1,1981,19.73,8.59,0,22.91
18,1,1981,20.81,9.14,0,23.09
19,1,1981,19.63,9.17,0,22
20,1,1981,20.03,9.42,0,22.57
21,1,1981,20.56,9.21,0,23.28
22,1,1981,19.92,10.31,0,21.17
23,1,1981,21.03,10.24,0,22.51
24,1,1981,20.9,10.33,0,22.51
25,1,1981,21.66,9.98,0,23.96
26,1,1981,21.65,10.21,0,23.81
27,1,1981,20.67,10.16,0,23.7
28,1,1981,19.76,9.68,0,23.32
29,1,1981,18.87,9.26,0,22.91
30,1,1981,19.58,8.55,0,24.58
31,1,1981,19.59,8.01,0,24.98
1,2,1981,19.7,8.37,0,24.84
2,2,1981,19.12,8.6,0,24.44
3,2,1981,19.41,8.81,0,24.04
4,2,1981,18.9,8.95,0,22.66
5,2,1981,19.07,9.22,0,22.51
6,2,1981,20.34,9.55,0,24.57
7,2,1981,19.65,9.02,0,23.32
8,2,1981,20.39,9.16,0,24.37
9,2,1981,20.59,9.34,0,24.15
10,2,1981,20.39,10.67,0,20.75
11,2,1981,16.24,10.6,10.64,13.06
12,2,1981,16.09,9.95,15.1,12.2
13,2,1981,16.53,10.5,0,14.95
14,2,1981,16.79,10.25,0,14.47
15,2,1981,17.72,10.24,0,18.06
