day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.06,6.68,0,21.92
2,1,1981,19.34,7.36,0,20.01
3,1,1981,20.78,7.8,0,21.29
4,1,1981,20.13,8,0,23.01
5,1,1981,20.01,7.71,0.24,24.07
6,1,1981,19.49,7.36,0,22.5
7,1,1981,19.03,7.09,0,24.42
8,1,1981,18.78,6.81,0,24.61
9,1,1981,18.87,7.03,0,23.69
10,1,1981,21.24,6.33,0,23.61
11,1,1981,21.47,6.96,0,22.2
12,1,1981,18.43,7.68,0,16.27
13,1,1981,19.45,7.17,0,22.44
14,1,1981,19.22,7.24,0,19.71
15,1,1981,18.57,7.41,0,20.03
16,1,1981,20.17,6.73,1.24,23.08
17,1,1981,20.99,6.64,0,23.9
18,1,1981,22.16,6.97,0,24.11
19,1,1981,21,7.24,0,23.58
20,1,1981,20.63,7.75,0,24.35
21,1,1981,22.24,6.5,0,24.33
22,1,1981,19.9,7.91,0,21.69
23,1,1981,20.93,7.42,0,23.74
24,1,1981,21.2,8.43,0,23.47
25,1,1981,22,8,0,25.1
26,1,1981,22.1,8.29,0,24.66
27,1,1981,21.02,8.33,0,24.19
28,1,1981,20.27,7.91,0,24.93
29,1,1981,19.41,7.49,0,24.11
30,1,1981,19.9,7.49,0,25.7
31,1,1981,19.66,7.63,0,26.14
1,2,1981,19.88,7.15,0,26.08
2,2,1981,19.39,7.35,0,25.69
3,2,1981,19.79,7.4,0,25.66
4,2,1981,19.49,7.44,0,24.98
5,2,1981,19.85,7.32,0,24.03
6,2,1981,21,7.98,0,25.91
7,2,1981,20.55,7.06,0,24.98
8,2,1981,22.23,7.36,0,25.18
9,2,1981,22.81,7.69,0,24.93
10,2,1981,20.3,8.28,0,20.96
11,2,1981,18.04,8.46,5.01,17.22
12,2,1981,19.4,8.87,17.3,15.69
13,2,1981,17.22,8.85,0,18.97
14,2,1981,17.5,8.42,0,18.67
15,2,1981,18.73,8.29,0,20.97
16,2,1981,18.78,8.27,0,21.45
17,2,1981,22.88,8.4,0.39,21.9
18,2,1981,19.37,8.9,0,17.74
19,2,1981,19.19,8.26,0,22.52
20,2,1981,19.76,8.53,0,23.92
21,2,1981,20.73,8.96,0,25.42
22,2,1981,21.05,9.44,0,26.81
23,2,1981,21.72,8.96,0,26.2
24,2,1981,22.84,8.17,0,25.93
25,2,1981,22.24,9.11,0,26.72
26,2,1981,20.97,8.95,0,25.41
27,2,1981,20.51,7.85,0,24.31
28,2,1981,21.08,8.17,0,24.05
1,3,1981,21.1,9.45,0,24.73
2,3,1981,20.11,9.05,21.13,21.95
3,3,1981,19.73,8.95,30.52,18.31
4,3,1981,21.73,9.31,9.21,19.78
5,3,1981,18.48,9.48,23.29,16.48
6,3,1981,19.25,9.28,9.05,21.07
7,3,1981,20.11,9.27,0,21.01
8,3,1981,18.81,8.65,0,24.68
9,3,1981,20.07,7.55,0,27.14
10,3,1981,19.65,8.67,0,24.13
11,3,1981,19.16,9.1,0,21.67
12,3,1981,20.73,9.02,0,22.46
13,3,1981,19.88,9.3,0,18.97
14,3,1981,21.36,9.95,5.85,19.24
15,3,1981,21.9,10.13,9.4,18.68
16,3,1981,21.15,10.14,12.07,18.47
17,3,1981,21.68,9.73,4.92,22.42
18,3,1981,21.79,9.42,8.15,24.25
19,3,1981,18.87,10.19,8.87,16.39
20,3,1981,19.68,9.4,8.62,21.34
21,3,1981,21.46,10.18,17.04,20.46
22,3,1981,21.57,9.75,4.54,21.7
23,3,1981,20.15,9.52,8.42,21.57
24,3,1981,20.01,9.35,6.46,19.56
25,3,1981,20.14,9.83,7.13,22.3
26,3,1981,22.46,9.46,0,22.25
27,3,1981,19.01,10.4,0,18.53
28,3,1981,19.44,9.85,17.96,18.1
29,3,1981,19.48,10.15,15.18,14.78
30,3,1981,19.66,10.36,2,18.51
31,3,1981,19.35,10.36,0,19.77
1,4,1981,21.23,9.91,2.63,17.61
2,4,1981,19.95,10.38,7.48,18.79
3,4,1981,18.66,10.3,0,22.97
4,4,1981,18.83,9.17,0,23.25
5,4,1981,19,10.2,0,21.05
6,4,1981,18.82,9.93,0,23.31
7,4,1981,21.09,9.81,0,25.19
8,4,1981,19.2,10.12,0,22.2
9,4,1981,19.29,10.52,0,22.67
10,4,1981,19.43,10.59,0,22.07
11,4,1981,19.25,10.31,0,20.29
12,4,1981,19.95,10.76,0,20.32
13,4,1981,19.24,9.78,0,22.18
14,4,1981,19.81,9.92,0,23.75
15,4,1981,22.3,10.26,0,20.39
16,4,1981,21.62,10.36,0,23.44
17,4,1981,20.8,9.89,0,22.87
18,4,1981,19.22,9.9,0,21.51
19,4,1981,19.33,9.79,2,22.98
20,4,1981,19.49,10.44,6.72,23.95
21,4,1981,19.38,9.6,0,22.98
22,4,1981,18.64,9.69,0,19.78
23,4,1981,18.82,10.27,0,22.76
24,4,1981,15.88,10.36,15.07,13.52
25,4,1981,17.97,9.33,0,24.13
26,4,1981,19.38,9.38,3.98,25.98
27,4,1981,18.08,10.2,0,22.77
28,4,1981,20.19,10.3,0,25.88
29,4,1981,21.08,10.21,0,28.48
30,4,1981,20.78,11.12,0,25.67
1,5,1981,20.22,11.04,0,24.73
2,5,1981,20.27,10.55,0,24.2
3,5,1981,21.22,10.83,0,25.78
4,5,1981,20.98,10.18,0,27.11
5,5,1981,21.22,10.41,0.32,27.55
6,5,1981,21.53,10.85,0,28.16
7,5,1981,21.54,10.92,0.13,27.64
8,5,1981,20.96,10.92,0,24.68
9,5,1981,20.31,10.34,0,25.82
10,5,1981,19.39,10.36,0,23.24
11,5,1981,20.73,10.2,0.14,25.48
12,5,1981,20.08,10.48,0,24.61
13,5,1981,21.16,11.05,0,25.52
14,5,1981,20.91,10.62,0,24.19
