day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.52,9.09,0,21.24
2,1,1981,19.08,9.29,0,19.96
3,1,1981,20.57,9.94,0,21.57
4,1,1981,20.18,9.45,0,22.56
5,1,1981,20,8.54,0,24.28
6,1,1981,19.56,7.98,0,22.36
7,1,1981,19.1,7.48,0,24.28
8,1,1981,18.66,6.16,0,24.74
9,1,1981,18.21,6.68,0,24.14
10,1,1981,20.66,7.9,0,23.95
11,1,1981,20.96,8.98,0,22.13
12,1,1981,18.53,8.92,0,18.45
13,1,1981,19.45,7.73,0,21.85
14,1,1981,19.56,7.97,0,21.23
15,1,1981,18.51,8.02,0,20.83
16,1,1981,20.17,7.79,0,22.83
17,1,1981,20.75,8.18,0,23.67
18,1,1981,21.18,8.63,0,24.12
19,1,1981,21.19,8.45,0,24.2
20,1,1981,20.39,7.47,0,24.97
21,1,1981,21.65,9.15,0,24.12
22,1,1981,20.49,9.59,0,20.24
23,1,1981,20.71,9.57,0,23.85
24,1,1981,19.98,9.13,0,22.13
25,1,1981,21.12,8.39,0,25.03
26,1,1981,21.51,8.6,0,24.36
27,1,1981,20.53,8.85,0,24.03
28,1,1981,20.34,7.84,0,25.47
29,1,1981,19.8,7.41,0,24.31
30,1,1981,20.31,7.36,0,25.52
31,1,1981,19.81,6.69,0,26.13
1,2,1981,19.24,5.99,0,26.11
2,2,1981,19.54,6.46,0,25.88
3,2,1981,20.02,6.73,0,26.1
4,2,1981,19.88,6.73,0,25.94
5,2,1981,19.92,7.25,0,24.68
6,2,1981,20.57,7.83,0,25.9
7,2,1981,20.67,7.56,0,25.55
8,2,1981,21.79,8.44,0,24.86
9,2,1981,21.42,9.18,0,23.27
10,2,1981,20.5,10.74,0,20.06
11,2,1981,19.19,10.18,0,19.39
12,2,1981,18.25,11.47,14.48,16.76
13,2,1981,19.34,10.53,0,20.78
14,2,1981,19.89,10.41,0,21.18
15,2,1981,19.92,10.08,0,22.14
16,2,1981,20.37,10.02,0.25,21.79
17,2,1981,20.63,10.24,0,20.93
18,2,1981,19.47,10.54,0,20.69
19,2,1981,20.16,9.89,0,22.25
20,2,1981,20.74,9.95,0,23.55
21,2,1981,21.88,9.26,0,25.44
22,2,1981,22.08,9.38,0,26.47
23,2,1981,22.91,9.24,0,25.71
24,2,1981,23.66,10.22,0,24.91
25,2,1981,23.17,10.44,0,25.83
26,2,1981,21.91,9.05,0,25.03
27,2,1981,22.41,10.03,0,23.16
28,2,1981,21.52,10.81,0,22.25
1,3,1981,22.34,10.71,7.44,23.2
2,3,1981,20.96,11.72,24.51,21.34
3,3,1981,19.46,11.09,19.26,19.07
4,3,1981,19.35,10.84,1.68,19.81
5,3,1981,18.51,11.54,22.22,17.22
6,3,1981,19.5,11.49,5.37,20.37
7,3,1981,19.55,10.55,0,21.57
8,3,1981,19.68,9.63,0,25.15
9,3,1981,20.56,9.81,0,26.26
10,3,1981,20.35,10.98,0,23.13
11,3,1981,19.74,9.59,3.43,23.16
12,3,1981,20.23,9.71,0,21.13
13,3,1981,20.09,10.78,1.42,18.78
14,3,1981,19.86,11.83,3.95,20.19
15,3,1981,19.13,11.7,0,18.65
16,3,1981,19.83,11.64,2.37,18.71
17,3,1981,20.85,11.16,2.28,23.2
18,3,1981,21.04,10.96,7.65,24
19,3,1981,21.33,12.13,4.83,19.24
20,3,1981,18.99,11.05,2.58,21.48
21,3,1981,19.75,11.6,8.11,20.91
22,3,1981,20.21,10.73,3.74,20.87
23,3,1981,20.41,10.1,9.33,21.58
24,3,1981,19.92,10,5.94,20.2
25,3,1981,20,10.79,6.56,21.08
26,3,1981,20.69,11.08,0,20.66
27,3,1981,18.06,11.93,0,16.14
28,3,1981,18.61,11.02,4.05,18.67
29,3,1981,18.89,11.84,0,15.53
30,3,1981,19.65,11.97,22.96,19.94
31,3,1981,21.14,12.05,0,20.08
1,4,1981,19.13,11.31,2.17,17.45
2,4,1981,18.91,12.17,0,18.79
3,4,1981,19.6,11.78,0,20.36
4,4,1981,20.56,9.98,0.56,22.21
5,4,1981,19.93,12.06,0,20.08
6,4,1981,20.52,11.09,0,22.9
7,4,1981,21.56,10.41,0,24.75
8,4,1981,19.59,11.16,0,21.44
9,4,1981,19.94,11.45,0,21.21
10,4,1981,20.32,11.7,0,21.35
11,4,1981,20.65,11.31,0,22.25
12,4,1981,21.06,12.12,0,20.68
13,4,1981,20.67,11.14,0,22.11
14,4,1981,20.81,11.22,0,23.08
15,4,1981,20.63,11.5,0,20.81
16,4,1981,22.77,11.63,0,23.31
17,4,1981,21.31,11.18,0,21.65
18,4,1981,20.8,11.52,0,22.72
19,4,1981,20.79,11.23,0,23.16
20,4,1981,20.57,12.08,1.83,23.09
21,4,1981,20.09,11.58,39.32,20.84
22,4,1981,19.77,11.37,0,18.78
23,4,1981,19.86,11.5,0,20.19
24,4,1981,19.26,11.77,0,17.54
25,4,1981,19.44,10.61,0,21.05
26,4,1981,20.76,10.04,0.84,24.6
27,4,1981,20.09,11.04,5.78,23.27
28,4,1981,21.11,9.4,0,25.68
29,4,1981,22.28,9.69,0,27.71
30,4,1981,22.44,9.72,0,25.7
1,5,1981,21.5,10.24,0,24.64
2,5,1981,21.71,11.1,0,23.08
3,5,1981,22.29,10.3,0,25.19
4,5,1981,22.2,10.1,0,26.03
5,5,1981,23.13,10.26,0,27.17
6,5,1981,23.12,10.22,0,27.2
7,5,1981,23.2,10.42,0,26.5
8,5,1981,21.26,10.49,0,22.51
9,5,1981,22.05,10.98,0,24.68
10,5,1981,20.71,10.52,0,23.06
11,5,1981,22.19,10.26,0,24.41
12,5,1981,22.42,10.32,0,24.95
13,5,1981,22.68,10.12,0,23.87
14,5,1981,22.91,10.77,0,24.13
15,5,1981,23.38,9.94,0,27.26
16,5,1981,23.23,9.44,0,25.51
17,5,1981,23.07,10.13,1.27,25.21
18,5,1981,21.94,10.75,0,22.13
19,5,1981,22.9,11.65,0,23.09
20,5,1981,23.63,10.56,0,25.55
21,5,1981,23.05,11.14,0,22.14
22,5,1981,22.64,10.39,0,20.27
23,5,1981,23.99,10.28,0,23.48
24,5,1981,23.89,10.95,0,20.79
25,5,1981,23.97,10.45,0,23.8
26,5,1981,24.42,9.98,0,23.67
27,5,1981,24.78,9.96,0,24.84
28,5,1981,24.27,9.85,0,22.7
29,5,1981,24.05,10.46,6.74,19.98
30,5,1981,22.94,11.02,0.82,19.7
31,5,1981,23.68,10.17,0,21.48
1,6,1981,24.9,10.86,0,25.2
2,6,1981,23.77,11.15,0,20.5
3,6,1981,22.77,11.06,1.12,21.13
4,6,1981,23.05,11.18,0,20.44
5,6,1981,23.79,10.42,0,20.82
6,6,1981,23.1,10.79,0,20.92
7,6,1981,22.7,11.03,0,19.56
8,6,1981,23.86,11.36,0,21.92
9,6,1981,23.52,10.87,0,21.51
10,6,1981,24.25,10.76,0,21.86
11,6,1981,24.77,10.39,0,21.07
12,6,1981,24.47,11.91,0,21.82
13,6,1981,23.28,10.98,0,21.25
14,6,1981,22.67,10.23,0,21.17
15,6,1981,23.28,9.79,0,21.6
16,6,1981,24.14,10.09,0,21.01
17,6,1981,22.86,11.02,0,19.68
18,6,1981,24.33,10.54,0,21.95
19,6,1981,24.88,10.67,0,21.13
20,6,1981,24.11,10.79,0,21.01
21,6,1981,22.91,11.2,0.38,17.59
22,6,1981,22.44,10.9,2.46,19.08
23,6,1981,22.42,10.7,0,18.68
24,6,1981,22.69,10.28,8.44,19.39
25,6,1981,21.42,10.28,0,18.87
26,6,1981,21.49,10.4,1.23,20.12
27,6,1981,21.85,9.99,0,20.05
28,6,1981,22.62,10.58,0,19.74
29,6,1981,20.9,10.57,0,17.28
30,6,1981,21.34,10.39,8.36,19.09
1,7,1981,21.76,10.57,0,19.07
2,7,1981,21.9,11.35,0,18.22
3,7,1981,20.85,11.37,7.17,17.51
4,7,1981,20.14,10.76,22.3,16
5,7,1981,20.71,11.06,0.69,18.71
6,7,1981,20.95,11.21,3.22,18.91
7,7,1981,21.13,10.99,4.43,18.01
8,7,1981,20.86,10.31,4.97,18.31
9,7,1981,20.55,10.57,9.7,18.16
10,7,1981,20.41,11.15,20.57,17.38
11,7,1981,19.49,11.17,14.13,14.61
12,7,1981,19.62,10.9,22.93,16.14
13,7,1981,21,10.81,4.08,19.76
14,7,1981,20.88,10.34,6.05,19.54
15,7,1981,20.37,10.47,4.05,18.66
16,7,1981,19.26,10.5,9.77,15.67
17,7,1981,20.27,10.65,7.84,16.06
18,7,1981,20.01,11.96,9.88,17.31
19,7,1981,21.08,11.61,9.59,17.87
20,7,1981,19.93,11.98,14.69,15.66
21,7,1981,21.14,10.33,7.74,19.24
22,7,1981,21.12,11.25,11,18.72
23,7,1981,21.09,10.34,12.08,20.03
24,7,1981,21.13,11.31,19.35,19.76
25,7,1981,19.87,10.98,23.25,16.26
26,7,1981,20.03,11.44,23.6,17.24
27,7,1981,20.41,11.13,5.76,19.53
28,7,1981,20.57,10.43,8.34,18.15
29,7,1981,21.47,11,9.56,20.79
30,7,1981,20.08,10.9,28.36,17.24
31,7,1981,20.87,11.11,9.78,18.68
1,8,1981,21.19,11.35,9.81,20.89
2,8,1981,21.25,11.32,26.97,19.89
3,8,1981,21.68,10.45,4.72,20.29
4,8,1981,20.59,10.79,4.61,18.68
5,8,1981,21.14,11.16,11.26,18.77
6,8,1981,20.41,11.72,21.95,17.07
7,8,1981,20.87,10.79,0,18.48
8,8,1981,20.48,11.17,3.81,18.75
9,8,1981,20.85,10.29,4.96,18.9
10,8,1981,21.28,10.81,12.49,19.68
11,8,1981,21.9,10.93,9.63,22.07
12,8,1981,21.25,10.77,12.04,19.79
13,8,1981,19.41,11.71,4.92,16.02
14,8,1981,20.97,10.41,3.59,20.35
15,8,1981,20.1,10.73,4.33,18.02
16,8,1981,20.53,9.77,5.9,20.87
17,8,1981,20.16,10.37,8.38,20.37
18,8,1981,20.44,10.51,9.41,19.9
19,8,1981,20.33,10.61,6.88,18.42
20,8,1981,19.55,10.23,11.09,19.64
21,8,1981,20.06,10.28,9.28,18.57
22,8,1981,19.4,9.94,25.36,16.34
23,8,1981,19.47,9.28,0.56,18.37
24,8,1981,19.18,9.9,3.12,18.93
25,8,1981,19.79,9.27,0.94,20.89
26,8,1981,20.79,9.23,6.79,21.88
27,8,1981,19.23,10.26,6.93,19.22
28,8,1981,21.13,9.57,9.4,22.52
29,8,1981,20.27,9.08,13.42,21.12
30,8,1981,20.26,10.28,12.68,21.61
