day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.54,9.74,0,21.38
2,1,1981,21.11,9.82,0,20.01
3,1,1981,23.12,11.07,0,21.88
4,1,1981,22.18,9.55,0,22.6
5,1,1981,22.1,8.4,0,24.04
6,1,1981,21.63,8.04,0,22.02
7,1,1981,21.14,7.7,0,24.2
8,1,1981,20.63,7.15,0,24.46
9,1,1981,20.15,7.2,0,24.17
10,1,1981,22.83,8.07,0,23.77
11,1,1981,23.16,9.46,0,22.2
12,1,1981,20.2,9.86,0,19.4
13,1,1981,21.43,8.1,0,22.72
14,1,1981,21.42,8.55,0,21.57
15,1,1981,20.87,8.55,0,21.66
16,1,1981,22.15,8.02,0,23.2
17,1,1981,23.27,9.56,0,23.32
18,1,1981,24.04,9.54,0,23.68
19,1,1981,23.47,9.17,0,23.8
20,1,1981,22.47,8.14,0,24.5
21,1,1981,24.29,9.79,0,23.97
22,1,1981,22.66,10.4,0,19.94
23,1,1981,23.28,8.46,0,23.8
24,1,1981,22.17,10.11,0,22.19
25,1,1981,23.7,9.55,0,24.91
26,1,1981,24.04,9.84,0,24.63
27,1,1981,22.91,9.78,0,24.76
28,1,1981,22.48,8.84,0,25.24
29,1,1981,21.56,7.59,0,24.21
30,1,1981,22.35,7.49,0,25.49
31,1,1981,21.88,6.83,0,25.92
1,2,1981,21.68,6.52,0,25.84
2,2,1981,21.63,6.8,0,25.6
3,2,1981,22.23,6.76,0,25.83
4,2,1981,21.91,7.11,0,25.63
5,2,1981,21.71,7.67,0,24.9
6,2,1981,22.81,8.4,0,25.69
7,2,1981,22.43,8.93,0,25.17
8,2,1981,24.18,8.75,0,24.93
9,2,1981,24.36,10,0,23.71
10,2,1981,23.57,12.3,0,20.11
11,2,1981,20.49,11.21,0,18.84
12,2,1981,19.83,12.4,11.67,15.67
13,2,1981,20.25,11.24,0,19.92
14,2,1981,21.06,10.96,0,19.49
15,2,1981,21.78,10.83,0,21.62
16,2,1981,22.18,10.69,1.17,21.38
17,2,1981,22.37,10.33,0,20.16
18,2,1981,21.21,11.49,0,19.41
19,2,1981,22.2,10.67,0,22.28
