day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.36,11.87,0,21.98
2,1,1981,26.94,12.28,0,20.46
3,1,1981,27.87,11.44,0,21.87
4,1,1981,28.44,12.77,0,23.36
5,1,1981,28.44,11.24,0,23.88
6,1,1981,28.2,12.01,0,22.64
7,1,1981,27.69,11.36,0,24.35
8,1,1981,27.7,8.93,0,24.68
9,1,1981,27.29,9.08,0,23.93
10,1,1981,27.7,10.27,0,23.47
11,1,1981,27.71,11.49,0,22.26
12,1,1981,27.62,13.32,0,18.84
13,1,1981,27.92,12.13,0,22.16
14,1,1981,27.82,13.86,0,20.56
15,1,1981,28.01,13.22,0,20.18
16,1,1981,28.7,12.91,0.78,23.14
17,1,1981,28.63,10.95,0,24.38
18,1,1981,28.38,12.01,0,23.26
19,1,1981,28.8,12.63,3.89,24.19
20,1,1981,29.11,12.26,0,24.49
21,1,1981,28.86,11.58,0,24.31
22,1,1981,28.1,13.43,0,23.56
23,1,1981,28.8,11.93,0,24.05
24,1,1981,29.01,11.42,0,24.65
25,1,1981,29.15,11.23,0,24.94
26,1,1981,29.26,11.39,0,24.52
27,1,1981,29.12,12.12,0,23.53
28,1,1981,29.29,11.7,0,24.98
29,1,1981,29.16,11.96,0,24.19
30,1,1981,28.97,11.48,0,25.18
31,1,1981,28.86,9.54,0,25.78
1,2,1981,28.82,10.09,0,25.79
2,2,1981,28.63,9.94,0,25.48
3,2,1981,29.53,10.41,0,25.9
4,2,1981,29.16,10.27,0,25.74
5,2,1981,29.05,11.31,0,24.11
6,2,1981,29.66,11.02,0,25.58
7,2,1981,29.38,9.86,0,25.63
8,2,1981,29.05,11.73,0,24.5
9,2,1981,28.49,12.69,0,22.78
10,2,1981,28.65,14.24,0,22.43
11,2,1981,28.49,15.47,0,22.5
12,2,1981,28.24,14.29,0,22.48
13,2,1981,29.06,14.45,0,24.66
14,2,1981,28.33,14.35,0,25.36
15,2,1981,28.21,14.09,2.33,24.67
16,2,1981,29.54,12.67,0,25.47
17,2,1981,28.97,14.04,0,23.28
18,2,1981,28.52,14.53,5.14,22.28
19,2,1981,30.06,13.8,0,22.97
20,2,1981,30.09,15,0,23.96
21,2,1981,31.07,13.45,0,25.68
22,2,1981,31.51,12.84,0,26.37
23,2,1981,31.34,12.59,0,26.11
24,2,1981,31.88,12.55,0,26.01
25,2,1981,31.78,13.06,0,26.24
26,2,1981,31.04,13.49,0,25.34
27,2,1981,30.44,13.36,0,25.17
28,2,1981,30.61,14.02,5.94,24.69
1,3,1981,30.9,14.17,22.46,25.58
2,3,1981,29.21,15.81,0,23.17
3,3,1981,27.77,16.01,0,21.33
4,3,1981,27.75,15.86,0,21.71
5,3,1981,28.39,14.89,0,22.41
6,3,1981,28.62,13.86,0,22.28
7,3,1981,29.85,14.16,0,24.71
8,3,1981,29.75,14.97,5.61,24.52
9,3,1981,29.73,14.11,0,25.83
10,3,1981,29.24,14.97,0,22.82
11,3,1981,29.31,14.97,6.25,22.48
12,3,1981,29.18,15.45,0,22.32
13,3,1981,28.03,15.12,0,21.15
14,3,1981,27.93,15.68,0,22.5
15,3,1981,27.01,16.52,9.65,20.39
16,3,1981,27.51,15.02,4.85,22.22
17,3,1981,27.69,13,0,24.36
18,3,1981,28.95,12.26,7.28,27.04
19,3,1981,29.53,13.11,0,23.89
20,3,1981,28.45,14.14,0,23.08
21,3,1981,27.93,14.66,0,22.38
22,3,1981,27.93,15.18,0,22.82
23,3,1981,28.53,13.63,0,24.18
24,3,1981,26.91,14.08,12.02,20.5
25,3,1981,27.7,14.88,12.81,22.11
26,3,1981,26.5,14.41,9.93,21.86
27,3,1981,26.09,16.46,8.28,18.85
28,3,1981,26.42,15.07,0,20.4
29,3,1981,24.39,16.75,10.85,15.44
30,3,1981,26.08,15.29,9.01,17.75
31,3,1981,26.3,16.2,0,20.34
1,4,1981,25.34,15.39,0,17.57
2,4,1981,26.04,15.19,5.57,19.39
3,4,1981,26.97,15.81,4.34,21.94
4,4,1981,27.62,14.58,0,24.94
5,4,1981,27.08,15.26,0,21.49
6,4,1981,27.56,14.84,0,23.07
7,4,1981,27.09,15.7,0,21.89
8,4,1981,26.74,14.49,0,21.69
9,4,1981,27.5,14.1,0,22.55
10,4,1981,27.68,15.53,0,22.26
11,4,1981,27.26,15.37,0,21.7
12,4,1981,27.11,15.69,4.23,21.89
13,4,1981,27.32,14.34,0,22.76
14,4,1981,28.01,14.15,0,23.07
15,4,1981,27.41,15.45,0,22.07
16,4,1981,29.15,14.55,0,24.43
17,4,1981,28.21,14.43,0,22.7
18,4,1981,28.3,13.99,9.94,22.83
19,4,1981,28.23,13.82,0,24.08
20,4,1981,28.56,15.79,0,24.33
21,4,1981,27.66,15.07,0,23.09
22,4,1981,27.07,15.35,0,19.57
23,4,1981,27.08,15.24,0,21.92
24,4,1981,23.55,16.33,28.74,14.77
25,4,1981,27.24,15.71,0,22.66
26,4,1981,28.47,14.86,1.84,25.22
27,4,1981,27.27,14.98,0,22.77
28,4,1981,29.32,13.75,0,24.9
29,4,1981,29.45,13.77,0,26.44
30,4,1981,30.05,13.18,0,25.72
1,5,1981,29.51,15.14,0,23.81
2,5,1981,29.21,15.54,0,22.57
3,5,1981,30.53,14.99,0,23.43
4,5,1981,30.53,14.72,0,26.12
5,5,1981,30.76,14.81,0,26.4
6,5,1981,30.98,14.5,0,26.74
7,5,1981,31.08,15.56,0,25.98
8,5,1981,29.52,16.39,0,23.16
9,5,1981,30.49,16.2,0,24.94
10,5,1981,29.57,15.27,0,23.33
11,5,1981,30.62,15.23,0,25.29
12,5,1981,30.79,15.79,0,23.97
