day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.8,15.15,0,22.3
2,1,1981,28.14,15.24,0,20.92
3,1,1981,29.22,14.84,0,21.71
4,1,1981,29.37,15.88,0,22.81
5,1,1981,29.69,14.85,0,23.51
6,1,1981,29.11,15.12,0,22
7,1,1981,28.75,14.79,0,23.8
8,1,1981,28.6,12.67,0,24.26
9,1,1981,28.38,12.89,0,23.59
10,1,1981,28.65,14.06,0,23.46
11,1,1981,29.12,14.59,0,22.91
12,1,1981,28.69,15.85,0,19.52
13,1,1981,29.06,15.58,0,21.89
14,1,1981,29.21,16.39,0,21.74
15,1,1981,29.46,16.01,0,21.65
16,1,1981,29.49,16.09,0,23.07
17,1,1981,29.8,15.23,0,23.74
18,1,1981,29.82,15.51,0,23.79
19,1,1981,29.84,15.96,0,23.69
20,1,1981,30.4,15.54,0,24.34
21,1,1981,30.48,14.81,0,24.01
22,1,1981,30.03,16.17,0,23.21
23,1,1981,30.3,16.62,0,23.66
24,1,1981,30.21,15.38,0,23.61
25,1,1981,30.33,14.88,0,24.46
26,1,1981,30.2,14.88,0,24.07
27,1,1981,29.85,15.31,0,23.27
28,1,1981,30.33,14.93,0,24.6
29,1,1981,29.6,15.52,0,23.97
30,1,1981,29.83,15.12,0,24.74
31,1,1981,30.02,13.61,0,25.41
1,2,1981,29.92,12.44,0,25.42
2,2,1981,29.56,13.27,0,25.18
3,2,1981,30.79,13.45,0,25.42
4,2,1981,30.54,13.32,0,25.34
5,2,1981,29.68,14.34,0,24.08
6,2,1981,30.67,14.04,0,25.25
7,2,1981,30.4,13.69,0,25.21
8,2,1981,30.43,15.12,0,24.1
9,2,1981,30.3,15.86,0,22.32
10,2,1981,30.35,18.48,0,21.99
11,2,1981,29.56,18.24,0,22.15
12,2,1981,29.03,17.61,11.41,21.85
13,2,1981,30.2,16.99,0,24.3
14,2,1981,30.42,16.47,0,24.89
15,2,1981,29.93,16.62,0,23.94
16,2,1981,30.73,16.36,0,24.4
17,2,1981,30.11,16.75,0,22.54
18,2,1981,30.27,16.61,0,22.96
19,2,1981,31.07,16.57,0,23.24
20,2,1981,30.83,17.71,0,23.9
