day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.34,13.54,0,22.47
2,1,1981,26.66,13.64,0,21.1
3,1,1981,27.78,13.19,0,21.89
4,1,1981,27.93,14.35,0,22.98
5,1,1981,28.26,13.2,0,23.69
6,1,1981,27.67,13.5,0,22.18
7,1,1981,27.3,13.12,0,23.97
8,1,1981,27.16,10.75,0,24.43
9,1,1981,26.93,10.99,0,23.77
10,1,1981,27.21,12.3,0,23.64
11,1,1981,27.69,12.89,0,23.1
12,1,1981,27.26,14.29,0,19.73
13,1,1981,27.64,13.99,0,22.09
14,1,1981,27.8,14.9,0,21.95
15,1,1981,28.06,14.47,0,21.85
16,1,1981,28.08,14.55,0,23.26
17,1,1981,28.41,13.59,0,23.93
18,1,1981,28.43,13.91,0,23.99
19,1,1981,28.45,14.41,0,23.89
20,1,1981,29.03,13.93,0,24.53
21,1,1981,29.11,13.11,0,24.2
22,1,1981,28.65,14.64,0,23.42
23,1,1981,28.94,15.15,0,23.86
24,1,1981,28.84,13.76,0,23.81
25,1,1981,28.96,13.19,0,24.66
26,1,1981,28.84,13.19,0,24.27
27,1,1981,28.48,13.67,0,23.47
28,1,1981,28.97,13.24,0,24.8
29,1,1981,28.24,13.91,0,24.17
30,1,1981,28.47,13.46,0,24.93
31,1,1981,28.67,11.77,0,25.6
1,2,1981,28.56,10.46,0,25.61
2,2,1981,28.2,11.38,0,25.37
3,2,1981,29.46,11.59,0,25.61
4,2,1981,29.2,11.45,0,25.53
5,2,1981,28.32,12.59,0,24.28
6,2,1981,29.34,12.25,0,25.44
7,2,1981,29.07,11.86,0,25.39
8,2,1981,29.1,13.46,0,24.29
9,2,1981,28.97,14.29,0,22.52
10,2,1981,29.02,17.22,0,22.2
11,2,1981,28.21,16.95,0,22.36
12,2,1981,27.68,16.24,6.73,22.05
13,2,1981,28.87,15.55,0,24.49
14,2,1981,29.1,14.97,0,25.07
15,2,1981,28.61,15.14,0.67,24.13
16,2,1981,29.42,14.86,0,24.58
17,2,1981,28.79,15.28,0,22.74
18,2,1981,28.95,15.14,2.2,23.15
19,2,1981,29.78,15.08,0,23.43
20,2,1981,29.53,16.36,0,24.08
21,2,1981,30.83,14.72,0,25.55
22,2,1981,31.36,13.78,0,26.19
23,2,1981,31.28,14.14,0,25.98
24,2,1981,31.57,13.98,0,25.79
25,2,1981,31.93,14.31,0,25.92
26,2,1981,30.66,14.81,0,25.11
27,2,1981,30.21,15.21,0,24.95
28,2,1981,29.91,16.87,2.13,23.9
1,3,1981,30.97,16.54,11.01,25.28
2,3,1981,29.64,17.13,0,24.23
3,3,1981,27.83,17.32,0,21.81
4,3,1981,28.51,17.18,0,22.44
5,3,1981,28.07,17,20.57,22.78
6,3,1981,28.49,15.59,0,22.53
7,3,1981,30.28,16.13,0,24.63
8,3,1981,29.8,15.51,0.4,24.93
9,3,1981,30.11,16.54,0,25.69
10,3,1981,29.29,18.11,0,22.57
11,3,1981,30.57,16.58,1.95,23.81
12,3,1981,29.57,17.36,0,23.35
13,3,1981,28.93,17.43,0,22.44
14,3,1981,28.39,17.43,0,22.99
15,3,1981,28.06,17.74,3,21.04
16,3,1981,28.74,16.52,2.38,23.07
17,3,1981,29.48,15.7,0,24.42
18,3,1981,30.56,14.68,13.74,26.89
