day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.91,11.93,0,22.11
2,1,1981,25.24,12.3,0,20.11
3,1,1981,26.18,11.79,0,20.77
4,1,1981,26.68,12.39,0,23.18
5,1,1981,26.89,11.69,0.11,23.79
6,1,1981,26.22,11.64,0,22.29
7,1,1981,25.85,11.36,0,24.06
8,1,1981,25.76,9.74,0,24.4
9,1,1981,25.53,10.01,0,23.56
10,1,1981,25.45,11.02,0,23.29
11,1,1981,25.72,11.58,0,22.11
12,1,1981,25.25,13.3,0,17.55
13,1,1981,26.32,12.17,0,22
14,1,1981,26.07,13.79,0,20.06
15,1,1981,26.34,12.86,0,19.91
16,1,1981,26.73,12.97,0.98,22.68
17,1,1981,26.91,11.63,0,24.01
18,1,1981,26.96,12.32,0,23.8
19,1,1981,27.09,12.77,0.74,23.94
20,1,1981,27.5,11.81,0,24.55
21,1,1981,27.22,11.72,0,24.15
22,1,1981,26.62,12.18,0,23.02
23,1,1981,27.47,11.94,0,23.76
24,1,1981,27.43,12.01,0,23.86
25,1,1981,27.59,11.74,0,24.65
26,1,1981,27.51,11.9,0,24.1
27,1,1981,27.15,12.39,0,23.02
28,1,1981,27.49,12.15,0,24.89
29,1,1981,26.91,12.15,0,24.14
30,1,1981,27.04,12.06,0,25.04
31,1,1981,26.92,10.35,0,25.57
1,2,1981,26.89,10.49,0,25.56
2,2,1981,26.58,10.83,0,25.3
3,2,1981,27.61,11.29,0,25.62
4,2,1981,27.46,10.93,0,25.55
5,2,1981,26.98,11.91,0,23.95
6,2,1981,27.8,11.63,0,25.4
7,2,1981,27.53,10.53,0,25.31
8,2,1981,27.19,11.96,0,24.27
9,2,1981,27.18,12.63,0,23.22
10,2,1981,27.05,14.7,0,21.77
11,2,1981,26.25,14.94,0.79,21.96
12,2,1981,25.72,14.19,9.74,21.62
13,2,1981,27.23,14.68,0,24.24
14,2,1981,27.05,13.89,0,24.59
15,2,1981,26.76,14.05,1.39,24.06
16,2,1981,27.48,12.93,0,24.88
17,2,1981,26.73,13.52,0,22.74
18,2,1981,26.47,13.7,1.89,21.25
19,2,1981,27.97,13.37,0,22.53
20,2,1981,27.98,14.57,0,23.69
21,2,1981,29.39,13.08,0,25.29
22,2,1981,29.78,12.5,0,26.17
23,2,1981,29.69,12.73,0,25.66
24,2,1981,30.27,12.52,0,25.48
25,2,1981,30.3,12.58,0,25.92
26,2,1981,28.91,13.35,0,24.68
27,2,1981,28.74,13.4,0,24.34
28,2,1981,28.44,14.7,1.95,23.66
1,3,1981,29.32,14.3,11.54,25.03
2,3,1981,27.49,16.33,2.86,23.64
3,3,1981,25.49,16.32,2.26,21.17
4,3,1981,25.87,15.26,1.21,21.67
5,3,1981,26.14,15.41,28.32,21.62
6,3,1981,26.67,14.33,0.8,22.56
7,3,1981,28.48,14.35,0,24.44
8,3,1981,28.03,13.77,0.49,24.94
9,3,1981,28.31,13.28,0,26.05
10,3,1981,27.58,15.02,0,22.89
11,3,1981,27.64,15.03,1.87,22.45
12,3,1981,27.79,14.93,0,22.56
13,3,1981,25.45,15.19,0,21.1
14,3,1981,25.83,15.62,1.12,21.98
15,3,1981,24.81,16.52,4.74,20.1
16,3,1981,25.94,15.59,5.53,21.63
17,3,1981,26.45,13.56,0.16,23.36
18,3,1981,27.75,13.2,16.51,26.91
19,3,1981,27.32,14.18,0.52,23.32
20,3,1981,26.85,14.04,0.75,22.79
21,3,1981,26.34,15.33,1.39,22.68
22,3,1981,26.58,15.64,0.19,22.88
23,3,1981,27.72,14.54,9.85,24
24,3,1981,24.75,14.2,15.04,19.34
25,3,1981,26.19,16.49,7.32,21.29
26,3,1981,25.48,14.87,2.48,21.88
27,3,1981,23.79,15.94,8.27,18.15
28,3,1981,24.62,14.29,2.72,20.27
29,3,1981,21.94,15.91,10.87,15.71
30,3,1981,22.31,15.29,0,16.97
31,3,1981,23.95,16.08,0,20.05
1,4,1981,22.67,14.31,0,16.55
2,4,1981,23.83,14.91,5.35,18.79
3,4,1981,24.84,16.01,0,21.1
4,4,1981,25.88,13.78,0,24.25
5,4,1981,24.81,14.41,0,20.71
6,4,1981,26.07,14.83,0,22.79
7,4,1981,25.29,15.51,0,21.58
8,4,1981,24.83,15.52,0,20.77
9,4,1981,25.89,14.47,0,21.69
10,4,1981,25.81,15.2,0,22.1
11,4,1981,25.65,14.73,0,21.61
12,4,1981,25.21,16.48,0,21.41
13,4,1981,25.99,14.88,0,22.67
14,4,1981,26.24,15.05,0,22.52
15,4,1981,25.24,15.17,0,21.73
16,4,1981,27.9,14.48,0,24.59
17,4,1981,26.95,14.39,0,22.59
18,4,1981,27.33,14.15,0,23.03
19,4,1981,27.37,14.21,0,23.6
20,4,1981,27.66,15.46,0.82,24.44
21,4,1981,26.73,15.91,0,23.06
22,4,1981,24.94,15.81,0,18.97
23,4,1981,25.48,15.67,0,21.8
24,4,1981,20.69,15.55,11.28,13.5
25,4,1981,25.37,16.06,12.89,22.56
26,4,1981,27.14,15.17,3.65,25.65
27,4,1981,25.7,15.54,0,22.86
28,4,1981,27.99,13.41,0,25.2
29,4,1981,28.47,13.29,0,27.04
