day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.25,11.03,0,21.81
2,1,1981,25.01,10.99,0,20.27
3,1,1981,26.62,10.86,0,21.01
4,1,1981,26.67,10.69,0,23.13
5,1,1981,26.98,10.45,0,24.02
6,1,1981,26.1,10.39,0,22.5
7,1,1981,25.98,9.9,0,24.11
8,1,1981,25.85,8.36,0,24.47
9,1,1981,25.95,8.85,0,23.74
10,1,1981,25.84,9.71,0,23.54
11,1,1981,25.88,10.12,0,22.14
12,1,1981,25,12,0,18.04
13,1,1981,26.79,10.99,0,21.86
14,1,1981,26.44,12.33,0,20.59
15,1,1981,26.46,11.75,0,20.42
16,1,1981,26.89,11.42,0,22.68
17,1,1981,27.44,10.95,0,23.72
18,1,1981,27.36,11.35,0,23.97
19,1,1981,27.34,11.42,0,23.99
20,1,1981,27.64,10.47,0,24.7
21,1,1981,27.66,10.46,0,24
22,1,1981,26.86,11.34,0,22.07
23,1,1981,27.71,11.51,0,23.76
24,1,1981,27.73,11.21,0,23.09
25,1,1981,27.99,10.83,0,24.62
26,1,1981,27.91,10.89,0,23.99
27,1,1981,27.39,11.31,0,23.21
28,1,1981,27.78,11.13,0,24.95
29,1,1981,27.12,11.07,0,24.05
30,1,1981,27.29,10.64,0,25.02
31,1,1981,27.03,9.26,0,25.48
1,2,1981,27.1,8.84,0,25.49
2,2,1981,26.87,9.6,0,25.29
3,2,1981,27.69,10.13,0,25.51
4,2,1981,27.82,9.69,0,25.44
5,2,1981,27.51,10.43,0,24.08
6,2,1981,28.15,10.57,0,25.34
7,2,1981,28.06,9.47,0,25.11
8,2,1981,28.3,10.87,0,24.23
9,2,1981,28.46,11.44,0,23.29
10,2,1981,27.33,13.85,0,21.31
11,2,1981,26.03,13.27,0,21.66
12,2,1981,24.95,14.06,11.41,20.15
13,2,1981,26.69,13.62,0,23.24
14,2,1981,27.37,12.8,0,23.71
15,2,1981,26.92,12.74,0,23.37
16,2,1981,27.71,12.39,0,23.87
17,2,1981,26.65,12.5,0,22.38
18,2,1981,26.34,13.51,0,21.01
19,2,1981,27.94,12.28,0,22.5
20,2,1981,28.07,13.17,0,23.51
21,2,1981,29.36,11.55,0,25.04
22,2,1981,29.84,10.57,0,25.92
23,2,1981,29.98,11.62,0,25.28
24,2,1981,30.62,11.68,0,24.83
25,2,1981,30.5,11.28,0,25.57
26,2,1981,29.28,12.39,0,24.4
27,2,1981,29.27,12.6,0,23.56
28,2,1981,28.98,14.17,0,22.78
1,3,1981,29.3,14.37,0,23.87
2,3,1981,27.92,15.41,0,22.72
3,3,1981,25.33,14.66,0,20.46
4,3,1981,25.55,14.19,0,21.37
5,3,1981,25.58,14.48,47.95,20.41
6,3,1981,26.51,14.33,0,22.08
7,3,1981,27.9,13.32,0,23.57
8,3,1981,27.48,11.98,0,25.16
9,3,1981,28.31,11.37,0,25.93
10,3,1981,26.91,13.89,0,23.03
11,3,1981,27.25,13.72,0.12,22.85
12,3,1981,27.41,12.87,0.12,22.13
13,3,1981,25.52,14.13,0.12,20.54
14,3,1981,26.21,15.29,0.12,21.43
15,3,1981,24.98,15.71,0.12,19.76
16,3,1981,26.65,15.1,0,20.83
17,3,1981,27.07,13.63,0,23.36
18,3,1981,28.03,12.98,18.89,26.14
19,3,1981,26.32,14.86,0,22.13
20,3,1981,27.52,13.53,0,22.47
21,3,1981,27.27,14.92,0,22.29
22,3,1981,26.53,14.28,0,22.25
23,3,1981,27.57,13.6,15.67,23.07
24,3,1981,24.77,13.11,15.67,19.59
25,3,1981,26.25,15.52,0,21.04
26,3,1981,26.23,14.01,0,21.63
27,3,1981,24.46,15.3,16.72,18.63
28,3,1981,25.06,13.31,0,20.49
29,3,1981,22.39,15.22,16.72,16.69
30,3,1981,23.24,15,0,18.27
31,3,1981,25.33,15.27,0,20.73
1,4,1981,23.79,13.42,0,17.67
2,4,1981,24.02,14.71,0,19.58
3,4,1981,25.64,15.39,0,20.91
4,4,1981,26.56,12.44,0,23.66
5,4,1981,25.48,14.2,0,20.89
6,4,1981,26.78,14.18,0,23.03
7,4,1981,26.87,14.37,0,23.04
8,4,1981,25.43,15.34,0,21.04
9,4,1981,26.49,14.07,0,21.45
10,4,1981,26.67,14.55,0,22.06
11,4,1981,26.59,14.17,0,22.27
12,4,1981,26.05,16.59,0,21.53
13,4,1981,26.99,13.99,0,22.85
14,4,1981,27.12,15.04,0,22.99
15,4,1981,26.08,14.44,0,21.52
16,4,1981,28.65,13.95,0,24.34
17,4,1981,27.96,13.65,0,22.66
18,4,1981,27.98,13.66,0,23.33
19,4,1981,27.54,14.27,0,23.55
20,4,1981,28.08,15.86,0,24.22
21,4,1981,26.74,15.71,0,22.65
22,4,1981,25.19,15.49,0,19.39
23,4,1981,25.84,15.57,0,21.74
24,4,1981,21.39,15.52,0,15.84
25,4,1981,25.57,14.79,33.13,22.24
26,4,1981,27.45,13.86,9.04,25.29
27,4,1981,26.25,14.93,0,23.41
28,4,1981,28.14,12.59,0,25.49
29,4,1981,28.92,11.9,0,27.33
30,4,1981,28.88,10.99,0,25.48
1,5,1981,28.06,13.15,0,24.51
2,5,1981,27.84,14.57,0,23.03
3,5,1981,28.89,13.14,0,24.72
4,5,1981,29.21,12.91,0,26.52
5,5,1981,29.76,13.69,0,27.22
6,5,1981,29.9,13.23,0,27.31
7,5,1981,29.65,13.82,0,26.33
8,5,1981,27.81,13.51,0,23.24
9,5,1981,28.8,15.17,0,25.03
10,5,1981,27.59,14.04,0,23.42
11,5,1981,29.57,13.42,0,25.02
12,5,1981,29.05,14.27,0,24.49
13,5,1981,29,14.75,0,24.29
14,5,1981,29.05,15.15,0,23.88
15,5,1981,29.81,14.49,0,27.19
16,5,1981,29.68,12.6,0,25
17,5,1981,28.94,12.86,0,25.25
18,5,1981,28.17,15.88,0,22.75
19,5,1981,29.64,15.19,0.2,23.69
20,5,1981,30.38,14.04,0.2,25.34
