day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,17.63,7.97,0,21.18
2,1,1981,18.16,8.46,0,20.86
3,1,1981,18.94,8.1,0,22.04
4,1,1981,18.41,7.93,0,22.76
5,1,1981,18.06,7.78,0.43,22.72
6,1,1981,17.7,8.06,0,22.44
7,1,1981,17.41,6.95,0,23.38
8,1,1981,17.16,6.28,0,23.47
9,1,1981,16.98,6.96,0,22.82
10,1,1981,18.17,7.29,0,22.55
11,1,1981,18.13,8.1,0,22.18
12,1,1981,17.25,9.07,0,18.51
13,1,1981,16.55,7.86,0,19.21
14,1,1981,16.69,8.97,0,17.93
15,1,1981,17.18,8.74,0,20.02
16,1,1981,17.26,7.44,3.96,23.08
17,1,1981,18.01,7.1,0,23.35
18,1,1981,18.54,7.81,0,22.86
19,1,1981,17.87,7.53,0,21.91
20,1,1981,18.39,7.83,0,23.02
21,1,1981,18.76,7.49,0,23.28
22,1,1981,18,9.03,0,20.63
23,1,1981,19.13,8.76,0,23.19
24,1,1981,19.26,8.22,0,23.84
25,1,1981,19.76,8.01,0,24.15
26,1,1981,19.61,8.17,0,23.99
27,1,1981,18.59,8.46,0,23.69
28,1,1981,17.78,8.14,0,21.96
29,1,1981,17.21,7.7,0,21.9
30,1,1981,17.82,7.09,0,24.71
31,1,1981,17.72,6.68,0,25.07
1,2,1981,17.94,6.68,0,24.95
2,2,1981,17.49,7.15,0,23.68
3,2,1981,17.61,7.08,0,23.24
4,2,1981,16.64,7.5,0,20.93
5,2,1981,17.4,7.85,0,23.21
6,2,1981,18.38,7.46,0,24.79
7,2,1981,18.03,7.45,0,23.51
8,2,1981,18.44,7.53,0,24.49
9,2,1981,18.85,7.81,0,23.64
10,2,1981,17.69,9.42,0,19.93
11,2,1981,13.19,9.06,19.18,8.35
12,2,1981,14.03,8.61,0.34,12.11
13,2,1981,14.43,9.26,0,13.7
14,2,1981,14.56,8.79,0,12.6
15,2,1981,14.73,8.97,0,14.49
16,2,1981,15.81,8.41,0,18.29
17,2,1981,16.3,8.91,0,20.93
18,2,1981,15.81,9.3,0,16.62
19,2,1981,17.23,8.78,0,21.53
20,2,1981,17.74,8.83,0,24.19
21,2,1981,18.32,8.23,0,24.85
22,2,1981,18.77,8.08,0,25.8
23,2,1981,19.29,8.05,0,25.76
24,2,1981,20.12,8.5,0,25.63
25,2,1981,19.43,8.82,0,25.55
26,2,1981,18.84,8.59,0,25.41
27,2,1981,18.92,8.4,0,24.47
28,2,1981,19.68,8.64,0.32,24.68
1,3,1981,19.9,8.81,0,24.07
2,3,1981,18.7,10.43,15.06,20.41
3,3,1981,15.49,9.84,26.67,16.38
4,3,1981,15.25,9.71,21.69,16.13
5,3,1981,14.57,9.37,17.38,12.94
6,3,1981,15.5,9.34,11.96,18.75
7,3,1981,15.36,9.49,0,16.25
8,3,1981,16.08,8.93,0,21.24
9,3,1981,17.62,7.84,0,25.92
10,3,1981,17.73,8.68,0,22.74
11,3,1981,17.36,9.95,0,21.38
12,3,1981,18.78,9.66,0,22.02
13,3,1981,17.89,9.89,0,19.07
14,3,1981,16.96,10.34,7.51,18.73
15,3,1981,15.79,10.29,22.57,16.31
16,3,1981,16.49,10.13,7.81,17.25
17,3,1981,16.65,9.69,0,19.74
18,3,1981,16.32,9.65,8.35,19.46
19,3,1981,14.94,9.86,13.62,15.96
20,3,1981,16.22,9.85,15.21,19.6
21,3,1981,17.36,10.37,16.67,20.74
22,3,1981,16.64,10.21,2.72,19.6
23,3,1981,16.5,9.91,17.88,19.27
24,3,1981,16.41,9.56,9.18,20.42
25,3,1981,17.77,10.01,0,24.47
26,3,1981,17.86,10.17,0,21.6
27,3,1981,15.72,10.49,0,17.11
28,3,1981,15.57,10.24,0,14.71
29,3,1981,15.32,9.98,57.89,14.03
30,3,1981,16.24,10.24,0,19.64
31,3,1981,16.04,10.57,0,20.19
1,4,1981,15.7,10.09,19.48,18.13
2,4,1981,15.67,10.58,0,15.95
3,4,1981,16.62,10.39,0,23.36
4,4,1981,16.36,9.7,0,22.22
5,4,1981,16.74,10.27,0,22.6
6,4,1981,16.31,9.97,0,21.97
7,4,1981,17.68,9.74,0,25.15
8,4,1981,17.47,9.72,0,23.11
9,4,1981,17.42,9.89,0,24.05
10,4,1981,16.99,10.82,0,21.24
11,4,1981,17.49,11.38,0,20.29
12,4,1981,16.59,11.1,0,19.37
13,4,1981,16.74,10.52,0,20.04
14,4,1981,17.14,10.3,0,22.62
15,4,1981,18.2,10.79,0,21.4
16,4,1981,18.51,11,0,23.8
17,4,1981,17.25,10.49,0,21.79
18,4,1981,16.62,9.97,0,20.32
19,4,1981,16.55,9.84,0,23.11
20,4,1981,16.64,10.44,0,22.99
21,4,1981,16.85,9.68,0,22.87
22,4,1981,17.19,10.01,0,19.69
23,4,1981,17.64,10.44,0,23.53
24,4,1981,15,10.77,31.69,11.77
25,4,1981,17.07,9.81,0,24.79
26,4,1981,17.72,9.98,0.72,25.38
27,4,1981,17.54,10.66,0,22.29
28,4,1981,18.38,10.18,0,25.15
29,4,1981,19.4,10.4,0,27.18
30,4,1981,19.81,10.39,0,26.02
1,5,1981,18.85,11.42,0,24.07
2,5,1981,19.19,11.21,0,24.47
3,5,1981,19.78,11.24,0,25.57
4,5,1981,19.75,11.74,0,25.64
5,5,1981,20.19,11.09,0,25.77
6,5,1981,20.66,11.19,0,26.92
7,5,1981,20.54,11.67,0,26.33
8,5,1981,20.25,12.23,0,24.86
9,5,1981,19.67,11.76,0,24.96
10,5,1981,19.8,11.89,0,25.32
11,5,1981,20.13,11.8,0,25.06
12,5,1981,19.54,11.99,0,23.19
13,5,1981,20.28,11.67,0,24.95
14,5,1981,20.19,12.29,0,23.37
15,5,1981,21.05,11.17,0,27.33
16,5,1981,21.3,11.61,0,26.69
17,5,1981,21.37,12.42,0,24.95
18,5,1981,21.55,12.7,0,25.02
19,5,1981,21.07,12.6,0,23.37
20,5,1981,21.38,12.03,0,24.96
21,5,1981,20.84,12.68,0,22.4
22,5,1981,20.79,12.69,0,23.2
23,5,1981,21.15,11.88,0,24.66
24,5,1981,21.39,12.11,0,23.74
25,5,1981,21.72,11.95,0,25.48
26,5,1981,22.23,11.95,0,25.36
27,5,1981,22.18,12.54,0,25.3
28,5,1981,21.95,12.45,0.98,24.56
29,5,1981,21.65,12.3,5.59,22.69
30,5,1981,20.82,12.97,5.83,19.29
