day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.77,8.77,0,21.41
2,1,1981,20.7,9.94,0,20.7
3,1,1981,21.86,9.77,0,21.83
4,1,1981,21.09,9.44,0,22.49
5,1,1981,20.79,9.29,0.52,22.84
6,1,1981,20.22,9.33,0,22.31
7,1,1981,19.89,8.32,0,23.39
8,1,1981,19.59,7.78,0,23.43
9,1,1981,19.38,8.41,0,22.63
10,1,1981,20.92,8.72,0,22.71
11,1,1981,20.75,9.6,0,22.29
12,1,1981,19.6,10.78,0,17.38
13,1,1981,19.25,9.11,0,20.79
14,1,1981,19.06,10.45,0,19.15
15,1,1981,19.25,10.41,0,20.19
16,1,1981,19.83,8.98,3.46,22.94
17,1,1981,20.63,8.68,0,23.19
18,1,1981,21.56,9.38,0,23.15
19,1,1981,20.54,9.25,0,21.81
20,1,1981,21.04,9.46,0,22.8
21,1,1981,21.67,8.96,0,23.31
22,1,1981,20.9,10.61,0,20.95
23,1,1981,22.12,10.55,0,22.87
24,1,1981,22.06,10.24,0,23.38
25,1,1981,22.85,9.91,0,24.14
26,1,1981,22.79,10.08,0,23.93
27,1,1981,21.5,10.24,0,23.65
28,1,1981,20.65,9.62,0,22.92
29,1,1981,19.64,9.28,0,22.83
30,1,1981,20.39,8.53,0,24.75
31,1,1981,20.38,8.02,0,25.13
1,2,1981,20.56,8.52,0,25.02
2,2,1981,20.01,8.48,0,24.33
3,2,1981,20.09,8.67,0,23.68
4,2,1981,19.23,8.87,0,21.56
5,2,1981,19.92,9.32,0,22.96
6,2,1981,21.23,9.2,0,24.81
7,2,1981,20.6,9.06,0,23.46
8,2,1981,21.35,9.14,0,24.56
9,2,1981,21.79,9.51,0,24.21
10,2,1981,20.88,11.02,0,20.49
11,2,1981,15.74,10.99,13.94,10.15
12,2,1981,16.23,10.27,10.05,12.09
13,2,1981,16.48,10.97,0,14.09
14,2,1981,17,10.55,0,13.52
15,2,1981,17.26,10.66,0,15.33
16,2,1981,18.3,10.17,0,17.65
17,2,1981,19.41,10.49,2.27,20.86
18,2,1981,18.73,11.02,0,16.72
19,2,1981,20.44,10.51,0,22.22
20,2,1981,20.88,10.81,0,23.99
21,2,1981,21.56,10.22,0,24.59
22,2,1981,22.28,9.94,0,25.87
