day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,14.89,6.02,0,20.91
2,1,1981,14.57,6.07,0,19.38
3,1,1981,16.06,6.84,0,21.47
4,1,1981,15.36,5.9,0,22.27
5,1,1981,15.29,5.19,0,23.87
6,1,1981,14.94,4.96,0,21.62
7,1,1981,14.57,4.74,0,24.05
8,1,1981,14.19,4.41,0,24.33
9,1,1981,13.83,4.44,0,24.02
10,1,1981,15.82,4.97,0,23.56
11,1,1981,16.06,5.83,0,21.81
12,1,1981,13.86,6.07,0,18.69
13,1,1981,14.76,5,0,22.39
14,1,1981,14.76,5.27,0,21.1
15,1,1981,14.34,5.27,0,21.2
16,1,1981,15.29,4.94,0,22.92
17,1,1981,16.12,5.89,0,23.06
18,1,1981,16.69,5.88,0,23.46
19,1,1981,16.26,5.65,0,23.6
20,1,1981,15.52,5.02,0,24.37
21,1,1981,16.86,6.04,0,23.78
22,1,1981,15.65,6.41,0,19.28
23,1,1981,16.11,5.22,0,23.6
24,1,1981,15.29,6.24,0,21.8
25,1,1981,16.42,5.9,0,24.83
26,1,1981,16.67,6.08,0,24.53
27,1,1981,15.83,6.05,0,24.67
28,1,1981,15.51,5.48,0,25.21
29,1,1981,14.82,4.7,0,24.06
30,1,1981,15.4,4.65,0,25.49
31,1,1981,15.05,4.25,0,25.98
1,2,1981,14.9,4.06,0,25.89
2,2,1981,14.86,4.24,0,25.63
3,2,1981,15.31,4.22,0,25.89
4,2,1981,15.06,4.44,0,25.67
5,2,1981,14.92,4.79,0,24.85
6,2,1981,15.74,5.24,0,25.74
7,2,1981,15.45,5.58,0,25.16
8,2,1981,16.75,5.47,0,24.9
9,2,1981,16.88,6.25,0,23.54
10,2,1981,16.29,7.67,0,19.52
11,2,1981,14,7.01,0,18.11
12,2,1981,13.51,7.75,16.85,14.58
13,2,1981,13.82,7.05,2,19.32
14,2,1981,14.43,6.88,0,18.85
15,2,1981,14.96,6.8,0,21.22
16,2,1981,15.25,6.73,0,20.97
17,2,1981,15.39,6.52,0,19.61
18,2,1981,14.54,7.23,0,18.77
19,2,1981,15.27,6.74,0,21.98
20,2,1981,15.58,6.52,0,22.93
21,2,1981,16.68,6.58,0,25.36
22,2,1981,16.81,5.81,0,26.37
23,2,1981,17.49,6.69,0,25.88
24,2,1981,18.33,7.41,0,25.22
25,2,1981,17.77,6.95,0,26.25
26,2,1981,16.78,6.32,0,25.54
27,2,1981,16.7,6.68,0,23.31
28,2,1981,16.94,7.52,0,22.84
1,3,1981,17.41,6.94,0,23.35
2,3,1981,16.04,7.97,15.31,20.4
3,3,1981,14.81,7.93,37.48,17.5
4,3,1981,14.73,7.77,0,19
5,3,1981,13.63,8.29,20,15.74
6,3,1981,14.97,8.31,6.51,19.15
7,3,1981,14.01,7.64,0,20.47
8,3,1981,15.19,6.88,0,24.84
9,3,1981,15.93,6.75,0,26.34
10,3,1981,15.57,7.77,0,23.27
11,3,1981,15.53,6.84,0.74,22.34
12,3,1981,16.13,6.42,0,20.64
13,3,1981,15.67,7.38,0,17.31
14,3,1981,14.53,8.28,5.09,18.3
15,3,1981,14.04,8.26,0,17.83
16,3,1981,15.26,8.53,3.55,17.11
17,3,1981,16.58,7.91,5.85,22.31
18,3,1981,16.28,7.54,7.42,22.85
19,3,1981,16.05,8.97,7.97,16.37
20,3,1981,14.76,7.55,4.41,21.27
21,3,1981,14.5,8.69,11.86,19.53
22,3,1981,15.33,7.39,4.75,20.18
23,3,1981,15.35,7.39,5.26,20.92
24,3,1981,14.86,7.06,4.89,19.63
25,3,1981,15.6,7.62,5.34,20.81
26,3,1981,15.4,7.26,0,20.44
27,3,1981,13.54,8.46,0,15.41
