day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,18.78,9.14,0,21.31
2,1,1981,18.84,9.11,0,19.96
3,1,1981,20.32,9.83,0,22.01
4,1,1981,19.06,9.15,0,21.87
5,1,1981,19.26,8.58,0,23.49
6,1,1981,18.74,8.99,0,21.58
7,1,1981,18.4,8.65,0,23.84
8,1,1981,18,8.1,0,23.89
9,1,1981,17.63,8.51,0,23.31
10,1,1981,19.46,8.45,0,23.38
11,1,1981,19.54,9.03,0,22.23
12,1,1981,17.8,9.9,0,18.14
13,1,1981,18.39,8.84,0,22.89
14,1,1981,18.17,8.99,0,21.79
15,1,1981,18.21,9.38,0,21.88
16,1,1981,18.64,9.03,0,23.17
17,1,1981,19.28,9.03,0,23.01
18,1,1981,20.36,9.18,0,23.39
19,1,1981,19.57,9.39,0,23.29
20,1,1981,19,8.9,0,23.25
21,1,1981,20.68,8.89,0,23.78
22,1,1981,18.72,10.08,0,20.17
23,1,1981,20.02,9.08,0,22.99
24,1,1981,19.39,10.22,0,21.61
25,1,1981,20.61,9.13,0,24.54
26,1,1981,20.7,9.44,0,24.46
27,1,1981,19.93,9.51,0,24.6
28,1,1981,19.01,8.97,0,24.57
29,1,1981,18.12,8.88,0,23.16
30,1,1981,18.88,8.99,0,25.23
31,1,1981,18.74,7.99,0,25.72
1,2,1981,18.81,7.71,0,25.52
2,2,1981,18.39,8,0,25.26
3,2,1981,18.86,7.99,0,25.48
4,2,1981,18.66,8.45,0,25.14
5,2,1981,18.36,8.98,0,23.65
6,2,1981,19.62,9.53,0,25.36
7,2,1981,18.89,9.23,0,24.41
8,2,1981,20.23,9.2,0,24.86
9,2,1981,20.49,9.57,0,23.93
10,2,1981,19.91,10.82,0,20.32
11,2,1981,15.99,10.67,0,16.44
12,2,1981,15.32,10.43,16.85,12.85
13,2,1981,16.15,10.33,2,18.02
14,2,1981,15.84,10.14,0,16.61
15,2,1981,17.63,10.08,0,21.12
16,2,1981,16.83,10.2,0,20.27
17,2,1981,18.13,9.97,0,19.8
18,2,1981,17.79,10.74,0,18.08
19,2,1981,18.67,10.39,0,22.09
20,2,1981,18.97,10.24,0,22.91
21,2,1981,19.83,10.02,0,24.84
22,2,1981,20.33,9.64,0,25.4
23,2,1981,20.92,9.67,0,25.79
24,2,1981,21.79,10.17,0,25.38
25,2,1981,21.27,10.71,0,25.71
26,2,1981,20.07,10.29,0,25.18
27,2,1981,20.04,10.06,0,23.71
28,2,1981,21.09,10.53,0,23.78
1,3,1981,21,10.34,0,23.9
2,3,1981,19.31,11.05,15.31,20.92
3,3,1981,18.36,11.57,37.48,17.36
4,3,1981,18.16,11.36,0,19.95
5,3,1981,16.81,11.46,20,15.18
6,3,1981,17.27,11.27,6.51,19.22
7,3,1981,16.7,11.12,0,19.13
8,3,1981,18.04,10.74,0,23.9
9,3,1981,19.41,9.83,0,26.23
10,3,1981,19.2,10.77,0,23.67
11,3,1981,19.28,11.47,0.74,22.2
12,3,1981,20.34,10.64,0,21.83
13,3,1981,19.67,11.38,0,18.27
14,3,1981,17.64,11.71,5.09,18.27
15,3,1981,17.4,11.77,0,18.47
16,3,1981,17.14,11.74,3.55,17.09
17,3,1981,19.46,11.26,5.85,22.48
18,3,1981,17.9,11.08,7.42,22.3
19,3,1981,16.41,11.98,7.97,15.34
20,3,1981,18.82,11.25,4.41,21.04
21,3,1981,18.16,12.11,11.86,19.45
22,3,1981,18.33,11.27,4.75,21.1
23,3,1981,18.01,11.26,5.26,21.69
24,3,1981,18.43,10.95,4.89,20.67
25,3,1981,18.91,11.35,5.34,22
26,3,1981,19.1,10.93,0,21.71
27,3,1981,16.79,11.84,0,15.56
28,3,1981,17.6,11.59,16.51,16.74
29,3,1981,16.38,11.95,0,15.45
30,3,1981,17.85,12.16,16.21,19.82
31,3,1981,17.4,12.03,7.99,19.93
1,4,1981,17.13,11.51,0,18.4
2,4,1981,16.83,12.05,0,18.65
3,4,1981,17.64,12.07,0,23.03
4,4,1981,17.39,10.56,9.49,21.44
5,4,1981,17.54,12.23,0,20.68
6,4,1981,17.55,12.23,0,23.83
7,4,1981,18.99,11.51,0,26.06
8,4,1981,18.54,11.63,0,23.23
9,4,1981,19.08,12.13,0,22.81
10,4,1981,18.54,12.78,0,21.61
11,4,1981,18.73,12.51,0,21.14
12,4,1981,18.5,13.37,0,20.7
13,4,1981,18.77,12.23,0,22.5
14,4,1981,19.16,12.16,0,24
15,4,1981,18.59,12.35,0,20.09
16,4,1981,19.86,12.06,0,22.7
17,4,1981,19.32,12.11,0,22.53
18,4,1981,18.03,12.13,0,21.08
19,4,1981,18.86,12.03,0,22.91
20,4,1981,18.87,12.79,8.06,23.22
21,4,1981,18.65,12.3,28.5,21.55
22,4,1981,18.75,12.28,2.02,20.03
23,4,1981,18.75,12.89,2.02,21.05
24,4,1981,16.75,12.51,2.02,17.06
25,4,1981,18.22,11.71,2.02,23.08
26,4,1981,19.17,12.19,4.58,25.07
27,4,1981,18.71,12.89,0,22.48
28,4,1981,19.78,11.88,0.43,24.8
29,4,1981,21.05,12.16,0.66,27.77
30,4,1981,21.09,11.84,1.09,25.55
1,5,1981,20.51,13.06,0,25.49
