day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.14,8.92,0,21.29
2,1,1981,19.2,8.89,0,19.92
3,1,1981,20.71,9.76,0,22.01
4,1,1981,19.42,8.93,0,21.87
5,1,1981,19.63,8.23,0,23.51
6,1,1981,19.1,8.73,0,21.58
7,1,1981,18.75,8.32,0,23.87
8,1,1981,18.34,7.64,0,23.93
9,1,1981,17.97,8.14,0,23.34
10,1,1981,19.83,8.06,0,23.42
11,1,1981,19.91,8.76,0,22.25
12,1,1981,18.14,9.83,0,18.09
13,1,1981,18.74,8.53,0,22.92
14,1,1981,18.51,8.7,0,21.81
15,1,1981,18.55,9.18,0,21.9
16,1,1981,19,8.74,0,23.22
17,1,1981,19.64,8.74,0,23.05
18,1,1981,20.74,8.91,0,23.44
19,1,1981,19.93,9.17,0,23.34
20,1,1981,19.35,8.56,0,23.3
21,1,1981,21.07,8.54,0,23.85
22,1,1981,19.07,10,0,20.17
23,1,1981,20.39,8.77,0,23.04
24,1,1981,19.75,10.15,0,21.64
25,1,1981,20.99,8.81,0,24.63
26,1,1981,21.08,9.18,0,24.54
27,1,1981,20.3,9.26,0,24.68
28,1,1981,19.36,8.59,0,24.65
29,1,1981,18.45,8.48,0,23.22
30,1,1981,19.23,8.6,0,25.32
31,1,1981,19.09,7.38,0,25.82
1,2,1981,19.16,7.03,0,25.63
2,2,1981,18.73,7.37,0,25.36
3,2,1981,19.21,7.36,0,25.59
4,2,1981,19.01,7.91,0,25.25
5,2,1981,18.7,8.54,0,23.73
6,2,1981,19.98,9.22,0,25.47
7,2,1981,19.23,8.83,0,24.51
8,2,1981,20.6,8.79,0,24.97
9,2,1981,20.87,9.23,0,24.02
10,2,1981,20.27,10.75,0,20.35
11,2,1981,16.29,10.56,0,16.41
12,2,1981,15.6,10.25,16.85,12.75
13,2,1981,16.44,10.12,2,18.01
14,2,1981,16.14,9.87,0,16.58
15,2,1981,17.95,9.8,0,21.16
16,2,1981,17.14,9.92,0,20.3
17,2,1981,18.46,9.64,0,19.83
18,2,1981,18.11,10.56,0,18.08
19,2,1981,19.01,10.13,0,22.15
20,2,1981,19.32,9.93,0,22.99
21,2,1981,20.2,9.66,0,24.95
22,2,1981,20.7,9.18,0,25.53
23,2,1981,21.3,9.21,0,25.92
24,2,1981,22.19,9.8,0,25.5
25,2,1981,21.66,10.45,0,25.84
26,2,1981,20.44,9.92,0,25.3
27,2,1981,20.41,9.64,0,23.8
28,2,1981,21.48,10.2,0,23.88
1,3,1981,21.39,9.95,0,24
2,3,1981,19.66,10.81,15.31,20.97
3,3,1981,18.7,11.43,37.48,17.35
4,3,1981,18.5,11.16,0,19.99
5,3,1981,17.12,11.27,20,15.13
6,3,1981,17.59,11.03,6.51,19.24
7,3,1981,17.01,10.84,0,19.15
8,3,1981,18.37,10.35,0,24
9,3,1981,19.77,9.23,0,26.37
10,3,1981,19.56,10.37,0,23.76
11,3,1981,19.64,11.21,0.74,22.26
12,3,1981,20.72,10.19,0,21.9
13,3,1981,20.03,11.07,0,18.28
14,3,1981,17.96,11.47,5.09,18.28
15,3,1981,17.72,11.52,0,18.47
16,3,1981,17.46,11.47,3.55,17.07
