day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.22,13.69,0,21.31
2,1,1981,25.29,13.64,0,20.05
3,1,1981,27.14,14.84,0,21.96
4,1,1981,25.55,13.7,0,21.83
5,1,1981,25.8,12.73,0,23.34
6,1,1981,25.14,13.41,0,21.56
7,1,1981,24.7,12.84,0,23.66
8,1,1981,24.19,11.89,0,23.72
9,1,1981,23.73,12.58,0,23.17
10,1,1981,26.01,12.46,0,23.24
11,1,1981,26.11,13.43,0,22.17
12,1,1981,23.92,14.91,0,18.35
13,1,1981,24.66,13.09,0,22.78
14,1,1981,24.36,13.32,0,21.76
15,1,1981,24.41,13.99,0,21.84
16,1,1981,24.95,13.38,0,23.05
17,1,1981,25.74,13.36,0,22.89
18,1,1981,27.1,13.59,0,23.25
19,1,1981,26.1,13.96,0,23.16
20,1,1981,25.38,13.1,0,23.12
21,1,1981,27.49,13.07,0,23.62
22,1,1981,25.01,15.08,0,20.25
23,1,1981,26.64,13.37,0,22.88
24,1,1981,25.85,15.28,0,21.59
25,1,1981,27.36,13.42,0,24.33
26,1,1981,27.48,13.92,0,24.25
27,1,1981,26.5,14.02,0,24.39
28,1,1981,25.34,13.09,0,24.36
29,1,1981,24.21,12.92,0,23.05
30,1,1981,25.18,13.08,0,24.98
31,1,1981,24.99,11.39,0,25.43
1,2,1981,25.07,10.89,0,25.26
2,2,1981,24.54,11.36,0,25.02
3,2,1981,25.12,11.32,0,25.22
4,2,1981,24.87,12.07,0,24.91
5,2,1981,24.49,12.95,0,23.51
6,2,1981,26.06,13.88,0,25.11
7,2,1981,25.13,13.32,0,24.23
8,2,1981,26.81,13.26,0,24.65
9,2,1981,27.14,13.86,0,23.78
10,2,1981,26.41,15.96,0,20.42
11,2,1981,21.47,15.68,0,16.8
12,2,1981,20.63,15.25,16.85,13.45
13,2,1981,21.66,15.06,2,18.28
14,2,1981,21.27,14.71,0,16.96
15,2,1981,23.52,14.6,0,21.17
16,2,1981,22.5,14.75,0,20.38
17,2,1981,24.14,14.36,0,19.95
18,2,1981,23.7,15.62,0,18.34
19,2,1981,24.8,15.02,0,22.08
20,2,1981,25.18,14.72,0,22.85
21,2,1981,26.26,14.34,0,24.66
22,2,1981,26.88,13.65,0,25.19
23,2,1981,27.62,13.69,0,25.55
24,2,1981,28.71,14.5,0,25.16
25,2,1981,28.05,15.39,0,25.48
26,2,1981,26.54,14.65,0,24.98
