day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.57,10.72,0,21.78
2,1,1981,21.49,11.38,0,20.75
3,1,1981,22.72,11.52,0,22.33
4,1,1981,21.71,11.87,0,21.68
5,1,1981,21.73,11.26,0,23.02
6,1,1981,20.96,11.46,0,21.82
7,1,1981,20.85,10.59,0,23.47
8,1,1981,20.55,10.15,0,23.46
9,1,1981,20.02,10.58,0,22.15
10,1,1981,21.96,11.09,0,23.02
11,1,1981,21.96,11.66,0,22.57
12,1,1981,20.45,12.11,0,17.43
13,1,1981,20.44,10.98,0,22.79
14,1,1981,20.16,11.19,0,21.71
15,1,1981,20.34,11.52,0,21.9
16,1,1981,20.8,10.94,0,23.13
17,1,1981,21.4,11.15,0,22.94
18,1,1981,22.57,11.57,0,23.21
19,1,1981,21.29,11.55,0,22.56
20,1,1981,21.52,11.52,0,22.52
21,1,1981,22.39,11.6,0,23.52
22,1,1981,21.45,12.39,0,21.52
23,1,1981,22.7,12.25,0,22.44
24,1,1981,22.39,12.48,0,21.89
25,1,1981,23.29,12.22,0,24.03
26,1,1981,23.36,12.44,0,23.98
27,1,1981,22.53,12.42,0,24.01
28,1,1981,21.29,11.98,0,23.63
29,1,1981,20.54,11.55,0,22.7
30,1,1981,21.32,10.82,0,24.64
31,1,1981,21.27,10.32,0,25.08
1,2,1981,21.38,10.42,0,24.88
2,2,1981,20.73,10.93,0,24.58
3,2,1981,21.14,11.04,0,24.54
4,2,1981,20.87,11.18,0,23.87
5,2,1981,20.73,11.39,0,22.32
6,2,1981,22.04,11.9,0,24.55
7,2,1981,21.41,11.75,0,23.44
8,2,1981,22.18,11.87,0,24.41
9,2,1981,22.72,11.96,0,24.11
10,2,1981,22.49,12.78,0,21.15
11,2,1981,18.59,12.39,2.08,15.46
12,2,1981,17.74,12.09,15.17,12.44
13,2,1981,18.57,12.39,9.4,16.18
14,2,1981,18.61,12.14,0,15.3
15,2,1981,19.99,12.11,0,20.79
16,2,1981,20.26,12.45,0,19.15
17,2,1981,21.06,12.17,0.51,20.6
18,2,1981,20.13,12.65,0,17.14
19,2,1981,22.16,12.71,0,22.48
20,2,1981,22.46,12.9,0,23.46
21,2,1981,23.03,12.69,0,24.13
22,2,1981,24.09,12.63,0,25.29
23,2,1981,24.43,12.66,0,25.39
24,2,1981,25.51,13.14,0,25.29
25,2,1981,24.65,13.74,0,25.27
26,2,1981,23.31,13.48,0,24.45
27,2,1981,23.84,13.06,0,24.17
28,2,1981,24.43,13.59,0,24.27
1,3,1981,24.86,13.71,0,24.37
2,3,1981,23.28,13.97,7.34,21.45
3,3,1981,21.01,13.3,49.25,17.22
4,3,1981,20.87,13.1,0,20.23
5,3,1981,18.49,13.05,15.52,15.2
6,3,1981,18.75,13.09,6.39,19.56
7,3,1981,18.62,13.42,0,18.1
8,3,1981,20.47,12.87,0,22.6
9,3,1981,21.94,12.22,0,25.78
10,3,1981,22.39,13.04,0,23.77
11,3,1981,22.04,13.8,0,21.6
12,3,1981,23.6,13.49,0,23
13,3,1981,22.66,14.06,0,19.52
14,3,1981,21.17,13.93,0,18.72
15,3,1981,19.85,13.32,1.88,19.23
16,3,1981,19.56,13.24,1.16,17.81
17,3,1981,21.4,13.52,9.96,22.66
18,3,1981,19.73,13.36,4.3,22
19,3,1981,16.48,13.45,14.01,13.73
20,3,1981,19.42,13.15,2,20.56
21,3,1981,20.28,13.68,30.75,19.87
22,3,1981,20.04,13.63,0,21.8
23,3,1981,20.05,13.15,1.16,22.12
24,3,1981,20.57,13.15,0,22.28
25,3,1981,21.58,13.51,0,23.83
26,3,1981,21.91,13.68,0,23.18
27,3,1981,18.55,13.51,0,17.5
28,3,1981,18.23,13.47,0,16.76
29,3,1981,18.72,13.34,9.9,18.6
30,3,1981,19.18,13.31,0,20.65
31,3,1981,19.4,13.5,39.11,20.62
1,4,1981,18.65,13.69,2.13,19.72
2,4,1981,18.63,13.69,0,18.49
3,4,1981,20.37,13.56,0,24.65
4,4,1981,20.12,13.17,0.69,21.31
5,4,1981,20.37,14.05,0.69,21.91
6,4,1981,20.13,13.76,0,23.44
7,4,1981,21.77,13.36,0,25.85
8,4,1981,21.92,13.81,0,24.29
9,4,1981,22.23,14.25,0,24.19
10,4,1981,21.86,14.41,0,22.88
11,4,1981,21.99,15.25,0,18.7
12,4,1981,21.31,14.83,0,20.93
13,4,1981,21.85,14.3,0,22.2
14,4,1981,22.22,14.53,0,24.32
15,4,1981,21.63,14.7,0,21.17
16,4,1981,22.99,14.37,0,22.31
17,4,1981,22.16,14.6,0,22.74
18,4,1981,20.62,14.35,0.21,20.25
19,4,1981,21.52,13.91,3.33,22.29
20,4,1981,22.2,14.12,3.31,23.36
21,4,1981,22.08,13.82,7.56,22.56
22,4,1981,22.27,14.67,7.56,20.76
23,4,1981,22.93,15.17,7.56,22.67
24,4,1981,19.93,14.38,14.16,15.33
25,4,1981,21.96,13.69,7.56,24.61
26,4,1981,22.52,14.55,0,23.68
27,4,1981,22.36,15.21,0,23.23
28,4,1981,23.06,14.7,0,24.07
29,4,1981,24.31,14.69,0,26.62
30,4,1981,24.91,14.82,0,25.82
1,5,1981,24.04,15.71,0,24.95
2,5,1981,24.03,15.36,0,24.51
3,5,1981,24.59,16.01,2.77,24.92
4,5,1981,24.24,16.05,3.7,24.74
5,5,1981,24.9,15.51,3.9,25.25
6,5,1981,25.23,15.32,0,25.9
7,5,1981,25.36,15.98,0.9,25.92
8,5,1981,24.85,16.07,0,24.98
9,5,1981,24.12,16.56,0,25.23
10,5,1981,23.44,16.47,0,22.33
11,5,1981,24.11,15.85,0.06,23.41
12,5,1981,24.18,15.8,0,24.57
13,5,1981,24.92,15.76,0,25.53
14,5,1981,24.61,16.16,0,24.75
15,5,1981,25.26,15.32,0,26.82
16,5,1981,25.46,15.67,0,25.81
17,5,1981,25.65,15.68,0,25.49
18,5,1981,25.09,16.47,0,24.31
19,5,1981,24.63,16.16,0,23.09
20,5,1981,25.13,15.75,0,24.6
21,5,1981,24.97,16.26,0,22.13
22,5,1981,24.51,16.12,0,21.88
23,5,1981,24.8,15.88,0,24.22
24,5,1981,24.43,15.86,0,22.91
25,5,1981,25.28,15.89,0,24.61
26,5,1981,26.06,15.77,0,24.29
27,5,1981,25.67,15.88,0,24.21
28,5,1981,25.52,15.73,0,23.59
29,5,1981,25.12,15.82,0.53,21.57
30,5,1981,24.73,16.7,0.53,19.38
31,5,1981,24.67,16.07,2.49,21.02
1,6,1981,25.9,15.8,0,24.04
2,6,1981,25.45,16.35,0,21.77
3,6,1981,25.31,16.17,0,22.25
4,6,1981,25.52,16,0,21.74
5,6,1981,25.03,15.89,0,21.43
6,6,1981,25.69,15.93,0,21.81
7,6,1981,24.94,16.47,0,21.47
8,6,1981,24.28,16.07,0,20.33
9,6,1981,24.32,15.88,0,21.43
10,6,1981,24.78,15.9,0,20.68
11,6,1981,25.39,16.07,0,20.25
12,6,1981,25.25,16.24,0,20.9
13,6,1981,25.49,15.58,0,21.28
14,6,1981,25.56,15.52,0,21.41
15,6,1981,26.21,15.45,0,22.17
16,6,1981,25.91,15.97,0,21.36
17,6,1981,25.03,16.35,0,19.97
18,6,1981,25.61,16.08,0,21.76
19,6,1981,25.36,15.71,0,21.09
20,6,1981,25.89,15.85,0,21.49
21,6,1981,25.63,16.01,0,20.6
22,6,1981,25.53,15.96,0,20.68
23,6,1981,25.66,15.97,0,20.72
24,6,1981,25.88,16.38,3.23,21.05
25,6,1981,25.86,16.19,2.51,21
26,6,1981,25.84,16.04,0,21.12
27,6,1981,25.26,15.96,0,21.49
28,6,1981,25.45,16.66,0,21.17
29,6,1981,25.29,16.22,0.57,20.08
30,6,1981,25.64,16.14,0,21.4
1,7,1981,25.75,16.33,2.6,21.47
2,7,1981,25.57,16.74,2.6,19.85
3,7,1981,24.87,16.36,2.6,18.39
4,7,1981,24,16.09,2.6,17.56
5,7,1981,24.14,16.29,2.6,20.17
6,7,1981,24.34,15.56,0,20.73
7,7,1981,24.6,16.29,0,20.06
8,7,1981,24.27,15.84,0,20.33
9,7,1981,24.49,15.9,32.64,20.59
10,7,1981,24.18,15.87,0,20.2
11,7,1981,23,15.28,39.3,18.47
12,7,1981,22.95,15.36,0.31,19.35
13,7,1981,23.62,15.55,0,21.23
14,7,1981,24.59,15.43,0,21.27
15,7,1981,24.8,15.49,0,21.49
16,7,1981,23.73,16.25,7,18.23
17,7,1981,23.48,15.37,7,18.29
18,7,1981,23.7,15.44,7,20.38
19,7,1981,23.6,15.28,7,19.36
20,7,1981,22.52,15.62,17.05,13.8
21,7,1981,23.99,15.2,6.8,21.11
22,7,1981,24.39,15.43,15.44,20.95
23,7,1981,24.44,15.41,6.8,21.64
24,7,1981,25.11,15.41,6.8,21.99
25,7,1981,24.83,15.44,7.4,20.02
26,7,1981,22.64,15.1,17.43,17.27
27,7,1981,23.83,15.69,1.08,22.1
28,7,1981,24.01,15.31,0,22.26
29,7,1981,24.94,15.25,13.53,22.62
30,7,1981,24.08,15.42,18.53,20.34
31,7,1981,25.08,15.86,19.63,21.3
1,8,1981,25.6,15.87,15.23,22.3
2,8,1981,24.65,15.38,26.68,22.27
3,8,1981,24.69,15.6,0,22.33
4,8,1981,24.71,15.62,0,21.78
5,8,1981,25.43,15.21,0,21.79
6,8,1981,21.51,15.08,44.84,17.36
7,8,1981,22.74,14.95,0,21.22
8,8,1981,22.83,14.85,0.95,21.7
9,8,1981,23.85,15,0,22.62
10,8,1981,24.05,15.46,0,22.29
11,8,1981,25.85,15.17,4.4,23.35
12,8,1981,24.87,14.89,4.4,22.76
13,8,1981,21.99,14.85,7.49,20.84
14,8,1981,23.38,15.09,7.3,23.28
15,8,1981,22.06,15.06,4.4,19.93
16,8,1981,23.18,15.12,4.08,22.19
17,8,1981,23.32,14.57,33.04,22.82
18,8,1981,23.36,14.83,0,22.07
19,8,1981,21.68,14.58,0,21.8
20,8,1981,22.31,14.31,0.32,22.21
21,8,1981,22.57,14.3,4.61,20.53
22,8,1981,21.84,14.43,61.29,20.94
23,8,1981,22.23,13.98,0,21.75
24,8,1981,22.19,14.41,0,22.16
25,8,1981,23.33,14.64,0,22.46
26,8,1981,23.81,14.21,6.01,23.54
27,8,1981,24.18,14.78,6.01,22.12
28,8,1981,24.58,14.51,15.72,23.95
29,8,1981,24.03,14.48,6.01,24.16
30,8,1981,23.78,14.82,6.01,24.05
