day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.21,9.05,0,21.29
2,1,1981,19.83,9.12,0,19.9
3,1,1981,21.66,10.16,0,21.81
4,1,1981,20.8,8.88,0,22.54
5,1,1981,20.72,7.92,0,24
6,1,1981,20.29,7.61,0,21.95
7,1,1981,19.83,7.32,0,24.17
8,1,1981,19.37,6.86,0,24.43
9,1,1981,18.92,6.9,0,24.14
10,1,1981,21.38,7.63,0,23.73
11,1,1981,21.68,8.8,0,22.12
12,1,1981,18.97,9.13,0,19.27
13,1,1981,20.08,7.66,0,22.65
14,1,1981,20.07,8.03,0,21.48
15,1,1981,19.56,8.03,0,21.57
16,1,1981,20.73,7.58,0,23.14
17,1,1981,21.76,8.88,0,23.27
18,1,1981,22.46,8.86,0,23.63
19,1,1981,21.94,8.55,0,23.76
20,1,1981,21.02,7.69,0,24.47
21,1,1981,22.68,9.07,0,23.93
22,1,1981,21.19,9.58,0,19.81
23,1,1981,21.76,7.95,0,23.76
24,1,1981,20.74,9.34,0,22.12
25,1,1981,22.14,8.86,0,24.89
26,1,1981,22.44,9.11,0,24.61
27,1,1981,21.4,9.07,0,24.74
28,1,1981,21.01,8.28,0,25.23
29,1,1981,20.16,7.22,0,24.17
30,1,1981,20.88,7.14,0,25.48
31,1,1981,20.44,6.59,0,25.93
1,2,1981,20.26,6.33,0,25.85
2,2,1981,20.21,6.56,0,25.61
3,2,1981,20.76,6.53,0,25.84
4,2,1981,20.46,6.83,0,25.64
5,2,1981,20.27,7.3,0,24.89
6,2,1981,21.28,7.91,0,25.7
7,2,1981,20.92,8.36,0,25.17
8,2,1981,22.53,8.22,0,24.92
9,2,1981,22.69,9.27,0,23.68
10,2,1981,21.96,11.2,0,20
11,2,1981,19.13,10.29,0,18.71
12,2,1981,18.53,11.3,11.67,15.48
13,2,1981,18.91,10.32,0,19.81
14,2,1981,19.65,10.09,0,19.38
15,2,1981,20.31,9.98,0,21.55
16,2,1981,20.66,9.86,1.17,21.31
17,2,1981,20.83,9.57,0,20.06
18,2,1981,19.77,10.54,0,19.3
19,2,1981,20.68,9.86,0,22.23
20,2,1981,21.06,9.55,0,23.1
21,2,1981,22.41,9.62,0,25.31
22,2,1981,22.56,8.57,0,26.23
23,2,1981,23.41,9.75,0,25.78
24,2,1981,24.43,10.73,0,25.17
25,2,1981,23.74,10.09,0,26.11
26,2,1981,22.51,9.21,0,25.45
27,2,1981,22.41,9.7,0,23.41
28,2,1981,22.71,10.84,0,22.98
1,3,1981,23.28,10.03,0,23.44
2,3,1981,21.58,11.43,15.37,20.74
3,3,1981,20.07,11.37,31.94,18.09
4,3,1981,19.95,11.13,0,19.45
5,3,1981,18.6,11.83,20.68,16.47
6,3,1981,20.25,11.84,5.6,19.58
7,3,1981,19.06,10.92,0,20.79
8,3,1981,20.51,9.87,0,24.78
9,3,1981,21.41,9.68,0,26.15
10,3,1981,20.97,11.07,0,23.34
11,3,1981,20.91,9.79,0.54,22.48
12,3,1981,21.66,9.19,0,20.93
13,3,1981,21.08,10.49,0,17.87
14,3,1981,19.67,11.72,7.24,18.77
15,3,1981,19.06,11.67,0,18.34
16,3,1981,20.56,12.02,0.82,17.68
17,3,1981,22.18,11.17,0.83,22.43
18,3,1981,21.8,10.65,9.25,22.91
19,3,1981,21.52,12.59,8.67,16.98
20,3,1981,19.92,10.64,3.88,21.46
21,3,1981,19.59,12.18,9.29,19.86
22,3,1981,20.6,10.38,6.31,20.45
23,3,1981,20.63,10.38,7.37,21.12
24,3,1981,20.03,9.92,6.68,19.94
25,3,1981,20.92,10.66,1.43,21.02
26,3,1981,20.68,10.15,0,20.67
27,3,1981,18.37,11.79,0,16.06
28,3,1981,19.35,10.7,19.34,18.18
29,3,1981,18.2,12.2,0,14.25
30,3,1981,19.01,12.43,1.98,19.84
31,3,1981,19.83,12.16,0,19.93
1,4,1981,19.28,11.04,11.41,18.28
2,4,1981,19.09,11.94,0,19.24
3,4,1981,19.84,12.01,0,21.37
4,4,1981,20.14,9.49,3.17,21.99
5,4,1981,19.97,11.97,0,20.28
6,4,1981,19.93,10.92,0,23.66
7,4,1981,21.82,10.16,0,25.81
8,4,1981,19.81,10.66,0,22.04
9,4,1981,20.55,11.43,0,21.54
10,4,1981,20.61,11.77,0,21
11,4,1981,20.97,11.41,0,22.53
12,4,1981,21,13.11,0,20.3
13,4,1981,20.38,10.89,0,22.46
14,4,1981,21.7,11.12,0,23.44
15,4,1981,20.72,11.38,0,19.39
16,4,1981,22.9,11.22,0,22.77
17,4,1981,21.01,10.5,0,22.1
18,4,1981,19.95,10.78,0,21.87
19,4,1981,20.89,10.92,0,23.01
20,4,1981,20.43,12.67,8.51,23.02
21,4,1981,20.27,11.92,24.19,20.69
22,4,1981,19.99,10.92,0,19.33
23,4,1981,19.91,12.04,0,20.32
24,4,1981,18.55,12.03,0,17.73
25,4,1981,19.6,10.4,0,22.1
26,4,1981,21.09,10.06,5.67,25.49
27,4,1981,20.16,11.1,0,22.45
28,4,1981,21.58,9.54,0,25.55
29,4,1981,22.77,9.77,0,27.9
30,4,1981,22.77,9.35,0,24.88
1,5,1981,22.21,10.29,0,24.83
2,5,1981,22.36,11.09,0,23.57
3,5,1981,23.2,10.25,0,25.24
4,5,1981,23.11,10.25,0,26.2
5,5,1981,23.88,10.16,2.09,27.51
6,5,1981,23.95,10.34,0,27.32
7,5,1981,24.27,10.41,0,27.23
8,5,1981,22.47,11.01,0,23.18
9,5,1981,22.79,11.18,0,25.06
10,5,1981,21.7,11.43,0,23.42
11,5,1981,22.8,10.42,0,24.93
12,5,1981,23.28,10.87,0,25.38
13,5,1981,23.81,10.53,0,24.55
14,5,1981,23.35,11.22,0,24.38
15,5,1981,24.28,9.64,0,27.73
16,5,1981,24.06,9.53,0,25.49
17,5,1981,24.24,10.21,0,25.38
18,5,1981,22.9,11.32,0,22.47
19,5,1981,23.41,11.86,0,23.34
20,5,1981,24.33,10.71,0,25.8
21,5,1981,23.88,11.27,0,22.43
22,5,1981,22.79,10.8,0,19.62
23,5,1981,24.29,10.43,0,23.46
24,5,1981,23.69,11,0,20.51
25,5,1981,24.66,10.79,0,24.82
26,5,1981,25.2,9.87,0,24.7
27,5,1981,25.25,9.82,0,25.47
28,5,1981,24.61,9.94,0,22.36
29,5,1981,24.55,10.77,6.73,19.68
30,5,1981,23.08,12.25,0.77,19.53
31,5,1981,24.17,11.08,0,22.31
1,6,1981,25.25,11.02,0,25.53
2,6,1981,24.29,11.31,0,20.79
3,6,1981,23.41,11.77,0,21.16
4,6,1981,23.72,12.17,0,20.2
5,6,1981,23.78,11.22,0,20.83
6,6,1981,23.99,11.28,0,21.01
7,6,1981,23.08,11.88,0,19.4
8,6,1981,24.26,11.88,0,22.06
9,6,1981,23.82,10.9,0,21.89
10,6,1981,24.44,10.64,0,22.21
11,6,1981,25.3,10.9,0,21.78
12,6,1981,25.14,11.97,0,22.18
13,6,1981,23.79,11.54,0,21.24
14,6,1981,23.75,11.14,0,21.34
15,6,1981,24.15,10.04,0,21.9
16,6,1981,24.73,10.88,0,21.43
17,6,1981,23.67,12.39,0,19.85
18,6,1981,24.78,10.75,0,22.1
19,6,1981,25.01,11.8,0,21.28
20,6,1981,24.79,11.58,0,20.92
21,6,1981,23.66,12.56,0,17.61
22,6,1981,23.77,12.27,6.9,19.18
23,6,1981,23.74,12.27,0,18.2
24,6,1981,24.3,11.6,0,19.22
25,6,1981,23.44,11.48,0,18.46
26,6,1981,23.55,12.05,4.49,19.84
27,6,1981,23.12,11.22,0,19.68
28,6,1981,24.39,12.49,0,20.76
29,6,1981,22.59,12.21,0,17.12
30,6,1981,22.71,12.08,1.18,19.45
1,7,1981,22.83,12.18,0,19.23
2,7,1981,22.56,12.69,0,18.35
3,7,1981,21.25,12.21,5.96,18.22
4,7,1981,20.61,11.74,21.46,16.13
5,7,1981,20.72,11.73,0,19.13
6,7,1981,20.94,11.73,0,19.27
7,7,1981,21.62,12.42,0.95,18.46
8,7,1981,20.85,11.4,1.19,19.08
9,7,1981,21.17,12.06,11.46,19.03
10,7,1981,20.5,12.37,25.13,17.91
11,7,1981,20.08,12.48,23.99,15.22
12,7,1981,19.37,12.08,24.8,15.84
13,7,1981,21.12,11.92,0,20.04
14,7,1981,21.03,11.11,3.39,19.63
15,7,1981,20.44,11.13,0.91,18.54
16,7,1981,19.82,11.83,11.54,16.67
17,7,1981,20.33,11.52,8.44,16.37
18,7,1981,20,13.38,12.41,17.24
19,7,1981,21.16,12.3,6.74,18.56
20,7,1981,20.36,13.42,10.37,15.74
21,7,1981,21.08,11.01,1.48,19.51
22,7,1981,20.91,12.1,10.17,19.17
23,7,1981,20.99,11.12,9.48,19.98
24,7,1981,21.61,12.2,22.93,20.77
25,7,1981,20.02,12.03,21.71,17.95
26,7,1981,20.17,13.11,22.86,17.43
27,7,1981,20.66,12.35,1.86,20.01
28,7,1981,21.13,11.41,5.25,19.59
29,7,1981,21.88,11.92,13.96,21.45
30,7,1981,20.76,12.03,29.5,18.26
31,7,1981,21.38,12.62,9.93,19.51
1,8,1981,21.62,13.01,9.31,21.76
2,8,1981,21.58,12.95,36.34,19.97
3,8,1981,21.71,11.36,2.27,20.44
4,8,1981,21.34,11.49,1.63,19.97
5,8,1981,21.65,12.67,7.47,19.57
6,8,1981,20.58,13.43,29.52,18.21
7,8,1981,21.18,11.92,0,19.47
8,8,1981,20.35,12.07,0.16,19.36
9,8,1981,21.24,10.81,1.31,19.91
10,8,1981,21.65,11.74,11.91,20.43
11,8,1981,22.57,12.05,11.06,22.62
12,8,1981,21.56,11.82,14.13,20.57
13,8,1981,19.85,12.75,4.97,17.07
14,8,1981,21.39,11.44,0,21.13
15,8,1981,20.08,11.93,3.33,18.33
16,8,1981,20.24,10.73,5.52,20.93
17,8,1981,20.12,10.99,6.59,20.68
18,8,1981,20.62,11.8,8,20.85
19,8,1981,20.29,11.91,9.6,19.01
20,8,1981,20.25,10.55,8.36,20.16
21,8,1981,20.54,10.91,7.72,18.36
22,8,1981,20.18,10.57,32.55,17.23
23,8,1981,19.4,9.8,0.55,19.63
24,8,1981,19.42,10.42,4.13,20.08
25,8,1981,20.43,10.41,0.87,21.56
