day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.52,14.67,0,22.27
2,1,1981,27,14.33,0,21.19
3,1,1981,28.63,15.29,0,22.72
4,1,1981,26.97,14.59,0,22.28
5,1,1981,27,13.7,0,23.36
6,1,1981,25.99,14.55,0,22
7,1,1981,25.89,14.07,0,23.83
8,1,1981,25.33,13.53,0,23.7
9,1,1981,25.31,13.15,0,23.54
10,1,1981,27.46,13.3,0,23.57
11,1,1981,27.92,14.36,0,23.13
12,1,1981,25.35,16.24,0,20.42
13,1,1981,25.91,14.73,0,23.45
14,1,1981,25.74,14.98,0,23.17
15,1,1981,25.86,16,0,23.11
16,1,1981,26.27,14.74,0,23.66
17,1,1981,27.21,15.03,0,23.42
18,1,1981,28.41,14.76,0,23.81
19,1,1981,27.19,15.38,0,23.54
20,1,1981,26.54,14.9,0,22.79
21,1,1981,28.69,14.02,0,23.98
22,1,1981,27.14,16.38,0,20.71
23,1,1981,28.22,14.41,0,22.99
24,1,1981,27.1,17.07,0,21.81
25,1,1981,28.76,14.99,0,24.42
26,1,1981,28.99,15.46,0,24.54
27,1,1981,27.96,15.3,0,24.5
28,1,1981,26.54,13.85,0,24.42
29,1,1981,24.99,14.75,0,23.08
30,1,1981,26.09,15.13,0,25.01
31,1,1981,25.94,12.34,0,25.57
1,2,1981,25.98,12.38,0,25.3
2,2,1981,25.52,12.89,0,25.11
3,2,1981,26,12.47,0,25.27
4,2,1981,26.1,13.19,0,24.8
5,2,1981,25.69,14.76,0,23.52
6,2,1981,27.41,14.4,0,25.19
7,2,1981,26.6,15.35,0,24.43
8,2,1981,28.21,14.4,0,25.01
9,2,1981,29.08,14.84,0,24.11
10,2,1981,28.15,16.56,0,21.53
11,2,1981,23.04,16.36,0,15.4
12,2,1981,22.3,16,12.22,13.93
13,2,1981,23.66,15.84,1.88,19.04
14,2,1981,23.75,16.03,1.92,16.62
15,2,1981,25.79,16.02,0,20.49
16,2,1981,25.44,15.5,1.16,20.52
17,2,1981,26.14,15.17,0,19.85
18,2,1981,25.75,16.2,0,20.16
19,2,1981,27.47,15.96,0,22.09
20,2,1981,27.97,16.65,0,22.86
21,2,1981,28.4,16.47,0,24.62
22,2,1981,28.99,15.33,0,24.25
23,2,1981,29.83,15.74,0,25.68
24,2,1981,30.96,15.95,0,25.38
25,2,1981,29.65,17.24,0,24.88
26,2,1981,28.81,17.38,0,25.09
27,2,1981,28.99,16.32,0,24.24
28,2,1981,30.16,17.31,0,24.29
1,3,1981,30.36,15.88,0,24.56
2,3,1981,28.58,17.21,12.04,21.97
3,3,1981,27.06,18.08,37.45,19.47
4,3,1981,26.68,17.11,0,20.54
5,3,1981,24.11,17.12,16.42,16.26
6,3,1981,25.05,16.85,4.55,20.06
7,3,1981,23.32,17.04,0,19.18
8,3,1981,25.76,15.79,0,23.33
9,3,1981,27.68,14.85,0,25.57
10,3,1981,27.91,16.07,0,23.56
11,3,1981,27.57,16.98,0.18,23.19
12,3,1981,29.24,15.94,0,22.79
13,3,1981,28.21,17.55,0,19.94
14,3,1981,25.47,17.06,5.96,19.71
15,3,1981,25.23,17.13,0,19.5
16,3,1981,23.86,17.38,1.5,18.2
17,3,1981,27.02,16.14,1.92,22.18
18,3,1981,25.26,15.93,8.89,20.99
19,3,1981,23.88,17.28,8.75,18.05
20,3,1981,24.72,16.83,4.14,21.47
21,3,1981,25.42,17.28,9.15,20.59
22,3,1981,25.84,16.12,5.72,22.09
23,3,1981,25.37,16.72,6.53,21.82
24,3,1981,25.83,16.34,6,21.69
25,3,1981,27.12,16.6,1.99,22.79
26,3,1981,27.22,16.44,0,21.92
27,3,1981,22.81,17.2,0,14.53
28,3,1981,22.64,17.08,18.18,15.78
29,3,1981,23.62,17.2,7.33,16.55
30,3,1981,23.59,17.34,3.46,20.34
31,3,1981,24.12,17.28,7.1,19.79
1,4,1981,23.22,16.88,9.16,18.29
2,4,1981,22.89,17.44,0,17.92
3,4,1981,25.08,17.38,0,23.58
4,4,1981,24.32,15.66,5.24,20.98
5,4,1981,24.25,17.69,0,20.09
6,4,1981,24.66,17.88,0,23.37
7,4,1981,25.82,16.82,0,24.52
8,4,1981,26.32,16.53,0,23.53
9,4,1981,27.17,17.35,0,23.52
10,4,1981,26.29,18.65,0,21.61
11,4,1981,27.05,17.78,0,21.94
12,4,1981,26.24,19.26,0,21.52
13,4,1981,26.5,18.1,0,21.99
14,4,1981,27.27,17.21,0,23.39
15,4,1981,27.51,17.66,0,21.54
