day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.25,9.68,0,22.33
2,1,1981,21.41,9.78,0,20.99
3,1,1981,22.98,11.2,0,22.54
4,1,1981,21.77,10.5,0,22.75
5,1,1981,21.79,9.27,0,23.76
6,1,1981,21.03,9.53,0,22.03
7,1,1981,20.68,9.19,0,23.98
8,1,1981,20.29,8.18,0,24.11
9,1,1981,20.12,8.76,0,23.92
10,1,1981,22.21,8.6,0,23.69
11,1,1981,22.78,9.82,0,22.93
12,1,1981,20.47,10.77,0,21.26
13,1,1981,20.77,9.38,0,23.28
14,1,1981,20.94,9.44,0,22.73
15,1,1981,20.78,9.79,0,22.81
16,1,1981,21.49,9.18,0,23.55
17,1,1981,22.61,9.34,0,23.56
18,1,1981,23.48,9.69,0,23.85
19,1,1981,22.52,9.98,0,23.7
20,1,1981,21.81,9.5,0,23.96
21,1,1981,23.69,9.55,0,23.98
22,1,1981,22.14,11.06,0,19.99
23,1,1981,23.07,9.62,0,23.53
24,1,1981,21.9,10.77,0,22.15
25,1,1981,23.37,10.38,0,24.58
26,1,1981,23.62,10.62,0,24.55
27,1,1981,22.7,10.63,0,24.63
28,1,1981,21.86,10,0,24.89
29,1,1981,20.47,9.1,0,24.23
30,1,1981,21.39,9.08,0,25.14
31,1,1981,21.02,8.4,0,25.67
1,2,1981,21.03,8.26,0,25.49
2,2,1981,20.87,8.46,0,25.28
3,2,1981,21.38,8.28,0,25.45
4,2,1981,21.42,8.69,0,25.23
5,2,1981,21.09,9.07,0,24.53
6,2,1981,22.29,9.9,0,25.34
7,2,1981,21.87,9.54,0,25.02
8,2,1981,23.38,9.42,0,24.93
9,2,1981,24.02,10,0,23.72
10,2,1981,22.95,11.99,0,20.7
11,2,1981,18.78,12.08,0,17.02
12,2,1981,19.03,12.34,11.67,15.42
13,2,1981,19.64,11.61,0,19.24
14,2,1981,20.61,11.43,0,18
15,2,1981,21.74,11.24,0,20.92
16,2,1981,20.86,11.11,1.17,20.5
17,2,1981,21.83,11.11,0,19.29
18,2,1981,21.32,12.02,0,20.37
19,2,1981,22.37,11.39,0,22.06
