day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.52,16.16,0,22.18
2,1,1981,30,15.74,0,21.15
3,1,1981,31.62,16.92,0,22.61
4,1,1981,29.96,16.04,0,22.19
5,1,1981,29.99,14.94,0,23.22
6,1,1981,28.98,15.99,0,21.93
7,1,1981,28.86,15.39,0,23.66
8,1,1981,28.31,14.71,0,23.54
9,1,1981,28.29,14.25,0,23.39
10,1,1981,30.42,14.42,0,23.42
11,1,1981,30.89,15.72,0,23.01
12,1,1981,28.31,18.03,0,20.44
13,1,1981,28.86,16.17,0,23.31
14,1,1981,28.69,16.46,0,23.05
15,1,1981,28.8,17.71,0,23
16,1,1981,29.21,16.15,0,23.52
17,1,1981,30.15,16.51,0,23.29
18,1,1981,31.35,16.17,0,23.66
19,1,1981,30.12,16.93,0,23.41
20,1,1981,29.47,16.33,0,22.7
21,1,1981,31.61,15.23,0,23.83
22,1,1981,30.06,18.14,0,20.74
23,1,1981,31.14,15.7,0,22.89
24,1,1981,30.01,18.97,0,21.78
25,1,1981,31.67,16.4,0,24.25
26,1,1981,31.9,16.98,0,24.37
27,1,1981,30.87,16.78,0,24.33
28,1,1981,29.44,14.98,0,24.26
29,1,1981,27.89,16.08,0,22.99
30,1,1981,28.99,16.56,0,24.83
31,1,1981,28.83,13.1,0,25.36
1,2,1981,28.87,13.15,0,25.1
2,2,1981,28.41,13.78,0,24.93
3,2,1981,28.89,13.23,0,25.08
4,2,1981,28.98,14.12,0,24.63
5,2,1981,28.57,16.05,0,23.43
6,2,1981,30.28,15.6,0,25.01
7,2,1981,29.47,16.76,0,24.3
8,2,1981,31.08,15.59,0,24.84
9,2,1981,31.95,16.12,0,24
10,2,1981,31.02,18.25,0,21.55
11,2,1981,25.9,17.99,0,15.75
12,2,1981,25.16,17.54,12.22,14.36
13,2,1981,26.52,17.33,1.88,19.21
14,2,1981,26.61,17.56,1.92,16.91
15,2,1981,28.64,17.55,0,20.58
16,2,1981,28.3,16.9,1.16,20.61
17,2,1981,28.99,16.49,0,19.98
18,2,1981,28.6,17.75,0,20.28
19,2,1981,30.32,17.45,0,22.11
20,2,1981,30.82,18.3,0,22.84
21,2,1981,31.25,18.07,0,24.51
22,2,1981,31.83,16.66,0,24.16
23,2,1981,32.67,17.15,0,25.52
24,2,1981,33.8,17.41,0,25.24
25,2,1981,32.5,19,0,24.77
26,2,1981,31.65,19.16,0,24.97
27,2,1981,31.83,17.85,0,24.16
28,2,1981,33,19.06,0,24.22
1,3,1981,33.2,17.3,0,24.48
2,3,1981,31.41,18.93,12.04,22.03
3,3,1981,29.89,19.99,37.45,19.66
4,3,1981,29.52,18.79,0,20.68
5,3,1981,26.95,18.8,16.42,16.63
6,3,1981,27.88,18.46,4.55,20.23
7,3,1981,26.16,18.7,0,19.4
8,3,1981,28.6,17.15,0,23.34
9,3,1981,30.52,15.99,0,25.46
10,3,1981,30.75,17.5,0,23.56
11,3,1981,30.41,18.61,0.18,23.21
12,3,1981,32.07,17.31,0,22.84
13,3,1981,31.04,19.29,0,20.14
14,3,1981,28.31,18.7,5.96,19.93
15,3,1981,28.07,18.77,0,19.73
16,3,1981,26.69,19.07,1.5,18.5
17,3,1981,29.86,17.54,1.92,22.28
18,3,1981,28.09,17.28,8.89,21.15
19,3,1981,26.72,18.94,8.75,18.37
20,3,1981,27.56,18.38,4.14,21.61
21,3,1981,28.25,18.94,9.15,20.78
22,3,1981,28.68,17.49,5.72,22.2
23,3,1981,28.21,18.23,6.53,21.95
24,3,1981,28.68,17.76,6,21.83
25,3,1981,29.96,18.08,1.99,22.88
26,3,1981,30.07,17.88,0,22.06
27,3,1981,25.65,18.8,0,15.06
28,3,1981,25.48,18.67,18.18,16.25
29,3,1981,26.46,18.8,7.33,16.98
30,3,1981,26.43,18.98,3.46,20.57
31,3,1981,26.97,18.9,7.1,20.05
1,4,1981,26.07,18.41,9.16,18.64
