day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.3,11.36,0,22.05
2,1,1981,23.46,11.47,0,20.66
3,1,1981,25.15,12.9,0,22.26
4,1,1981,23.84,12.19,0,22.48
5,1,1981,23.84,10.93,0,23.51
6,1,1981,23.01,11.18,0,21.73
7,1,1981,22.63,10.83,0,23.74
8,1,1981,22.2,9.8,0,23.88
9,1,1981,22.01,10.39,0,23.68
10,1,1981,24.26,10.21,0,23.44
11,1,1981,24.87,11.45,0,22.65
12,1,1981,22.36,12.42,0,20.94
13,1,1981,22.68,11,0,23.02
14,1,1981,22.85,11.04,0,22.45
15,1,1981,22.67,11.41,0,22.53
16,1,1981,23.44,10.78,0,23.29
17,1,1981,24.64,10.93,0,23.3
18,1,1981,25.57,11.28,0,23.6
19,1,1981,24.53,11.58,0,23.45
20,1,1981,23.76,11.08,0,23.72
21,1,1981,25.77,11.13,0,23.74
22,1,1981,24.09,12.67,0,19.63
23,1,1981,25.1,11.19,0,23.27
24,1,1981,23.82,12.36,0,21.86
25,1,1981,25.4,11.96,0,24.36
26,1,1981,25.67,12.2,0,24.34
27,1,1981,24.66,12.22,0,24.42
28,1,1981,23.74,11.57,0,24.69
29,1,1981,22.24,10.65,0,24.01
30,1,1981,23.22,10.63,0,24.95
31,1,1981,22.82,9.93,0,25.5
1,2,1981,22.82,9.78,0,25.31
2,2,1981,22.64,9.99,0,25.09
3,2,1981,23.19,9.8,0,25.28
4,2,1981,23.22,10.22,0,25.05
5,2,1981,22.86,10.61,0,24.34
6,2,1981,24.15,11.45,0,25.17
7,2,1981,23.68,11.08,0,24.85
8,2,1981,25.32,10.96,0,24.76
9,2,1981,26,11.55,0,23.51
10,2,1981,24.84,13.57,0,20.4
11,2,1981,20.32,13.66,0,16.61
12,2,1981,20.59,13.93,16.86,14.96
13,2,1981,21.24,13.18,0,18.91
14,2,1981,22.29,13,0,17.62
15,2,1981,23.5,12.81,0,20.65
16,2,1981,22.55,12.68,2.25,20.21
17,2,1981,23.59,12.68,0,18.97
18,2,1981,23.03,13.6,0,20.08
19,2,1981,24.16,12.95,0,21.83
20,2,1981,24.59,12.47,0,23
21,2,1981,25.28,12.56,0,24.87
22,2,1981,25.76,12.04,0,25.63
23,2,1981,26.8,12.24,0,25.6
24,2,1981,27.83,12.48,0,25.27
25,2,1981,26.74,13.14,0,25.31
26,2,1981,25.78,12.86,0,25.33
27,2,1981,25.64,12.41,0,23.94
28,2,1981,26.54,14,0,23.32
1,3,1981,27.09,13.5,0,24.43
2,3,1981,25.23,14.89,12.27,21.39
3,3,1981,24.41,14.88,27.05,19.32
4,3,1981,24.15,14.38,0,19.27
