day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.8,9.87,0,22.27
2,1,1981,20.95,9.97,0,20.87
3,1,1981,22.46,11.37,0,22.49
4,1,1981,21.3,10.68,0,22.7
5,1,1981,21.32,9.46,0,23.75
6,1,1981,20.58,9.71,0,21.94
7,1,1981,20.25,9.38,0,23.97
8,1,1981,19.88,8.38,0,24.11
9,1,1981,19.71,8.95,0,23.91
10,1,1981,21.72,8.78,0,23.67
11,1,1981,22.27,9.99,0,22.87
12,1,1981,20.05,10.93,0,21.14
13,1,1981,20.33,9.55,0,23.24
14,1,1981,20.49,9.6,0,22.66
15,1,1981,20.34,9.95,0,22.74
16,1,1981,21.03,9.35,0,23.51
17,1,1981,22.1,9.5,0,23.52
18,1,1981,22.94,9.84,0,23.82
19,1,1981,22.03,10.12,0,23.66
20,1,1981,21.34,9.65,0,23.94
21,1,1981,23.15,9.7,0,23.96
22,1,1981,21.65,11.19,0,19.8
23,1,1981,22.55,9.76,0,23.48
24,1,1981,21.42,10.89,0,22.04
25,1,1981,22.84,10.5,0,24.57
26,1,1981,23.08,10.74,0,24.54
27,1,1981,22.18,10.75,0,24.63
28,1,1981,21.37,10.12,0,24.89
29,1,1981,20.04,9.23,0,24.21
30,1,1981,20.92,9.21,0,25.15
31,1,1981,20.57,8.53,0,25.71
1,2,1981,20.57,8.39,0,25.51
2,2,1981,20.42,8.59,0,25.29
3,2,1981,20.91,8.4,0,25.47
4,2,1981,20.94,8.81,0,25.24
5,2,1981,20.63,9.18,0,24.52
6,2,1981,21.78,10,0,25.36
7,2,1981,21.37,9.64,0,25.03
8,2,1981,22.83,9.52,0,24.93
9,2,1981,23.44,10.09,0,23.67
10,2,1981,22.41,12.05,0,20.53
11,2,1981,18.38,12.14,0,16.69
12,2,1981,18.63,12.39,16.86,15.03
13,2,1981,19.21,11.66,0,19.01
14,2,1981,20.15,11.49,0,17.71
15,2,1981,21.23,11.29,0,20.76
16,2,1981,20.39,11.17,2.25,20.32
17,2,1981,21.32,11.16,0,19.06
18,2,1981,20.82,12.05,0,20.17
19,2,1981,21.83,11.42,0,21.94
20,2,1981,22.22,10.95,0,23.11
21,2,1981,22.83,11.03,0,25.01
22,2,1981,23.26,10.52,0,25.77
23,2,1981,24.2,10.71,0,25.74
24,2,1981,25.12,10.94,0,25.4
25,2,1981,24.15,11.57,0,25.44
26,2,1981,23.29,11.3,0,25.45
27,2,1981,23.17,10.86,0,24.04
28,2,1981,23.97,12.4,0,23.41
1,3,1981,24.46,11.9,0,24.53
2,3,1981,22.81,13.25,12.27,21.46
3,3,1981,22.07,13.24,27.05,19.36
4,3,1981,21.84,12.75,0,19.31
5,3,1981,19.88,13.19,17.6,16.45
6,3,1981,20.55,12.97,4.45,19.57
7,3,1981,19.29,12.17,0,19.6
8,3,1981,20.89,11.33,0,23.46
9,3,1981,22.04,10.13,0,25.57
10,3,1981,22.13,11.45,0,23.03
11,3,1981,22.08,12.06,0,22.87
12,3,1981,22.8,11.03,0,21.54
13,3,1981,22.48,12.7,0,18.64
14,3,1981,20.88,12.87,7.05,19.26
15,3,1981,20.86,12.95,0,19.09
16,3,1981,19.78,13.4,0,17.81
17,3,1981,22.19,12.28,0,21.65
18,3,1981,21.16,11.91,9.07,20.56
19,3,1981,20.49,13.11,8.74,17.71
20,3,1981,19.98,12.17,3.37,21.21
21,3,1981,20.57,13.28,8.75,19.98
22,3,1981,21.04,11.58,5.68,20.86
23,3,1981,21.28,12.23,6.73,21.25
24,3,1981,20.74,11.67,6.06,21.66
25,3,1981,21.88,12.17,0,22.24
26,3,1981,22.27,12,0,20.65
27,3,1981,18.3,13.23,0,13.59
28,3,1981,18.74,12.46,20.64,16.25
29,3,1981,19.23,13.48,0,14.9
30,3,1981,19.37,13.01,0,20.67
