day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.82,7.94,0,21.55
2,1,1981,21.91,8.76,0,19.39
3,1,1981,22.95,8.96,0,20.28
4,1,1981,22.85,8.2,0,22.83
5,1,1981,23.14,7.78,0.1,23.8
6,1,1981,22.3,7.18,0,22.1
7,1,1981,22.13,6.55,0,24.04
8,1,1981,21.99,5.67,0,24.31
9,1,1981,21.82,6.13,0,23.62
10,1,1981,22.88,6.88,0,23.24
11,1,1981,22.91,8.06,0,21.46
12,1,1981,20.99,9.39,0,16.44
13,1,1981,23.27,8.18,0,21.96
14,1,1981,22.68,9.11,0,19.18
15,1,1981,22.23,9.37,0,19.28
16,1,1981,23.23,8.15,0.53,22.26
17,1,1981,23.8,8.06,0,23.45
18,1,1981,24.08,8.47,0,23.7
19,1,1981,23.95,8.38,0,23.62
20,1,1981,23.6,8.43,0,24.43
21,1,1981,24.4,7.73,0,23.88
22,1,1981,23.56,9.22,0,21.44
23,1,1981,23.86,8.46,0,23.51
24,1,1981,23.9,8.52,0,22.99
25,1,1981,24.38,8.02,0,24.56
26,1,1981,24.61,8.18,0,23.98
27,1,1981,23.95,8.67,0,23.3
28,1,1981,23.74,8.02,0,24.81
29,1,1981,22.91,8,0,23.82
30,1,1981,23.3,7.25,0,25.03
31,1,1981,22.85,5.91,0,25.43
1,2,1981,22.88,5.85,0,25.43
2,2,1981,22.72,6.19,0,25.16
3,2,1981,23.25,6.51,0,25.41
4,2,1981,23.36,6.74,0,25.21
5,2,1981,23.26,7.54,0,23.98
6,2,1981,24.2,7.54,0,25.24
7,2,1981,24.05,6.93,0,24.84
8,2,1981,24.66,7.92,0,24.35
9,2,1981,25.28,8.69,0,24
10,2,1981,23.41,10.15,0,20.68
11,2,1981,22.37,10.59,2.35,20.53
12,2,1981,21.48,11.79,14.77,18.89
13,2,1981,22.5,11.65,0,22.04
14,2,1981,23.22,10.66,0,22.05
15,2,1981,23.47,10.64,0,22.74
16,2,1981,24.07,10.25,0,23.46
17,2,1981,24.04,10.35,0,22.09
18,2,1981,21.75,11.47,0,18.97
19,2,1981,23.43,10.09,0,21.75
20,2,1981,23.99,10.83,0,23
21,2,1981,25.05,9.22,0,24.87
22,2,1981,25.2,8.58,0,25.93
23,2,1981,25.64,8.96,0,25.2
24,2,1981,26.51,9.14,0,24.78
25,2,1981,26.14,9.47,0,25.85
26,2,1981,24.86,9.28,0,24.46
27,2,1981,24.9,9.23,0,23.1
28,2,1981,24.78,10,0,22.77
1,3,1981,24.69,10.51,0,23.74
2,3,1981,23.44,11.81,17.09,22.12
3,3,1981,21.81,11.06,25.19,19.42
4,3,1981,23.18,11.52,9.5,20.38
5,3,1981,21.1,11.58,21.8,18.77
6,3,1981,23.11,11.49,7.89,21.65
7,3,1981,23.93,11,0,22.97
8,3,1981,23.9,10.08,0,25.13
9,3,1981,24.87,8.8,0,26.14
10,3,1981,23.63,11.06,0,23.4
11,3,1981,22.92,10.48,0,21.45
12,3,1981,24.03,10.54,0,21.6
13,3,1981,21.41,11.9,0,19.07
14,3,1981,22.66,12.32,6.71,19.93
15,3,1981,21.87,12.78,7.05,19.02
16,3,1981,23.25,12.53,10.97,19.34
17,3,1981,23.51,11.25,5.18,22.42
18,3,1981,24.31,10.61,7.12,25.6
19,3,1981,23.28,12.6,5.77,19.83
20,3,1981,23.04,10.59,6.09,21.78
21,3,1981,22.49,12.07,11.04,20.79
22,3,1981,23.2,11.46,2.75,21.46
23,3,1981,23.68,11.01,7.95,22.14
24,3,1981,21.06,10.9,7.62,18.02
25,3,1981,22.67,11.92,8.42,20.26
26,3,1981,23.29,11,0,21.24
27,3,1981,22.15,12.65,0,18.83
28,3,1981,22.27,11.03,19.7,19.65
29,3,1981,19.37,12.32,0,14.14
30,3,1981,20.93,12.68,0,17.25
31,3,1981,21.36,12.61,0,19.34
1,4,1981,20.58,11.02,0,16.73
2,4,1981,21.2,12.21,10.47,19.72
3,4,1981,21.92,12.38,0,21.08
4,4,1981,22.2,10.07,0,23.5
5,4,1981,22.27,11.69,0,20.06
6,4,1981,22.77,11.17,0,22.61
7,4,1981,23.99,11.48,0,23.34
8,4,1981,21.87,11.2,0,20.41
9,4,1981,22.73,11.16,0,20.96
10,4,1981,22.92,11.16,0,21.46
11,4,1981,23.03,11.62,0,21.68
12,4,1981,22.49,13.12,0,20.44
13,4,1981,23.29,10.63,0,22.27
14,4,1981,23.69,11.37,0,22.77
15,4,1981,22.78,11.19,0,20.34
16,4,1981,24.71,11.38,0,23.41
17,4,1981,23.5,10.8,0,22.59
18,4,1981,23.66,10.85,0,22.28
19,4,1981,23.73,11.08,0,22.72
20,4,1981,23.86,12.96,5.33,23.46
21,4,1981,23.56,11.43,0,22.37
22,4,1981,21.99,11.5,0,19.53
23,4,1981,22.16,11.92,0,21.79
24,4,1981,18.6,12.38,5.47,15.28
25,4,1981,22.23,10.3,0,22.26
26,4,1981,23.79,10.47,6.45,25.82
27,4,1981,22.55,11,0,22.22
28,4,1981,24.61,10.08,0,25.38
29,4,1981,25.46,10.07,0,27.76
30,4,1981,25.05,9.78,0,24.57
1,5,1981,24.31,11.05,0,24.05
2,5,1981,24.06,11.69,0,22.96
3,5,1981,25.43,10.53,0,24.72
4,5,1981,25.44,10.57,0,26.92
5,5,1981,25.92,10.61,0,27.59
6,5,1981,26.07,10.78,0,27.72
7,5,1981,26.09,11.1,0,27.06
