day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.41,7.67,0,21.37
2,1,1981,22.45,8.61,0,19.09
3,1,1981,23.54,8.85,0,20.02
4,1,1981,23.44,7.98,0,22.71
5,1,1981,23.73,7.49,0.1,23.72
6,1,1981,22.85,6.81,0,21.94
7,1,1981,22.68,6.09,0,23.97
8,1,1981,22.53,5.08,0,24.25
9,1,1981,22.35,5.61,0,23.53
10,1,1981,23.46,6.47,0,23.12
11,1,1981,23.49,7.82,0,21.25
12,1,1981,21.47,9.34,0,15.95
13,1,1981,23.86,7.95,0,21.77
14,1,1981,23.24,9.02,0,18.83
15,1,1981,22.76,9.32,0,18.94
16,1,1981,23.81,7.91,0.53,22.08
17,1,1981,24.41,7.81,0,23.32
18,1,1981,24.69,8.28,0,23.58
19,1,1981,24.56,8.18,0,23.5
20,1,1981,24.19,8.23,0,24.35
21,1,1981,25.02,7.43,0,23.77
22,1,1981,24.15,9.13,0,21.2
23,1,1981,24.46,8.26,0,23.37
24,1,1981,24.49,8.33,0,22.83
25,1,1981,25,7.76,0,24.47
26,1,1981,25.23,7.93,0,23.87
27,1,1981,24.53,8.49,0,23.15
28,1,1981,24.32,7.74,0,24.74
29,1,1981,23.45,7.72,0,23.69
30,1,1981,23.85,6.86,0,24.97
31,1,1981,23.38,5.32,0,25.39
1,2,1981,23.4,5.26,0,25.39
2,2,1981,23.24,5.64,0,25.11
3,2,1981,23.79,6,0,25.37
4,2,1981,23.9,6.26,0,25.15
5,2,1981,23.8,7.17,0,23.86
6,2,1981,24.78,7.17,0,25.19
7,2,1981,24.62,6.46,0,24.77
8,2,1981,25.25,7.6,0,24.25
9,2,1981,25.89,8.47,0,23.88
10,2,1981,23.94,10.13,0,20.39
11,2,1981,22.85,10.63,2.35,20.23
12,2,1981,21.91,12,14.77,18.5
13,2,1981,22.98,11.83,0,21.82
14,2,1981,23.73,10.7,0,21.83
15,2,1981,23.99,10.67,0,22.56
16,2,1981,24.61,10.22,0,23.31
17,2,1981,24.59,10.32,0,21.87
