day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.15,7.6,0,21.51
2,1,1981,22.17,8.53,0,19.13
3,1,1981,23.27,8.76,0,20.11
4,1,1981,23.17,7.9,0,22.93
5,1,1981,23.46,7.42,0.1,23.99
6,1,1981,22.56,6.75,0,22.12
7,1,1981,22.38,6.04,0,24.25
8,1,1981,22.22,5.04,0,24.55
9,1,1981,22.04,5.57,0,23.79
10,1,1981,23.17,6.41,0,23.37
11,1,1981,23.19,7.74,0,21.4
12,1,1981,21.12,9.23,0,15.85
13,1,1981,23.56,7.86,0,21.95
14,1,1981,22.93,8.92,0,18.88
15,1,1981,22.44,9.21,0,18.99
16,1,1981,23.51,7.83,0.53,22.28
17,1,1981,24.11,7.72,0,23.59
18,1,1981,24.4,8.19,0,23.86
19,1,1981,24.26,8.08,0,23.78
20,1,1981,23.88,8.13,0,24.67
21,1,1981,24.73,7.35,0,24.06
22,1,1981,23.83,9.02,0,21.37
23,1,1981,24.15,8.16,0,23.65
24,1,1981,24.18,8.23,0,23.08
25,1,1981,24.69,7.67,0,24.81
26,1,1981,24.93,7.83,0,24.17
27,1,1981,24.22,8.38,0,23.42
28,1,1981,23.99,7.65,0,25.09
29,1,1981,23.1,7.63,0,23.99
30,1,1981,23.51,6.78,0,25.33
31,1,1981,23.02,5.26,0,25.78
1,2,1981,23.04,5.2,0,25.77
2,2,1981,22.87,5.57,0,25.48
3,2,1981,23.44,5.93,0,25.76
4,2,1981,23.55,6.18,0,25.53
5,2,1981,23.44,7.08,0,24.18
6,2,1981,24.44,7.07,0,25.57
7,2,1981,24.27,6.38,0,25.13
8,2,1981,24.92,7.5,0,24.58
9,2,1981,25.57,8.35,0,24.2
10,2,1981,23.57,9.99,0,20.54
11,2,1981,22.46,10.49,2.35,20.37
12,2,1981,21.5,11.84,14.77,18.56
13,2,1981,22.58,11.66,0,22.04
14,2,1981,23.35,10.55,0,22.05
15,2,1981,23.61,10.52,0,22.81
16,2,1981,24.25,10.08,0,23.61
17,2,1981,24.22,10.18,0,22.1
18,2,1981,21.76,11.44,0,18.65
19,2,1981,23.55,9.88,0,21.72
20,2,1981,24.16,10.7,0,23.11
21,2,1981,25.28,8.89,0,25.18
22,2,1981,25.44,8.15,0,26.35
23,2,1981,25.91,8.58,0,25.54
24,2,1981,26.83,8.78,0,25.09
25,2,1981,26.44,9.15,0,26.27
26,2,1981,25.06,8.93,0,24.74
27,2,1981,25.1,8.86,0,23.23
28,2,1981,24.97,9.72,0,22.88
1,3,1981,24.87,10.28,0,23.94
2,3,1981,23.52,11.74,17.09,22.15
3,3,1981,21.77,10.89,25.19,19.18
4,3,1981,23.24,11.41,9.5,20.23
5,3,1981,21.01,11.47,21.8,18.46
6,3,1981,23.16,11.35,7.89,21.65
7,3,1981,24.03,10.81,0,23.11
8,3,1981,24,9.76,0,25.5
9,3,1981,25.04,8.31,0,26.62
10,3,1981,23.7,10.85,0,23.6
11,3,1981,22.94,10.18,0,21.45
12,3,1981,24.13,10.24,0,21.61
13,3,1981,21.32,11.76,0,18.83
14,3,1981,22.66,12.23,6.71,19.78
15,3,1981,21.81,12.75,7.05,18.77
16,3,1981,23.29,12.45,10.97,19.13
17,3,1981,23.57,11.01,5.18,22.54
18,3,1981,24.41,10.28,7.12,26.05
19,3,1981,23.31,12.51,5.77,19.69
20,3,1981,23.06,10.24,6.09,21.84
21,3,1981,22.47,11.9,11.04,20.75
22,3,1981,23.22,11.21,2.75,21.49
23,3,1981,23.74,10.69,7.95,22.25
24,3,1981,20.93,10.56,7.62,17.71
25,3,1981,22.65,11.7,8.42,20.18
26,3,1981,23.31,10.66,0,21.27
27,3,1981,22.1,12.5,0,18.6
28,3,1981,22.22,10.67,19.7,19.52
29,3,1981,19.11,12.12,0,13.44
30,3,1981,20.79,12.51,0,16.87
31,3,1981,21.24,12.42,0,19.19
1,4,1981,20.41,10.63,0,16.31
2,4,1981,21.07,11.96,10.47,19.62
3,4,1981,21.84,12.14,0,21.12
4,4,1981,22.14,9.53,0,23.8
5,4,1981,22.22,11.35,0,20.01
6,4,1981,22.75,10.76,0,22.82
7,4,1981,24.05,11.1,0,23.64
8,4,1981,21.78,10.77,0,20.41
9,4,1981,22.71,10.73,0,21.02
10,4,1981,22.91,10.71,0,21.57
11,4,1981,23.03,11.22,0,21.82
12,4,1981,22.45,12.9,0,20.46
13,4,1981,23.31,10.09,0,22.48
14,4,1981,23.74,10.91,0,23.04
15,4,1981,22.77,10.7,0,20.37
16,4,1981,24.83,10.92,0,23.76
17,4,1981,23.53,10.25,0,22.85
18,4,1981,23.7,10.29,0,22.52
19,4,1981,23.78,10.55,0,23.01
20,4,1981,23.93,12.66,5.33,23.82
21,4,1981,23.6,10.93,0,22.64
22,4,1981,21.93,11,0,19.5
