day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.18,8.38,0,20.88
2,1,1981,20.12,8.77,0,19.17
3,1,1981,22.05,8.96,0,20.85
4,1,1981,21.39,7.72,0,22.42
5,1,1981,21.43,7.24,0,23.89
6,1,1981,20.82,6.41,0,21.8
7,1,1981,20.41,5.99,0,24.09
8,1,1981,20.1,5.64,0,24.41
9,1,1981,19.8,5.79,0,23.95
10,1,1981,21.85,7.2,0,23.46
11,1,1981,22.04,7.83,0,21.48
12,1,1981,19.12,8.41,0,17.34
13,1,1981,21.42,6.96,0,22.06
14,1,1981,21.01,7.4,0,20.06
15,1,1981,20.35,7.67,0,20.16
16,1,1981,21.69,6.91,0,22.56
17,1,1981,22.52,8.42,0,23.11
18,1,1981,23.14,8.29,0,23.48
19,1,1981,22.81,7.76,0,23.62
20,1,1981,22.02,7.07,0,24.54
21,1,1981,23.34,8.49,0,23.77
22,1,1981,21.93,8.73,0,20.18
23,1,1981,22.26,7.53,0,23.64
24,1,1981,21.97,8.34,0,22.3
25,1,1981,22.91,7.7,0,24.77
26,1,1981,23.31,7.72,0,24.29
27,1,1981,22.34,8.24,0,24.15
28,1,1981,22.05,7.24,0,25.09
29,1,1981,21.28,6.67,0,23.9
30,1,1981,21.78,6.03,0,25.3
31,1,1981,21.22,5.15,0,25.73
1,2,1981,21.13,5.16,0,25.72
2,2,1981,21.03,5.41,0,25.46
3,2,1981,21.58,5.84,0,25.72
4,2,1981,21.45,6,0,25.52
5,2,1981,21.5,6.68,0,24.59
6,2,1981,22.43,6.92,0,25.55
7,2,1981,22.26,7.43,0,24.98
8,2,1981,23.5,7.82,0,24.59
9,2,1981,23.94,8.97,0,23.65
10,2,1981,22.32,10.38,0,19.81
11,2,1981,20.5,9.33,0.23,19.81
12,2,1981,18.86,10.86,11.24,16.56
13,2,1981,19.69,9.94,0,20.6
14,2,1981,20.65,9.48,0,20.69
15,2,1981,21.02,9.37,0,22.06
16,2,1981,21.96,9.3,0,22.17
17,2,1981,21.77,9.32,0,20.92
18,2,1981,19.83,10.33,0,18.6
19,2,1981,21.26,9.16,0,21.96
20,2,1981,21.69,9.2,0,22.89
21,2,1981,23.28,8.72,0,25.13
22,2,1981,23.36,7.67,0,26.16
23,2,1981,23.99,8.9,0,25.48
24,2,1981,25.12,9.55,0,24.82
25,2,1981,24.58,8.89,0,26.16
26,2,1981,23.07,8.41,0,24.99
27,2,1981,23.06,9.11,0,22.87
28,2,1981,23.05,9.48,0,22.54
1,3,1981,23,9.65,0,22.97
2,3,1981,21.59,10.51,18.76,20.75
3,3,1981,19.92,10.02,31.42,17.81
4,3,1981,20.5,10.23,2.14,19.55
5,3,1981,18.32,10.82,21.18,16.97
6,3,1981,20.77,10.89,7.29,20.11
7,3,1981,20.91,9.99,0,21.81
8,3,1981,21.13,9.07,0,25.31
9,3,1981,22.21,8.95,0,26.27
10,3,1981,20.86,10.57,0,23.34
11,3,1981,20.67,8.87,4.25,21.78
12,3,1981,21.35,9,0,20.78
13,3,1981,19.73,10.04,0,17.8
14,3,1981,20.44,10.72,6.2,18.77
15,3,1981,19.41,11.05,1.29,18.09
16,3,1981,22.21,11.08,6.1,17.96
17,3,1981,21.78,10.6,4.99,22.51
18,3,1981,22.07,9.78,8.72,24.55
19,3,1981,21.67,11.95,7.01,17.48
20,3,1981,21.34,9.41,6.04,21.49
21,3,1981,19.89,11.01,8.26,19.97
22,3,1981,20.66,9.88,5.63,20.52
23,3,1981,20.99,9.11,7.13,21.24
24,3,1981,19.59,9.2,6.67,18.41
25,3,1981,20.44,9.83,7.3,20.11
26,3,1981,20.94,9.17,0,20.73
27,3,1981,19.79,10.89,0,17.72
28,3,1981,19.63,9.62,15.92,19.23
29,3,1981,18,11.17,0,13.69
30,3,1981,18.9,11.73,11.51,18.45
31,3,1981,20.14,11.03,0,19.96
1,4,1981,19.29,9.88,0,17.97
2,4,1981,19.19,10.93,1.4,19.91
3,4,1981,19.59,11.12,0,20.79
4,4,1981,20.22,8.86,5.95,22.74
5,4,1981,20.37,10.74,0,20.43
6,4,1981,20.36,9.65,0,23.43
7,4,1981,22.17,9.44,0,25.27
8,4,1981,19.47,10.07,0,21.14
9,4,1981,20.01,10.26,0,20.86
10,4,1981,20.6,10.49,0,20.96
11,4,1981,21.17,10.48,0,22.39
12,4,1981,20.78,11.94,0,20.17
13,4,1981,20.64,9.64,0,22.61
14,4,1981,21.7,10.09,0,23.33
15,4,1981,20.58,10.1,0,19.25
16,4,1981,23.13,10.19,0,23.04
17,4,1981,21.49,9.39,0,22.48
18,4,1981,20.62,9.49,0,22.06
19,4,1981,20.8,9.82,0,22.85
20,4,1981,20.79,11.51,5.13,23.18
21,4,1981,20.36,10.17,9.78,21.22
22,4,1981,19.46,9.4,0,19.11
23,4,1981,19.61,10.62,0,20.99
24,4,1981,17.17,10.77,1.31,16.48
25,4,1981,19.51,8.91,0,22.01
26,4,1981,21.12,9.17,5.2,25.7
27,4,1981,19.9,9.53,0,22.38
28,4,1981,21.72,8.49,0,25.62
29,4,1981,22.74,8.49,0,28.31
30,4,1981,22.34,8.33,0,24.54
1,5,1981,21.76,9.23,0,24.57
2,5,1981,21.74,9.89,0,23.26
3,5,1981,22.86,8.87,0,25.11
4,5,1981,22.84,9.13,0,26.77
5,5,1981,23.52,8.91,0,28.04
6,5,1981,23.69,9.11,0,28.06
7,5,1981,23.83,9.3,0,27.53
8,5,1981,21.85,9.63,0,23.31
9,5,1981,22.4,9.87,0,25.18
10,5,1981,21.4,9.39,0,23.17
11,5,1981,22.63,9.33,0,24.94
12,5,1981,22.73,9.75,0,24.93
13,5,1981,23.42,9.44,0,24.47
14,5,1981,22.85,10,0,23.79
15,5,1981,23.93,8.36,0,28.14
16,5,1981,23.51,8.77,0,24.99
17,5,1981,23.35,8.99,0,25.48
18,5,1981,22.17,10.24,0,22.6
19,5,1981,23.28,10.56,0,23.71
20,5,1981,24.07,9.37,0,26.27
21,5,1981,23.27,9.87,0,21.89
22,5,1981,22.65,9.75,0,19.91
23,5,1981,24.17,9.32,0,22.84
24,5,1981,23.83,9.39,0,21.37
25,5,1981,24.57,9.34,0,25.3
26,5,1981,24.94,8.78,0,24.9
27,5,1981,25.25,8.91,0,26.36
28,5,1981,23.91,9.07,0,22.71
29,5,1981,24.08,9.87,5.92,20.26
30,5,1981,22.75,11.97,3.06,19.78
31,5,1981,23.65,9.82,2.72,22.11
1,6,1981,25.05,9.64,0,26
2,6,1981,24.09,9.85,0,20.55
3,6,1981,23.26,9.72,0,22.36
4,6,1981,23.44,10.14,0,20.98
5,6,1981,24.16,9.13,0,22.11
6,6,1981,23.44,9.22,0,21.55
7,6,1981,22.67,10.25,0,20.13
8,6,1981,24.2,9.97,0,22.49
9,6,1981,23.91,9.23,0,22.7
10,6,1981,24.65,9.27,0,22.97
11,6,1981,25.18,9.3,0,22.47
12,6,1981,25.09,9.91,0,22.5
13,6,1981,23.77,9.33,0,21.43
14,6,1981,23.78,8.87,0,21.81
15,6,1981,23.89,9.15,0,22.59
16,6,1981,24.29,10.43,0,21.55
17,6,1981,23.42,11.37,0,20.38
18,6,1981,24.25,8.95,0,22.61
19,6,1981,24.85,9.57,0,21.9
20,6,1981,23.64,9.61,0,21.75
21,6,1981,21.84,10.41,0,18.21
22,6,1981,22.17,10.37,8.4,19.31
23,6,1981,22.44,10.49,0,19.07
24,6,1981,23.28,9.94,0,19.8
25,6,1981,22.77,9.64,0,19.3
26,6,1981,22.24,9.81,0,20.65
27,6,1981,22.04,9.96,0,20.83
28,6,1981,23.46,10.52,0,21.07
29,6,1981,21.01,9.99,0,17.63
30,6,1981,22.8,10.85,5.35,20.41
1,7,1981,22.7,10.07,0,20.12
2,7,1981,21.55,10.99,0,18.63
3,7,1981,20.1,10.11,16,18.06
4,7,1981,18.86,10.02,26.65,15.99
5,7,1981,19.73,10.22,2.33,19.04
6,7,1981,20.35,9.5,2.81,19.11
7,7,1981,19.91,10.14,6.24,18.11
8,7,1981,19.14,9.44,7.31,18.62
9,7,1981,19.15,9.89,19.48,18.5
10,7,1981,19.01,10.72,23.12,18.04
11,7,1981,18.12,10.43,26.54,16.17
12,7,1981,16.76,10.29,17.79,14.67
13,7,1981,19.51,9.81,2.55,20.02
14,7,1981,19.45,9.3,8.32,19.64
15,7,1981,19.07,9.19,3.95,18.92
16,7,1981,17.89,10.02,11.18,15.92
17,7,1981,18.52,9.41,16.98,16.85
18,7,1981,18.44,11.29,19.14,16.77
19,7,1981,19.24,10.43,14.05,18.2
20,7,1981,18.09,11.27,15.47,16.09
21,7,1981,19.23,9.66,7.63,18.81
22,7,1981,18.9,10.14,17.98,19.18
23,7,1981,19.16,9.11,12.88,19.37
