day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,17.25,5.63,0,21.69
2,1,1981,16.89,6.36,0,20.09
3,1,1981,18.39,7.44,0,21.99
4,1,1981,17.45,7.1,0,22.6
5,1,1981,17.58,6.71,0,24.18
6,1,1981,17.22,6.19,0,22.22
7,1,1981,16.79,5.91,0,24.5
8,1,1981,16.53,5.18,0,24.69
9,1,1981,16.44,6.2,0,23.85
10,1,1981,18.2,5.22,0,23.88
11,1,1981,18.25,6.11,0,22.42
12,1,1981,16.34,6.79,0,17.3
13,1,1981,17.03,5.86,0,23.05
14,1,1981,16.84,5.93,0,21.11
15,1,1981,16.63,5.91,0,21.31
16,1,1981,17.48,5.39,0,23.47
17,1,1981,18,5.59,0,23.67
18,1,1981,18.95,6.09,0,24
19,1,1981,18.29,6.06,0,23.81
20,1,1981,17.87,6.36,0,24.36
21,1,1981,19.1,5.71,0,24.39
22,1,1981,16.89,6.94,0,21.14
23,1,1981,18.15,6.02,0,23.79
24,1,1981,18.15,7.39,0,22.78
25,1,1981,18.94,7.02,0,25.26
26,1,1981,19.05,7.14,0,24.97
27,1,1981,18.37,7.33,0,24.98
28,1,1981,17.65,6.86,0,25.24
29,1,1981,17.09,6.17,0,24.08
30,1,1981,17.54,5.7,0,25.88
31,1,1981,17.31,5.55,0,26.33
1,2,1981,17.43,5.38,0,26.23
2,2,1981,17.02,5.52,0,25.91
3,2,1981,17.48,5.68,0,26.06
4,2,1981,17.29,5.93,0,25.69
5,2,1981,17.32,5.92,0,24.36
6,2,1981,18.2,7.05,0,26.05
7,2,1981,17.78,5.62,0,25.08
8,2,1981,19.03,6.21,0,25.37
9,2,1981,19.03,7.12,0,24.69
10,2,1981,17.64,7.89,0,20.7
11,2,1981,15.7,7.46,0.25,18.04
12,2,1981,15.63,7.8,16.26,14.45
13,2,1981,14.72,7.53,1.55,18.65
14,2,1981,14.84,7.03,0,18.19
15,2,1981,15.97,6.85,0,21.98
16,2,1981,15.47,7.11,0,21.17
17,2,1981,18.81,7.03,0,21.16
18,2,1981,16.96,7.71,0,17.87
19,2,1981,16.55,7.24,0,22.79
20,2,1981,16.79,6.74,0,23.81
21,2,1981,17.81,7.31,0,25.55
22,2,1981,18.15,7.42,0,26.75
23,2,1981,18.55,7.27,0,26.35
24,2,1981,19.47,7.04,0,25.94
25,2,1981,19.06,8.03,0,26.78
26,2,1981,17.9,7.23,0,25.69
27,2,1981,17.49,6.45,0,24.13
28,2,1981,18.3,7.2,0,24.07
1,3,1981,18.31,7.58,0,24.32
2,3,1981,16.86,7.6,18.26,21.4
3,3,1981,17.11,7.81,40.61,17.53
4,3,1981,17.81,8.13,1.94,20.23
5,3,1981,15.93,8.49,22.79,16.02
6,3,1981,15.89,8.26,8.27,20.16
7,3,1981,17.23,8.15,0,20.45
8,3,1981,16.25,7.44,0,24.88
9,3,1981,17.13,5.87,0,27.1
10,3,1981,16.78,7.27,0,24.29
11,3,1981,16.94,8.23,3.5,22.07
12,3,1981,17.83,7.61,0,22.15
13,3,1981,17.24,7.69,0,18.51
14,3,1981,17.15,8.43,5.14,18.67
15,3,1981,17.54,8.81,1.71,18.77
16,3,1981,17.78,8.75,6,17.79
17,3,1981,17.85,8.35,7.31,23
18,3,1981,17.36,8.08,9.22,23.92
19,3,1981,15.09,8.91,10.32,15.32
20,3,1981,17.07,7.66,6.16,21.44
21,3,1981,17.62,8.86,15.93,19.88
22,3,1981,18.17,8.14,5.37,21.39
23,3,1981,16.91,7.68,6.64,22
24,3,1981,17.46,7.35,5.88,20.33
25,3,1981,16.97,8.08,6.44,22.15
26,3,1981,18.23,7.34,0,22.23
27,3,1981,15.77,8.51,0,17.77
28,3,1981,16.79,7.98,16.34,18.3
29,3,1981,16.37,8.51,2.7,15.52
30,3,1981,17.04,8.83,13.1,19.67
31,3,1981,16.65,8.62,8.06,20.41
1,4,1981,17.84,7.88,0.55,18.77
2,4,1981,16.37,8.48,1.04,19.55
3,4,1981,15.91,8.52,0,23.08
4,4,1981,15.81,6.47,5.82,22.62
5,4,1981,16.33,8.62,0.93,21.44
6,4,1981,15.96,7.8,0,24.09
7,4,1981,17.69,7.46,0,26.51
8,4,1981,16.59,8.13,0,23.01
9,4,1981,16.63,8.53,0,22.73
10,4,1981,16.45,8.73,0,22.1
11,4,1981,16.37,8.7,0,20.84
12,4,1981,16.4,9.29,0,20.58
13,4,1981,16.46,7.74,0,22.85
14,4,1981,16.69,8.05,0,24.33
15,4,1981,17.44,8.33,0,19.93
16,4,1981,17.95,8.03,0,22.94
17,4,1981,17.51,7.96,0,23.03
18,4,1981,16.02,7.92,0,21.41
19,4,1981,16.38,7.68,0.44,22.99
20,4,1981,16.44,8.71,3.76,23.7
21,4,1981,16.37,7.58,21.02,22.11
22,4,1981,16.15,7.56,1.53,19.94
23,4,1981,16.24,8.54,1.53,22.05
24,4,1981,14.39,8.17,5.15,15.67
25,4,1981,15.73,6.58,1.53,23.71
26,4,1981,16.5,7.06,1.27,25.52
27,4,1981,15.73,8.11,0,22.93
28,4,1981,17.06,7.7,0,25.46
29,4,1981,17.84,7.89,0,28.45
30,4,1981,17.53,8.57,0,25.46
1,5,1981,17.08,9.15,0,25.24
2,5,1981,17.43,8.4,0,24.29
3,5,1981,18.12,8.74,0,25.59
4,5,1981,17.94,8.66,0,26.55
5,5,1981,18.25,8.37,0.37,27.6
6,5,1981,18.44,8.47,0,27.96
7,5,1981,18.57,8.52,0.11,27.65
8,5,1981,18,8.6,0,24.48
9,5,1981,17.55,8.41,0,25.7
10,5,1981,16.79,8.08,0,23.07
11,5,1981,17.46,7.95,0.05,24.72
12,5,1981,17.48,8.26,0,25.23
13,5,1981,18.28,8.67,0,25.43
14,5,1981,17.98,8.37,0,24.55
15,5,1981,18.64,7.99,0,28.36
16,5,1981,18.55,8.35,0,25.77
17,5,1981,18.95,9.42,0,26
18,5,1981,18.45,9.53,0,23.73
19,5,1981,18.33,9.82,0,23.78
20,5,1981,18.88,8.25,0,26.13
21,5,1981,18.66,9.09,0,22.06
22,5,1981,18.02,9.39,0,20.75
23,5,1981,18.51,8.25,0,23.7
24,5,1981,18.31,8.37,0,22.19
25,5,1981,19.11,8.84,0,25.56
26,5,1981,19.67,7.84,0,25.11
27,5,1981,19.62,9.9,0,26.03
28,5,1981,19.15,9.9,0,23.25
29,5,1981,19.01,7.77,5.86,20.76
30,5,1981,18.2,9.48,3.44,19.43
31,5,1981,18.46,9.09,4.66,21.75
1,6,1981,19.45,9.21,0,25.59
2,6,1981,18.98,9.24,0,21.01
3,6,1981,19.04,8.34,0,22.41
4,6,1981,19.31,8.34,0,21.27
5,6,1981,18.89,8.28,0,21.87
6,6,1981,19.14,7.95,0,21.69
7,6,1981,18.49,8.85,0,20.62
8,6,1981,18.66,8.66,0,21.5
9,6,1981,18.62,8.19,0,22.25
10,6,1981,19.15,8.99,0,22.08
11,6,1981,19.74,8.73,0,21.58
12,6,1981,19.67,8.7,0,21.8
13,6,1981,19.33,7.94,0,21.25
14,6,1981,19.83,7.85,0,21.58
15,6,1981,20.33,7.74,0,22.45
16,6,1981,20.45,8.36,0,21.47
17,6,1981,19.41,9.03,0,20.02
18,6,1981,19.77,9.49,0,22.22
