day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,14.83,4.96,0,21.32
2,1,1981,14.46,5.55,0,19.72
3,1,1981,15.95,6.43,0,21.62
4,1,1981,15,6.15,0,22.22
5,1,1981,15.13,5.83,0,23.8
6,1,1981,14.76,5.41,0,21.84
7,1,1981,14.32,5.18,0,24.12
8,1,1981,14.06,4.59,0,24.3
9,1,1981,13.96,5.41,0,23.46
10,1,1981,15.71,4.62,0,23.49
11,1,1981,15.74,5.34,0,22.03
12,1,1981,13.83,5.9,0,16.93
13,1,1981,14.52,5.14,0,22.66
14,1,1981,14.32,5.2,0,20.71
15,1,1981,14.1,5.18,0,20.92
16,1,1981,14.95,4.76,0,23.07
17,1,1981,15.45,4.93,0,23.27
18,1,1981,16.41,5.34,0,23.59
19,1,1981,15.75,5.32,0,23.41
20,1,1981,15.32,5.56,0,23.96
21,1,1981,16.54,5.04,0,23.98
22,1,1981,14.34,6.05,0,20.75
23,1,1981,15.58,5.3,0,23.39
24,1,1981,15.59,6.42,0,22.38
25,1,1981,16.37,6.12,0,24.85
26,1,1981,16.47,6.23,0,24.56
27,1,1981,15.8,6.38,0,24.57
28,1,1981,15.07,6,0,24.83
29,1,1981,14.52,5.44,0,23.68
30,1,1981,14.97,5.07,0,25.47
31,1,1981,14.73,4.96,0,25.92
1,2,1981,14.86,4.82,0,25.82
2,2,1981,14.44,4.94,0,25.51
3,2,1981,14.91,5.08,0,25.65
4,2,1981,14.71,5.28,0,25.28
5,2,1981,14.75,5.28,0,23.97
6,2,1981,15.61,6.21,0,25.65
7,2,1981,15.21,5.06,0,24.68
8,2,1981,16.45,5.54,0,24.97
9,2,1981,16.44,6.29,0,24.3
10,2,1981,15.06,6.93,0,20.32
11,2,1981,13.14,6.59,0.25,17.66
12,2,1981,13.07,6.88,16.26,14.09
13,2,1981,12.16,6.67,1.55,18.28
14,2,1981,12.29,6.27,0,17.82
15,2,1981,13.42,6.13,0,21.61
16,2,1981,12.92,6.35,0,20.8
17,2,1981,16.25,6.29,0,20.79
18,2,1981,14.41,6.86,0,17.51
19,2,1981,14.02,6.48,0,22.42
20,2,1981,14.26,6.09,0,23.44
21,2,1981,15.28,6.56,0,25.18
22,2,1981,15.62,6.66,0,26.38
23,2,1981,16.02,6.55,0,25.98
24,2,1981,16.94,6.37,0,25.58
25,2,1981,16.55,7.19,0,26.42
26,2,1981,15.4,6.55,0,25.34
27,2,1981,14.99,5.93,0,23.79
28,2,1981,15.8,6.55,0,23.72
1,3,1981,15.83,6.87,0,23.98
2,3,1981,14.39,6.89,18.26,21.06
3,3,1981,14.64,7.08,40.61,17.22
4,3,1981,15.35,7.36,1.94,19.91
