day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.54,7.64,0,20.72
2,1,1981,19.41,7.61,0,18.85
3,1,1981,20.86,7.51,0,19.74
4,1,1981,20.9,7.38,0,22.33
5,1,1981,21.16,7.21,0,23.4
6,1,1981,20.36,7.17,0,21.55
7,1,1981,20.25,6.81,0,23.5
8,1,1981,20.12,5.71,0,23.93
9,1,1981,20.21,6.07,0,23.05
10,1,1981,20.1,6.68,0,22.79
11,1,1981,20.12,6.97,0,21.08
12,1,1981,19.31,8.31,0,16.08
13,1,1981,20.93,7.59,0,20.73
14,1,1981,20.61,8.55,0,19.17
15,1,1981,20.61,8.13,0,18.97
16,1,1981,21,7.89,0,21.72
17,1,1981,21.48,7.55,0,22.98
18,1,1981,21.41,7.84,0,23.28
19,1,1981,21.38,7.88,0,23.3
20,1,1981,21.65,7.2,0,24.16
21,1,1981,21.65,7.19,0,23.3
22,1,1981,20.92,7.82,0,20.95
23,1,1981,21.69,7.94,0,23.01
24,1,1981,21.7,7.72,0,22.18
25,1,1981,21.92,7.45,0,24.04
26,1,1981,21.84,7.49,0,23.28
27,1,1981,21.37,7.79,0,22.33
28,1,1981,21.72,7.65,0,24.45
29,1,1981,21.11,7.6,0,23.34
30,1,1981,21.26,7.3,0,24.53
31,1,1981,21.02,6.31,0,25.09
1,2,1981,21.07,6,0,25.09
2,2,1981,20.86,6.55,0,24.86
3,2,1981,21.6,6.92,0,25.12
4,2,1981,21.7,6.6,0,25.03
5,2,1981,21.42,7.13,0,23.38
6,2,1981,22,7.23,0,24.9
7,2,1981,21.9,6.43,0,24.62
8,2,1981,22.12,7.43,0,23.54
9,2,1981,22.26,7.84,0,22.4
10,2,1981,21.23,9.57,0,20
11,2,1981,20.05,9.15,0,20.42
12,2,1981,19.07,9.71,11.87,18.58
13,2,1981,20.63,9.39,0,22.35
14,2,1981,21.24,8.79,0,22.91
15,2,1981,20.83,8.75,0,22.51
16,2,1981,21.54,8.49,0,23.11
17,2,1981,20.57,8.57,0,21.3
18,2,1981,20.29,9.29,0,19.62
19,2,1981,21.73,8.4,0,21.44
20,2,1981,21.85,9.04,0,22.67
21,2,1981,23.01,7.88,0,24.55
22,2,1981,23.44,7.16,0,25.61
23,2,1981,23.55,7.91,0,24.84
24,2,1981,24.13,7.95,0,24.29
25,2,1981,24.02,7.66,0,25.2
26,2,1981,22.92,8.46,0,23.77
27,2,1981,22.9,8.61,0,22.75
28,2,1981,22.64,9.72,0,21.81
1,3,1981,22.92,9.86,0,23.13
2,3,1981,21.67,10.6,3.23,21.73
3,3,1981,19.32,10.06,4.76,18.98
4,3,1981,19.53,9.72,1.95,20.09
5,3,1981,19.55,9.92,53.39,18.94
6,3,1981,20.38,9.81,1.47,20.96
7,3,1981,21.63,9.08,0,22.79
8,3,1981,21.25,8.12,0,24.72
9,3,1981,22,7.67,0,25.67
10,3,1981,20.73,9.48,0,22.14
11,3,1981,21.03,9.35,0,21.92
12,3,1981,21.19,8.74,0,21.04
13,3,1981,19.47,9.63,0,19.11
14,3,1981,20.1,10.46,1.33,20.2
