day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.06,15.02,0,18.19
2,1,1981,28.2,15.06,0,21.06
3,1,1981,28.92,15.81,0,19.27
4,1,1981,28.58,15.79,0,18.95
5,1,1981,29.9,15.6,2.87,22.61
6,1,1981,27.99,16.21,2.87,18.77
7,1,1981,29.09,15.21,0,23.2
8,1,1981,29.09,13.68,0,24.48
9,1,1981,28.92,13.77,0,23.02
10,1,1981,29.41,14.36,0,23.11
11,1,1981,29.35,15.01,0,22.3
12,1,1981,29.19,15.73,0,20.05
13,1,1981,30.36,16.18,0,22.85
14,1,1981,29.46,16.23,0,20.93
15,1,1981,29.51,16.42,0,21.07
16,1,1981,29.17,16.56,0,20.71
17,1,1981,30.26,15.57,0,23.02
18,1,1981,30.42,16.61,0,22.23
19,1,1981,30.1,16.35,0,21.02
20,1,1981,30.67,15.22,0,24.39
21,1,1981,29.6,15.48,0,20.32
22,1,1981,29.29,17.57,0,19.53
23,1,1981,28.97,16.78,0,20.26
24,1,1981,30.43,15.61,0,22.73
25,1,1981,30.88,15.17,0,24.62
26,1,1981,30.97,15.1,0,23.53
27,1,1981,31,14.88,0,24.31
28,1,1981,30.93,14.76,0,25.17
29,1,1981,30.07,15.37,0,22.99
30,1,1981,29.99,15.26,0,22.9
31,1,1981,30.78,14.35,0,25.68
1,2,1981,30.59,13.22,0,25.83
2,2,1981,30.6,14.41,0,25.52
3,2,1981,31.15,13.9,0,25.68
4,2,1981,30.88,14.29,0,24.61
5,2,1981,30.3,14.83,0,23.81
6,2,1981,31.16,14.48,0,25.2
7,2,1981,30.83,14.3,0,24.81
8,2,1981,29.5,15.05,0,20.81
9,2,1981,28.71,16.09,0,17.73
10,2,1981,30.16,17.88,0,19.46
11,2,1981,29.63,18.38,0,18.73
12,2,1981,28.42,17.74,0,20.22
13,2,1981,29.04,16.77,0,20.48
14,2,1981,30.21,16.37,0.85,21.52
15,2,1981,30.13,16.49,10.91,22.36
16,2,1981,29.16,17.5,3.72,20.73
17,2,1981,29.46,17.1,0,20.9
18,2,1981,28.72,17.14,0,19.42
19,2,1981,30.1,16.81,0,21.9
20,2,1981,30.19,16.39,0,23.19
21,2,1981,32.07,15.92,0,24.58
22,2,1981,31.18,15.98,0,24.1
23,2,1981,32.44,15.78,0,24.99
24,2,1981,32.68,15.82,0,24.45
25,2,1981,32.78,15.97,0,24.38
26,2,1981,31.77,15.73,0,23.73
27,2,1981,30.22,17.15,0,21.66
28,2,1981,30.86,17.9,0,21.41
1,3,1981,31.98,17.93,1.31,22.61
2,3,1981,30.67,19.43,1.57,21.58
3,3,1981,28.44,18.2,4.39,19.87
4,3,1981,28.37,16.15,0.29,20.07
5,3,1981,27.8,17.74,28.11,19.92
6,3,1981,28.42,17.46,0.66,21.53
7,3,1981,28.61,16.8,0,20.81
8,3,1981,28.19,16.48,3.06,21.83
9,3,1981,28.73,16.51,0,22.85
10,3,1981,28.77,16.65,0,21.09
11,3,1981,29.03,17.24,4.2,22.26
12,3,1981,27.48,17.3,0.85,20.3
13,3,1981,26.7,17.74,10.79,18.2
14,3,1981,27.12,16.88,5.74,19.71
15,3,1981,27.04,17.01,0,20.61
16,3,1981,26.72,17.69,1.48,18.77
17,3,1981,27.46,16.8,4.65,21.22
18,3,1981,27.84,16.6,7.06,21.62
19,3,1981,26.98,17.29,0.54,19.85
20,3,1981,27.87,16.24,0.35,22.2
21,3,1981,26.16,17.82,12.74,17.42
22,3,1981,27.16,16.45,0.09,19.74
23,3,1981,27.05,17.4,8.67,18.48
24,3,1981,27.29,16.4,0,19.42
25,3,1981,25.34,17.62,3.22,15.88
26,3,1981,25.82,17.56,4.81,17.73
27,3,1981,24.26,17.29,3.53,14.68
28,3,1981,24.9,15.78,5.1,17.76
29,3,1981,24.27,16.95,3.68,17.67
30,3,1981,25.95,17.66,4.86,19.75
31,3,1981,25.96,17.69,3.87,19.04
1,4,1981,25.98,17.1,0.49,18.39
2,4,1981,26.11,15.3,5.87,19.58
3,4,1981,25.82,17.03,0,19.77
4,4,1981,26.31,15.95,0,21.59
5,4,1981,26.13,16.34,0,19.15
6,4,1981,26.72,16.39,5.75,20.38
7,4,1981,26.54,15.52,7.49,21.08
8,4,1981,26.63,16.12,0,20.25
9,4,1981,27.26,16.6,0,21.48
10,4,1981,26.57,17.04,0,19.97
11,4,1981,26.47,17.07,2.91,19.54
12,4,1981,26.05,17.32,0,18.15
13,4,1981,26.22,17.3,0,19.58
14,4,1981,26.3,17.17,3.74,19.44
15,4,1981,27.16,16.98,3.24,21.75
16,4,1981,27.83,16.97,0,22.43
17,4,1981,27.79,16.46,0,20.82
18,4,1981,27.03,16.28,10.2,19.72
19,4,1981,26.63,17.12,0,19.46
20,4,1981,26.63,17.04,0.6,20.33
21,4,1981,25.64,16.32,6.78,17.95
22,4,1981,25.12,16.58,0,17.64
23,4,1981,25.09,16.62,7.78,18.58
24,4,1981,25.34,16.18,5.91,19.69
25,4,1981,25.62,15.31,0,21.13
26,4,1981,25.95,15.11,0,20.71
27,4,1981,26.61,15.48,3.82,20.75
28,4,1981,29.17,15.4,0,25.5
29,4,1981,28.41,14.61,0,24.75
30,4,1981,28.2,14.67,0,23.39
1,5,1981,28.1,17,0,23.2
2,5,1981,27.74,16.17,0,22.46
3,5,1981,28.97,15.87,0,23.18
4,5,1981,28.34,15.33,0,23.67
5,5,1981,28.95,15.71,0,23.94
6,5,1981,29.06,16.45,0.45,22.86
7,5,1981,28.37,16.72,0,21.6
8,5,1981,26.39,16.12,0,21.43
9,5,1981,28.25,16.74,0,21.41
10,5,1981,28.07,15.72,0,21.55
11,5,1981,28.05,16.12,0,20.58
12,5,1981,25.92,16.43,7.86,19.18
13,5,1981,25.9,16.38,0,20.28
14,5,1981,26.21,15.48,0,22.19
15,5,1981,27.37,15.13,1.02,23.62
16,5,1981,26.21,15.96,0.98,22.31
17,5,1981,24.98,15.73,31.19,19.22
18,5,1981,25.22,16.18,0,17.96
19,5,1981,25.33,15.24,0,18.29
20,5,1981,26.2,15.54,0,21
21,5,1981,25.13,15.68,0,19.32
22,5,1981,24.82,15.76,0,18.95
23,5,1981,26.08,15.22,0,20.91
24,5,1981,24.33,17.29,8.35,16.76
25,5,1981,24.91,16.01,5.62,18.84
26,5,1981,25.71,15.39,1.11,20.64
27,5,1981,25.81,15.5,0,21.53
28,5,1981,25.7,15.39,0,19.99
29,5,1981,25.41,16.53,5.43,18.49
30,5,1981,24.5,16.27,0,16.78
31,5,1981,25.94,15.77,0,20.34
1,6,1981,27.41,15.53,0,22.16
2,6,1981,25.09,17.09,0,19.33
3,6,1981,23.95,16.79,3.59,17.02
4,6,1981,23.89,15.73,6.52,17.45
5,6,1981,23.71,17.2,0.36,16.55
6,6,1981,23.89,16.75,3.07,17.52
7,6,1981,23.91,16.04,0,16.55
8,6,1981,24.06,15.69,2.14,17.82
9,6,1981,24.1,15.6,0,18.38
10,6,1981,23.64,14.98,0,16.66
11,6,1981,24.04,15.23,0,17.35
12,6,1981,24.17,15.06,0,18.67
13,6,1981,23.29,16.02,1.21,15.9
14,6,1981,22.92,15.38,0,16.82
15,6,1981,23.83,14.71,0,18.01
16,6,1981,23.96,15.96,2.78,18.13
17,6,1981,23.55,15.93,0.41,16.25
18,6,1981,24.54,14.8,2.74,18.06
19,6,1981,24.91,16.49,4.42,18.87
20,6,1981,24.34,16.29,0,17.52
21,6,1981,23.09,16.73,0.92,13.76
22,6,1981,23.88,16.29,0.35,17.99
23,6,1981,24.1,14.88,6.91,17.99
24,6,1981,24.21,15.16,16.87,18.61
25,6,1981,23.72,16.48,11.05,16.16
26,6,1981,22.82,15.77,3.44,16.72
27,6,1981,23.14,15.43,9.65,17.46
28,6,1981,22.39,16.21,0,15.08
29,6,1981,23.21,15.29,3.63,17.31
30,6,1981,22.93,14.97,8.08,16.85
1,7,1981,22.94,15.26,7.07,16.27
2,7,1981,22.69,16.54,13.56,16.26
3,7,1981,22.33,16.35,0,15.59
4,7,1981,22.89,16.15,0.18,16.52
5,7,1981,22.59,14.98,0,16.86
6,7,1981,23.12,14.85,0,17.4
7,7,1981,22.76,15.99,0,16.67
8,7,1981,22.1,15.89,0,15.88
9,7,1981,22.62,14.54,31.71,16.82
10,7,1981,21.93,15.3,1.99,15.25
11,7,1981,21.31,15.98,4.46,14.39
12,7,1981,23.19,15.01,24.88,17.99
13,7,1981,22.5,15.15,5.33,16.7
14,7,1981,22.53,15.15,6.98,16.27
15,7,1981,21.58,15.5,4.8,15.09
16,7,1981,21.5,15.65,0,14.12
17,7,1981,21.44,15.38,0,15.25
18,7,1981,21.84,14.93,0,14.59
19,7,1981,21.57,16.22,8.03,14.18
20,7,1981,20.76,16,25.7,12.72
21,7,1981,22.24,15.68,8.78,16.18
22,7,1981,22.76,16.4,5.06,15.9
23,7,1981,23.27,16.58,1.35,16.98
24,7,1981,22.28,16.34,16.1,15.74
25,7,1981,21.96,15.65,0.95,14.69
26,7,1981,21.21,16.06,17.72,12.34
27,7,1981,21.67,15.64,0.34,15.86
28,7,1981,22.73,15.22,9.52,16.88
29,7,1981,22.48,15.72,2.1,17.6
30,7,1981,21.21,15.99,25.81,14
31,7,1981,22.39,16.07,0,15.29
1,8,1981,22.54,15.93,1.08,18.13
2,8,1981,22.04,16.41,10.64,13.16
3,8,1981,22.76,15.67,1.98,16.38
4,8,1981,22.54,15.8,1.03,15.69
5,8,1981,22.55,15.92,20.63,16.57
6,8,1981,22.19,16.26,29.06,15.63
7,8,1981,21.65,16.24,0.19,14.5
8,8,1981,22.15,15.93,1.88,16.5
9,8,1981,22.76,15.92,0,17.57
10,8,1981,23,16,0.19,17.37
11,8,1981,23.29,16.29,15.49,17.23
12,8,1981,22.25,16.22,13.09,15.93
13,8,1981,21.94,16.41,20.46,14.68
14,8,1981,22.64,16.06,6.94,16.57
15,8,1981,22.68,16.36,1.03,16.14
16,8,1981,22.07,15.12,0,16.83
17,8,1981,21.7,15.09,8,16.1
18,8,1981,23.12,14.88,0.76,17.57
19,8,1981,23.25,14.68,0,18.8
20,8,1981,22.5,15.35,0,17.57
21,8,1981,21.3,15.72,12.78,15.17
22,8,1981,21.28,15.47,5.26,15.6
23,8,1981,21.87,14.32,0,16.89
24,8,1981,22.28,14.62,0,17.05
25,8,1981,21.93,15.24,0,17.65
26,8,1981,22.49,15.45,5.32,18.05
27,8,1981,22.19,15.33,0,17.8
28,8,1981,23.07,14.31,0.32,18.53
29,8,1981,21.88,13.84,2.99,17.66
30,8,1981,23.32,14.45,0.31,18.93
31,8,1981,22.32,14.7,29.15,16.73
1,9,1981,21.98,14.58,20.82,17.22
2,9,1981,23.02,14.78,0,18.71
3,9,1981,22.67,14.01,0,19.5
4,9,1981,22.36,15.47,1,16.57
5,9,1981,21.68,15.78,5.72,15.77
6,9,1981,22.54,14.53,15.49,18.36
7,9,1981,22.23,14.69,0,17.14
8,9,1981,21.31,15.46,0,15.1
9,9,1981,22.47,14.74,0,18.85
10,9,1981,22.86,14.7,3.08,18.77
