day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.98,9.61,0,19.09
2,1,1981,20,9.42,0,21.51
3,1,1981,20.66,10.55,0,19.17
4,1,1981,20.36,10.23,0,20.08
5,1,1981,21.4,9.94,2.63,23.32
6,1,1981,20.04,10.3,3.18,18.25
7,1,1981,20.38,9.23,0,23.92
8,1,1981,20.4,8.22,0,24.83
9,1,1981,20.37,8.39,0,23.7
10,1,1981,20.86,8.41,0,23.6
11,1,1981,21.31,9.21,0,23.4
12,1,1981,20.41,10.15,0,20.46
13,1,1981,21,10.14,0,24.01
14,1,1981,20.56,10.19,0,21.4
15,1,1981,20.47,9.98,0,22.01
16,1,1981,20.57,10.4,0,21.5
17,1,1981,21.18,9.4,0,23.72
18,1,1981,21.46,9.88,0,23.5
19,1,1981,21.38,9.92,0,22.54
20,1,1981,21.55,9.37,0,24.98
21,1,1981,21.21,9.99,0,20.59
22,1,1981,20.78,11.5,0,18.89
23,1,1981,19.87,10.7,0,19.78
24,1,1981,21.37,9.31,0,24.13
25,1,1981,21.99,9.12,0,25.25
26,1,1981,21.87,9.27,0,24.73
27,1,1981,21.72,8.88,0,25.16
28,1,1981,21.72,8.69,0,25.66
29,1,1981,21.2,9.1,0,24.44
30,1,1981,21.25,8.94,0,24.06
31,1,1981,21.03,8.18,0,26.43
1,2,1981,20.68,8.22,0,26.38
2,2,1981,21.07,8.66,0,26.08
3,2,1981,21.15,9.09,0,26.25
4,2,1981,21.38,8.6,0,25.55
5,2,1981,21.37,8.68,0,24.98
6,2,1981,21.75,8.51,0,25.94
7,2,1981,21.65,8.52,0,25.9
8,2,1981,21.68,8.85,0,22.53
9,2,1981,20.38,10.35,0,17.55
10,2,1981,20.94,11.74,0,19.4
11,2,1981,20.19,12.16,0,18.96
12,2,1981,19.25,11.04,0,19.68
13,2,1981,19.2,10.01,0,20.24
14,2,1981,20.11,9.63,12.6,21.9
15,2,1981,20.2,10.26,1.77,22.32
16,2,1981,19.03,10.99,2.12,19.46
17,2,1981,19.5,10.12,1.71,19.68
18,2,1981,19.12,9.98,1.78,19.16
19,2,1981,20.22,10.04,0,22.83
20,2,1981,20.47,9.95,0,23.69
21,2,1981,21.24,9.12,0,25.29
22,2,1981,21.41,9.5,0,24.9
23,2,1981,22.51,9.29,0,26.09
24,2,1981,22.54,9.64,0,25.65
25,2,1981,22.22,9.78,0,25.61
26,2,1981,21.74,9.39,0,25.47
27,2,1981,20.31,10.17,0,22.57
28,2,1981,21.78,10.73,0,22.4
1,3,1981,22.05,11.93,9.84,22.81
2,3,1981,21.24,12.3,13.3,20.83
3,3,1981,18.99,10.84,21.69,19.13
4,3,1981,18.94,10.22,10.09,19.75
5,3,1981,18.53,10.97,9.31,18.31
6,3,1981,18.92,10.89,6.02,20.77
7,3,1981,19.18,10.36,0,20.8
8,3,1981,19.22,10.17,0,23.08
9,3,1981,19.38,10.13,0,24.08
10,3,1981,19.5,10.33,0,21.61
11,3,1981,19.58,10.41,0,22.35
12,3,1981,18.83,11.15,5.86,20.09
13,3,1981,18.86,11.25,9.15,17.82
14,3,1981,18.72,10.36,11.55,19.34
15,3,1981,19.06,10.56,4.57,19.88
16,3,1981,18.52,11.32,2.65,17.15
17,3,1981,18.65,10.48,3.77,20.77
18,3,1981,19.22,10.15,7.65,21.03
19,3,1981,18.46,10.62,5.07,17.69
20,3,1981,18.77,9.55,3.31,22.88
21,3,1981,18.03,11.22,13.26,16.08
22,3,1981,18.62,10.16,4.27,19.29
23,3,1981,18.05,10.65,9.66,15.27
24,3,1981,18.91,10.51,5.15,19.5
25,3,1981,17.72,11.71,7.77,14.42
26,3,1981,18.22,11.3,6.58,16.86
27,3,1981,17.03,11.37,6.13,11.91
28,3,1981,18,10.71,3.55,16.76
