day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.86,11.56,0,19.04
2,1,1981,22.88,11.74,0,22.22
3,1,1981,24.03,12.51,0,19.8
4,1,1981,23.8,12.21,0,20.07
5,1,1981,24.68,12.24,2.63,23.26
6,1,1981,22.22,12.44,3.18,19.28
7,1,1981,23.44,11.71,0,23.59
8,1,1981,23.63,10.85,0,24.83
9,1,1981,23.73,10.79,0,23.67
10,1,1981,24.15,11.11,0,23.7
11,1,1981,24.19,11.66,0,23.44
12,1,1981,24.21,12.39,0,21.38
13,1,1981,25.14,12.66,0,23.57
14,1,1981,24.23,12.62,0,21.61
15,1,1981,23.88,12.48,0,21.86
16,1,1981,24.06,12.64,0,21.69
17,1,1981,24.45,12.21,0,23.77
18,1,1981,24.96,12.55,0,23.27
19,1,1981,24.81,12.65,0,22
20,1,1981,24.84,11.79,0,25.03
21,1,1981,24.01,11.89,0,20.56
22,1,1981,24.2,13.49,0,19.64
23,1,1981,23.19,13.1,0,20.38
24,1,1981,25.03,12.14,0,23.57
25,1,1981,25.3,11.82,0,25.16
26,1,1981,25.38,11.75,0,24.51
27,1,1981,25.23,11.61,0,25.14
28,1,1981,25.09,11.44,0,25.66
29,1,1981,24.65,11.7,0,23.81
30,1,1981,24.04,11.96,0,23
31,1,1981,24.83,11.16,0,26.14
1,2,1981,24.54,10.29,0,26.27
2,2,1981,24.6,10.79,0,25.98
3,2,1981,25.1,10.82,0,26.1
4,2,1981,25.05,11.12,0,25.32
5,2,1981,25.04,11.25,0,24.55
6,2,1981,25.39,11.22,0,25.81
7,2,1981,25.04,11.19,0,25.66
8,2,1981,23.83,11.63,0,21.05
9,2,1981,22.71,12.36,0,17.5
10,2,1981,24.57,13.41,0,19.59
11,2,1981,23.55,14.32,0,18.64
12,2,1981,22.41,13.53,0,20.37
13,2,1981,22.77,12.9,0,20.13
14,2,1981,24.23,12.52,12.6,22.42
15,2,1981,23.73,12.94,1.77,22.82
16,2,1981,22.04,13.49,2.12,19.26
17,2,1981,23.11,12.99,1.71,20.25
18,2,1981,23.01,12.8,1.78,20.04
19,2,1981,23.88,12.69,0,22.35
20,2,1981,24.2,12.69,0,23.45
21,2,1981,25.57,12.07,0,24.88
22,2,1981,24.9,12.14,0,24.72
23,2,1981,26.49,12.19,0,25.81
24,2,1981,26.68,12.21,0,25.37
25,2,1981,26.83,12.47,0,25.28
26,2,1981,26.14,12.22,0,25.11
27,2,1981,24.1,13.05,0,22.75
28,2,1981,25.06,13.31,0,22.58
1,3,1981,26.09,14.06,9.84,22.87
2,3,1981,24.4,14.54,13.3,21.19
3,3,1981,22.16,13.64,21.69,20.32
4,3,1981,22.08,12.44,10.09,20.34
5,3,1981,21.5,13.47,9.31,19.73
6,3,1981,21.94,13.32,6.02,21.4
7,3,1981,21.99,12.83,0,21.11
8,3,1981,22.12,12.63,0,22.93
9,3,1981,22.52,12.36,0,23.71
10,3,1981,22.47,12.62,0,21.81
11,3,1981,22.53,12.9,0,22.89
12,3,1981,21.52,13.02,5.86,21.13
13,3,1981,20.54,13.46,9.15,18.16
14,3,1981,21.11,12.57,11.55,19.78
15,3,1981,21.27,12.92,4.57,20.2
16,3,1981,20.56,13.45,2.65,17.81
17,3,1981,21.07,12.58,3.77,21.05
18,3,1981,21.23,12.61,7.65,20.69
19,3,1981,20.64,13.35,5.07,19.38
20,3,1981,21.11,12.45,3.31,22.76
21,3,1981,19.56,13.31,13.26,15.97
22,3,1981,20.97,12.46,4.27,20.27
23,3,1981,19.54,12.91,9.66,17.44
24,3,1981,21,12.58,5.15,20.19
25,3,1981,18.37,13.62,7.77,14.91
26,3,1981,19.78,13.32,6.58,17.37
27,3,1981,18.25,13.24,6.13,14.07
28,3,1981,19.39,12.25,3.55,18.45
29,3,1981,19.24,13.09,7.42,17.98
30,3,1981,20.41,12.84,7.5,20.81
31,3,1981,20.25,13.54,6.72,19.18
1,4,1981,20.3,13.01,3.84,18.57
