day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.29,15.11,0,18.08
2,1,1981,26.43,15.13,0,20.93
3,1,1981,27.13,15.6,0,19.15
4,1,1981,26.79,15.6,0,18.84
5,1,1981,28.08,15.49,2.87,22.47
6,1,1981,26.21,15.87,2.87,18.65
7,1,1981,27.29,15.25,0,23.06
8,1,1981,27.28,14.32,0,24.32
9,1,1981,27.11,14.38,0,22.88
10,1,1981,27.59,14.75,0,22.96
11,1,1981,27.53,15.16,0,22.16
12,1,1981,27.37,15.6,0,19.93
13,1,1981,28.51,15.89,0,22.71
14,1,1981,27.63,15.92,0,20.8
15,1,1981,27.68,16.04,0,20.94
16,1,1981,27.34,16.14,0,20.58
17,1,1981,28.41,15.53,0,22.88
18,1,1981,28.56,16.17,0,22.09
19,1,1981,28.24,16.01,0,20.89
20,1,1981,28.8,15.32,0,24.24
21,1,1981,27.75,15.48,0,20.2
22,1,1981,27.45,16.78,0,19.41
23,1,1981,27.13,16.3,0,20.13
24,1,1981,28.56,15.58,0,22.58
25,1,1981,29,15.31,0,24.46
26,1,1981,29.08,15.27,0,23.38
27,1,1981,29.11,15.14,0,24.15
28,1,1981,29.04,15.07,0,25.01
29,1,1981,28.19,15.45,0,22.84
30,1,1981,28.12,15.38,0,22.75
31,1,1981,28.89,14.83,0,25.52
1,2,1981,28.71,14.13,0,25.66
2,2,1981,28.71,14.86,0,25.36
3,2,1981,29.25,14.55,0,25.52
4,2,1981,28.98,14.79,0,24.45
5,2,1981,28.41,15.13,0,23.66
6,2,1981,29.26,14.92,0,25.03
7,2,1981,28.93,14.8,0,24.65
8,2,1981,27.63,15.26,0,20.68
9,2,1981,26.85,15.91,0,17.62
10,2,1981,28.28,17.01,0,19.34
11,2,1981,27.75,17.32,0,18.61
12,2,1981,26.57,16.92,0,20.08
13,2,1981,27.17,16.33,0,20.35
14,2,1981,28.32,16.09,0.85,21.38
15,2,1981,28.24,16.16,10.91,22.21
16,2,1981,27.3,16.78,3.72,20.59
17,2,1981,27.58,16.53,0,20.76
18,2,1981,26.86,16.56,0,19.29
19,2,1981,28.21,16.35,0,21.75
20,2,1981,28.3,16.1,0,23.03
21,2,1981,30.14,15.81,0,24.41
22,2,1981,29.27,15.84,0,23.94
23,2,1981,30.5,15.72,0,24.81
24,2,1981,30.73,15.75,0,24.28
25,2,1981,30.83,15.83,0,24.21
26,2,1981,29.84,15.68,0,23.57
27,2,1981,28.32,16.56,0,21.51
28,2,1981,28.96,17.02,0,21.26
1,3,1981,30.05,17.03,1.31,22.45
2,3,1981,28.77,17.94,1.57,21.43
3,3,1981,26.59,17.19,4.39,19.73
4,3,1981,26.52,15.93,0.29,19.93
5,3,1981,25.97,16.91,28.11,19.77
6,3,1981,26.57,16.73,0.66,21.38
7,3,1981,26.76,16.32,0,20.66
