day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.68,15.48,0,18.11
2,1,1981,27.82,15.52,0,20.99
3,1,1981,28.52,15.98,0,19.2
4,1,1981,28.19,15.98,0,18.88
5,1,1981,29.48,15.86,2.87,22.55
6,1,1981,27.6,16.24,2.87,18.7
7,1,1981,28.69,15.62,0,23.15
8,1,1981,28.68,14.68,0,24.42
9,1,1981,28.51,14.74,0,22.97
10,1,1981,28.99,15.11,0,23.05
11,1,1981,28.94,15.51,0,22.24
12,1,1981,28.77,15.96,0,19.99
13,1,1981,29.92,16.24,0,22.8
14,1,1981,29.04,16.28,0,20.87
15,1,1981,29.09,16.4,0,21.01
16,1,1981,28.75,16.49,0,20.65
17,1,1981,29.82,15.88,0,22.97
18,1,1981,29.97,16.52,0,22.18
19,1,1981,29.65,16.37,0,20.96
20,1,1981,30.21,15.67,0,24.34
21,1,1981,29.16,15.83,0,20.27
22,1,1981,28.86,17.13,0,19.48
23,1,1981,28.54,16.63,0,20.2
24,1,1981,29.97,15.91,0,22.68
25,1,1981,30.41,15.65,0,24.58
26,1,1981,30.49,15.6,0,23.49
27,1,1981,30.52,15.47,0,24.27
28,1,1981,30.45,15.39,0,25.13
29,1,1981,29.6,15.77,0,22.95
30,1,1981,29.52,15.7,0,22.86
31,1,1981,30.29,15.14,0,25.65
1,2,1981,30.11,14.45,0,25.8
2,2,1981,30.12,15.19,0,25.49
3,2,1981,30.65,14.86,0,25.66
4,2,1981,30.39,15.11,0,24.58
5,2,1981,29.82,15.45,0,23.78
6,2,1981,30.66,15.23,0,25.17
7,2,1981,30.33,15.11,0,24.78
8,2,1981,29.03,15.58,0,20.77
9,2,1981,28.25,16.22,0,17.68
10,2,1981,29.67,17.34,0,19.42
11,2,1981,29.15,17.64,0,18.69
12,2,1981,27.96,17.25,0,20.18
13,2,1981,28.56,16.65,0,20.45
14,2,1981,29.71,16.4,0.85,21.49
15,2,1981,29.63,16.48,10.91,22.33
16,2,1981,28.68,17.1,3.72,20.7
17,2,1981,28.96,16.85,0,20.87
18,2,1981,28.24,16.87,0,19.39
19,2,1981,29.59,16.67,0,21.87
20,2,1981,29.67,16.4,0,23.17
21,2,1981,31.52,16.11,0,24.56
22,2,1981,30.65,16.14,0,24.09
23,2,1981,31.87,16.02,0,24.98
24,2,1981,32.1,16.05,0,24.44
25,2,1981,32.2,16.14,0,24.37
26,2,1981,31.21,15.99,0,23.72
27,2,1981,29.69,16.87,0,21.64
28,2,1981,30.32,17.33,0,21.4
1,3,1981,31.41,17.35,1.31,22.6
2,3,1981,30.12,18.27,1.57,21.57
3,3,1981,27.94,17.51,4.39,19.86
4,3,1981,27.87,16.23,0.29,20.06
5,3,1981,27.31,17.22,28.11,19.9
6,3,1981,27.91,17.04,0.66,21.53
7,3,1981,28.1,16.64,0,20.81
8,3,1981,27.68,16.43,3.06,21.83
9,3,1981,28.21,16.45,0,22.86
10,3,1981,28.25,16.53,0,21.09
11,3,1981,28.5,16.89,4.2,22.26
12,3,1981,26.98,16.93,0.85,20.3
13,3,1981,26.22,17.2,10.79,18.19
14,3,1981,26.62,16.66,5.74,19.71
15,3,1981,26.55,16.74,0,20.62
16,3,1981,26.23,17.15,1.48,18.77
17,3,1981,26.95,16.61,4.65,21.23
18,3,1981,27.32,16.48,7.06,21.63
19,3,1981,26.48,16.9,0.54,19.85
20,3,1981,27.34,16.24,0.35,22.22
21,3,1981,25.67,17.22,12.74,17.42
22,3,1981,26.64,16.37,0.09,19.75
23,3,1981,26.53,16.95,8.67,18.49
