day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.58,11.69,0,18.79
2,1,1981,21.6,11.83,0,21.9
3,1,1981,22.71,12.43,0,19.54
4,1,1981,22.48,12.21,0,19.8
5,1,1981,23.34,12.23,2.63,22.93
6,1,1981,20.97,12.39,3.18,19.03
7,1,1981,22.14,11.83,0,23.26
8,1,1981,22.32,11.16,0,24.47
9,1,1981,22.42,11.12,0,23.34
10,1,1981,22.82,11.37,0,23.36
11,1,1981,22.87,11.81,0,23.11
12,1,1981,22.88,12.37,0,21.09
13,1,1981,23.78,12.6,0,23.24
14,1,1981,22.91,12.57,0,21.32
15,1,1981,22.57,12.46,0,21.56
16,1,1981,22.75,12.58,0,21.39
17,1,1981,23.11,12.26,0,23.43
18,1,1981,23.61,12.51,0,22.94
19,1,1981,23.47,12.6,0,21.7
20,1,1981,23.49,11.94,0,24.66
21,1,1981,22.7,12.01,0,20.28
22,1,1981,22.88,13.26,0,19.38
23,1,1981,21.91,12.96,0,20.11
24,1,1981,23.68,12.21,0,23.23
25,1,1981,23.94,11.97,0,24.79
26,1,1981,24.01,11.92,0,24.16
27,1,1981,23.87,11.81,0,24.77
28,1,1981,23.74,11.68,0,25.28
29,1,1981,23.31,11.89,0,23.46
30,1,1981,22.73,12.08,0,22.67
31,1,1981,23.49,11.47,0,25.75
1,2,1981,23.21,10.79,0,25.88
2,2,1981,23.27,11.18,0,25.59
3,2,1981,23.75,11.21,0,25.71
4,2,1981,23.7,11.44,0,24.94
5,2,1981,23.69,11.54,0,24.19
6,2,1981,24.03,11.52,0,25.41
7,2,1981,23.69,11.5,0,25.27
8,2,1981,22.52,11.84,0,20.74
9,2,1981,21.45,12.41,0,17.26
10,2,1981,23.24,13.22,0,19.31
11,2,1981,22.26,13.93,0,18.37
12,2,1981,21.16,13.31,0,20.07
13,2,1981,21.51,12.83,0,19.83
14,2,1981,22.91,12.53,12.6,22.07
15,2,1981,22.43,12.85,1.77,22.47
16,2,1981,20.8,13.28,2.12,18.97
17,2,1981,21.83,12.89,1.71,19.94
18,2,1981,21.74,12.75,1.78,19.73
19,2,1981,22.58,12.66,0,21.99
20,2,1981,22.88,12.66,0,23.07
21,2,1981,24.2,12.17,0,24.47
22,2,1981,23.56,12.23,0,24.31
23,2,1981,25.08,12.27,0,25.38
24,2,1981,25.26,12.28,0,24.94
25,2,1981,25.41,12.48,0,24.85
26,2,1981,24.75,12.28,0,24.69
27,2,1981,22.79,12.93,0,22.37
28,2,1981,23.71,13.13,0,22.19
1,3,1981,24.7,13.71,9.84,22.48
2,3,1981,23.07,14.07,13.3,20.83
3,3,1981,20.91,13.38,21.69,19.97
4,3,1981,20.83,12.45,10.09,19.98
5,3,1981,20.28,13.25,9.31,19.38
6,3,1981,20.7,13.13,6.02,21.02
7,3,1981,20.75,12.74,0,20.74
8,3,1981,20.88,12.58,0,22.52
9,3,1981,21.26,12.37,0,23.28
10,3,1981,21.21,12.57,0,21.4
11,3,1981,21.27,12.78,0,22.46
12,3,1981,20.3,12.87,5.86,20.73
13,3,1981,19.36,13.21,9.15,17.81
14,3,1981,19.9,12.51,11.55,19.4
15,3,1981,20.05,12.78,4.57,19.81
16,3,1981,19.37,13.19,2.65,17.46
17,3,1981,19.86,12.51,3.77,20.64
18,3,1981,20.02,12.53,7.65,20.28
19,3,1981,19.45,13.1,5.07,19
20,3,1981,19.9,12.4,3.31,22.31
21,3,1981,18.41,13.07,13.26,15.64
22,3,1981,19.76,12.4,4.27,19.85
23,3,1981,18.39,12.74,9.66,17.08
24,3,1981,19.79,12.48,5.15,19.77
