day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.41,13.86,0,22.02
2,1,1981,25.04,14.31,0,22.97
3,1,1981,25.82,14.35,0,21.75
4,1,1981,25.96,14.29,0,22.75
5,1,1981,26.14,14.71,1.39,23.72
6,1,1981,25.3,14.98,5.79,21.23
7,1,1981,25.24,14.02,0,24.14
8,1,1981,25.24,13.67,0,24.26
9,1,1981,25.37,13.6,0,24.21
10,1,1981,25.44,13.59,0,24.24
11,1,1981,25.93,13.96,0,24.29
12,1,1981,26.03,14.6,0,23.54
13,1,1981,25.75,14.91,0,23.76
14,1,1981,25.6,14.85,0,22.92
15,1,1981,25.79,14.66,0,23.4
16,1,1981,25.74,14.84,0,23.22
17,1,1981,26.08,14.32,0,24.32
18,1,1981,26.04,14.44,0,24.43
19,1,1981,26.42,14.59,0,24.25
20,1,1981,26.35,14.23,0,24.72
21,1,1981,25.92,14.07,0,21.76
22,1,1981,25.96,15.66,0,21.11
23,1,1981,25.17,15.18,0,21
24,1,1981,26.38,14.51,0,24.36
25,1,1981,26.81,14.37,0,24.93
26,1,1981,26.72,14.36,0,24.95
27,1,1981,26.68,14.16,0,25.17
28,1,1981,26.62,14.01,0,25.34
29,1,1981,26.13,14.12,0,24.87
30,1,1981,25.75,14.3,0,23.76
31,1,1981,25.59,13.42,0,25.28
1,2,1981,25.33,13.29,0,25.72
2,2,1981,25.7,13.69,0,25.55
3,2,1981,25.85,13.78,0,25.63
4,2,1981,26.3,13.76,0,25.6
5,2,1981,26.1,13.8,0,25.23
6,2,1981,26.56,13.75,0,25.4
7,2,1981,26.35,13.63,0,25.72
8,2,1981,26.79,13.88,0,23.76
9,2,1981,25.67,14.16,0,21.06
10,2,1981,26.11,15.72,0,21.95
11,2,1981,25.46,16.13,0,21.74
12,2,1981,24.78,15.45,0,22.04
13,2,1981,24.61,14.91,0,20.71
14,2,1981,25.22,14.74,12.19,23.67
15,2,1981,25.25,15.07,3.62,23.25
16,2,1981,22.9,15.52,0.73,18.03
17,2,1981,23.91,14.46,12.55,18.95
18,2,1981,24.89,14.83,2.46,21.04
19,2,1981,25.43,14.79,0,22
20,2,1981,25.94,14.94,0,23.25
21,2,1981,26.3,14.43,0,24.46
22,2,1981,26.83,14.44,0,24.66
23,2,1981,27.73,14.51,0,25.86
24,2,1981,27.8,14.51,2.51,26.05
25,2,1981,27.71,14.75,0,25.8
26,2,1981,27,14.59,0,25.8
27,2,1981,26.08,14.85,0,24.15
28,2,1981,27.2,15.31,0,24.59
1,3,1981,27.36,16.04,1.38,23.94
2,3,1981,26.45,16.35,28.36,21.07
3,3,1981,25.24,15.42,3.31,21.11
4,3,1981,24.23,15.01,4.73,19.89
5,3,1981,24.42,15.36,1.25,18.67
6,3,1981,24.31,15.53,8.47,20.03
7,3,1981,24.57,15.13,0,21.75
8,3,1981,25.35,14.61,0,24.86
9,3,1981,25.61,14.35,0,24.95
10,3,1981,24.99,14.71,0,22.04
11,3,1981,24.89,15.03,0,22.82
12,3,1981,25.16,14.97,1.49,22.13
13,3,1981,24.3,15.53,2.11,20.59
14,3,1981,24.08,14.55,31.33,20.6
15,3,1981,24.12,15.14,9.12,20.52
16,3,1981,21.73,15.38,0.79,15.45
17,3,1981,23.61,14.59,1,21.17
18,3,1981,23.98,14.58,16.43,20.95
19,3,1981,22.42,15.02,17.61,18.54
20,3,1981,23.79,14.32,4.88,22.23
21,3,1981,22.55,14.74,18.12,17.73
22,3,1981,23.75,14.39,11.71,21.61
23,3,1981,22.35,14.75,11.65,17.03
24,3,1981,23.35,14.81,8.26,20.3
25,3,1981,20.51,15.29,12.52,13.02
26,3,1981,22.27,14.94,9.62,17.17
27,3,1981,21.63,14.99,12.92,14.39
28,3,1981,22.74,14.47,10.32,19.12
29,3,1981,22.52,14.77,1.93,18.34
30,3,1981,22.81,14.5,1.63,21.87
31,3,1981,23.13,15.16,10.85,19.57
1,4,1981,22.66,14.64,5.72,18.67
2,4,1981,22.01,14.51,18.55,18.31
3,4,1981,22.83,14.81,0,20.1
4,4,1981,23.73,14.3,0,21.76
5,4,1981,23.31,14.82,0,18.7
6,4,1981,23.4,14.45,7.83,22.44
7,4,1981,23.96,14.06,2.06,23.09
8,4,1981,23.43,14.31,0,21.25
