day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.68,18.82,0,19.72
2,1,1981,30.58,19.45,0,22.5
3,1,1981,31.1,20.04,0,20.84
4,1,1981,30.51,20.13,0,19.95
5,1,1981,31.85,19.67,2.02,22.95
6,1,1981,30.8,20.75,3.51,20.11
7,1,1981,30.93,19.61,0,22.69
8,1,1981,31.03,19.04,0,24.19
9,1,1981,31.28,18.6,0,23.19
10,1,1981,31.63,18.72,0,23.33
11,1,1981,31.79,19.25,0,23.32
12,1,1981,32,19.9,0,21.97
13,1,1981,32.42,20.23,0,22.86
14,1,1981,31.87,20.12,0,21.55
15,1,1981,31.33,19.75,0,20.81
16,1,1981,31.99,19.77,0,22.03
17,1,1981,31.9,19.84,0,23.24
18,1,1981,31.99,19.79,0,23.01
19,1,1981,31.78,20.42,0,21.31
20,1,1981,32.1,19.33,0,24.49
21,1,1981,31.29,19.76,0,20.81
22,1,1981,30.83,20.47,0,20.38
23,1,1981,30.95,20.6,0,20.71
24,1,1981,32.26,19.7,0,22.67
25,1,1981,32.52,19.52,0,24.58
26,1,1981,32.52,19.17,0,24.19
27,1,1981,32.25,19.62,0,24.69
28,1,1981,32.22,19.11,0,25.04
29,1,1981,32.13,19.31,0,22.85
30,1,1981,30.96,19.9,0,21.22
31,1,1981,32.01,19.25,0,25.07
1,2,1981,31.46,18.22,0,25.52
2,2,1981,31.69,18.54,0,25.27
3,2,1981,32.14,18.69,0,25.38
4,2,1981,32.21,18.52,0,24.77
5,2,1981,32.11,18.77,0,23.79
6,2,1981,32.18,18.79,0,25.12
7,2,1981,32.03,18.77,0,25.1
8,2,1981,31.02,19,0,19.98
9,2,1981,30.48,19.94,0,18.31
10,2,1981,31.7,20.34,0,19.46
11,2,1981,30.83,21.12,0,17.98
12,2,1981,30.33,20.92,0,20.9
13,2,1981,30.22,20.48,0,19.89
14,2,1981,31.66,20.35,0.27,22.59
15,2,1981,31.5,20.24,13.2,22.81
16,2,1981,28.49,20.02,0,18.1
17,2,1981,30.4,19.98,5.27,20.26
18,2,1981,30.65,20.34,7.86,20.98
19,2,1981,30.95,19.83,0,21.4
20,2,1981,31.38,20.31,0,22.58
21,2,1981,32.84,19.46,0,23.63
22,2,1981,32.66,19.49,0,24.01
23,2,1981,33.58,19.51,0,25.02
24,2,1981,33.74,19.36,0,24.33
25,2,1981,33.48,20.15,0,23.97
26,2,1981,32.93,19.79,0,24.72
27,2,1981,32.04,20.77,0,22.9
28,2,1981,32.88,20.46,0,22.83
1,3,1981,33.08,21.35,0,22.59
2,3,1981,31.7,20.84,10.66,21.13
3,3,1981,30.14,20.14,2.72,20.66
4,3,1981,30.08,19.08,4.03,20.47
5,3,1981,30.07,19.87,8.14,20.78
6,3,1981,30.01,19.96,0,21.44
7,3,1981,30.2,19.96,0,21.01
8,3,1981,30.62,19.41,5.48,22.7
9,3,1981,31.14,19.25,0,22.92
10,3,1981,31.22,19.73,0,22.01
11,3,1981,31.05,20.49,0,22.63
12,3,1981,31,19.94,7.36,22.01
13,3,1981,28.52,19.87,7.36,18.51
14,3,1981,29.04,19.53,22.04,19.96
15,3,1981,29.73,19.59,11.76,19.76
16,3,1981,28.21,19.86,2.78,17.28
17,3,1981,28.82,19.12,4.65,21.07
18,3,1981,28.5,19.39,7.92,19.58
19,3,1981,28.33,19.32,5.07,20.35
20,3,1981,28.38,18.92,3.76,22.07
21,3,1981,25.93,19.47,10.94,14.54
22,3,1981,28.45,18.98,6.08,21.3
23,3,1981,26.7,19.11,8.05,18.57
24,3,1981,28.12,18.77,4.72,20.44
25,3,1981,25.12,19.45,6.64,14.77
26,3,1981,26.79,19.34,6.68,17.1
27,3,1981,25.51,19.24,7.8,15.83
28,3,1981,26.96,18.34,7.38,20.18
29,3,1981,26.41,19.32,6.33,18.36
30,3,1981,27.57,19.09,5.47,21.33
31,3,1981,27.14,19.42,4.78,18.93
1,4,1981,26.88,18.93,4.44,18.78
2,4,1981,26.82,18.62,6.09,18.8
3,4,1981,27.18,19.1,0,20.42
4,4,1981,27.53,19.24,0,20.92
5,4,1981,27.9,19.42,2.57,20.79
6,4,1981,27.81,19.52,4.01,21.94
7,4,1981,27.64,18.7,5.76,21.23
8,4,1981,27.84,18.99,5.78,21.23
9,4,1981,28.23,19.49,0,21.03
10,4,1981,27.68,19.12,4.07,20.38
11,4,1981,27.45,19,4.72,19.25
12,4,1981,27.3,19.23,2.41,17.8
13,4,1981,27.43,19.22,0,20.67
14,4,1981,27.79,19.54,6.23,21.32
15,4,1981,27.72,18.95,4.37,20.58
16,4,1981,28.86,18.9,0,21.66
17,4,1981,28.22,19.08,0.78,20.95
18,4,1981,27.9,19.14,14.08,20.2
19,4,1981,27.56,19.22,4.61,20.52
20,4,1981,27.77,18.84,5.33,20.74
21,4,1981,26.65,18.92,6.58,17.98
22,4,1981,25.63,18.81,8.03,16.07
23,4,1981,26.24,19.01,0,16.99
24,4,1981,27.03,18.02,6.2,20.34
25,4,1981,27.19,17.86,7.8,21.63
26,4,1981,27.82,18.16,0.61,22.18
27,4,1981,27.7,18.68,7.67,20.45
28,4,1981,29.23,18.11,1.1,23.11
29,4,1981,28.77,18.2,0,23.97
30,4,1981,29.15,18.9,0,23
1,5,1981,28.45,18.94,0,21.68
2,5,1981,28.83,18.61,0,22
3,5,1981,29.17,18.5,0,22.3
4,5,1981,28.95,18.97,0,23.04
5,5,1981,29.38,18.67,0,23.13
6,5,1981,28.86,19.12,0,20.74
7,5,1981,28.57,19.4,0,20.08
8,5,1981,27.02,18.54,3.19,19.6
9,5,1981,28.17,18.68,1.96,20.25
10,5,1981,27.29,18.65,0,20.18
11,5,1981,27.74,18.7,4.07,19.32
12,5,1981,26.73,18.48,6.17,19.75
13,5,1981,26.91,18.73,4.23,19.3
14,5,1981,26.29,18.32,0,20.35
15,5,1981,26.45,17.95,4.24,20.34
16,5,1981,27.16,18.27,7.64,21.44
17,5,1981,27.51,18.44,16.37,21.76
18,5,1981,26.46,18.45,8.5,19.13
19,5,1981,26.78,18.13,0,20.6
20,5,1981,26.69,18.11,3.35,19.95
21,5,1981,26.3,18.44,9.32,19.69
22,5,1981,26.53,19,0,19.15
23,5,1981,26.43,18.09,0,20.35
24,5,1981,25.49,18.99,6.87,17.9
25,5,1981,26.13,18.35,7.26,18.8
26,5,1981,27,17.89,0.23,20.47
27,5,1981,26.7,17.74,0,20.83
28,5,1981,27.66,17.85,0,20.83
29,5,1981,26.95,18.16,14.05,19.36
30,5,1981,25.78,18.41,0,18.15
31,5,1981,26.61,18.3,0,19.65
1,6,1981,26.71,18.51,0,19.69
2,6,1981,26.41,19.11,0,18.78
3,6,1981,25.29,18.25,0,17.54
4,6,1981,25.6,17.85,3.38,17.78
5,6,1981,25.04,18.51,15.53,16.27
6,6,1981,25.23,18.41,7.93,17.17
7,6,1981,25.69,18.53,1.85,17.57
8,6,1981,25.2,17.87,0,17.46
9,6,1981,25.56,18.13,0,17.41
10,6,1981,25.15,17.77,0,17.08
11,6,1981,25.47,17.68,0,18.85
12,6,1981,24.43,17.66,0,16.99
13,6,1981,25.05,17.85,0,17.25
14,6,1981,24.82,17.33,0,18.06
15,6,1981,25.63,17.33,0,18.32
16,6,1981,25.73,17.54,0,18.65
17,6,1981,25.02,17.65,18.07,16.64
18,6,1981,25.94,17.47,0,18.41
19,6,1981,26.65,18.03,0,18.87
20,6,1981,24.9,18.37,2.1,16.5
21,6,1981,24.17,18.2,4.28,16.35
22,6,1981,25.12,17.54,5.18,18.03
23,6,1981,26.17,17.49,6.77,18.3
24,6,1981,26.29,17.65,17.02,17.82
25,6,1981,24.09,18.31,8.82,13.79
26,6,1981,24.28,17.9,7.93,17.04
27,6,1981,25.09,17.05,11.28,17.76
28,6,1981,23.81,17.64,0,15.08
29,6,1981,24.09,17.69,0,16.85
30,6,1981,24.37,17.44,10.33,16.77
1,7,1981,24.92,17.59,17.81,16.28
2,7,1981,23.65,18.19,14.41,16.02
3,7,1981,23.27,17.99,0,15.86
4,7,1981,24.23,17.82,0,16.35
5,7,1981,24.1,17.52,0,16.81
6,7,1981,24.43,17.89,0,17.4
7,7,1981,24.36,17.38,0,16.78
8,7,1981,23.46,17.35,0,16.15
9,7,1981,23.72,17.01,23.74,17.16
10,7,1981,24.01,17.52,8.59,16.08
11,7,1981,22.24,17.5,2.95,13.37
12,7,1981,24.58,17.42,15.22,17.98
13,7,1981,24.06,17.53,14.79,17.93
14,7,1981,24.01,17.77,13.57,16.8
15,7,1981,22.81,17.74,10.42,14.81
16,7,1981,22.98,17.4,0,13.84
17,7,1981,22.75,17.32,0,14.49
18,7,1981,22.66,17.32,6.4,13.44
19,7,1981,22.84,17.84,8.17,15.29
20,7,1981,22.07,17.78,13.2,12.94
21,7,1981,23.29,17.57,7.69,16.49
22,7,1981,24.38,17.76,7.16,16.62
23,7,1981,24.46,17.5,1.54,17.39
24,7,1981,23.6,18.09,7.03,15.25
25,7,1981,23.22,17.13,0,15.82
26,7,1981,21.69,17.5,12.29,11.91
27,7,1981,22.79,17.82,0,15.88
28,7,1981,23.89,17.34,0,17.17
29,7,1981,23.82,17.04,8.86,17.04
30,7,1981,22.1,17.28,31.44,14.12
31,7,1981,23.45,17.43,0,15.65
1,8,1981,24.82,17.22,8.04,18.57
2,8,1981,24.64,17.31,16.28,16.48
3,8,1981,23.84,17.95,0,17.37
4,8,1981,23.02,18.24,0,14.09
5,8,1981,24.04,17.48,14.63,17.09
6,8,1981,23.15,17.72,28.39,15.43
7,8,1981,21.76,17.69,5.88,12.01
8,8,1981,23.79,17.86,0.2,16.61
9,8,1981,24.54,17.32,0,18.75
10,8,1981,24.16,17.47,0,17.69
11,8,1981,24.81,17.48,9.06,17.62
12,8,1981,23.37,17.8,10.6,15.25
13,8,1981,22.88,17.9,28.76,14.64
14,8,1981,24,17.35,8.26,17.64
15,8,1981,23.91,17.64,6.89,17.47
16,8,1981,23.5,17.19,7.9,17.79
17,8,1981,23.03,17.17,0,15.67
18,8,1981,24.71,17.25,0,19.24
19,8,1981,24.48,17.07,0,19.35
20,8,1981,23.96,17.13,0,19.54
21,8,1981,22.67,17.4,14.8,14.42
22,8,1981,23.63,17.24,0,17.7
23,8,1981,23.38,16.8,0,17.71
24,8,1981,23.96,17.04,0,17.1
25,8,1981,23.44,16.97,0,18.16
26,8,1981,24.2,17.02,10.68,19.19
27,8,1981,24.15,16.88,0,18.65
28,8,1981,24.32,16.92,0,19.65
29,8,1981,23.65,16.92,0,17.67
30,8,1981,24.94,16.76,19.78,19.93
31,8,1981,23.1,17.01,0,15.96
1,9,1981,23.44,16.99,25.49,17.24
2,9,1981,24.47,17.11,0,19.12
3,9,1981,24.52,16.63,0,19
4,9,1981,23.97,16.95,5.56,17.52
5,9,1981,23.49,17.14,0.49,18.37
6,9,1981,23.67,16.57,18.32,18.76
7,9,1981,24.16,17.29,0.44,18.41
8,9,1981,23.09,17.24,0,15.17
9,9,1981,24.41,17.15,0,19.23
10,9,1981,24.62,16.83,0,19.18
11,9,1981,24.88,17.05,11.28,19.39
12,9,1981,23.97,17.44,6.47,18.78
13,9,1981,24.96,17.05,1.84,20.34
14,9,1981,24.72,17.8,0,19.23
15,9,1981,23.85,17.16,3.19,16.95
16,9,1981,23.79,17.12,1.77,17.23
17,9,1981,24.33,17.34,4.46,18.57
18,9,1981,23.6,17.25,5.23,17.32
19,9,1981,24.19,17.33,5.17,18.25
20,9,1981,23.69,17.05,4.91,16.98
21,9,1981,25.51,17.46,0.47,20.38
22,9,1981,25.05,17.5,7.09,19.17
23,9,1981,26.03,17.47,0,20.6
24,9,1981,24.9,17.51,5.44,18.74
25,9,1981,23.54,17.86,13.37,15.05
26,9,1981,25.43,17.89,14.29,19.29
27,9,1981,24.8,17.57,7.14,18.35
28,9,1981,25.49,16.87,5.66,21.12
29,9,1981,25.69,17.2,5.71,20.98
30,9,1981,26.22,17.24,7.47,21.91
1,10,1981,25.8,17.32,4.44,20.18
2,10,1981,25.13,18.01,0,18.45
3,10,1981,25.65,17.8,4.04,20.06
4,10,1981,26.14,17.51,0,21.06
5,10,1981,25.99,17.8,10.04,21.15
6,10,1981,26,17.38,21.27,20.84
7,10,1981,26.46,17.51,10.36,21.87
8,10,1981,26.61,17.46,12.78,21.54
9,10,1981,26.04,17.26,0,20.01
10,10,1981,25.82,17.49,0,20.46
11,10,1981,26,17.31,0,20.82
12,10,1981,26.91,16.9,0,23.36
13,10,1981,27.01,17.27,0,22.99
14,10,1981,25.86,17.83,0,21.16
15,10,1981,26.41,17.34,0,21.27
16,10,1981,26.87,17.83,0,22.84
17,10,1981,27.07,17.86,0,22.45
18,10,1981,27.63,17.36,0,24.12
19,10,1981,27.47,16.5,0,24.81
20,10,1981,27.23,16.7,0,22.14
21,10,1981,26.58,17.4,0,21.57
22,10,1981,26.9,18.11,0,21.25
23,10,1981,27.76,18.03,0,23.42
24,10,1981,28.23,17.22,0,22.58
25,10,1981,28.38,16.91,0,24.11
26,10,1981,27.94,18.04,0,24.29
27,10,1981,27.89,16.52,0,25.04
28,10,1981,28.36,16.85,0,23.41
29,10,1981,28.82,17.57,0,24.84
30,10,1981,28.93,16.88,0,24.92
31,10,1981,28.95,17.21,0,24.11
1,11,1981,28.64,18.42,0,22.43
2,11,1981,27.62,17.54,1.03,20.1
3,11,1981,27,17.65,10.95,20.16
4,11,1981,26.57,17.67,0,19.1
5,11,1981,27.36,17.48,0,20.53
6,11,1981,28.99,18.35,0,23.61
7,11,1981,28.92,17.69,0,23.96
8,11,1981,28.74,17.13,0,24.43
9,11,1981,28.42,16.25,0,24.81
10,11,1981,29.02,16.48,0,23.95
11,11,1981,29.11,16.65,0,24.58
12,11,1981,29.23,16.83,0,24.31
13,11,1981,29.38,16.93,0,24.32
14,11,1981,29.29,17.17,0,24.31
15,11,1981,29.39,17.08,0,24.45
16,11,1981,29.39,16.87,0,24.48
17,11,1981,29.36,17.04,0,24.23
18,11,1981,29.82,17.91,0,23.9
19,11,1981,29.78,19.02,0,23.69
20,11,1981,28.95,18.54,0,20.9
21,11,1981,29.14,18.99,0,20.73
22,11,1981,28.33,18.51,0,19.4
23,11,1981,26.33,18.12,9.76,18.41
24,11,1981,28.36,17.57,0,21.87
25,11,1981,29.58,18.15,0,22.27
26,11,1981,29.88,18.79,0,23.28
27,11,1981,30.04,18,0,23.55
28,11,1981,29.66,18.34,0,22.96
29,11,1981,29.4,18.37,0,21.98
30,11,1981,29.81,17.69,0,24.12
1,12,1981,29.78,17.33,0,23.8
2,12,1981,30.04,17.88,0,22.66
3,12,1981,30.23,17.96,0,23.19
4,12,1981,29.91,17.36,0,23.56
5,12,1981,30.23,17.24,0,23.51
6,12,1981,30.03,17.92,0,20.12
7,12,1981,29.88,19.67,0.11,19.64
8,12,1981,30.68,18.65,0,22.57
9,12,1981,30.55,17.87,0,23.75
10,12,1981,30.23,17.17,0,23.92
11,12,1981,30.32,16.98,0,23.7
12,12,1981,30.3,16.9,0,23.68
13,12,1981,30.42,17.16,0,23.59
14,12,1981,30.57,17.56,0,23.15
15,12,1981,30.71,18.26,0,22.68
16,12,1981,30.17,18.61,0,21.27
17,12,1981,29.78,18.86,0,19.67
18,12,1981,29.74,19.63,4.13,18.01
19,12,1981,29.65,19.32,0,16.95
20,12,1981,29.58,20.57,0.19,17.37
21,12,1981,28.79,20.17,0,18.13
22,12,1981,30.49,18.69,0,19.16
23,12,1981,31.03,18.83,0,21.77
24,12,1981,31.09,18.29,0,22.53
25,12,1981,30.28,18.99,0,20.29
26,12,1981,31.45,19.68,0,21.15
27,12,1981,31.14,19.8,0,20.3
28,12,1981,31.08,19.38,0,21.23
29,12,1981,29.74,19.73,0,19.39
30,12,1981,30.82,19.7,0,20.84
31,12,1981,30.31,20.37,6.07,19.94
1,1,1982,28.86,20.05,0,17.81
2,1,1982,28.79,19.33,0.79,20.07
3,1,1982,28.44,19.25,19.26,19.95
4,1,1982,27.78,18.45,0,18.26
5,1,1982,27.81,19.66,0,18.21
6,1,1982,27.83,18.99,0,18.52
7,1,1982,29.8,18.28,0,21.41
8,1,1982,30.11,18.69,0,22.15
9,1,1982,30.28,18.13,0,21.65
10,1,1982,29.62,19.05,0,21.64
11,1,1982,30.36,18.73,9.71,22.41
12,1,1982,30.31,18.54,4.86,21.87
13,1,1982,29.75,19.93,0.16,20.7
14,1,1982,27.56,18.38,0,18.13
15,1,1982,28.89,18.83,4.39,20.18
16,1,1982,26.57,19.19,12.06,16.09
17,1,1982,27.61,18.18,0,19.01
18,1,1982,28.91,18.76,0,19.45
19,1,1982,29.26,18.44,0,20.68
20,1,1982,29.2,18.34,0,20.88
21,1,1982,29.95,18.08,0,21.77
22,1,1982,29.85,18.26,0,20.9
23,1,1982,30.58,18.08,0,24.2
24,1,1982,30.29,18.38,0,22.92
25,1,1982,30.46,18.5,0,22.5
26,1,1982,31.48,18.45,0,24.42
27,1,1982,30.86,18.24,0,23.08
28,1,1982,31.53,18.06,0,24.11
29,1,1982,32.29,18.49,0,24.69
30,1,1982,30.4,18.27,0,23.06
31,1,1982,30.63,18.6,0,22.99
1,2,1982,31.59,19.21,0,23.69
2,2,1982,29.32,19.18,0,20.66
3,2,1982,31.05,19.61,0,22.97
4,2,1982,30.54,20.3,0,22.15
5,2,1982,30.08,20.15,0,20.81
6,2,1982,28.76,19.35,0,19.72
7,2,1982,28.86,19.2,0,20.67
8,2,1982,29.29,19.18,0.85,20.95
9,2,1982,30.16,19.03,0,19.8
10,2,1982,29.97,19.57,0.65,20.84
11,2,1982,30.73,20.37,0,21.58
12,2,1982,28.22,20.48,0,18.64
13,2,1982,25.49,19.11,0,14.26
14,2,1982,29.17,18.57,0,20.94
15,2,1982,27.26,19.32,24.61,16.39
16,2,1982,28.64,19.01,7.22,20
17,2,1982,28.97,19.3,0,20.2
18,2,1982,29.51,18.58,0,20.78
19,2,1982,28.41,19.14,0,19.41
20,2,1982,31.15,18.65,0,23.31
21,2,1982,31.79,19.28,0,22.71
22,2,1982,31.67,18.96,0,23
23,2,1982,32.03,18.7,0,23.05
24,2,1982,31.73,19.45,0,23.6
25,2,1982,30.57,20.07,0,21.47
26,2,1982,30.87,19.64,5.72,20.84
27,2,1982,30.41,19.23,15.8,21.1
28,2,1982,30.41,18.67,9.03,22.21
1,3,1982,30.72,19.41,0,22.27
2,3,1982,29.42,18.93,24.39,21.47
3,3,1982,29.79,18.63,0,22.06
4,3,1982,29.19,19.77,0,20.71
5,3,1982,29.74,19.47,0,22.34
6,3,1982,29.77,18.68,0,22.38
7,3,1982,30.5,18.88,0,23.81
8,3,1982,31.05,19.28,0,24.22
9,3,1982,30.62,18.92,0,23.7
10,3,1982,31.94,19.27,0,26.12
11,3,1982,31.69,18.72,0,25.7
12,3,1982,31.89,18.44,0,26.62
13,3,1982,31.88,19.26,0,25.67
14,3,1982,31.86,20.3,0,25.24
15,3,1982,32.32,19.35,0,25.62
16,3,1982,31.27,19.22,0,23.6
17,3,1982,32.27,19.17,0,25.36
18,3,1982,32.66,19.53,0,24.72
19,3,1982,31.12,20.02,0,23.34
20,3,1982,32.01,20.38,0.82,25.18
21,3,1982,31.6,20.58,0,23.68
22,3,1982,31.25,20.61,0,23.42
23,3,1982,31.96,19.88,0,24.25
24,3,1982,32.6,19.67,0,25.93
25,3,1982,32.83,19.38,0,26.51
26,3,1982,32.67,20.05,0,25.48
27,3,1982,31.55,20.81,0,22.4
28,3,1982,29.8,19.39,1.93,20.79
29,3,1982,28.12,20.34,22.45,17.88
30,3,1982,27.69,20.41,27.43,18.39
31,3,1982,27.37,19.57,12.72,19.62
1,4,1982,25.81,19.02,7.02,16.64
2,4,1982,26.77,19.18,0,17.25
3,4,1982,28.24,19.2,0,21.19
4,4,1982,28.81,18.65,0,21.98
5,4,1982,27.31,19.03,4.43,17.79
6,4,1982,28.68,18.84,4.68,20.63
7,4,1982,29.23,19.96,0.05,22.03
8,4,1982,28.9,19.1,3.99,21.75
9,4,1982,28.89,19.35,5.99,22.03
10,4,1982,29.5,20.12,0,21.48
11,4,1982,28.97,19.26,0,20.49
12,4,1982,28.7,18.7,3.59,21.33
13,4,1982,28.87,18.96,8.48,20.76
14,4,1982,29.16,18.54,0,21.26
15,4,1982,28.84,18.56,4.83,21.29
16,4,1982,28.84,19.44,4.83,21.13
17,4,1982,28.34,18.49,2.32,20.61
18,4,1982,29.92,19.08,0,22.46
19,4,1982,29.54,19.23,3.08,21.96
20,4,1982,28.99,19.53,0,20.29
21,4,1982,29.48,19.24,4.94,21.18
22,4,1982,30.03,19.25,9.89,22.45
23,4,1982,30.54,18.26,0,24.06
24,4,1982,29.89,19.21,1.28,22.84
25,4,1982,27.85,18.91,9.33,19.34
26,4,1982,25.09,19.27,11.08,14.67
27,4,1982,26.64,19.19,0,17.34
28,4,1982,28.13,18.93,0,19.37
29,4,1982,29.51,18.55,0,22.36
30,4,1982,29.46,19.58,0,22.24
1,5,1982,30.71,18.28,0,24.1
2,5,1982,30.23,18.84,0,22.81
3,5,1982,29.45,19.62,0,22.06
4,5,1982,28.9,19.04,0,21.9
5,5,1982,27.7,18.9,11.61,20.16
6,5,1982,25.27,19.31,17.36,14.8
7,5,1982,25.67,18.79,8.18,17.47
8,5,1982,26.26,19,1.36,18.59
9,5,1982,25.96,18.47,10.15,18.42
10,5,1982,25.47,18.48,0.65,18.1
11,5,1982,25.32,18.3,0,16.78
12,5,1982,25.13,18.4,0.4,15.34
13,5,1982,24.19,18.79,1.16,15.3
14,5,1982,26.55,18.38,0.7,19.42
15,5,1982,24.53,18.72,1.07,15.72
16,5,1982,25.72,18.5,0,18.63
17,5,1982,27.19,17.82,0,21.46
18,5,1982,27.02,18.49,0,21.69
19,5,1982,27.57,17.64,0,22.3
20,5,1982,28.44,17,0,24.13
21,5,1982,27.44,17.64,0,23.22
22,5,1982,27.09,18.2,0,20.94
23,5,1982,26.61,18.18,0,19.52
24,5,1982,25.84,18.2,0,18.35
25,5,1982,26.86,17.51,18.17,20.45
26,5,1982,26.35,18.59,10.39,19.51
27,5,1982,26.33,18.45,0,19.77
28,5,1982,25.18,17.99,11.46,17.32
29,5,1982,25.17,18.11,0.24,17.74
30,5,1982,26.78,17.83,8.97,19.41
31,5,1982,27.11,17.76,0,19.88
1,6,1982,25.94,18.07,0,18.86
2,6,1982,25.21,18.27,0,17.41
3,6,1982,26.37,17.55,0,19.84
4,6,1982,26.46,17.78,14.78,19.4
5,6,1982,26.59,17.89,0,19.78
6,6,1982,25.88,18.51,13.06,19.16
7,6,1982,26.57,17.6,0,19.79
8,6,1982,26.96,17.78,9.72,20.6
9,6,1982,27.29,18.21,9.72,20.03
10,6,1982,26.46,17.83,0,17.7
11,6,1982,25.89,17.78,0,18.06
12,6,1982,24.98,18.52,0,14.27
13,6,1982,25.28,18.42,0,16.12
14,6,1982,24.49,17.92,10.63,15.8
15,6,1982,26.1,18.22,28.42,18.22
16,6,1982,24.58,17.81,0,15.4
17,6,1982,25.94,17.83,0,17.57
18,6,1982,24.9,18.04,0,16.61
19,6,1982,25.57,17.73,0,16.68
20,6,1982,21.78,18.08,19.47,9.7
21,6,1982,25.86,17.68,33.03,18.6
22,6,1982,24.15,17.59,28.7,15.08
23,6,1982,25.47,17.32,0,17.37
24,6,1982,25.25,17.87,29.14,16.98
25,6,1982,23.43,17.81,0,13.94
26,6,1982,24.25,17.53,0,17.21
27,6,1982,24.56,16.72,0,17.58
28,6,1982,24.46,17.18,0,17.2
29,6,1982,23.83,17.64,0,15.22
30,6,1982,24.68,17.31,0,18.67
1,7,1982,24.58,17.35,0,18.21
2,7,1982,23.99,17.03,6.96,16.7
3,7,1982,23.33,17.2,4.05,16.07
4,7,1982,23.87,17.39,6.91,16.33
5,7,1982,24.19,17.36,9.23,17.27
6,7,1982,23.76,17.41,0,15.64
7,7,1982,23.68,17.13,0,17.02
8,7,1982,23.2,17.3,0,16.54
9,7,1982,24.4,17.21,0,18.41
10,7,1982,23.77,17.18,0,17.68
11,7,1982,25.17,17.09,0,18.74
12,7,1982,24.21,17.68,0,17.13
13,7,1982,24.03,17.54,0,18.07
14,7,1982,22.92,17.51,0,15.44
15,7,1982,23.07,17.18,0,15.82
16,7,1982,23.3,17.63,0,16.7
17,7,1982,23.07,17.69,0,15.17
18,7,1982,23.08,17.37,27.08,16.29
19,7,1982,23.54,16.96,0,17.25
20,7,1982,22.96,16.91,0,16.11
21,7,1982,24.06,17,33.8,18
22,7,1982,22.3,17.83,17.42,13.09
23,7,1982,21.61,17.27,0,11.55
24,7,1982,23.8,17.34,0,17.62
25,7,1982,22.9,17.64,0,15.45
26,7,1982,22.97,17.48,0,13.02
27,7,1982,23.5,16.89,0.61,15.68
28,7,1982,23.59,17.11,0,18.27
29,7,1982,23.26,17.61,26.36,16.42
30,7,1982,24.05,17.11,0.93,17.83
31,7,1982,23.99,17.05,8.21,18.26
1,8,1982,23.12,17.2,0,17.45
2,8,1982,22.37,17.6,7.92,14.77
3,8,1982,23.03,17.51,3.74,16.98
4,8,1982,23.58,16.92,5.12,18.18
5,8,1982,23.88,16.9,24.68,17.46
6,8,1982,23.81,17.18,8.28,17.74
7,8,1982,23.09,17.15,0,16.73
8,8,1982,23.52,17.25,7.24,18.24
9,8,1982,23.3,16.89,6.74,17.54
10,8,1982,23.6,17.08,7.72,18.79
11,8,1982,23.44,17.34,0,18.05
12,8,1982,22.89,17.23,0,16.13
13,8,1982,20.19,17.22,49.58,9.41
14,8,1982,22.6,17.39,0,15.75
15,8,1982,22.53,17.41,0,14.49
16,8,1982,23.26,17.56,4.2,16.53
17,8,1982,22.59,17.32,0,15.45
18,8,1982,22.96,17.05,0,16.6
19,8,1982,20.96,17.35,0,10.35
20,8,1982,23.25,16.89,0,16.37
21,8,1982,23.22,17.24,0,16.76
22,8,1982,24.34,17.47,0,17.78
23,8,1982,23.6,17.15,33.87,17.98
24,8,1982,24.1,17.54,12.52,18.16
25,8,1982,23.46,17.82,0,17.09
26,8,1982,23.91,17.19,22.26,18.25
27,8,1982,23.94,16.93,0,18.98
28,8,1982,22.91,17.18,0,16.55
29,8,1982,23.61,17.24,0,17.05
30,8,1982,24.4,17.15,4.8,19.13
31,8,1982,24.58,17.15,0,19.88
1,9,1982,23.38,17.4,0,17.2
2,9,1982,25.14,17,0,19.29
3,9,1982,24,17.13,8.5,17.68
4,9,1982,25.58,17.27,29.65,20.47
5,9,1982,24.3,17.32,8.9,16.47
6,9,1982,24.8,16.91,6.27,18.58
7,9,1982,25.25,16.69,0,20.22
8,9,1982,25.73,17.49,0,21.6
9,9,1982,25.12,17.63,0,19.11
10,9,1982,24.71,16.78,13.68,19.41
11,9,1982,25.35,16.78,6.52,20.8
12,9,1982,25.22,17.36,0,20.13
13,9,1982,23.93,17.97,11.2,17.05
14,9,1982,23.9,17.53,16.85,16.42
15,9,1982,22.88,17.7,7.19,14.85
16,9,1982,24.22,17.55,18.05,18.37
17,9,1982,24.58,17.47,3.46,18.99
18,9,1982,25.23,17.48,3.82,19.95
19,9,1982,24.57,17.15,6.28,19.54
20,9,1982,24.44,17.01,4.02,18.96
21,9,1982,25.03,17.18,0,19.47
22,9,1982,23.63,17.76,17.28,16.3
23,9,1982,24.08,17.38,14.43,17.25
24,9,1982,24.76,17.4,0.49,20.18
25,9,1982,24.89,17.35,0,19.53
26,9,1982,25.52,17.08,0,20.74
27,9,1982,25.58,17.15,0,20.34
