day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.12,11.54,0,19.35
2,1,1981,22.73,11.84,0,22.21
3,1,1981,24.15,12.53,0,19.81
4,1,1981,23.94,11.95,0,20.33
5,1,1981,24.54,12.35,2.73,23.07
6,1,1981,22.39,12.51,3.63,19.21
7,1,1981,23.33,11.73,0,23.18
8,1,1981,23.55,11.13,0,24.25
9,1,1981,23.73,10.96,0,23.42
10,1,1981,24.2,11.18,0,23.49
11,1,1981,24.25,11.73,0,23.6
12,1,1981,24.38,12.5,0,21.84
13,1,1981,24.69,12.8,0,23.28
14,1,1981,24.13,12.62,0,21.48
15,1,1981,23.64,12.45,0,21.54
16,1,1981,24.13,12.69,0,21.83
17,1,1981,24.28,12.28,0,23.59
18,1,1981,24.47,12.27,0,23.46
19,1,1981,24.67,12.62,0,22.15
20,1,1981,24.45,11.87,0,24.7
21,1,1981,23.84,11.78,0,20.09
22,1,1981,24.39,13.4,0,19.22
23,1,1981,23.11,13.11,0,19.84
24,1,1981,24.85,12.23,0,23.35
25,1,1981,25.04,11.99,0,24.75
26,1,1981,25.08,11.86,0,24.58
27,1,1981,24.84,11.68,0,25.01
28,1,1981,24.77,11.47,0,25.21
29,1,1981,24.69,11.64,0,23.74
30,1,1981,23.75,12.1,0,22.25
31,1,1981,24.42,11.24,0,25.58
1,2,1981,23.94,10.31,0,25.76
2,2,1981,24.19,10.69,0,25.54
3,2,1981,24.55,10.85,0,25.59
4,2,1981,24.53,11.17,0,25.19
5,2,1981,24.89,11.3,0,24.47
6,2,1981,24.93,11.27,0,25.45
7,2,1981,24.54,11.25,0,25.62
8,2,1981,23.93,11.5,0,20.85
9,2,1981,22.9,12.18,0.2,17.32
10,2,1981,24.29,13.19,0,19.13
11,2,1981,22.98,14.05,0,18.1
12,2,1981,22.32,13.31,0,20.03
13,2,1981,22.56,12.66,0,19.11
14,2,1981,23.99,12.26,14.37,22.41
15,2,1981,23.14,12.81,3.33,22.38
16,2,1981,21.06,13.24,2.36,16.99
17,2,1981,22.23,12.33,3.71,18.69
18,2,1981,22.72,12.32,3.87,19.84
19,2,1981,23.24,12.15,0,21.65
20,2,1981,23.77,12.44,0,22.7
21,2,1981,24.58,11.91,0,24.19
22,2,1981,24.63,11.9,0,24.36
23,2,1981,25.85,12.05,0,25.67
24,2,1981,25.89,12.08,0,25.24
25,2,1981,25.97,12.36,0,25.05
26,2,1981,25.49,12.16,0,25.5
27,2,1981,23.61,12.72,0,22.94
28,2,1981,24.82,13,0,22.98
1,3,1981,25.61,13.87,9.31,22.49
2,3,1981,23.94,14.08,12.96,20.1
3,3,1981,22.47,13.1,22.33,19.71
4,3,1981,22.13,12.13,10.48,19.41
5,3,1981,21.77,12.73,8.46,18.75
6,3,1981,21.79,13.25,7.36,20.23
7,3,1981,21.94,12.69,0,20.59
8,3,1981,22.58,12.18,0,23.22
9,3,1981,22.86,12.03,0,23.7
10,3,1981,22.48,12.36,0,21.55
11,3,1981,22.51,12.68,0,22.49
12,3,1981,21.94,12.57,7.21,21.09
13,3,1981,20.73,12.94,10.2,17.66
14,3,1981,21.04,11.99,15.41,19.11
15,3,1981,21.16,12.31,6.15,19.05
16,3,1981,19.92,12.92,3.35,15.33
17,3,1981,20.87,11.98,4.24,20.19
18,3,1981,20.86,12.14,9.96,19.27
19,3,1981,20.22,12.76,6.65,18.19
20,3,1981,20.84,11.81,4.27,22.17
21,3,1981,19.51,12.56,15.02,13.81
