day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.42,13.09,0,19.39
2,1,1981,24.01,13.36,0,21.81
3,1,1981,25.46,14,0,19.78
4,1,1981,25.25,13.47,0,20.22
5,1,1981,25.86,13.83,2.45,22.55
6,1,1981,23.66,13.99,4.14,19.27
7,1,1981,24.62,13.27,0,22.65
8,1,1981,24.85,12.72,0,23.56
9,1,1981,25.03,12.55,0,22.85
10,1,1981,25.51,12.76,0,22.92
11,1,1981,25.56,13.27,0,23.01
12,1,1981,25.69,13.98,0,21.52
13,1,1981,26,14.26,0,22.74
14,1,1981,25.43,14.1,0,21.21
15,1,1981,24.92,13.93,0,21.27
16,1,1981,25.42,14.16,0,21.52
17,1,1981,25.57,13.78,0,23.01
18,1,1981,25.77,13.77,0,22.9
19,1,1981,25.98,14.1,0,21.79
20,1,1981,25.74,13.4,0,23.95
21,1,1981,25.12,13.32,0,20.04
22,1,1981,25.68,14.81,0,19.31
23,1,1981,24.37,14.55,0,19.83
24,1,1981,26.15,13.73,0,22.81
25,1,1981,26.34,13.52,0,24
26,1,1981,26.38,13.39,0,23.86
27,1,1981,26.13,13.23,0,24.22
28,1,1981,26.06,13.04,0,24.4
29,1,1981,25.97,13.19,0,23.15
30,1,1981,25.01,13.62,0,21.88
31,1,1981,25.69,12.82,0,24.71
1,2,1981,25.2,11.96,0,24.86
2,2,1981,25.45,12.32,0,24.67
3,2,1981,25.82,12.46,0,24.72
4,2,1981,25.8,12.76,0,24.38
5,2,1981,26.16,12.88,0,23.77
6,2,1981,26.2,12.85,0,24.6
7,2,1981,25.8,12.83,0,24.74
8,2,1981,25.17,13.06,0,20.7
9,2,1981,24.12,13.69,0,17.7
10,2,1981,25.53,14.62,0,19.23
11,2,1981,24.2,15.42,0,18.36
12,2,1981,23.51,14.74,0,20
13,2,1981,23.76,14.13,0,19.22
14,2,1981,25.22,13.77,4.42,22.02
15,2,1981,24.35,14.27,12.3,21.99
16,2,1981,22.21,14.67,0.44,17.42
17,2,1981,23.41,13.83,4.02,18.86
18,2,1981,23.91,13.82,5.68,19.83
19,2,1981,24.44,13.66,0,21.37
20,2,1981,24.98,13.93,0,22.25
21,2,1981,25.8,13.44,0,23.52
22,2,1981,25.85,13.44,0,23.66
23,2,1981,27.09,13.57,0,24.77
24,2,1981,27.13,13.6,0,24.4
25,2,1981,27.22,13.86,0,24.24
26,2,1981,26.72,13.67,0,24.62
27,2,1981,24.79,14.19,0,22.44
28,2,1981,26.03,14.45,0,22.48
1,3,1981,26.84,15.26,1.41,22.06
2,3,1981,25.12,15.45,14.95,20.04
3,3,1981,23.62,14.54,8.76,19.71
4,3,1981,23.27,13.64,7.13,19.45
5,3,1981,22.9,14.2,11.19,18.88
6,3,1981,22.92,14.68,1.41,20.13
7,3,1981,23.07,14.16,0,20.44
8,3,1981,23.71,13.69,5.59,22.66
9,3,1981,24,13.55,0,23.07
10,3,1981,23.61,13.85,0,21.25
11,3,1981,23.64,14.15,0,22.04
12,3,1981,23.06,14.05,6.63,20.85
13,3,1981,21.81,14.39,7.29,17.94
14,3,1981,22.13,13.51,18.48,19.17
15,3,1981,22.25,13.8,9.41,19.11
16,3,1981,20.97,14.37,2.78,15.96
17,3,1981,21.94,13.5,4.41,20.08
18,3,1981,21.93,13.65,7.99,19.29
19,3,1981,21.27,14.22,5.17,18.37
20,3,1981,21.9,13.34,3.71,21.74
21,3,1981,20.55,14.04,13.5,14.65
22,3,1981,21.8,13.33,7.11,20.14
23,3,1981,20.04,13.68,10,16.32
24,3,1981,21.67,13.79,6.14,19.65
25,3,1981,18.85,14.34,8.55,13.72
26,3,1981,20.59,14.08,7.26,16.25
27,3,1981,19.34,14.05,8.44,13.7
28,3,1981,20.7,13.23,7.52,18.47
29,3,1981,20.6,14.08,7.51,17.31
30,3,1981,21.57,13.59,6.44,20.6
31,3,1981,20.99,14.29,5.72,18.45
1,4,1981,21.01,13.5,4.07,17.86
2,4,1981,20.87,13.37,5.5,17.64
3,4,1981,21.17,14.01,0,19.21
4,4,1981,21.76,13.16,0,20.81
5,4,1981,21.58,13.85,1.94,18.96
6,4,1981,22,13.42,6.64,21.45
7,4,1981,21.94,12.8,7.61,21.67
8,4,1981,21.81,13.01,6.34,20.68
9,4,1981,22.19,13.63,0,20.81
10,4,1981,21.5,13.86,4.03,19.45
11,4,1981,21.3,13.91,4.69,18.32
12,4,1981,21.27,13.89,2.25,17.13
13,4,1981,21.28,13.93,0.82,20.04
14,4,1981,21.61,13.54,6.69,19.78
15,4,1981,22.03,14.05,5.64,20.27
16,4,1981,22.52,13.83,0,20.47
17,4,1981,22.38,13.87,0,20.54
18,4,1981,21.39,13.71,10.58,18.67
19,4,1981,21.13,13.76,4.06,19.32
20,4,1981,21.31,13.77,4.71,19.22
21,4,1981,20.07,13.56,8.28,16.52
22,4,1981,20.29,13.6,9.01,15.64
23,4,1981,20.33,13.98,1.11,16.56
24,4,1981,20.78,13.05,8.37,19.15
25,4,1981,21.84,12.73,9.26,21.36
26,4,1981,22.22,12.66,1.38,22.03
27,4,1981,22.08,13.28,4.51,20.25
28,4,1981,23.41,13.04,1.79,23.44
29,4,1981,23.04,12.75,0,24.05
30,4,1981,23.01,12.7,0,23.22
1,5,1981,22.81,13.2,0,22.34
2,5,1981,22.5,13.53,0,22
3,5,1981,22.92,13.39,0,22.34
4,5,1981,23.15,12.89,0,22.94
5,5,1981,23.59,13.06,0.14,23.38
6,5,1981,23.02,13.86,0,21.55
7,5,1981,21.67,13.95,0,20.3
8,5,1981,20.73,13.36,2.71,19.61
9,5,1981,22.51,13.5,1.55,20.51
10,5,1981,22.45,13.05,0,20.39
11,5,1981,22.27,12.87,2.42,19.63
12,5,1981,20.84,13.41,5.32,19.28
13,5,1981,20.86,13.35,2.65,19.84
14,5,1981,20.82,13,0,21.32
15,5,1981,20.95,12.99,3.65,20.87
16,5,1981,21.35,13.33,7.05,21.53
17,5,1981,20.87,12.79,14.77,20.74
18,5,1981,20.65,13.66,6.34,17.95
19,5,1981,20.95,12.99,0,19.52
20,5,1981,21.22,13,1.86,19.58
