day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.78,14.3,0,19.64
2,1,1981,25.32,14.52,0,22.38
3,1,1981,26.94,15.03,0,20.08
4,1,1981,26.7,14.62,0,20.58
5,1,1981,27.38,14.91,1.39,23.21
6,1,1981,24.93,15.04,5.79,19.51
7,1,1981,26,14.48,0,23.31
8,1,1981,26.26,14.05,0,24.34
9,1,1981,26.46,13.93,0,23.55
10,1,1981,27,14.1,0,23.62
11,1,1981,27.05,14.5,0,23.72
12,1,1981,27.2,15.07,0,22.04
13,1,1981,27.55,15.29,0,23.42
14,1,1981,26.91,15.16,0,21.7
15,1,1981,26.35,15.04,0,21.76
16,1,1981,26.9,15.22,0,22.04
17,1,1981,27.07,14.93,0,23.72
18,1,1981,27.29,14.92,0,23.59
19,1,1981,27.52,15.18,0,22.35
20,1,1981,27.26,14.64,0,24.78
21,1,1981,26.56,14.58,0,20.37
22,1,1981,27.19,15.75,0,19.54
23,1,1981,25.73,15.55,0,20.14
24,1,1981,27.71,14.91,0,23.5
25,1,1981,27.93,14.74,0,24.84
26,1,1981,27.97,14.65,0,24.67
27,1,1981,27.7,14.51,0,25.09
28,1,1981,27.62,14.37,0,25.28
29,1,1981,27.52,14.49,0,23.87
30,1,1981,26.44,14.82,0,22.44
31,1,1981,27.21,14.2,0,25.63
1,2,1981,26.65,13.53,0,25.81
2,2,1981,26.94,13.81,0,25.59
3,2,1981,27.35,13.92,0,25.64
4,2,1981,27.33,14.16,0,25.26
5,2,1981,27.73,14.24,0,24.57
6,2,1981,27.77,14.23,0,25.5
7,2,1981,27.33,14.21,0,25.67
8,2,1981,26.63,14.39,0,21.11
9,2,1981,25.46,14.88,0,17.73
10,2,1981,27.04,15.61,0,19.46
11,2,1981,25.54,16.23,0,18.48
12,2,1981,24.78,15.69,0,20.32
13,2,1981,25.06,15.22,0,19.44
14,2,1981,26.68,14.93,12.19,22.59
15,2,1981,25.72,15.32,3.62,22.57
16,2,1981,23.34,15.63,0.73,17.41
17,2,1981,24.67,14.97,12.55,19.03
18,2,1981,25.23,14.96,2.46,20.13
19,2,1981,25.82,14.83,0,21.86
20,2,1981,26.43,15.03,0,22.86
21,2,1981,27.34,14.65,0,24.29
22,2,1981,27.39,14.64,0,24.45
23,2,1981,28.78,14.74,0,25.7
24,2,1981,28.83,14.76,2.51,25.29
25,2,1981,28.92,14.95,0,25.1
26,2,1981,28.36,14.8,0,25.53
27,2,1981,26.22,15.2,0,23.08
28,2,1981,27.6,15.4,0,23.12
1,3,1981,28.5,16.03,1.38,22.65
2,3,1981,26.59,16.18,28.36,20.36
3,3,1981,24.92,15.46,3.31,19.99
4,3,1981,24.52,14.75,4.73,19.71
5,3,1981,24.11,15.18,1.25,19.06
6,3,1981,24.13,15.55,8.47,20.48
7,3,1981,24.3,15.13,0,20.82
8,3,1981,25.02,14.76,0,23.33
9,3,1981,25.34,14.64,0,23.79
10,3,1981,24.91,14.87,0,21.73
