day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.22,14.33,0,21.09
2,1,1981,25.54,14.76,0,22.41
3,1,1981,26.97,14.99,0,21.25
4,1,1981,26.82,14.95,0,21.24
5,1,1981,27.51,15.02,1.39,23.51
6,1,1981,25.7,15.38,5.79,20.61
7,1,1981,26.38,14.6,0,23.57
8,1,1981,26.52,14.2,0,24.23
9,1,1981,26.66,14.18,0,23.66
10,1,1981,27.08,14.26,0,23.92
11,1,1981,27.03,14.64,0,23.88
12,1,1981,27.72,15.15,0,22.83
13,1,1981,27.48,15.41,0,23.46
14,1,1981,26.99,15.4,0,22.27
15,1,1981,26.6,15.27,0,21.73
16,1,1981,27.02,15.41,0,22.49
17,1,1981,27.28,15.15,0,23.86
18,1,1981,27.36,15.1,0,24.03
19,1,1981,27.57,15.49,0,22.76
20,1,1981,27.3,14.88,0,24.64
21,1,1981,26.79,14.71,0,21.18
22,1,1981,27.28,15.98,0,20.67
23,1,1981,26.03,15.72,0,20.81
24,1,1981,27.85,15.26,0,23.36
25,1,1981,28.04,15.11,0,24.73
26,1,1981,28.03,15.03,0,24.77
27,1,1981,27.71,14.72,0,25.01
28,1,1981,27.67,14.64,0,25.14
29,1,1981,27.84,14.64,0,24.04
30,1,1981,26.61,15.12,0,22.51
31,1,1981,27.31,14.37,0,25.23
1,2,1981,26.73,13.64,0,25.51
2,2,1981,27.11,13.78,0,25.41
3,2,1981,27.44,13.88,0,25.42
4,2,1981,27.38,14.3,0,25.31
5,2,1981,27.8,14.45,0,24.78
6,2,1981,27.8,14.46,0,25.29
7,2,1981,27.21,14.41,0,25.66
8,2,1981,27.16,14.48,0,22.25
9,2,1981,26.33,15.03,0,20
10,2,1981,26.91,16.14,0,20.45
11,2,1981,25.93,16.32,0,19.72
12,2,1981,25.47,15.93,0,21.47
13,2,1981,25.58,15.6,0,20.15
14,2,1981,26.43,15.2,12.19,22.9
15,2,1981,25.76,15.47,3.62,22.78
16,2,1981,23.16,16.07,0.73,17.46
17,2,1981,24.73,15.17,12.55,19.16
18,2,1981,25.29,15.23,2.46,20.83
19,2,1981,25.73,15.03,0,21.66
20,2,1981,26.28,15.24,0,22.76
21,2,1981,27.33,14.86,0,24
22,2,1981,27.46,14.77,0,24.27
23,2,1981,28.45,14.93,0,25.56
24,2,1981,28.4,14.97,2.51,25.06
25,2,1981,28.52,15.07,0,24.71
26,2,1981,27.98,14.95,0,25.56
27,2,1981,26.44,15.27,0,23.44
28,2,1981,27.61,15.54,0,23.88
1,3,1981,27.97,16.15,1.38,23.24
2,3,1981,26.72,16.64,28.36,20.97
3,3,1981,25.72,15.83,3.31,20.25
4,3,1981,25.06,15.28,4.73,19.67
5,3,1981,24.91,15.49,1.25,19.61
6,3,1981,24.72,15.9,8.47,20.42
7,3,1981,25.16,15.5,0,21.3
8,3,1981,25.96,14.9,0,23.86
9,3,1981,26.04,14.86,0,24.17
10,3,1981,25.45,15.08,0,21.94
11,3,1981,25.69,15.38,0,22.63
12,3,1981,25.61,15.4,1.49,21.95
13,3,1981,24.08,15.59,2.11,19.42
14,3,1981,24.07,15.01,31.33,20.16
15,3,1981,24.37,15.24,9.12,20.01
16,3,1981,22.03,15.57,0.79,14.94
17,3,1981,23.94,14.93,1,21.06
18,3,1981,23.88,14.88,16.43,20.25
19,3,1981,23.38,15.31,17.61,19.08
20,3,1981,23.58,14.71,4.88,22.16
21,3,1981,22.26,15.02,18.12,14.99
22,3,1981,24.05,14.53,11.71,21.79
23,3,1981,22.27,14.82,11.65,16.92
24,3,1981,23.28,15.05,8.26,19.97
25,3,1981,20.8,15.27,12.52,13.26
26,3,1981,22.31,15.13,9.62,15.98
27,3,1981,21.6,15.03,12.92,14.31
28,3,1981,23.21,14.54,10.32,19.58
29,3,1981,22.38,15.03,1.93,17.41
30,3,1981,23.33,14.67,1.63,21.61
31,3,1981,22.79,15.21,10.85,18.98
1,4,1981,22.74,14.65,5.72,18.06
2,4,1981,22.75,14.59,18.55,17.75
3,4,1981,23.19,14.82,0,20.4
4,4,1981,23.93,14.37,0,21.54
5,4,1981,23.38,14.82,0,19.25
6,4,1981,23.83,14.55,7.83,22.71
7,4,1981,23.71,14.04,2.06,22.45
8,4,1981,23.62,14.21,0,21.05
9,4,1981,24.06,14.61,0,21.48
10,4,1981,23.4,14.94,15.76,20.07
11,4,1981,22.97,14.83,6.13,18.89
12,4,1981,23.22,14.79,5.51,17.68
13,4,1981,23.4,14.77,7.22,21.38
14,4,1981,23.27,14.54,5.24,20.32
15,4,1981,23.7,15.05,8.69,20.56
16,4,1981,24.33,14.81,0,20.73
17,4,1981,24.28,14.81,0,21.32
18,4,1981,23.29,14.77,13.66,19.77
19,4,1981,23.15,14.82,8.83,20.45
20,4,1981,23.04,14.78,5.73,19.02
21,4,1981,22.1,14.56,9.22,17
22,4,1981,21.91,14.59,10.43,15.67
23,4,1981,21.97,14.76,1.4,15.73
24,4,1981,22.43,13.84,15.41,19.62
25,4,1981,23,13.69,13.57,21.05
26,4,1981,23.77,13.83,0,22.54
27,4,1981,23.63,14.13,8.89,20.22
28,4,1981,24.79,14.26,3.77,23.17
29,4,1981,24.8,13.94,0,24.44
30,4,1981,24.94,13.97,0,23.33
1,5,1981,24.18,14.09,0,22.15
2,5,1981,23.74,14.5,0,21.93
3,5,1981,24.61,14.36,0,22.73
4,5,1981,24.56,13.93,0,23.27
