day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.72,17.4,0,18.98
2,1,1981,31.16,17.69,0,22.57
3,1,1981,31.62,18.38,0,20.45
4,1,1981,30.95,18.41,0,19.82
5,1,1981,32.25,18.29,2.16,22.76
6,1,1981,31.05,18.83,2.76,20.13
7,1,1981,31.24,17.72,0,22.87
8,1,1981,31.38,17.44,0,24.45
9,1,1981,31.55,17.12,0,23.39
10,1,1981,31.89,17.08,0,23.45
11,1,1981,32.05,17.97,0,23.06
12,1,1981,32.36,18.34,0,22.04
13,1,1981,32.88,18.96,0,22.62
14,1,1981,32.27,18.99,0,21.42
15,1,1981,32.18,18.66,0,21.43
16,1,1981,32.12,18.43,0,21.59
17,1,1981,32.4,18.48,0,23.36
18,1,1981,32.35,18.78,0,22.66
19,1,1981,32.05,19.18,0,21.2
20,1,1981,32.62,18.11,0,24.55
21,1,1981,31.78,18.39,0,20.41
22,1,1981,31.25,18.78,0,20.32
23,1,1981,31.45,18.72,0,20.7
24,1,1981,32.47,18.29,0,22.55
25,1,1981,32.81,18.07,0,24.69
26,1,1981,32.79,17.81,0,23.87
27,1,1981,32.69,17.76,0,24.63
28,1,1981,32.71,17.91,0,25.32
29,1,1981,32.31,18,0,22.74
30,1,1981,31.47,18.49,0,21.66
31,1,1981,32.37,17.92,0,25.37
1,2,1981,32.03,16.91,0,25.92
2,2,1981,32,17.03,0,25.57
3,2,1981,32.57,16.94,0,25.73
4,2,1981,32.66,17.16,0,24.8
5,2,1981,32.27,17.38,0,23.69
6,2,1981,32.65,17.42,0,25.31
7,2,1981,32.63,17.46,0,24.89
8,2,1981,31.29,17.92,0,19.58
9,2,1981,30.6,18.96,0,17.53
10,2,1981,31.97,18.56,0,19.49
11,2,1981,31.55,19.91,0,18.15
12,2,1981,30.57,19.78,0,20.83
13,2,1981,30.77,19.01,0,19.94
14,2,1981,32.14,18.81,5.9,22.58
15,2,1981,32.23,19.25,8.92,22.9
16,2,1981,29.65,18.76,1.38,18.94
17,2,1981,31.51,18.85,2.09,20.67
18,2,1981,30.94,18.79,2.94,20.89
19,2,1981,31.61,18.93,0,21.5
20,2,1981,31.65,18.65,0,22.86
21,2,1981,33.68,18.49,0,24.13
22,2,1981,33.1,18.39,0,24.3
23,2,1981,34.14,18.55,0,25.2
24,2,1981,34.52,18.29,0,24.74
25,2,1981,34.4,19.13,0,24.54
26,2,1981,33.56,18.64,0,24.47
27,2,1981,32.64,19.71,0,22.62
28,2,1981,33.17,19.55,0,22.55
1,3,1981,33.79,20.49,1.39,22.87
2,3,1981,32.29,19.9,12.36,21.4
3,3,1981,30.2,19.04,8.15,21.07
4,3,1981,30.47,17.67,5.7,20.64
5,3,1981,29.83,18.75,14.7,20.81
6,3,1981,30.19,18.59,1.04,21.76
