day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.74,15.46,0,18.93
2,1,1981,25.76,15.57,0,21.89
3,1,1981,26.96,16.04,0,19.64
4,1,1981,26.71,15.87,0,19.89
5,1,1981,27.63,15.9,2.16,22.86
6,1,1981,25.08,16.03,2.76,19.16
7,1,1981,26.34,15.6,0,23.18
8,1,1981,26.54,15.09,0,24.33
9,1,1981,26.64,15.06,0,23.25
10,1,1981,27.08,15.26,0,23.27
11,1,1981,27.12,15.59,0,23.03
12,1,1981,27.13,16.03,0,21.11
13,1,1981,28.1,16.21,0,23.16
14,1,1981,27.16,16.19,0,21.33
15,1,1981,26.79,16.11,0,21.57
16,1,1981,26.98,16.21,0,21.41
17,1,1981,27.38,15.96,0,23.35
18,1,1981,27.91,16.15,0,22.88
19,1,1981,27.75,16.22,0,21.7
20,1,1981,27.78,15.71,0,24.52
21,1,1981,26.92,15.77,0,20.36
22,1,1981,27.12,16.74,0,19.5
23,1,1981,26.06,16.51,0,20.19
24,1,1981,27.97,15.92,0,23.16
25,1,1981,28.25,15.74,0,24.65
26,1,1981,28.32,15.7,0,24.05
27,1,1981,28.17,15.61,0,24.63
28,1,1981,28.03,15.51,0,25.12
29,1,1981,27.56,15.67,0,23.39
30,1,1981,26.93,15.82,0,22.64
31,1,1981,27.74,15.34,0,25.57
1,2,1981,27.45,14.82,0,25.7
2,2,1981,27.5,15.11,0,25.43
3,2,1981,28.03,15.14,0,25.54
4,2,1981,27.96,15.32,0,24.81
5,2,1981,27.95,15.39,0,24.1
6,2,1981,28.32,15.37,0,25.27
7,2,1981,27.95,15.35,0,25.14
8,2,1981,26.68,15.61,0,20.83
9,2,1981,25.52,16.05,0,17.52
10,2,1981,27.44,16.66,0,19.48
11,2,1981,26.38,17.21,0,18.59
12,2,1981,25.19,16.72,0,20.21
13,2,1981,25.56,16.35,0,19.98
14,2,1981,27.08,16.12,5.9,22.12
15,2,1981,26.55,16.36,8.92,22.5
16,2,1981,24.79,16.68,1.38,19.18
17,2,1981,25.9,16.37,2.09,20.11
18,2,1981,25.8,16.26,2.94,19.91
19,2,1981,26.7,16.19,0,22.06
20,2,1981,27.03,16.18,0,23.1
21,2,1981,28.45,15.8,0,24.43
22,2,1981,27.75,15.84,0,24.28
23,2,1981,29.39,15.86,0,25.3
24,2,1981,29.58,15.86,0,24.89
25,2,1981,29.74,16,0,24.81
26,2,1981,29.02,15.84,0,24.66
27,2,1981,26.89,16.33,0,22.46
28,2,1981,27.88,16.48,0,22.3
1,3,1981,28.95,16.92,1.39,22.57
2,3,1981,27.19,17.19,12.36,21.01
3,3,1981,24.85,16.65,8.15,20.2
4,3,1981,24.77,15.92,5.7,20.21
5,3,1981,24.16,16.53,14.7,19.65
6,3,1981,24.61,16.43,1.04,21.21
7,3,1981,24.67,16.12,0,20.95
8,3,1981,24.79,15.99,2.7,22.65
9,3,1981,25.2,15.81,0,23.38
10,3,1981,25.14,15.96,0,21.6
11,3,1981,25.2,16.11,1.06,22.61
12,3,1981,24.15,16.17,4.29,20.97
13,3,1981,23.13,16.42,7.19,18.2
14,3,1981,23.71,15.87,12.86,19.71
15,3,1981,23.87,16.06,5.97,20.11
16,3,1981,23.13,16.38,2.14,17.88
17,3,1981,23.66,15.84,3.93,20.9
18,3,1981,23.82,15.84,6.81,20.58
19,3,1981,23.2,16.27,3.51,19.36
20,3,1981,23.68,15.72,2.49,22.52
21,3,1981,22.07,16.22,11.55,16.18
22,3,1981,23.52,15.69,4.69,20.19
23,3,1981,22.04,15.95,8.37,17.56
24,3,1981,23.55,15.73,3.87,20.12
25,3,1981,20.81,16.34,6.25,15.2
26,3,1981,22.27,16.14,5.84,17.49
27,3,1981,20.67,16.08,6.31,14.42
28,3,1981,21.85,15.47,6.05,18.51
29,3,1981,21.69,15.96,5.74,18.07
30,3,1981,22.91,15.79,5.31,20.71
31,3,1981,22.73,16.19,4.62,19.2
1,4,1981,22.78,15.86,2.8,18.63
2,4,1981,22.59,15.35,4.88,19.03
3,4,1981,22.58,15.84,0,19.82
4,4,1981,23.03,15.23,0,21.7
