day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.02,13.6,0,19.08
2,1,1981,25.04,13.75,0,22.01
3,1,1981,26.24,14.42,0,19.78
4,1,1981,25.99,14.17,0,20.03
5,1,1981,26.91,14.2,2.16,22.97
6,1,1981,24.36,14.38,2.76,19.3
7,1,1981,25.62,13.75,0,23.29
8,1,1981,25.82,13.01,0,24.43
9,1,1981,25.93,12.96,0,23.36
10,1,1981,26.36,13.24,0,23.39
11,1,1981,26.41,13.72,0,23.15
12,1,1981,26.43,14.35,0,21.25
13,1,1981,27.4,14.6,0,23.28
14,1,1981,26.46,14.57,0,21.46
15,1,1981,26.09,14.44,0,21.7
16,1,1981,26.28,14.58,0,21.54
17,1,1981,26.68,14.22,0,23.46
18,1,1981,27.22,14.5,0,23
19,1,1981,27.06,14.59,0,21.83
20,1,1981,27.09,13.86,0,24.62
21,1,1981,26.23,13.94,0,20.5
22,1,1981,26.43,15.33,0,19.65
23,1,1981,25.37,15,0,20.33
24,1,1981,27.28,14.16,0,23.28
25,1,1981,27.56,13.89,0,24.75
26,1,1981,27.64,13.83,0,24.15
27,1,1981,27.49,13.71,0,24.73
28,1,1981,27.35,13.56,0,25.21
29,1,1981,26.89,13.79,0,23.51
30,1,1981,26.25,14.01,0,22.76
31,1,1981,27.07,13.32,0,25.66
1,2,1981,26.77,12.56,0,25.78
2,2,1981,26.83,12.99,0,25.52
3,2,1981,27.35,13.03,0,25.63
4,2,1981,27.29,13.28,0,24.91
5,2,1981,27.28,13.39,0,24.2
6,2,1981,27.65,13.38,0,25.36
7,2,1981,27.29,13.35,0,25.22
8,2,1981,26.02,13.73,0,20.96
9,2,1981,24.86,14.36,0,17.68
10,2,1981,26.78,15.26,0,19.61
11,2,1981,25.73,16.06,0,18.73
12,2,1981,24.54,15.36,0,20.34
13,2,1981,24.91,14.83,0,20.11
14,2,1981,26.43,14.49,5.9,22.23
15,2,1981,25.9,14.85,8.92,22.6
16,2,1981,24.15,15.33,1.38,19.31
17,2,1981,25.25,14.89,2.09,20.23
18,2,1981,25.15,14.73,2.94,20.04
19,2,1981,26.06,14.63,0,22.17
20,2,1981,26.38,14.63,0,23.19
21,2,1981,27.8,14.08,0,24.51
22,2,1981,27.11,14.15,0,24.36
23,2,1981,28.75,14.19,0,25.37
24,2,1981,28.94,14.2,0,24.96
25,2,1981,29.1,14.42,0,24.88
26,2,1981,28.38,14.2,0,24.72
27,2,1981,26.26,14.92,0,22.54
28,2,1981,27.25,15.14,0,22.38
1,3,1981,28.32,15.79,1.39,22.66
2,3,1981,26.55,16.19,12.36,21.1
3,3,1981,24.23,15.41,8.15,20.3
4,3,1981,24.14,14.38,5.7,20.31
5,3,1981,23.53,15.27,14.7,19.75
6,3,1981,23.99,15.13,1.04,21.29
7,3,1981,24.04,14.7,0,21.03
8,3,1981,24.17,14.52,2.7,22.71
9,3,1981,24.58,14.28,0,23.43
10,3,1981,24.52,14.51,0,21.67
11,3,1981,24.58,14.74,1.06,22.67
12,3,1981,23.53,14.84,4.29,21.04
13,3,1981,22.51,15.22,7.19,18.3
14,3,1981,23.09,14.44,12.86,19.8
15,3,1981,23.25,14.74,5.97,20.18
16,3,1981,22.52,15.2,2.14,17.98
17,3,1981,23.04,14.44,3.93,20.97
18,3,1981,23.2,14.45,6.81,20.64
19,3,1981,22.59,15.09,3.51,19.43
20,3,1981,23.07,14.31,2.49,22.56
21,3,1981,21.46,15.05,11.55,16.28
22,3,1981,22.91,14.31,4.69,20.25
23,3,1981,21.42,14.69,8.37,17.64
24,3,1981,22.94,14.39,3.87,20.18
25,3,1981,20.2,15.3,6.25,15.29
26,3,1981,21.66,15.03,5.84,17.57
27,3,1981,20.06,14.95,6.31,14.52
28,3,1981,21.24,14.09,6.05,18.56
29,3,1981,21.08,14.81,5.74,18.13
30,3,1981,22.3,14.59,5.31,20.75
31,3,1981,22.12,15.19,4.62,19.24
1,4,1981,22.17,14.72,2.8,18.68
2,4,1981,21.98,14.01,4.88,19.07
3,4,1981,21.97,14.74,0,19.85
4,4,1981,22.42,13.87,0,21.71
5,4,1981,22.62,14.41,0.31,19.69
6,4,1981,22.89,14.18,2.92,21.46
7,4,1981,22.75,13.65,8.12,21.99
8,4,1981,22.89,14,5.13,21.17
9,4,1981,23.19,14.42,0,21.69
10,4,1981,22.65,14.64,0.22,20.24
11,4,1981,22.43,14.63,3.01,19.39
12,4,1981,22.08,14.75,0.78,18.07
13,4,1981,22.1,14.71,0.67,20.26
14,4,1981,22.49,14.47,4.7,20.25
15,4,1981,23.19,14.66,4.04,21.57
16,4,1981,23.64,14.69,0,21.95
17,4,1981,23.43,14.41,0,21.2
18,4,1981,22.5,14.21,8.22,19.55
19,4,1981,22.33,14.49,2.04,19.8
20,4,1981,22.61,14.38,2.89,20.46
21,4,1981,21.41,14.12,6.68,17.68
22,4,1981,21.15,14.25,5.08,17.15
23,4,1981,21.17,14.57,1.91,18.31
24,4,1981,21.76,13.89,6.67,20.06
25,4,1981,22.37,13.45,5.62,22.17
26,4,1981,22.9,13.19,0,22.17
27,4,1981,22.84,13.8,4.93,21.23
28,4,1981,25.08,13.51,0,25.22
29,4,1981,24.19,13.12,0,25.09
30,4,1981,23.95,13.03,0,24.1
1,5,1981,23.69,14.26,0,23.59
2,5,1981,23.57,13.95,0,23.05
3,5,1981,24.4,13.78,0,23.43
4,5,1981,24.42,13.39,0,24
5,5,1981,24.81,13.37,0,24.44
6,5,1981,24.41,14.24,0.11,22.89
7,5,1981,23.61,14.39,0,21.66
8,5,1981,21.69,13.88,2.47,21.11
