day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.58,10.38,0,22.19
2,1,1981,22.72,10.41,0,20.73
3,1,1981,23.6,9.9,0,21.95
4,1,1981,23.4,10.02,0.13,21.46
5,1,1981,23.57,8.78,0.13,23.76
6,1,1981,22.95,8.42,0,21.94
7,1,1981,22.62,7.83,0,23.77
8,1,1981,22.4,6.77,0,24.3
9,1,1981,22.05,7.48,0,23.76
10,1,1981,23.53,7.83,0,23.77
11,1,1981,24.05,9.02,0,22.46
12,1,1981,22.09,10.65,0,18.04
13,1,1981,22.89,8.73,0,22.43
14,1,1981,22.8,9.19,0,21.23
15,1,1981,22.27,9.6,0,20.42
16,1,1981,23.18,8.83,0,22.53
17,1,1981,23.79,9.19,0,23.91
18,1,1981,24.36,9.51,0,24.2
19,1,1981,24.28,9.52,0,23.97
20,1,1981,23.91,8.63,0,24.52
21,1,1981,24.57,9.23,0,24.02
22,1,1981,23.73,11.14,0,20.97
23,1,1981,24.18,10.67,0,23.39
24,1,1981,23.51,9.73,0,22.09
25,1,1981,24.64,9.32,0,24.56
26,1,1981,24.88,9.26,0,24.06
27,1,1981,24.13,9.39,0,23.72
28,1,1981,23.93,8.66,0,24.94
29,1,1981,23.23,8.36,0,24.25
30,1,1981,23.52,8.14,0,24.83
31,1,1981,23.36,6.89,0,25.63
1,2,1981,22.86,6.31,0,25.62
2,2,1981,23.11,7.31,0,25.42
3,2,1981,23.61,7.16,0,25.57
4,2,1981,23.6,7.53,0,25.41
5,2,1981,23.54,8.32,0,24.23
6,2,1981,24.19,8.94,0,25.36
7,2,1981,24.03,8.19,0,25.23
8,2,1981,24.88,8.58,0,24.75
9,2,1981,24.32,9.87,0,22.85
10,2,1981,23.34,13.43,0,19.49
11,2,1981,22.03,12.26,0,18.4
12,2,1981,21.84,12.88,26.4,18.21
13,2,1981,22.15,11.88,0,19.92
14,2,1981,23.06,11.39,0,20.44
15,2,1981,23.31,11.43,0,22.15
16,2,1981,22.44,10.86,3.62,20.75
17,2,1981,23.23,11.15,0,20.77
18,2,1981,22.64,11.29,0,21.6
19,2,1981,23.65,11.03,0,21.9
20,2,1981,23.77,10.68,0,23.75
21,2,1981,25.03,9.86,0,25.07
22,2,1981,25.33,9.37,0,25.87
23,2,1981,26.15,9.67,0,25.31
24,2,1981,26.5,10.22,0,24.68
25,2,1981,26.16,10.49,0,25.1
26,2,1981,25.17,10.18,0,24.8
27,2,1981,25.01,10.24,0,22.79
28,2,1981,24.31,12.03,0,22.25
1,3,1981,25.07,11.26,9.71,23.37
2,3,1981,24.56,13.46,27.25,22.67
3,3,1981,23.05,12.77,16.51,20.59
4,3,1981,22.53,12.55,0,19.61
5,3,1981,21.65,13.4,22.79,17.08
6,3,1981,21.93,12.95,4.7,20.72
7,3,1981,22,12.08,0,21.69
8,3,1981,22.3,10.5,0,24.71
9,3,1981,23.39,9.56,0,25.63
10,3,1981,22.79,11.21,0,23.2
11,3,1981,22.83,10.67,3.29,22.89
12,3,1981,23.4,11.17,0,21.75
13,3,1981,23.41,12.03,1.3,20.07
14,3,1981,23.09,12.85,2.58,21.48
15,3,1981,23.83,12.98,0,20.16
16,3,1981,22.27,13.44,1.6,19.52
17,3,1981,23.2,12.05,1.83,22.76
18,3,1981,23.46,11.8,6.58,22.71
19,3,1981,22.42,12.71,3.63,19.58
20,3,1981,22.71,11.92,1.93,21.29
21,3,1981,23.53,12.68,7.1,21.93
22,3,1981,22.79,11.52,1.72,21.88
23,3,1981,22.52,11.7,8.23,22.41
24,3,1981,22.33,11.5,4.57,21.16
25,3,1981,22.61,11.86,5.32,22.16
26,3,1981,22.83,12.66,0,21.59
27,3,1981,19.85,13.49,0,15.41
28,3,1981,21.16,11.98,0,19.01
29,3,1981,21.03,12.71,0,17.26
30,3,1981,22.55,12.8,30.49,21.69
31,3,1981,22.21,13.65,0,19.86
1,4,1981,20.77,12.9,0,17.69
2,4,1981,20.66,13.77,0,18.59
3,4,1981,21.4,12.83,0,19.91
4,4,1981,22.1,11.07,1.43,21.53
5,4,1981,21.97,13.08,0.25,20.26
6,4,1981,21.82,12.03,0.48,21.89
7,4,1981,22.78,11.72,0,23.1
8,4,1981,22.22,11.89,0,21.72
9,4,1981,22.63,11.69,0,21.79
10,4,1981,22.14,11.85,0,21.84
11,4,1981,22.2,12.09,0,21.44
12,4,1981,22.18,12.35,0,20.56
13,4,1981,22.08,13.05,0,21.41
14,4,1981,21.91,11.41,0.78,21.88
15,4,1981,23.98,12.89,0,22.89
16,4,1981,24.06,12.72,0,23.23
17,4,1981,22.57,12.36,0,21.21
18,4,1981,22.65,13,2.63,22.58
19,4,1981,22.42,12.69,0,22.93
20,4,1981,22.04,13.31,4.74,22.18
21,4,1981,21.61,12.67,37.11,20.74
22,4,1981,21.47,12.59,0,19.27
23,4,1981,21.27,12.72,0,20.38
24,4,1981,20.53,12.45,0,17.89
25,4,1981,20.78,11.96,0,20.73
26,4,1981,22.07,9.91,0,23.88
27,4,1981,21.58,10.63,6.61,23.11
28,4,1981,22.32,9.83,0,25.04
29,4,1981,23.53,9.02,0,26.7
30,4,1981,23.6,8.77,0,25.83
1,5,1981,23.09,9.77,0,23.72
2,5,1981,23.18,11.61,0,22.89
3,5,1981,24.01,9.88,0,24.7
4,5,1981,23.61,9.97,0,24.85
5,5,1981,24.17,9.95,0.2,25.39
6,5,1981,24.45,9.94,0,25.85
7,5,1981,24.61,10.24,0,25.29
8,5,1981,22.88,9.94,0,22.36
9,5,1981,23.41,10.93,0,23.56
10,5,1981,22.15,9.42,0,22.11
11,5,1981,23.3,10.27,0,22.55
12,5,1981,23.88,10.59,0,23.91
13,5,1981,23.89,11.11,0,22.94
14,5,1981,24.19,10.64,0,24.08
15,5,1981,24.51,10.08,0,25.87
16,5,1981,24.61,9.81,0,25.28
17,5,1981,24.55,10.97,8.13,23.94
18,5,1981,23.25,11.6,0,21.66
19,5,1981,24.52,11.81,0,22.12
20,5,1981,24.95,10.85,0,24.35
21,5,1981,24.25,11.97,0,21.78
22,5,1981,23.59,11.43,0,20.65
23,5,1981,24.92,10.79,0,22.92
24,5,1981,24.13,13.37,0,20.56
25,5,1981,24.73,11.16,0,21.28
26,5,1981,25.11,10.56,0,21.63
27,5,1981,25.49,10.56,0,22.8
28,5,1981,25.05,11.32,0,22.31
29,5,1981,24.2,12.19,5.31,19.61
30,5,1981,23.57,11.57,0,19.22
31,5,1981,24.71,10.99,0,20.55
1,6,1981,25.97,11.3,0,23.99
2,6,1981,24.92,12.51,0,20.51
3,6,1981,23.6,12.56,3.13,19.4
4,6,1981,23.73,11.39,0,19.94
5,6,1981,24.09,11.34,0,19.63
6,6,1981,23.74,10.98,0,20.13
7,6,1981,23.7,12.1,0,19.7
8,6,1981,24.14,12.11,0,20.28
9,6,1981,24.3,11.82,0,19.94
10,6,1981,24.95,10.64,0,20.8
11,6,1981,25.14,10.15,0,20.07
12,6,1981,24.88,12.42,0,20.65
13,6,1981,23.73,11.87,0,20.18
14,6,1981,22.55,10.62,0,19.8
15,6,1981,23.3,10.1,0,20.22
16,6,1981,23.72,10.57,0,20.09
17,6,1981,22.62,10.78,0,19.34
18,6,1981,23.61,10.05,0,20.55
19,6,1981,23.22,11.73,0,20.11
20,6,1981,24.35,9.97,0.2,21.04
21,6,1981,22.49,11.2,0,18.48
22,6,1981,22.72,11.28,7.84,19.91
23,6,1981,22.4,10.94,0,19.56
24,6,1981,22.68,10.78,11.59,20.13
25,6,1981,21.98,10.49,0,19.27
26,6,1981,21.73,11.11,0,19.41
27,6,1981,21.85,10.21,0,19.71
28,6,1981,21.63,10.82,0,19.55
29,6,1981,21.48,11.07,0,18.52
30,6,1981,21.62,10.54,15.82,18.61
1,7,1981,21.83,10.7,0,19.09
2,7,1981,21.54,11.72,0,18.17
3,7,1981,20.98,12.08,5.62,16.65
4,7,1981,20.51,11.33,18.61,17.05
5,7,1981,20.89,11.24,0,18.92
6,7,1981,21.64,11.52,1.84,19.31
7,7,1981,21.36,11.16,4.05,18.42
8,7,1981,21.31,10.53,4.66,18.52
9,7,1981,21.31,10.89,7.42,18.41
10,7,1981,20.43,11.28,15.24,16.31
11,7,1981,19.54,11.44,8.36,13.78
12,7,1981,20.87,10.79,16.91,18.46
13,7,1981,21.18,11.05,3.42,19.41
14,7,1981,21.64,10.32,4.54,19.88
15,7,1981,21.26,10.69,3.38,19.55
16,7,1981,19.83,11.17,6.98,15.28
17,7,1981,20.4,11.33,5.38,16.85
18,7,1981,20.59,11.72,7.18,18.39
19,7,1981,21.08,11.78,8.13,17.78
20,7,1981,20.26,12.12,12.78,15.07
21,7,1981,21.45,10.47,7.26,18.66
22,7,1981,21.85,11.36,6.94,18.93
23,7,1981,21.76,10.88,10.02,20.51
24,7,1981,21.87,11.82,15.69,18.82
25,7,1981,20.49,11.19,20.1,14.84
26,7,1981,20.36,11.71,21.21,17.63
27,7,1981,20.65,11.22,4.71,18.94
28,7,1981,21,10.81,7.62,18.04
29,7,1981,21.66,11.07,8.17,19.71
30,7,1981,20.07,11.45,26.48,15.22
31,7,1981,21.12,11.4,7.09,18.45
1,8,1981,21.42,11.25,7.79,20.44
2,8,1981,21.82,11.79,24.58,20.65
3,8,1981,21.87,10.91,4.69,19.6
4,8,1981,21.23,11.36,4.5,18.46
5,8,1981,21.51,11.34,10.56,18.48
6,8,1981,21.07,11.73,18.23,16.36
7,8,1981,21.03,11.29,0,18.41
8,8,1981,20.84,11.71,0,18.84
9,8,1981,21.28,10.68,4.85,19.43
10,8,1981,21.7,11.49,12.96,19.77
11,8,1981,22.23,11.56,10.06,20.78
12,8,1981,21.89,11.33,11.83,19.53
13,8,1981,20.08,11.78,4.65,15.24
14,8,1981,21.62,10.85,4.68,20.28
15,8,1981,21.3,11.38,4.13,18.76
16,8,1981,21.33,10,5.43,21.41
17,8,1981,20.7,10.28,7.67,20.34
18,8,1981,20.82,10.63,8.22,20.31
19,8,1981,20.77,11.2,5.36,19.63
20,8,1981,20.71,10.76,11.13,20.67
