day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.53,7.53,0,21.67
2,1,1981,19.66,7.55,0.11,20.15
3,1,1981,20.49,7.15,0,21.44
4,1,1981,20.3,7.24,0.25,20.93
5,1,1981,20.45,6.27,0.14,23.34
6,1,1981,19.88,5.99,0,21.45
7,1,1981,19.57,5.53,0,23.37
8,1,1981,19.37,4.69,0,23.93
9,1,1981,19.03,5.25,0,23.36
10,1,1981,20.42,5.53,0,23.38
11,1,1981,20.9,6.47,0,22.02
12,1,1981,19.07,7.74,0,17.39
13,1,1981,19.82,6.24,0,21.99
14,1,1981,19.73,6.6,0,20.75
15,1,1981,19.23,6.92,0,19.91
16,1,1981,20.09,6.32,0,22.12
17,1,1981,20.65,6.6,0,23.57
18,1,1981,21.18,6.85,0,23.88
19,1,1981,21.11,6.86,0,23.64
20,1,1981,20.75,6.17,0,24.22
21,1,1981,21.37,6.64,0,23.7
22,1,1981,20.58,8.14,0,20.52
23,1,1981,21.01,7.77,0,23.05
24,1,1981,20.37,7.04,0,21.7
25,1,1981,21.43,6.72,0,24.29
26,1,1981,21.65,6.67,0,23.76
27,1,1981,20.95,6.78,0,23.4
28,1,1981,20.76,6.21,0,24.69
29,1,1981,20.11,5.97,0,23.97
30,1,1981,20.38,5.8,0,24.57
31,1,1981,20.22,4.83,0,25.42
1,2,1981,19.75,4.38,0,25.41
2,2,1981,19.98,5.16,0,25.19
3,2,1981,20.45,5.05,0,25.36
4,2,1981,20.44,5.34,0,25.21
5,2,1981,20.38,5.96,0,23.97
6,2,1981,20.99,6.45,0,25.15
7,2,1981,20.83,5.86,0,25.02
8,2,1981,21.62,6.18,0,24.52
9,2,1981,21.1,7.19,0,22.53
10,2,1981,20.18,9.99,0,19
11,2,1981,18.95,9.07,1.07,17.87
12,2,1981,18.77,9.56,21.32,17.67
13,2,1981,19.06,8.78,0,19.46
14,2,1981,19.91,8.4,0,20.01
15,2,1981,20.14,8.44,0,21.79
16,2,1981,19.32,8,3.41,20.33
17,2,1981,20.06,8.22,0,20.35
18,2,1981,19.51,8.34,0,21.22
19,2,1981,20.45,8.13,0,21.54
20,2,1981,20.55,7.87,0,23.47
21,2,1981,21.73,7.23,0,24.85
22,2,1981,22.01,6.85,0,25.68
23,2,1981,22.77,7.09,0,25.09
24,2,1981,23.1,7.52,0,24.43
25,2,1981,22.77,7.74,0,24.87
26,2,1981,21.85,7.5,0,24.56
27,2,1981,21.7,7.55,0,22.45
28,2,1981,21.04,8.96,0,21.89
1,3,1981,21.74,8.37,19.83,23.06
2,3,1981,21.26,10.09,26.75,22.32
3,3,1981,19.85,9.55,10.05,20.15
4,3,1981,19.36,9.39,4.08,19.12
5,3,1981,18.53,10.06,20.45,16.46
6,3,1981,18.79,9.71,1.99,20.27
7,3,1981,18.86,9.03,0,21.27
8,3,1981,19.14,7.8,0,24.44
9,3,1981,20.14,7.07,0,25.39
10,3,1981,19.59,8.37,0,22.85
11,3,1981,19.62,7.95,5.42,22.51
12,3,1981,20.14,8.35,0,21.32
13,3,1981,20.15,9.03,3.94,19.56
14,3,1981,19.85,9.68,0.59,21.03
15,3,1981,20.54,9.78,0,19.64
16,3,1981,19.08,10.15,4.63,18.97
17,3,1981,19.94,9.06,3.66,22.35
18,3,1981,20.18,8.87,5.35,22.3
19,3,1981,19.21,9.59,2.9,19.02
20,3,1981,19.48,8.98,2.27,20.8
21,3,1981,20.24,9.58,9.99,21.46
22,3,1981,19.54,8.67,0.38,21.4
23,3,1981,19.29,8.82,12,21.96
24,3,1981,19.11,8.67,3.43,20.64
25,3,1981,19.37,8.96,9.25,21.68
26,3,1981,19.56,9.59,4.45,21.08
27,3,1981,16.78,10.25,0,14.61
28,3,1981,18,9.07,0,18.36
29,3,1981,17.88,9.65,0,16.53
30,3,1981,19.29,9.72,21.98,21.16
31,3,1981,18.97,10.39,4.82,19.23
1,4,1981,17.62,9.82,2.57,16.96
2,4,1981,17.51,10.5,0,17.89
3,4,1981,18.2,9.77,0,19.27
4,4,1981,18.86,8.4,12.51,20.95
5,4,1981,18.72,9.98,0,19.61
6,4,1981,18.59,9.16,0,21.32
7,4,1981,19.48,8.92,0,22.58
8,4,1981,18.95,9.06,0,21.12
9,4,1981,19.33,8.91,0,21.19
10,4,1981,18.87,9.04,0,21.23
11,4,1981,18.92,9.23,0,20.8
12,4,1981,18.9,9.44,0,19.86
13,4,1981,18.8,10,0,20.76
14,4,1981,18.64,8.72,1.38,21.24
15,4,1981,20.57,9.89,0,22.28
16,4,1981,20.65,9.76,0,22.63
17,4,1981,19.25,9.48,0,20.51
18,4,1981,19.32,9.99,14.48,21.93
19,4,1981,19.11,9.75,0,22.29
20,4,1981,18.75,10.24,1.42,21.5
21,4,1981,18.34,9.74,33.98,19.98
22,4,1981,18.21,9.69,0,18.43
23,4,1981,18.02,9.8,0,19.59
24,4,1981,17.32,9.59,0,16.98
25,4,1981,17.55,9.21,2.5,19.93
26,4,1981,18.75,7.61,1.53,23.22
27,4,1981,18.29,8.18,6.05,22.41
28,4,1981,18.98,7.55,0,24.42
29,4,1981,20.11,6.92,0,26.14
30,4,1981,20.17,6.73,0,25.23
1,5,1981,19.7,7.52,0,23
2,5,1981,19.77,8.97,0,22.12
3,5,1981,20.55,7.62,0,24
4,5,1981,20.18,7.7,0,24.16
5,5,1981,20.69,7.68,0,24.72
6,5,1981,20.95,7.68,0,25.18
7,5,1981,21.1,7.93,0,24.59
8,5,1981,19.48,7.69,0,21.51
9,5,1981,19.98,8.48,0,22.76
10,5,1981,18.79,7.29,0,21.24
11,5,1981,19.86,7.97,0,21.68
12,5,1981,20.4,8.22,0,23.1
13,5,1981,20.42,8.63,0,22.07
14,5,1981,20.69,8.27,0,23.24
15,5,1981,20.98,7.83,0,25.12
16,5,1981,21.08,7.63,0,24.49
17,5,1981,21.02,8.54,15.7,23.08
18,5,1981,19.8,9.04,0,20.68
19,5,1981,20.98,9.21,0,21.15
20,5,1981,21.39,8.46,0,23.47
21,5,1981,20.73,9.34,0,20.78
22,5,1981,20.11,8.92,0,19.58
23,5,1981,21.35,8.42,0,21.96
24,5,1981,20.62,10.45,0,19.47
25,5,1981,21.18,8.72,0,20.21
26,5,1981,21.52,8.26,0,20.57
27,5,1981,21.88,8.26,0,21.78
28,5,1981,21.47,8.85,0,21.26
29,5,1981,20.67,9.54,1.98,18.42
30,5,1981,20.08,9.06,2.25,18.01
31,5,1981,21.15,8.61,0,19.38
1,6,1981,22.32,8.85,0,22.97
2,6,1981,21.34,9.8,0,19.33
3,6,1981,20.11,9.85,4.61,18.15
4,6,1981,20.23,8.94,0,18.7
5,6,1981,20.56,8.9,0,18.37
6,6,1981,20.23,8.62,2.48,18.89
7,6,1981,20.19,9.49,0,18.44
8,6,1981,20.6,9.51,0,19.02
9,6,1981,20.76,9.29,0,18.66
10,6,1981,21.36,8.36,0,19.55
11,6,1981,21.54,7.98,0,18.78
12,6,1981,21.3,9.76,0.13,19.37
13,6,1981,20.22,9.33,0,18.88
14,6,1981,19.11,8.36,0,18.47
15,6,1981,19.82,7.95,0,18.9
16,6,1981,20.21,8.32,0,18.76
17,6,1981,19.18,8.49,0,17.96
18,6,1981,20.1,7.91,0,19.22
19,6,1981,19.74,9.23,0,18.75
20,6,1981,20.8,7.85,0.25,19.71
21,6,1981,19.05,8.82,6.79,17.02
22,6,1981,19.28,8.88,4.38,18.51
23,6,1981,18.97,8.62,3.79,18.14
24,6,1981,19.23,8.49,10.12,18.74
25,6,1981,18.58,8.27,5.04,17.82
26,6,1981,18.35,8.76,1.8,17.96
27,6,1981,18.46,8.06,0,18.27
28,6,1981,18.26,8.53,1.94,18.09
29,6,1981,18.12,8.72,8.08,17
30,6,1981,18.25,8.31,13.06,17.1
1,7,1981,18.45,8.44,1.34,17.59
2,7,1981,18.17,9.23,5.49,16.61
3,7,1981,17.65,9.52,8.11,15.03
4,7,1981,17.21,8.93,19.31,15.43
