day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.96,18.75,0,21.42
2,1,1981,33.37,19.28,0,21.34
3,1,1981,34.03,19.47,0,21.67
4,1,1981,32.91,19.29,0,21.86
5,1,1981,32.94,19.62,0,21.5
6,1,1981,32.6,19.43,0,22.07
7,1,1981,31.56,17.57,0,22.82
8,1,1981,31.57,17.58,0,22.3
9,1,1981,31.95,18.59,0,20.09
10,1,1981,33.48,19.27,0,21.86
11,1,1981,33.21,18.46,0,21.99
12,1,1981,31.71,19.08,0,21.75
13,1,1981,31.01,19.21,0,20.44
14,1,1981,31.33,20.16,0,21
15,1,1981,32.5,19.54,0,21.26
16,1,1981,31.96,19.7,0,18.09
17,1,1981,32.43,18.69,0,21.87
18,1,1981,33.57,19.82,0,19.6
19,1,1981,32.52,19.49,0,20.89
20,1,1981,32.78,19.36,0,22.5
21,1,1981,33.18,19.32,0,22.4
22,1,1981,32.85,19.67,0,22.37
23,1,1981,34.16,20.49,0,22.56
24,1,1981,34.18,19.21,0,22.99
25,1,1981,34.6,19.26,0,23.18
26,1,1981,34.43,19.74,0,23.12
27,1,1981,33.83,19.45,0,23.11
28,1,1981,32.55,20.89,0,21.55
29,1,1981,32.43,19.21,0,23.09
30,1,1981,32.14,19.43,0,23.85
31,1,1981,31.8,17.97,0,23.93
1,2,1981,32.36,18.54,0,23.64
2,2,1981,32.11,18.92,0,23.57
3,2,1981,31.24,19.66,0,19.35
4,2,1981,30.51,19.34,0,15.02
5,2,1981,32.65,18.93,0,23.17
6,2,1981,33.16,19.15,0,19.86
7,2,1981,32.81,18.97,0,23.04
8,2,1981,33.59,19.36,0,23.62
9,2,1981,33.65,18.46,0,23.13
10,2,1981,33.69,20.8,0,22.7
11,2,1981,26.9,21.06,3.75,8.6
12,2,1981,28.42,18.94,0,15.23
13,2,1981,30.18,20.18,0,15.28
14,2,1981,30.51,21.23,0,14.51
15,2,1981,31.9,20.9,3.99,16.28
16,2,1981,32.22,20.3,0,16.13
17,2,1981,33.37,21.51,0,20.63
18,2,1981,32.45,21.75,0,19.33
19,2,1981,34.15,21.69,0,21.55
20,2,1981,34.61,20.37,0,24
21,2,1981,34.78,20.33,0,24.28
22,2,1981,35.08,20.21,0,24.69
23,2,1981,35.33,19.3,0,24.76
24,2,1981,36.19,20.29,0,24.52
25,2,1981,34.75,19.91,0,23.9
26,2,1981,34.26,20.7,0,24.64
27,2,1981,35.05,21.27,0,24.83
28,2,1981,35.85,20.88,0,24.79
1,3,1981,35.86,21.8,0,24.45
2,3,1981,34.33,22.59,5.84,22.68
3,3,1981,30.19,22.9,8.02,14.43
4,3,1981,29.35,21.8,7.38,15.97
5,3,1981,27.51,22.05,5.04,12.08
6,3,1981,30.17,21.6,0,22.29
7,3,1981,29.67,21.03,0,16.35
8,3,1981,31.48,21.04,0,22.26
9,3,1981,33.61,20.43,0,24.78
10,3,1981,35,21.15,0,23.69
11,3,1981,35.3,23.38,0,22.56
12,3,1981,37.51,24.43,0,23.48
