day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,33.86,21.78,0,20.54
2,1,1981,35.58,22.7,0,20.76
3,1,1981,36.01,22.7,0,20.94
4,1,1981,34.77,23.39,0,20.84
5,1,1981,35.11,24.14,0,20.88
6,1,1981,35.12,22.74,0,21.35
7,1,1981,33.79,21.07,0,21.99
8,1,1981,34.22,21.4,0,21.45
9,1,1981,34.63,21.55,0,21.19
10,1,1981,35.69,21.75,0,21.22
11,1,1981,35.91,21.34,0,21.54
12,1,1981,33.48,22.15,0,21.14
13,1,1981,33.19,23.06,0,20.1
14,1,1981,33.73,23.6,0,19.62
15,1,1981,34.34,23.41,0,20.22
16,1,1981,33.85,23.13,0,17.29
17,1,1981,34.43,22.18,0,21.06
18,1,1981,35.24,22.63,0,20.1
19,1,1981,34.85,22.68,0,21.47
20,1,1981,34.62,23.07,0,21.58
21,1,1981,35.1,22.56,0,21.83
22,1,1981,35.42,22.41,0,21.99
23,1,1981,36.7,22.98,0,22.06
24,1,1981,35.94,21.98,0,22.42
25,1,1981,36.33,21.46,0,22.55
26,1,1981,36.5,22.67,0,22.15
27,1,1981,35.55,24.2,0,22.23
28,1,1981,34.98,23.02,0,22.2
29,1,1981,35.1,22.29,0,22.5
30,1,1981,34.56,21.84,0,22.58
31,1,1981,34.03,22.55,0,22.57
1,2,1981,34.18,22.77,0,22.48
2,2,1981,33.91,22.63,0,22.49
3,2,1981,33.71,23.2,0,19.28
4,2,1981,33.12,23.87,0,15.38
5,2,1981,35.2,22.36,0,22
6,2,1981,35.09,22.35,0,22.47
7,2,1981,35.17,22.01,0,22.7
8,2,1981,35.96,22,0,22.97
9,2,1981,35.68,21.15,0,22.97
10,2,1981,35.31,23.8,0.37,21.75
11,2,1981,29.71,24.39,0.25,11.53
12,2,1981,31.47,22.16,0,16.7
13,2,1981,31.58,23.03,0,14.28
14,2,1981,31,24.19,0,14.59
15,2,1981,33.78,24.17,0,17.11
16,2,1981,35.9,23.19,0,21.96
17,2,1981,35.55,24.34,0,17.82
18,2,1981,34.7,25.09,0,18.16
19,2,1981,37.09,25.05,0,22.09
20,2,1981,37.08,23.58,0,23.24
21,2,1981,37.17,23.47,0,23.47
22,2,1981,37.1,23.82,0,23.74
23,2,1981,37.78,23,0,24.03
24,2,1981,38.29,22.55,0,23.78
25,2,1981,36.74,23.13,0,23.79
26,2,1981,36.45,23.91,0,23.76
27,2,1981,37.61,23.76,0,24.11
28,2,1981,38.33,23.86,0,24.18
1,3,1981,37.96,24.61,0,23.45
2,3,1981,36.92,25.86,0,22.75
3,3,1981,32.82,25.84,2.58,15.12
4,3,1981,30.74,24.99,1.44,13.84
5,3,1981,32.9,25.21,8.67,20.46
6,3,1981,35.83,24,0,24.09
7,3,1981,37.06,24.06,0,23.45
8,3,1981,37.44,24.7,0,24.24
9,3,1981,38.18,23.94,0,24.33
10,3,1981,39.07,25.21,0,23.29
11,3,1981,38.76,27.29,0,22.93
12,3,1981,39.77,27.72,0,23.13
13,3,1981,37.35,28.18,8.27,21.5
14,3,1981,31.16,26.16,8.33,15.38
15,3,1981,31.52,25.16,0,15.97
16,3,1981,31.9,25.67,0,19.27
17,3,1981,32.7,25.73,0,19.92
18,3,1981,30.52,25.54,7.9,14.11
19,3,1981,30.82,25.66,1.47,13.97
20,3,1981,33.52,24.93,3.05,22.41
21,3,1981,34.64,24.4,0,23.21
22,3,1981,34.64,24.71,0,20.71
23,3,1981,35.14,25.39,0,22.39
24,3,1981,37.4,26.71,0,22.69
25,3,1981,38.54,26.69,0,24.77
26,3,1981,36.82,27.08,0,22.6
27,3,1981,32.3,25.77,6.35,19.07
28,3,1981,30.34,25.04,8.45,15.69
29,3,1981,30.88,24.98,0,19.62
30,3,1981,31.84,26.24,0,19.57
31,3,1981,33.41,25.76,0,22.07
1,4,1981,31.75,25.52,0,17.36
2,4,1981,33.34,25.64,0,21.91
3,4,1981,37.46,26.33,0,24
4,4,1981,37.86,26.74,0,24.73
5,4,1981,37.51,28.23,0,23.9
6,4,1981,38.33,26.61,0,25.31
7,4,1981,39.59,25.73,0,25.7
8,4,1981,39.44,27.27,0,24.83
9,4,1981,39.16,27.21,0,25.9
10,4,1981,38.78,27.26,0,25.05
11,4,1981,39.24,27.55,0,24.07
12,4,1981,37.75,28.04,4.88,20.38
13,4,1981,36.55,27.78,7.18,20.83
14,4,1981,37.32,27.57,0,21.42
15,4,1981,38.51,28.38,0,22.69
16,4,1981,39.17,29.5,0,23.12
17,4,1981,37.83,28.81,0,22.41
18,4,1981,34.14,26.34,2.51,18.51
19,4,1981,38.05,27.87,0.46,22.33
20,4,1981,37.41,27.6,0,23.63
21,4,1981,39.2,27.94,0,23.6
22,4,1981,40.55,28.79,0,24.19
23,4,1981,40.61,29.28,0,23.22
24,4,1981,36.72,28.64,3.78,19.47
25,4,1981,37.4,27.94,6.58,20.76
26,4,1981,39.04,28.08,4.95,24.66
27,4,1981,40.2,28.37,0,24.55
28,4,1981,40.49,28.54,0,24.13
29,4,1981,41.17,28.67,0,25.51
30,4,1981,41.63,29.31,0,24.8
1,5,1981,40.78,28.82,0,24.87
2,5,1981,41.51,29.03,0,25.28
3,5,1981,40.95,29.11,0,24.6
4,5,1981,41.39,28.88,0,24.56
5,5,1981,42.12,28.57,0,25.09
6,5,1981,42.41,28.83,0.67,24.63
7,5,1981,42.19,30.46,0,25.2
8,5,1981,41.9,29.57,0,24.6
9,5,1981,41.64,29.31,0,24.55
10,5,1981,40.75,28.25,0,24.22
11,5,1981,40.67,28.45,0,23.91
12,5,1981,41.02,29.45,1.41,24.66
13,5,1981,41.05,29.69,0.57,24.31
14,5,1981,43.04,30.11,0,25.58
15,5,1981,42.53,28.72,0,26.05
16,5,1981,42.18,29.06,0,24.66
17,5,1981,43.13,30.56,0,23.99
18,5,1981,43.23,30.33,0,25.28
19,5,1981,42.3,31.38,0,22.6
20,5,1981,42.53,30.99,0,22.94
21,5,1981,42.2,30.26,0,22.87
22,5,1981,41.82,29.1,0.23,23.55
23,5,1981,41.09,28.88,1.3,23.49
24,5,1981,41.53,29.44,0,23.58
25,5,1981,42.31,28.77,0,24.57
26,5,1981,43.57,29.49,0,24.64
27,5,1981,43.57,29.08,0,24.61
28,5,1981,42.75,28.62,0,24.1
29,5,1981,41.42,30.71,3.29,18.55
30,5,1981,42.08,31.64,0,21.06
31,5,1981,42.88,31.83,0,21.29
1,6,1981,44.31,31.47,0,22.26
2,6,1981,43.17,30.89,0,22.94
3,6,1981,43.36,30.42,0,22.59
4,6,1981,43.8,31.11,0,22.82
5,6,1981,43.74,29.91,0,22.8
6,6,1981,43.52,31.05,0,22.57
7,6,1981,42.49,30.6,0,22.69
8,6,1981,42.28,29.98,0,22.54
9,6,1981,42.23,30.37,0,21.69
10,6,1981,42.85,30.96,0.05,21.68
11,6,1981,43.52,31.29,0,22.21
12,6,1981,43.53,30.11,0,22.5
13,6,1981,43.71,29.48,0,22.26
14,6,1981,43.6,28.46,0,22.51
15,6,1981,44.17,28.67,0,21.8
16,6,1981,43.9,29.49,0,21.13
17,6,1981,43.99,30.23,0,21.99
18,6,1981,43.82,29.35,0,22.13
19,6,1981,43.43,29.58,0,21.77
20,6,1981,43.86,30.27,0,21.7
21,6,1981,43.76,30.67,0,21.1
22,6,1981,43.43,30.21,0,19.93
23,6,1981,43.41,30.03,0,19.44
24,6,1981,44.19,29.73,0,20.48
25,6,1981,44.39,29.5,0,22.1
26,6,1981,43.91,29.3,1.18,21.39
27,6,1981,43.12,29.29,0,20.79
28,6,1981,43.95,30.51,0,20.53
29,6,1981,43.86,30.87,0,21.33
30,6,1981,43.73,30.84,0,21.78
1,7,1981,44.2,31.21,0,21.72
2,7,1981,43.95,31.71,0,20.18
3,7,1981,43.9,32.53,0.56,20.75
4,7,1981,41.59,31.24,8.54,20.97
5,7,1981,40.42,30.5,0,20.12
6,7,1981,41.41,30.61,0.94,21.59
7,7,1981,42.64,31.49,0,21.52
8,7,1981,43.18,31.46,0,20.96
9,7,1981,41.9,31.7,0,15
10,7,1981,41.27,30.58,4.07,18.81
11,7,1981,40.48,30.92,4.14,19.25
12,7,1981,40.2,30.01,1.11,21.4
13,7,1981,42.22,29.21,0,21.29
14,7,1981,43.27,30.4,0,21.18
15,7,1981,43.08,30.17,0,20.33
16,7,1981,40.29,31.91,0,13.62
17,7,1981,40.68,31.64,0,14.86
18,7,1981,41.17,31.58,1.07,18.33
19,7,1981,36.47,27.98,11.02,19.56
20,7,1981,37.82,28.66,0,20.33
21,7,1981,41.21,30.41,0,21.38
22,7,1981,41.91,30.62,0,21.49
23,7,1981,41.5,30.67,0,21.06
24,7,1981,41.04,30.8,1.03,20.16
25,7,1981,41.52,30.4,4.72,18.1
26,7,1981,41.82,31.33,0,21.03
27,7,1981,42.98,30.11,0,22.54
28,7,1981,43.51,30.74,0,21.98
29,7,1981,42.94,30.7,0,21.47
30,7,1981,42.67,31.81,0,20.69
31,7,1981,42.1,31.02,0,21.49
1,8,1981,41.95,30.59,0,19.69
2,8,1981,40.53,31.02,1.67,16.86
3,8,1981,42.94,29.49,0.63,22.5
4,8,1981,43.63,30.48,0,22.7
5,8,1981,43.63,31.65,1.15,21.78
6,8,1981,41.15,32.17,0.1,20.86
7,8,1981,41.05,31.74,1.58,19.65
8,8,1981,41.29,30.37,0.46,22.01
9,8,1981,41.76,31.79,0,21.87
10,8,1981,42.22,31.64,0,21.61
11,8,1981,42.75,31.21,0,21.68
12,8,1981,40.62,31.78,1.26,21.51
13,8,1981,40.56,31.04,0.13,20.35
14,8,1981,43.03,31.41,0,22.77
15,8,1981,42.33,31.96,0,21.61
16,8,1981,41.51,31.17,0.72,22.52
17,8,1981,41.66,31.46,0,22.54
18,8,1981,40.72,31.26,0,17.55
19,8,1981,39.77,30.98,0.18,19.96
20,8,1981,39.7,30.86,0.87,22.03
21,8,1981,39.74,30.41,0.63,21.09
22,8,1981,37.44,27.85,3.97,21.39
23,8,1981,38.04,29.01,0,21.22
24,8,1981,39.84,30.13,0,20.73
25,8,1981,40.72,30.61,0,22.16
26,8,1981,41.07,30.22,0,22.31
27,8,1981,42.27,29.67,0.02,23.07
28,8,1981,42.58,30,0,22.9
29,8,1981,42.67,30.38,0.65,22.76
30,8,1981,42.33,31.27,0,22.53
31,8,1981,41.56,30.19,0.88,21.61
1,9,1981,39.22,29.12,3.11,20.89
2,9,1981,39.67,29.74,3.63,21.81
3,9,1981,40.5,29.87,0,22.04
4,9,1981,41.89,29.84,0,21.96
5,9,1981,42.02,30.39,0,21
6,9,1981,42.38,30.53,0,22.04
7,9,1981,40.88,30,0,20.55
8,9,1981,40.4,30.14,2.41,20.24
9,9,1981,40.67,31.25,1.21,21.58
10,9,1981,41.35,31.63,0,21.71
11,9,1981,40.54,30.76,0.53,21.73
12,9,1981,39.8,29.72,7.03,20.55
13,9,1981,36.55,28.86,2.94,17.85
14,9,1981,36.7,29.33,0.2,19.83
15,9,1981,37.51,29,1.69,20.26
16,9,1981,39.05,29.19,1.64,20.65
17,9,1981,38.67,29.53,1.67,21.17
18,9,1981,37.92,29.54,3.22,19.24
19,9,1981,37.99,29.53,1.29,18.69
20,9,1981,38.99,29.56,0,21.15
21,9,1981,40.71,29.98,0.78,21.52
22,9,1981,40.67,29.61,0,20.77
23,9,1981,41.49,30,0,20.95
24,9,1981,41.35,29.71,0,21.54
25,9,1981,41.67,30.18,0,21.95
26,9,1981,40.39,31.02,0.34,21.92
27,9,1981,40.47,29.9,0,21.08
28,9,1981,40.64,29.89,0,21.43
29,9,1981,40.08,29.34,0.28,20.51
30,9,1981,40.48,29.4,1.09,21.67
1,10,1981,40.51,29.73,1.4,19.78
2,10,1981,40.01,30.19,3.94,20.44
3,10,1981,39.09,30,2.87,19.22
4,10,1981,38.6,29.47,0,19.71
5,10,1981,40.09,29.11,0,21.61
6,10,1981,40.39,29.33,0,22.32
7,10,1981,40.27,28.64,0,22.77
8,10,1981,39.6,28.37,0,21.84
9,10,1981,39.75,27.22,0,23.55
10,10,1981,39.59,27.24,0,23.51
11,10,1981,40.2,26.77,0,23.84
12,10,1981,40.9,27.5,0,23.92
13,10,1981,39.87,26.85,0,23.63
14,10,1981,39.04,27.5,0,22.1
15,10,1981,38.74,27.58,0,22.53
16,10,1981,38.88,27.77,0,22.29
17,10,1981,38.47,27.78,0,22.46
18,10,1981,39.29,27.92,0,23.16
19,10,1981,39.98,27.52,0,23.46
20,10,1981,39.98,27.12,0,21.63
21,10,1981,38.95,27.73,0,21.04
22,10,1981,39.02,27.55,0,22.04
23,10,1981,38.48,26.75,0,22.85
24,10,1981,38.87,26.91,0,22.93
25,10,1981,38.67,26.61,0,22.14
26,10,1981,37.43,26.57,0,21.35
27,10,1981,37.25,25.92,0,20.57
28,10,1981,37.77,26.2,0,22.31
